,review_title,review_text,review_rating
0,"
Nice Item
","
I don't know about guitars, and it's my first guitar which found today. I'm impressed from this guitar. It's true value of your money. If it will not play well, atleast it will be a nice show piece hanging on your wall.
",4.0 out of 5 stars
1,"
Satisfied with the purchase.
","
wood: ok.action: nice and doesn't need much efforts.pick: nice and flexible enough.Product is up to the mark, but steel strings instead of nylon as mentioned. Comes untuned and takes hard time for tuning, but once properly tuned, sounds good. If you are a beggginer, and want to learn guitar it's a good deal for you.
",4.0 out of 5 stars
2,"
Good for showcase.
","
If you just got new passion but not sure if it will last long or how much dedicated are you then you can buy this. But you know music and want to invest in good then go for atleast ₹5k+ guitars.
",3.0 out of 5 stars
3,"
Ok
","
Ok
",3.0 out of 5 stars
4,"
IF YOU ARE A BEGINNER THEN JUST GO FOR IT
","
If you are a beginner then just go it. It's worth it. I have had this guitar for 5 years now and I have to say it is still in a pretty good condition. If you are wanting to learn the guitar...then this is your sign, go for it.
",5.0 out of 5 stars
5,"
Good Product
","
Great value for money, But still looks like repaired, Some places found where it seems to be repaired and then sold, Good for beginners, for long term use always lose strings little bit so that band is not occur
",4.0 out of 5 stars
6,"
Affordable guitar but sides of guitar was lil bit damaged
","
In this price guitar is very good & its not too much heavy. Easy to carry but sides of guitar handle looks lit bit damaged in transit. Overall i will give 4 stars. Bqck side of guitar was also little bit vanished. I hope seller will take my words seriously.
",4.0 out of 5 stars
7,"
Mast
","
Nice guitar
",5.0 out of 5 stars
8,"
Its good because it was cheap
","
Its good because it was cheap. ..the delivery was on time and the product delievered was also good but the only issue with guitar is that its firt string is not working on 13th fret...which is making  me feel frustrating. ... if u r a beginner. .i will highly recommend you this guitar.. but is your bugdet is more go for yamaha f310
",3.0 out of 5 stars
9,"
No truss rod , atleast in my guitar. But rest is good for beginners.
","
I returned it , reason , no truss rod. For people who doesn't understand, it is a rod that is fitted inside the neck because guitar neck bends after a certain time (and that certain time may vary) , especially guitar with steel strings, making the guitar really hard to play or sometimes unplayable. I am not a guitar pro but i do have some experience with it.I really do wanna give this guitar 2.5 simply because rest else is good, as far as beginners go, of you are really low on budget , need this for some time , maybe a year i don't know i am not a pro. But for beginning with the cheapest you can get you are not gonna get anything cheaper than this and at this price better than this.I hope this helps. 😀
",2.0 out of 5 stars
10,"
Fine o
","
Fine for beginners
",4.0 out of 5 stars
11,"
A good affordable guitar for beginners and enthusiasts.
","
A good affordable guitar for beginners and enthusiasts. Build quality material is average, one that you would expect from a Rs 3K product. But this is not a downer. The sound produced is very good with a rich timbre and resonant tone. After a little tuning you are ready to rock-n-roll. The product was properly packaged. Delivery time left a lot to be desired and can be improved upon considerably.
",4.0 out of 5 stars
12,"
Nice Product 👍🏼
","
Product is good ne quality. Guitar was not tuned. Finishing is 90%. Guitar was not packed with air bags. Sound quality is good. Product delivered on last date which was given by amazon and at time 7.30pm. It’s very good guitar for beginners.
",4.0 out of 5 stars
13,"
Awesome...  JUST BUY....
","
Nice.....  Big but light....  Don't be confused for its size it will be perfect for one who have height of 5.10 or above..... It is not perfectly tuned thats why 4 star.... Although its nice for beginners....  Ordered red sunburst n it was really looking superb.....
",4.0 out of 5 stars
14,"
Paisa vasool product
","
Good for beginners.Not big as much as acoustic guitars are but comfortable.I don't think any thing better than this product at so much less cost.I have seen many people complaining about not getting every thing shown in the image but I had no issues I got everything stated here.Best product at this cost.
",4.0 out of 5 stars
15,"
Awesome for beginners
","
Till now awesome as a beginner it is really gr8 but only the problem is some scarth on the top  if ignored that point that nic voice quality and perfect  loved it
",4.0 out of 5 stars
16,"
Good at this price
","
Nice Product. Not so strong (But ok)
",4.0 out of 5 stars
17,"
Average
","
Cheap and average wood quality.The shoulder mount is worst, single mounted nobs. thus uncomfortable while standing.comes with 2 peaks, set of extra strings, cheap carrying case.overall average satisfaction using it.
",3.0 out of 5 stars
18,"
Guitar build quality is not that great and to play lower strings u have to to ...
","
If your budget is strictly 3000 rs then go for it...but if u can spend 2000 more bucks then surely go for Givson or some other brand....Guitar build quality is not that great and to play lower strings u have to to press really hard....But it sounds not that bad...in 2500 rs this guitar is good...
",3.0 out of 5 stars
19,"
It's good guitar for starters but a small suggestion #Jixing try ...
","
It's good guitar for starters but a small suggestion #Jixing try applying more glue ( not needed for normal users ) I got rough once and my guitar's base back got a split ... I fixed it with fevicol tho .... Not all ppl have patience to fix their broken guitar
",4.0 out of 5 stars
20,"
Satisfied by product.
","
Sound quality is good...Light weight...Good choice for beginner...
",3.0 out of 5 stars
21,"
Good product
","
Good product for beginners
",4.0 out of 5 stars
22,"
Good one
","
Good one for learners
",4.0 out of 5 stars
23,"
not worth it
","
advised not to buy even for beginners or child
",3.0 out of 5 stars
24,"
Awesome 👍
","
I like it 👍😊Is quality was awesome..
",3.0 out of 5 stars
25,"
Good
","
Good product
",4.0 out of 5 stars
26,"
Best one for beginners!
","
Best one for beginners. Sound Quality is Good. And Value for money! I am happy with this Guitar.
",4.0 out of 5 stars
27,"
Satisfied
","
Vry gud
",4.0 out of 5 stars
28,"
Best for beginners even with 5.11 height.
","
Hi, I am writing this review after 1 week of practice. I just ordered this as a beginner and with doubt as I am 5.11 height.But, it exceeded my expectations and was in fine state for my arm length and height.I don`t say, it was the best.But, after all you will get what you pay for. And for the price of Rs:1,999/- I am more than satisfied with my purchase. Thank you amazon for the super safe packaging and prompt delivery.
",5.0 out of 5 stars
29,"
Good for beginners tight on budget
","
for the price, it is perfect. at least better than kolkata made stuff. but it does not have an adjustable truss rod with an ln key, so will counter bending issues. Mine was slightly so, cannot tune tune it band pitch or it will bend more.I would recommend this product for guitar aspirants who are tight on the budget.
",3.0 out of 5 stars
30,"
Overall it was worth buying
","
Good but strings were not that good
",4.0 out of 5 stars
31,"
Good product nice finishing.
","
The product was good as i expected. Got at the time given. But there was no strings and pricks or hanging belt found inside the package. Overall good qnd nice product.
",4.0 out of 5 stars
32,"
Good guitar in cheap price
","
After purchasing a kadence frontier series guitar , i purchased this for my younger sibling. It was very cheap in price compared to kadence and was very good in quality
",4.0 out of 5 stars
33,"
Good at this Price
","
It is good for begginrs ,but i highly recommend to show it to a guitar expert after buying they will tune it perfectly ..because it doesn't come better turned.😋😎
",4.0 out of 5 stars
34,"
Cool product. Perfect for beginners
","
Great product with a really cool sound. The frets are perfect for beginners. You'll need to tune the guitar a bit before using it but its worth the price. An excellent, affordable purchase.
",4.0 out of 5 stars
35,"
Replaced the broken one with a new one
","
When i first bought this guitar it was broken in the neck. Then my guitar was replaced with the new one. The new one was totally amazing. They replaced the new guitar within a couple of days. It was totally amazing. This guitar may sound little cheaper compared to other agoustic guitar compared to the price for 2500 it was the best guitar for beginners ✌🏻
",5.0 out of 5 stars
36,"
Great for beginners
","
The product arrived on time, no damaged, nicely packed in a huge cardboard box. But was kinda small when opened.Now what can you expect for such a Price.Great for beginners. !!Love Amazon, love the guitar :* :*
",4.0 out of 5 stars
