,reviews
0,I bought first class tix from Tampa to Providence RI (connect ia DCA).  Weather & mechanical probs on both flights (no prob- it happens).  However our connecting flight had no first class available (again no prob - lets just get there).  So i ask for a refund on the non first class portion of the flights.  First is $400 and economy is $200.  I get $58 back. No explanation no one to contact.  I'll avoid AA in future.
1,"We booked our vacation through Sandals, including airline tickets. Our flight was supposed to leave at 6am and we had an hour and a half for the connecting flight. Our flight was delayed and therefore we would miss our connection. The next flight was 18 hours later, not happy. So we did not get to spend our first night at the resort. On top of that our return flight was delayed 1 1/2 hours. I would rather walk than us American Airlines again"
2,"They were sending me to the wrong city. It was completely their mistake. However, since I didn't realize until my layover, they would do nothing to fix it. Tried to charge me $1000 for new tickets to fix their mistake. They said I should've caught their mistake and since I didn't, (at 5am), it was my fault. I will never fly American again. Also, no decent inflight services. Basically, they are always a disappointment. This time they outdid themselves with their extreme levels of incompetence, apathy, and uselessness."
3,"I paid over $200 for Main cabin plus because I am 6 months pregnant & incredibly uncomfortable.  For all four of my flights to and from Boston, I was told they gave my reserved seats away & that I would be reimbursed.After weeks of emails ( they have nobody to contact by phone), they told me sorry but seats aren’t guaranteed.The “upgrade” to Main cabin plus was a complete scam.  I was crammed in a middle seat in the back of the plane, while having to get up and bother my neighbors for frequent bathrooms breaks & leg movement.  On our flights from Boston to Maui there was no food given or available for purchase (both over 6 hour flights).  NO free entertainment or option to purchase wifi.Total Scam."
4,"I wish that it was possible to rate American Airlines Customer Service less than one star.   This past summer in Europe was the worst experience of my wife and myself flying anywhere in the world.   American Airlines Customer Service could not have been less interested in remediating our covid-caused flight changes.   The AA ""Customer Service"" seems to exist only to be able to tell customers that they are not going to do anything for the customer.   They must be trained in the fine art of saying ""No"" while repeating the mantra that they are ""Customer Service"" and really care about you as a customer."
5,"they cancelled our flight at 11.25pm 10 hours before our flight, already at Heathrow airport. 4 months on despite promises of compensation nothing has been received - they ruined my moms 70th Birthday and couldn't care less. I've had confirmation all forms received for compensation 2 weeks ago but still nothing, they don't care- not replied to messages and replied to some without actually reading the message. disgraceful....."
6,Me and wife are newlyweds. We're traveling on American to our destination when changed our seating arrangement.. we had assigned seats ridiculous.. had to ask to sit next to my wife.. crazy business totally unprofessional of a company.. Also had assigned seat coming back same thing terrible company unacceptable..
7,"Wish I could give zero stars. Bottom line:  AAL simply does not care about passengers. I am canceling all future AAL flights, canceling my American Advantage membership and writing a complete review to The US Department of Transportation. AAL needs to be sold to a competent airline operator or fined out of existence."
8,"American Airlines honestly was disappointing, to say the least. I previously put them in a higher tier than many other airlines, but they proved me wrong. My wife and I were delayed an hour during an already very long international flight from Fl to PA and then to Ireland. Because of the flight being delayed, we almost missed our international flight (we barely made it, we were the last ones on the plane), and to make it worse, the flight attendants said they couldn't even serve snacks or refreshments (we paid extra for alcoholic drinks). Then on the way home, we paid extra for all-day internet, and it did not work at all. To be fair, the stewards were very apologetic in these scenarios and very nice, but unfortunately, this does not make up the money we spent on extra conveniences which were not received. My wife tried calling the airline to see if they could offer some compensation for the money we spent, but not only was the customer service not helpful they said they needed us to write an email basically explaining the same information, which to me seemed very redundant and ultimately defeats the purpose of having customer service hotlines. Finally, they responded a few days later, basically stating that we got to sit on the seats we purchased and that essentially nothing is guaranteed, even if we paid to receive extra services."
9,"I booked a flight via their website, but they didn‘t accept my german VISA credit card. So I was passed on the german website of American Airlines, booked it there and received a booking confirmation. Then, at the airport check-in they said that my flight is not paid yet even though I saw the blocked charge in my credit card account. I offered to pay once again at the check-in, but was not possible they said and I had to book a whole new flight. Price was twice as much then!! What an effrontery! Be careful in case you don‘t book via the .com website of American Airlines! That‘s a rip off!"
