num_overall,num_within_season,title,airdate,ingredients,dish,winner,season,guest1,guest2,guest3,contestant1,contestant2,judge1,judge2,judge3
1,1,"""Grueneberg and Nunziata""","August 24, 2013",zucchini,chicken parm,Sarah Grueneberg,1,Alex Guarnaschelli,Jeff Mauro,,Alberico Nunziata,Sarah Grueneberg,Billy Grant,Marissa May,Lauren DeMaio
2,2,"""Welcome to New York!""","March 3, 2014",skirt steak,shrimp and grits,Bobby Flay,1,Sunny Anderson,Jonathan Waxman,,Jennifer Nguyen,Anthony Lamas,Cobi Levy,Kelsey Nixon,Roberto Treviño
3,3,"""Farmer and the Belle""","March 6, 2014",red prawn,chicken and waffles,Bobby Flay,1,Michael Symon,Simon Majumdar,,Matthew Raiford,Karen Akunowicz,Corby Kummer,Melba Wilson,Harold Dieterle
4,4,"""Old Dog, New Tricks""","March 13, 2014",cauliflower,meat tacos,Brian Tsao,1,Alex Guarnaschelli,Anne Burrell,,Adam Harvey,Brian Tsao,Michael Chernow,Daniel Holzman,Wylie Dufresne
5,5,"""Fighting Irish""","March 20, 2014",scallops,bangers & mash,Bobby Flay,1,Giada De Laurentiis,Mo Rocca,,Steven McHugh,Brian Young,Ed Levine,Madison Cowan,Nils Norén
6,6,"""Beauty and the Feast""","March 27, 2014",eggplant,burger,Bobby Flay,1,Eden Grinshpan,Justin Warner,,Rochelle Bilow,Paul Denamiel,George Mendes,Michele Ragussis,Hugh Mangum
7,7,"""Eat, Flay, Love""","April 3, 2014",brussels sprouts,mac & cheese,Bobby Flay,1,Alex Guarnaschelli,Jack McDavid,,Christopher Lee,Kimberly Van Kline,Todd Coleman,Marco Canora,Frank Prisinzano
8,8,"""Up in Smoke""","April 10, 2014",poblano chili pepper,crab cakes,Bobby Flay,1,Ali Wentworth,Michael Symon,,Shannon Barr,Kamal Rose,Ed McFarland,Alain Allegretti,Brian Duffy
9,9,"""Old School/New School""","April 17, 2014",pineapple,meatloaf,Bobby Flay,1,Katie Lee,Scott Conant,,Brooke Mallory,Andrew Evans,Joey Campenaro,Aliya LeeKong,Samus Mullen
10,1,"""They Must Be Giants""","July 31, 2014",lamb chops,linguine & clams,Bobby Flay,2,Geoffrey Zakarian,Scott Conant,,Andy Saint-Ange,Bruce Kalman,Donatella Arpaia,Ed McFarland,Leah Cohen
11,2,"""East vs West""","August 7, 2014",fresh squid,fried chicken sandwich,Neal Fraser,2,Giada De Laurentiis,Michael Symon,,Jason Santos,Neal Fraser,Drew Nieporent,Anita Lo,Harold Dieterle
12,3,"""Bring Home the Bacon""","August 14, 2014",broccoli,New England clam chowder,Bobby Flay,2,Sunny Anderson,Jet Tila,,Matthew Britt,Tyler Anderson,Wylie Dufresne,Emily Fleischaker,Charlie Palmer
13,4,"""Battle of Brooklyn""","August 21, 2014",arctic char,Korean short ribs,Bobby Flay,2,Anne Burrell,Chris Santos,,Jennifer Cole Ruiz,Jordin Andino,Jonathon Sawyer,Roberto Trevino,Andy Ricker
14,5,"""Out of the Pan/Into the Fire""","August 28, 2014",pork chops,falafel,Rina Younan,2,Daphne Oz,Alton Brown,,Carlos Serrano,Rina Younan,Michael Psilakis,Ivy Stark,Eugene Remm
15,6,"""Ladies First""","September 4, 2014",oysters,beef stroganoff,Bobby Flay,2,Katie Lee,Marc Murphy,,Esther Choi,Natasha Pogrebinsky,Michael Ferraro,Kristin Sollenne,Jeff Zalanick
16,7,"""Risky Business""","September 11, 2014",ricotta cheese,Cuban sandwich,Bobby Flay,2,Ted Allen,Alex Guarnaschelli,,Kyle Williams,Jeremiah Bullfrog,Michael Psilakis,Joey Campanaro,Joshua David Stein
17,8,"""Smile Now, Cry Later""","September 18, 2014",sweet potato,bouillabaise,Bobby Flay,2,Judah Friedlander,Michael Symon,,Billy Olivia,Jason Fullilove,Leah Cohen,George Mendes,Dominique Crenn
18,9,"""Ruling with an Iron Fist""","September 25, 2014",beets,wienerschnitzel,Tim Wiechmann,2,Simon Majumdar,Donatella Arpaia,,Stephan Durand,Tim Wiechmann,April Bloomfield,Scott Gerber,Maureen Petrosky
19,10,"""Against All Odds""","October 2, 2014",corn,French toast,Bobby Flay,2,Alton Brown,Anne Burrell,,Florian Wehrli,Heather West,Terrance Brennan,Maureen Petrosky,Glenn Harris
20,11,"""Sun Up to Show Down""","October 9, 2014",wild king salmon,eggplant Parmesan,Bobby Flay,2,Sunny Anderson,Katie Lee,,Anna Maria Santorelli,Mychael Bonner,Harold Moore,Tracy Weiss,Ryan Scott
21,12,"""Only in New York""","October 16, 2014",fresh atlantic cod,chicken curry,Palak Patel,2,Alex Guarnaschelli,Michael Symon,,Daniel Holzman,Palak Patel,Hugh Mangum,Todd Coleman,Andrew Carmellini
22,13,"""Orange is the New Beat""","October 23, 2014",pumpkin puree,pasta Bolognese,Bobby Flay,2,Geoffrey Zakarian,Jeff Mauro,,James Gillespie,Rob Mafucci,Frank Prisinzano,Candice Kuman,Lauren Hirschberg
23,1,"""An International Affair""","October 30, 2014",egg,ravioli,Bobby Flay,3,Amanda Freitag,Ted Allen,,Patrick D'Andrea,Rob Feenie,Mark Birnbaum,Franklin Becker,Andrew Friedman
24,2,"""Surf and Turf""","November 6, 2014",green peas,fish sandwich,Bobby Flay,3,Alex Guarnaschelli,Anne Burrell,,Jake Gandolfo,Rafael Lunetta,Ed Brown,Ken Oringer,Suvir Saran
25,3,"""Gobbled Up""","November 13, 2014",cranberries,duck a l'orange,Bobby Flay,3,Geoffrey Zakarian,Chrissy Teigen,,Julietta Ballesteros,Kat Ploszaj,Seamus Mullen,Shaun Hergatt,David Leite
26,4,"""Shaken Not Stirred""","November 20, 2014",chorizo,gnocchi,Kristine Kittrell,3,Giada De Laurentiis,Michael Symon,,Giulio Adriani,Kristine Kittrell,Frank Prisinzano,Tricia Williams,Brian Duffy
27,5,"""By Land or by Sea""","December 4, 2014",marcona almonds,fish and chips,Bobby Flay,3,Brooke Burke-Charvet,Alton Brown,,Alex Diaz,Jeremy Hanlon,Seamus Mullen,Lourdes Castro,Madison Cowan
28,6,"""Bells will be Ringing""","December 11, 2014",pears,cornish game hen,Bobby Flay,3,Anne Burrell,Scott Conant,,Mark Allen,Blythe Beck,Aliya Leekong,Greg Bresnitz,Darin Bresnitz
