Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Moonwok,99zed,TALEZ FROM THA STANK,1980,133754,4,0.776,0.609,1,-4.674,1,0.145,0.181,0.000394,0.187,0.218,155.914,60
NUISANCE,99zed,NUISANCE,1980,124458,4,0.733,0.582,8,-4.45,1,0.233,0.0000318,0,0.185,0.729,81.017,50
Antmusic - Remastered,Adam & The Ants,Kings of the Wild Frontier (Deluxe Edition),1980,216960,4,0.695,0.806,2,-4.119,1,0.142,0.101,0.00012,0.37,0.635,81.151,44
Cleopatra,Adam & The Ants,Dirk Wears White Sox (Remastered), 1983,195160,4,0.6,0.787,9,-6.841,1,0.0266,0.17,0.000825,0.164,0.679,93.064,14
Dog Eat Dog - Remastered,Adam & The Ants,Kings of the Wild Frontier (Deluxe Edition),1980,190186,4,0.624,0.854,0,-4.833,1,0.0421,0.013,0.000616,0.331,0.751,103.892,37
Kings of the Wild Frontier - Remastered,Adam & The Ants,Kings of the Wild Frontier (Deluxe Edition),1980,235213,4,0.51,0.825,10,-6.865,0,0.122,0.00272,0.143,0.203,0.756,167.626,39
Prince Charming,Adam & The Ants,Prince Charming (Remastered), 1981,198186,4,0.544,0.667,9,-9.526,1,0.0398,0.179,0.00000394,0.142,0.665,149.944,45
Stand and Deliver,Adam & The Ants,Prince Charming (Remastered), 1981,215626,4,0.549,0.857,9,-10.156,1,0.0659,0.00542,0.0000805,0.393,0.63,141.688,44
Zerøx,Adam & The Ants,Dirk Wears White Sox (Remastered), 1979,226906,4,0.305,0.957,9,-5.212,1,0.046,0.0606,0.0432,0.246,0.414,150.438,26
Apollo 9,Adam Ant,Vive Le Rock, 1984,202866,4,0.58,0.942,0,-5.466,1,0.093,0.122,0,0.937,0.798,118.116,28
Puss 'n Boots,Adam Ant,Strip, 1984,232000,4,0.619,0.959,7,-5.647,1,0.0489,0.0365,0,0.376,0.571,106.3,26
American Lockdown,Adolescents,Live At The House Of Blues, 1981,191773,4,0.463,0.994,4,-1.389,0,0.113,0.00576,0.398,0.729,0.226,98.822,10
Amoeba,Adolescents,Adolescents, 1981,186626,4,0.231,0.962,4,-7.341,1,0.0753,0.0000797,0.00175,0.803,0.534,189.29,53
Kids of the Black Hole,Adolescents,Adolescents, 1981,327066,4,0.441,0.977,2,-7.529,1,0.0748,0.00032,0.00000727,0.0827,0.352,93.032,40
No Friends,Adolescents,Adolescents, 1981,151840,4,0.496,0.972,9,-7.17,1,0.071,0.00104,0,0.168,0.525,86.975,22
Bloodstains - Original Version,Agent Orange,Living In Darkness (30th Anniversary Edition), 1981,113240,4,0.494,0.923,10,-7.69,0,0.182,0.0962,0,0.128,0.577,176.216,53
Miserlou,Agent Orange,Living In Darkness (30th Anniversary Edition), 1981,127066,4,0.152,0.991,4,-9.184,1,0.0866,0.0353,0.781,0.132,0.421,185.099,41
England - Demo,Angelic Upstarts,"2,000,000 Voices", 1981,204906,3,0.322,0.422,7,-12.69,1,0.0336,0.147,0,0.293,0.468,178.102,3
I´m an Upstart,Angelic Upstarts,Anthems Against Scum, 1981,150752,4,0.325,0.823,2,-4.347,1,0.0567,0.107,0.0000156,0.888,0.586,95.014,27
Kids on the Street,Angelic Upstarts,"2,000,000 Voices", 1981,142200,4,0.393,0.824,2,-7.654,1,0.0598,0.00225,0.0000205,0.111,0.541,175.872,17
Last Night Another Soldier,Angelic Upstarts,"2,000,000 Voices", 1981,165826,4,0.282,0.867,4,-9.935,1,0.113,0.561,0,0.285,0.228,189.443,25
Leave Me Alone,Angelic Upstarts,Teenage Warning, 1981,135813,4,0.422,0.93,8,-5.711,1,0.0577,0.000115,0,0.169,0.701,107.867,13
Liddle Towers,Angelic Upstarts,Teenage Warning, 1981,281173,4,0.336,0.875,1,-6.289,1,0.0912,0.0783,0.000874,0.0934,0.0683,116.829,13
Never 'Ad Nothin',Angelic Upstarts,We Gotta Get Out of This Place, 1981,164946,4,0.496,0.836,0,-4.511,1,0.0373,0.0757,0,0.0496,0.511,96.492,15
Police Oppression,Angelic Upstarts,The Murder of Liddle Towers, 1981,211333,4,0.453,0.86,8,-6.256,1,0.0503,0.0689,0.00000101,0.228,0.866,93.398,17
Solidarity,Angelic Upstarts,Reason Why?, 1981,306506,4,0.475,0.707,9,-11.236,0,0.0769,0.00914,0.00000961,0.0511,0.445,128.03,32
Teenage Warning,Angelic Upstarts,Teenage Warning, 1980,182360,4,0.19,0.963,11,-4.493,0,0.147,0.00581,0,0.114,0.296,174.412,19
Ballad of Jerry Curlan,Angry Samoans,Back from Samoa, 1982,188360,4,0.315,0.707,7,-11.089,1,0.0413,0.000251,0.00799,0.212,0.532,96.185,16
Inside My Brain,Angry Samoans,Inside My Brain, 1982,96133,4,0.491,0.838,11,-9.956,1,0.252,0.16,0,0.0588,0.413,102.47,22
Lights Out,Angry Samoans,Back from Samoa, 1982,52266,4,0.497,0.977,0,-10.469,1,0.13,0.0000429,0.487,0.234,0.2,130.787,37
My Old Man's a Fatso,Angry Samoans,Back from Samoa, 1982,92000,4,0.372,0.858,11,-10.377,0,0.0866,0.000078,0.00000792,0.042,0.648,121.143,27
Right Side of My Mind,Angry Samoans,Inside My Brain, 1982,129893,4,0.396,0.832,6,-9.893,0,0.0518,0.0358,0.0000589,0.104,0.48,101.511,24
They Saved Hitler's Cock,Angry Samoans,Back from Samoa, 1982,100173,4,0.419,0.918,1,-8.205,0,0.256,0.00166,0.0282,0.304,0.777,132.758,28
Todd Killings,Angry Samoans,Back from Samoa, 1982,38666,4,0.42,0.819,0,-11,1,0.0848,0.0000597,0.182,0.326,0.532,160.326,18
You Stupid Asshole,Angry Samoans,Inside My Brain, 1982,129333,4,0.462,0.66,2,-11.051,1,0.0892,0.235,0.00332,0.377,0.821,78.622,22
A New Kind of Army,Anti-Flag,A New Kind of Army, 1999,221910,4,0.295,0.977,4,-3.112,1,0.0788,0.0324,0.000628,0.207,0.628,181.354,33
American Attraction,Anti-Flag,American Fall, 2006,176373,4,0.596,0.906,0,-3.878,1,0.0515,0.000101,0,0.111,0.652,119.972,46
Broken Bones,Anti-Flag,The General Strike, 2006,181440,4,0.32,0.979,4,-3.52,1,0.0966,0.000225,0.00000982,0.214,0.434,105.425,54
Die for the Government,Anti-Flag,Die for the Government, 1996,219773,4,0.53,0.67,9,-7.532,1,0.236,0.0167,0.00106,0.19,0.759,159.093,41
One Trillion Dollars - Live Acoustic At 11th Street Records,Anti-Flag,Live Acoustic At 11th Street Records, 2006,201353,4,0.525,0.609,11,-6.232,1,0.0555,0.756,0,0.273,0.535,93.659,11
Tearing Everyone Down,Anti-Flag,A New Kind of Army, 2006,175673,4,0.484,0.988,1,-3.227,0,0.0467,0.0295,0.000012,0.221,0.564,109.456,38
The Bright Lights Of America,Anti-Flag,The Bright Lights Of America, 2008,212000,4,0.306,0.94,1,-3.367,1,0.0584,0.000386,0.297,0.227,0.664,188.245,17
The Press Corpse,Anti-Flag,For Blood And Empire, 2005,200440,4,0.315,0.967,10,-3.251,0,0.146,0.000863,0.00418,0.205,0.765,186.335,48
This Is the End (For You My Friend),Anti-Flag,For Blood And Empire, 1999,192066,4,0.546,0.875,1,-3.631,1,0.0445,0.0205,0,0.0669,0.765,101.693,50
Animal,Anti-Nowhere League,We Are... The League, 1981,163066,4,0.156,0.913,4,-9.601,1,0.0493,0.0235,0.00297,0.328,0.529,181.824,25
I Hate... People,Anti-Nowhere League,We Are... The League, 1981,144800,4,0.377,0.865,4,-11.33,1,0.0435,0.373,0.215,0.355,0.709,178.802,28
Johnny Too Bad,Anti-Nowhere League,League Style, 1981,188352,4,0.393,0.937,8,-5.142,1,0.0576,0.0269,0.000239,0.117,0.95,176.072,11
So What,Anti-Nowhere League,We Are the League...Uncut, 1981,183106,4,0.472,0.903,2,-6.703,1,0.0515,0.000604,0.000696,0.388,0.582,99.972,34
Streets Of London,Anti-Nowhere League,We Are... The League, 1981,198026,4,0.277,0.778,9,-11,1,0.0371,0.094,0.00000301,0.069,0.64,173.966,27
At the Movies,Bad Brains,Rock for Light, 1986,136333,4,0.257,0.982,8,-9.214,1,0.134,0.00058,0.901,0.361,0.202,122.643,28
Banned in D.C.,Bad Brains,Bad Brains, 1982,132786,4,0.0936,0.719,9,-12.042,0,0.0397,0.000692,0.815,0.096,0.633,77.999,51
Big Takeover - Live,Bad Brains,"The Youth Are Getting Restless (Live at the Paradiso, Amsterdam 1987)", 1982,206640,4,0.304,0.982,4,-9.012,1,0.0974,0.000106,0.753,0.943,0.0999,112.755,7
How Low Can A Punk Get?,Bad Brains,Black Dots, 1983,159880,4,0.394,0.972,8,-2.955,0,0.13,0.0011,0.338,0.0649,0.338,142.445,36
I Against I,Bad Brains,I Against I, 1986,170693,4,0.344,0.939,5,-11.49,1,0.0598,0.0159,0.00268,0.257,0.439,111.902,43
Jah Calling,Bad Brains,Bad Brains, 1986,151586,4,0.81,0.166,7,-20.415,1,0.141,0.347,0.0792,0.097,0.349,119.563,35
Pay to Cum,Bad Brains,Bad Brains, 1982,85640,4,0.126,0.914,9,-12.613,1,0.116,0.0017,0.0216,0.291,0.369,160.639,39
Sailin' On,Bad Brains,Bad Brains, 1982,115040,4,0.139,0.795,0,-12.428,1,0.0581,0.00251,0.0000472,0.614,0.0754,82.083,47
21st Century (Digital Boy),Bad Religion,Against The Grain, 1988,169013,4,0.447,0.979,5,-3.742,1,0.0565,0.0000671,0,0.316,0.633,133.685,55
American Jesus,Bad Religion,Recipe For Hate, 1993,197666,4,0.404,0.985,0,-4.173,1,0.0491,0.00238,0,0.192,0.697,181.406,59
I Want to Conquer the World,Bad Religion,No Control, 1989,137840,4,0.331,0.99,9,-3.27,1,0.146,0.0037,0,0.118,0.527,155.687,52
Infected,Bad Religion,Stranger Than Fiction, 1990,247600,4,0.49,0.845,9,-8.746,0,0.0344,0.00714,0.0000103,0.0937,0.655,121.575,52
Los Angeles Is Burning,Bad Religion,The Empire Strikes First, 2004,203733,4,0.417,0.963,0,-3.302,1,0.0403,0.000305,0.000131,0.148,0.644,163.148,52
No Control,Bad Religion,No Control, 1989,106693,4,0.459,0.966,11,-3.678,0,0.0924,0.0207,0,0.215,0.729,147.624,50
Punk Rock Song,Bad Religion,The Gray Race, 1990,147173,4,0.318,0.984,1,-4.673,0,0.0806,0.000215,0.000244,0.386,0.716,177.229,54
Sorrow,Bad Religion,The Process Of Belief, 2001,201293,4,0.514,0.911,7,-4.595,1,0.0528,0.00191,0.00000478,0.0736,0.848,139.971,52
Stranger Than Fiction,Bad Religion,Stranger Than Fiction, 1994,140306,4,0.349,0.972,11,-7.298,1,0.0469,0.0726,0.0000726,0.336,0.791,165.604,42
You,Bad Religion,"Punk-O-Rama, Vol. 3", 1996,124306,4,0.301,0.994,0,-5.758,1,0.0706,0.00019,0,0.214,0.385,155.634,16
Brass Monkey,Beastie Boys,Licensed To Ill, 1986,157440,4,0.914,0.586,6,-8.435,0,0.33,0.00203,0.00000158,0.0992,0.655,116.371,66
