Country,Capital,Latitude,Longitude
Canada,Ottawa,45.27N,75.42W
Costa Rica,San Jose,09.55N,84.02W
Cambodia,Phnom Penh,11.33N,104.55E
Faroe Islands,Torshavn,62.05N,06.56W
Belize,Belmopan,17.18N,88.30W
"Moldova, Republic of",Chisinau,47.02N,28.50E
Armenia,Yerevan,40.10N,44.31E
Bosnia and Herzegovina,Sarajevo,43.52N,18.26E
Samoa,Apia,13.50S,171.50W
Turkmenistan,Ashgabat,38.00N,57.50E
Heard Island and McDonald Islands,,53.00S,74.00E
Papua New Guinea,Port Moresby,09.24S,147.08E
Latvia,Riga,56.53N,24.08E
Libyan Arab Jamahiriya,Tripoli,32.49N,13.07E
Dominica Republic,Santo Domingo,18.30N,69.59W
Republic of Korea,Seoul,37.31N,126.58E
Poland,Warsaw,52.13N,21.00E
South Africa,Pretoria (administrative) / Cape Town (legislative) / Bloemfontein (judicial),25.44S,28.12E
Zimbabwe,Harare,17.43S,31.02E
Norway,Oslo,59.55N,10.45E
Mayotte,Mamoudzou,12.48S,45.14E
Paraguay,Asuncion,25.10S,57.30W
Nigeria,Abuja,09.05N,07.32E
Vanuatu,Port-Vila,17.45S,168.18E
Colombia,Bogota,04.34N,74.00W
Nicaragua,Managua,12.06N,86.20W
Nepal,Kathmandu,27.45N,85.20E
Djibouti,Djibouti,11.08N,42.20E
Venezuela,Caracas,10.30N,66.55W
Fiji,Suva,18.06S,178.30E
Switzerland,Bern,46.57N,07.28E
Guinea,Conakry,09.29N,13.49W
Peru,Lima,12.00S,77.00W
Israel,Jerusalem,31.71N,35.10W
Lesotho,Maseru,29.18S,27.30E
Cote d'Ivoire,Yamoussoukro,06.49N,05.17W
United States of America,Washington DC,39.91N,77.02W
Bulgaria,Sofia,42.45N,23.20E
Mexico,Mexico,19.20N,99.10W
Senegal,Dakar,14.34N,17.29W
Kyrgyzstan,Bishkek,42.54N,74.46E
Somalia,Mogadishu,02.02N,45.25E
Guadeloupe,Basse-Terre,16.00N,61.44W
Burkina Faso,Ouagadougou,12.15N,01.30W
Luxembourg,Luxembourg,49.37N,06.09E
Algeria,Algiers,36.42N,03.08E
Estonia,Tallinn,59.22N,24.48E
Democratic Republic of the Congo,Kinshasa,04.20S,15.15E
Cuba,Havana,23.08N,82.22W
Tonga,Nuku'alofa,21.10S,174.00W
Panama,Panama,09.00N,79.25W
Netherlands Antilles,Willemstad,12.05N,69.00W
Albania,Tirane,41.18N,19.49E
Togo,Lome,06.09N,01.20E
San Marino,San Marino,43.55N,12.30E
Andorra,Andorra la Vella,42.31N,01.32E
Haiti,Port-au-Prince,18.40N,72.20W
Benin,Porto Novo (constitutional) / Cotonou (seat of government),06.23N,02.42E
Australia,Canberra,35.15S,149.08E
Croatia,Zagreb,45.50N,15.58E
Tajikistan,Dushanbe,38.33N,68.48E
Mozambique,Maputo,25.58S,32.32E
Saint Vincent and the Greenadines,Kingstown,13.10N,61.10W
Iceland,Reykjavik,64.10N,21.57W
Puerto Rico,San Juan,18.28N,66.07W
Chile,Santiago,33.24S,70.40W
Angola,Luanda,08.50S,13.15E
Chad,N'Djamena,12.10N,14.59E
Turkey,Ankara,39.57N,32.54E
Afghanistan,Kabul,34.28N,69.11E
Bhutan,Thimphu,27.31N,89.45E
Myanmar,Yangon,16.45N,96.20E
Slovenia,Ljubljana,46.04N,14.33E
Oman,Masqat,23.37N,58.36E
Tuvalu,Funafuti,08.31S,179.13E
Sao Tome and Principe,Sao Tome,00.10N,06.39E
Cape Verde,Praia,15.02N,23.34W
Uzbekistan,Tashkent,41.20N,69.10E
Denmark,Copenhagen,55.41N,12.34E
Cayman Islands,George Town,19.20N,81.24W
French Guiana,Cayenne,05.05N,52.18W
Viet Nam,Hanoi,21.05N,105.55E
Northern Mariana Islands,Saipan,15.12N,145.45E
Belarus,Minsk,53.52N,27.30E
Honduras,Tegucigalpa,14.05N,87.14W
"Macao, China",Macau,22.12N,113.33E
Iran (Islamic Republic of),Tehran,35.44N,51.30E
Micronesia (Federated States of),Palikir,06.55N,158.09E
Argentina,Buenos Aires,36.30S,60.00W
Syrian Arab Republic,Damascus,33.30N,36.18E
Suriname,Paramaribo,05.50N,55.10W
Uganda,Kampala,00.20N,32.30E
Barbados,Bridgetown,13.05N,59.30W
Eritrea,Asmara,15.19N,38.55E
New Zealand,Wellington,41.19S,174.46E
United Republic of Tanzania,Dodoma,06.08S,35.45E
Jamaica,Kingston,18.00N,76.50W
Rawanda,Kigali,01.59S,30.04E
Kuwait,Kuwait,29.30N,48.00E
Azerbaijan,Baku,40.29N,49.56E
