Country_Region,Population_Size,Tourism,Date_FirstFatality,Date_FirstConfirmedCase,Latitude,Longtitude,Mean_Age,Lockdown_Date,Lockdown_Type,Country_Code
China,1392730000,62900000,2020-01-23,2020-01-22,35.86166,104.195397,37.0,2020-01-23,Full,CHN
Antigua and Barbuda,96286,269000,2020-04-08,2020-03-14,17.060816,-61.79642800000001,30.7,,,ATG
Rwanda,12301939,14000,,2020-03-15,-1.940278,29.873888,19.4,2020-03-16,Full,RWA
Lithuania,2801543,2825000,2020-03-22,2020-02-29,55.169438,23.881275,42.7,2020-03-16,Full,LTU
Turkey,82319724,45768000,2020-03-18,2020-03-12,38.963745,35.243322,29.9,2020-03-23,Full,TUR
Bahrain,1569439,12045000,2020-03-17,2020-02-25,25.93041400000001,50.637772,31.2,2020-02-25,Full,BHR
Botswana,2254126,14000,2020-04-01,2020-03-31,-22.328474,24.684866,24.4,2020-04-02,Partial,BWA
Iceland,352721,2343800,2020-03-17,2020-02-29,64.96305100000001,-19.020835,36.0,2020-03-16,Full,ISL
Vietnam,95540395,15498000,,2020-01-24,14.058324,108.277199,37.0,2020-03-19,Full,VNM
Lebanon,6848925,1964000,2020-03-11,2020-02-22,33.854721000000005,35.862285,28.5,2020-03-16,Full,LBN
Angola,30809762,218000,2020-03-30,2020-03-21,-11.202692,17.873887,16.4,,,AGO
Iraq,38433600,14000,2020-03-05,2020-02-25,33.223191,43.679291,19.4,2020-03-22,Full,IRQ
Uzbekistan,32955400,5346000,2020-03-28,2020-03-16,41.377491,64.585262,26.3,2020-03-20,Partial,UZB
Singapore,5638676,14673000,2020-03-22,2020-01-24,1.352083,103.819836,40.0,2020-03-26,Partial,SGP
Argentina,44494502,6942000,2020-03-09,2020-03-04,-38.416097,-63.616672,30.8,2020-03-20,Full,ARG
San Marino,33785,84000,2020-03-04,2020-02-28,43.94236,12.457777,37.0,2020-03-09,Full,SMR
Japan,126529100,31192000,2020-02-14,2020-01-23,36.204824,138.252924,46.3,2020-02-27,Full,JPN
Guinea-Bissau,1874309,14000,2020-04-27,2020-03-26,11.803749,-15.180413,18.9,,,GNB
El Salvador,6420744,1677300,2020-04-01,2020-03-20,13.794185,-88.89653,25.8,2020-03-12,Full,SLV
Zimbabwe,14439018,2580000,2020-03-24,2020-03-21,-19.015438,29.154857,19.0,2020-03-30,Full,ZWE
Norway,5311916,5688000,2020-03-15,2020-02-27,60.472024,8.468946,39.2,2020-03-12,Full,NOR
Cabo Verde,543767,710000,2020-03-25,2020-03-21,16.5388,-23.0418,23.8,,,CPV
MS Zaandam,712,14000,2020-04-02,2020-03-29,-100.0,-100.0,37.0,,,NAN
Ecuador,17084357,2535000,2020-03-15,2020-03-02,-1.831239,-78.183406,26.6,2020-03-24,Partial,ECU
Barbados,286641,680000,2020-04-06,2020-03-18,13.193887,-59.543198,38.5,2020-03-28,Full,BRB
Dominican Republic,10627165,6569000,2020-03-18,2020-03-02,18.735693,-70.162651,26.1,2020-03-17,Full,DOM
Finland,5515525,3224000,2020-03-22,2020-01-30,61.92411,25.748151,42.5,2020-03-27,Full,FIN
Uganda,42723139,14000,,2020-03-22,1.373333,32.290275,15.8,2020-03-18,Full,UGA
Mali,19077690,14000,2020-03-30,2020-03-26,17.570692,-3.996166000000001,16.0,2020-03-18,Full,MLI
Eritrea,3214000,14000,,2020-03-22,15.179384,39.78233400000001,18.9,2020-04-02,Partial,ERI
Liberia,4818977,14000,2020-04-05,2020-03-17,6.4280550000000005,-9.429499,18.6,2020-03-23,Partial,LBR
Sweden,10175214,7440000,2020-03-12,2020-02-01,60.128161,18.643501,40.9,,,SWE
Andorra,77006,3042000,2020-03-23,2020-03-03,42.546245,1.601554,37.0,2020-03-16,Full,AND
US,326687501,79745920,2020-03-10,2020-03-10,37.09024,-95.712891,37.6,2020-03-23,Partial,USA
Suriname,575991,14000,2020-04-04,2020-03-15,3.919305000000001,-56.02778299999999,28.4,,,SUR
Sierra Leone,7650154,57000,2020-04-24,2020-04-01,8.460555000000001,-11.779889,18.3,2020-05-05,Full,SLE
Austria,8840521,30816000,2020-03-13,2020-02-26,47.516231,14.550072,43.2,2020-03-16,Full,AUT
Bangladesh,161356039,14000,2020-03-19,2020-03-09,23.684994,90.356331,25.6,2020-03-19,Full,BGD
Poland,37974750,19622000,2020-03-13,2020-03-05,51.919438,19.145136,39.7,2020-03-12,Full,POL
Sri Lanka,21670000,2334000,2020-03-29,2020-01-28,7.873054,80.77179699999998,32.3,2020-03-21,Full,LKA
Belgium,11433256,9119000,2020-03-12,2020-02-05,50.503887,4.469936,41.3,2020-03-17,Full,BEL
Saint Lucia,181889,14000,,2020-03-15,13.909444,-60.97889300000001,32.6,2020-03-20,Full,LCA
Monaco,38682,347000,2020-03-30,2020-03-01,43.750298,7.412841,37.0,2020-03-17,Full,MCO
Philippines,106651922,7168000,2020-02-03,2020-01-31,12.879721,121.774017,24.1,2020-03-16,Partial,PHL
Syria,16906283,14000,2020-03-30,2020-03-23,34.802075,38.99681500000001,37.0,,,SYR
Afghanistan,37172386,14000,2020-03-23,2020-02-25,33.93911,67.709953,17.3,2020-03-24,Full,AFG
Indonesia,267663435,15810000,2020-03-12,2020-03-03,-0.789275,113.921327,28.0,2020-04-10,Partial,IDN
Qatar,2781677,1819300,2020-03-29,2020-03-01,25.354826,51.183884,31.3,2020-03-11,Full,QAT
Bahamas,385640,14000,2020-04-02,2020-03-17,25.03428,-77.39628,32.5,2020-04-17,Full,BHS
Cyprus,1189265,3939000,2020-03-23,2020-03-10,35.126413,33.429859,34.9,2020-03-25,Full,CYP
Fiji,883483,870000,,2020-03-20,-16.578193,179.414413,27.6,2020-03-20,Partial,FJI
Jamaica,2934855,2473000,2020-03-20,2020-03-12,18.109581,-77.297508,29.4,2020-03-12,Full,JAM
Timor-Leste,1267972,75000,,2020-03-23,-8.874217,125.727539,17.4,2020-03-28,Full,TLS
Trinidad and Tobago,1389858,375000,2020-03-26,2020-03-15,10.691803,-61.222503,33.9,2020-03-13,Full,TTO
Peru,31989256,4419000,2020-03-21,2020-03-07,-9.189967,-75.015152,27.5,2020-03-10,Full,PER
Denmark,5793636,12749000,2020-03-15,2020-02-28,56.26392,9.501785,41.6,2020-03-11,Full,DNK
Venezuela,28870000,14000,2020-03-28,2020-03-15,6.42375,-66.58973,37.0,2020-03-16,Full,VEN
Romania,19466145,11720000,2020-03-23,2020-02-27,45.943161,24.96676,41.3,2020-03-25,Full,ROU
Laos,7062000,14000,,2020-03-25,19.85627,102.495496,37.0,2020-03-29,Full,LAO
Western Sahara,500000,14000,,2020-04-06,24.215527,-12.885834,26.8,2020-03-20,Full,ESH
Tunisia,11565204,8299000,2020-03-20,2020-03-05,33.886917,9.537499,31.1,2020-03-20,Full,TUN
Namibia,2448255,14000,,2020-03-15,-22.95764,18.49041,21.0,2020-03-14,Full,NAM
Central African Republic,4666377,14000,,2020-03-16,6.611111,20.939444,17.8,,,CAF
"Korea, South",51606633,15347000,2020-02-21,2020-01-23,35.9078,127.7669,37.0,,,KOR
Burundi,11175378,14000,2020-04-14,2020-04-01,-3.373056,29.918886,17.6,,,BDI
Spain,46796540,82773000,2020-03-04,2020-02-02,40.463667,-3.74922,43.2,2020-03-14,Full,ESP
Estonia,1321977,3234000,2020-03-26,2020-02-28,58.595272,25.013607,41.6,2020-03-13,Full,EST
Thailand,69428524,38178000,2020-03-02,2020-01-23,15.870032,100.992541,37.8,2020-03-22,Partial,THA
Equatorial Guinea,1308974,14000,2020-04-23,2020-03-16,1.6508009999999995,10.267895,22.2,2020-03-22,Full,GNQ
Portugal,10283822,16186000,2020-03-18,2020-03-03,39.399872,-8.224454,43.9,2020-03-18,Full,PRT
Cameroon,25216237,14000,2020-03-26,2020-03-07,7.369722,12.354722,18.3,,,CMR
