Country,Total in km2,Land in km2,Water in km2,Water %,HDI,%HDI Growth,IMF Forecast GDP(Nominal),World Bank Forecast GDP(Nominal),UN Forecast GDP(Nominal),IMF Forecast GDP(PPP),World Bank Forecast GDP(PPP),CIA Forecast GDP(PPP),Internet Users,UN Continental Region,UN Statistical Subregion,Population 2022,Population 2023,Population %Change
San Marino,61.0,61.0,61.0,0.0,0.853,,1998.0,,2021.0,2872.0,2022.0,2060.0,20100.0,Europe,Southern Europe,33661.0,33642.0,-0.06
Russia,17098246.0,16378410.0,16378410.0,4.2,0.822,0.29,1862470.0,2240422.0,1778782.0,5056479.0,5326855.0,3875690.0,129800000.0,Europe,Eastern Europe,144713314.0,144444359.0,-0.19
Egypt,1002000.0,995450.0,995450.0,0.6,0.731,0.73,398397.0,476748.0,425906.0,1809425.0,1674951.0,1223040.0,80750000.0,Africa,Northern Africa,110990103.0,112716599.0,1.56
Guatemala,108889.0,107159.0,107159.0,1.6,0.627,0.33,102765.0,95003.0,85986.0,201365.0,167149.0,141500.0,11750000.0,Americas,Central America,17843908.0,18092026.0,1.39
Andorra,468.0,468.0,468.0,0.0,0.858,0.11,3692.0,3352.0,3325.0,5711.0,,2015.0,76095.0,Europe,Southern Europe,79824.0,80088.0,0.33
Philippines,300000.0,298170.0,298170.0,0.61,0.699,0.33,435675.0,404284.0,394086.0,1278624.0,1170982.0,871560.0,73003313.0,Asia,South-eastern Asia,115559009.0,117337368.0,1.54
Montenegro,13888.0,13452.0,13452.0,2.6,0.832,0.27,7058.0,6096.0,5809.0,17431.0,14137.0,11360.0,505055.0,Europe,Southern Europe,627083.0,626485.0,-0.1
Latvia,64594.0,62249.0,62249.0,3.6,0.863,0.42,46668.0,41154.0,39854.0,76550.0,64910.0,56920.0,1585471.0,Europe,Northern Europe,1850651.0,1830212.0,-1.1
Estonia,45339.0,42388.0,42388.0,6.3,0.89,0.3,41799.0,38101.0,37191.0,60997.0,56083.0,47440.0,1211112.0,Europe,Northern Europe,1326062.0,1322766.0,-0.25
Peru,1285216.0,1279996.0,1279996.0,0.4,0.762,0.45,264636.0,242632.0,223252.0,548465.0,512362.0,371290.0,15674241.0,Americas,South America,34049589.0,34352719.0,0.89
United Kingdom,242495.0,241930.0,241930.0,0.7,0.929,0.17,3332059.0,3070668.0,3131378.0,3871790.0,3656809.0,2797980.0,65001016.0,Europe,Northern Europe,67508936.0,67736802.0,0.34
Malta,315.0,316.0,316.0,0.0,0.918,0.58,20311.0,17765.0,17721.0,33303.0,24662.0,20600.0,344970.0,Europe,Southern Europe,533286.0,535065.0,0.33
United Arab Emirates,71024.0,83600.0,83600.0,0.0,0.911,0.8,509179.0,507535.0,405468.0,895166.0,828263.0,655790.0,8913217.0,Asia,Western Asia,9441129.0,9516871.0,0.8
Samoa,2842.0,2821.0,2821.0,0.4,0.707,0.08,939.0,832.0,857.0,1325.0,1285.0,1250.0,66023.0,Oceania,Polynesia,222382.0,225681.0,1.48
Barbados,431.0,431.0,431.0,0.0,0.79,0.02,6220.0,5638.0,4844.0,5436.0,4263.0,3700.0,233604.0,Americas,Caribbean,281635.0,281996.0,0.13
Slovakia,49035.0,48105.0,48105.0,1.9,0.848,0.09,133044.0,115469.0,116527.0,229584.0,179815.0,165570.0,4446926.0,Europe,Eastern Europe,5643453.0,5795199.0,2.69
Seychelles,457.0,455.0,455.0,0.0,0.785,0.1,2085.0,1588.0,1287.0,4175.0,2960.0,2400.0,55677.0,Africa,Eastern Africa,107119.0,107660.0,0.51
Chad,1284000.0,1259200.0,1259200.0,1.9,0.394,0.77,12596.0,12704.0,16410.0,32375.0,26904.0,24970.0,968500.0,Africa,Middle Africa,17723315.0,18278568.0,3.13
Mongolia,1564116.0,1553556.0,1553556.0,0.7,0.739,0.48,18782.0,16811.0,15098.0,52989.0,42824.0,37600.0,729236.0,Asia,Eastern Asia,3398366.0,3447157.0,1.44
Guinea-Bissau,36125.0,28120.0,28120.0,22.2,0.483,0.79,1991.0,1634.0,1563.0,5981.0,4146.0,3640.0,73148.0,Africa,Western Africa,2105566.0,2150842.0,2.15
Micronesia,702.0,702.0,702.0,0.0,0.628,0.04,458.0,427.0,404.0,413.0,412.03,390.0,37257.0,Oceania,Micronesia,114164.0,115224.0,0.93
Turkey,783562.0,769632.0,769632.0,1.8,0.838,1.03,1154600.0,905988.0,819034.0,3613540.0,3180984.0,2393960.0,74278491.0,Asia,Western Asia,85341241.0,85816199.0,0.56
Tuvalu,26.0,26.0,26.0,0.0,0.641,0.36,63.0,60.0,60.0,63.0,61.0,50.0,5520.0,Oceania,Polynesia,11312.0,11396.0,0.74
Iraq,438317.0,437367.0,437367.0,0.2,0.686,0.63,297695.0,264182.0,204004.0,508973.0,483309.0,372270.0,18892351.0,Asia,Western Asia,44496122.0,45504560.0,2.27
Japan,377976.0,364546.0,364546.0,3.6,0.925,0.27,4230862.0,4231141.0,4940878.0,6495214.0,5702287.0,5224850.0,117400000.0,Asia,Eastern Asia,123951692.0,123294513.0,-0.53
Rwanda,26338.0,24668.0,24668.0,6.3,0.534,0.8,13927.0,13313.0,11070.0,42346.0,33112.0,27180.0,2657770.0,Africa,Eastern Africa,13776698.0,14094683.0,2.31
Austria,83878.0,82445.0,82445.0,1.7,0.916,0.14,526182.0,471400.0,480368.0,626458.0,614312.0,463120.0,7681957.0,Europe,Western Europe,8939617.0,8958961.0,0.22
Albania,28748.0,27398.0,27398.0,4.7,0.796,0.49,23032.0,18882.0,18260.0,55928.0,43991.0,37730.0,2105339.0,Europe,Southern Europe,2842321.0,2832439.0,-0.35
Botswana,582000.0,566730.0,566730.0,2.6,0.693,0.44,20756.0,20352.0,17615.0,51886.0,42200.0,37720.0,948977.0,Africa,Southern Africa,2630296.0,2675353.0,1.71
Nicaragua,130373.0,119990.0,119990.0,8.0,0.667,0.76,17353.0,15672.0,14013.0,51022.0,42437.0,34980.0,1732218.0,Americas,Central America,6948392.0,7046311.0,1.41
Bangladesh,148460.0,134208.0,134208.0,9.6,0.661,1.64,446349.0,460201.0,414907.0,1476870.0,1265940.0,793490.0,126210000.0,Asia,Southern Asia,171186373.0,172954319.0,1.03
Vietnam,331345.0,310070.0,310070.0,6.4,0.703,0.53,433356.0,408802.0,366138.0,1434211.0,1321256.0,798210.0,68172134.0,Asia,South-eastern Asia,98186856.0,98858950.0,0.68
Bosnia and Herzegovina,51209.0,51187.0,51187.0,0.0,0.78,0.67,26945.0,24528.0,23365.0,68012.0,54978.0,47050.0,2320000.0,Europe,Southern Europe,3233527.0,3210848.0,-0.7
Antigua and Barbuda,442.0,442.0,442.0,0.0,0.788,0.02,1949.0,1758.0,1421.0,2601.0,1959.0,1760.0,77529.0,Americas,Caribbean,93763.0,94298.0,0.57
Kazakhstan,2724910.0,2699700.0,2699700.0,0.9,0.811,0.51,259292.0,220623.0,193018.0,654050.0,604551.0,475180.0,13913699.0,Asia,Central Asia,19397998.0,19606634.0,1.08
Bolivia,1098581.0,1083301.0,1083301.0,1.4,0.692,0.4,46796.0,43069.0,40408.0,125428.0,106856.0,92590.0,4843916.0,Americas,South America,12224110.0,12388571.0,1.35
Senegal,196712.0,192530.0,192530.0,2.1,0.511,0.8,31141.0,27684.0,27625.0,78547.0,64807.0,55260.0,4698108.0,Africa,Western Africa,17316449.0,17763163.0,2.58
Mali,1240192.0,1220190.0,1220190.0,1.6,0.428,0.53,21309.0,18827.0,19157.0,61625.0,51041.0,44890.0,2358540.0,Africa,Western Africa,22593591.0,23293699.0,3.1
Bahrain,778.0,786.0,786.0,0.0,0.875,0.73,44994.0,44391.0,38869.0,95973.0,79392.0,69650.0,1431090.0,Asia,Western Asia,1472233.0,1485510.0,0.9
Switzerland,41277.0,39997.0,39997.0,3.1,0.962,0.19,905684.0,807706.0,812867.0,788335.0,733137.0,590710.0,7942864.0,Europe,Western Europe,8740472.0,8796669.0,0.64
Dominican Republic,48671.0,48320.0,48320.0,0.7,0.767,0.73,120629.0,113642.0,94243.0,273703.0,227500.0,184450.0,6997472.0,Americas,Caribbean,11228821.0,11332973.0,0.93
Maldives,300.0,298.0,298.0,0.0,0.747,0.75,6977.0,6190.0,5406.0,14740.0,9911.0,7050.0,275717.0,Asia,Southern Asia,521021.0,523787.0,0.53
Djibouti,23200.0,23180.0,23180.0,0.1,0.509,0.96,3873.0,3515.0,3701.0,7193.0,5939.0,5420.0,532849.0,Africa,Eastern Africa,1120849.0,1136455.0,1.39
