review_id,title,author,rating,content,timestamp,is_verified,helpful_count,product_attributes,company
RE2FG9LL12TYG,5.0 out of 5 stars Excellent Design and Sound Quality,luis miguel,5,"It has a beautiful design, great sound quality, and impressive battery life. The build feels durable, and it’s perfect for both indoor and outdoor use. I highly recommend this speaker for anyone looking for a high-quality portable Bluetooth option. It has exceeded my expectations in every way.","Reviewed in the United States September 2, 2024",True,0,Color: Black & BrassStyle: Emberton II,Marshall
R3FWRRRYNT93BO,5.0 out of 5 stars Great speaker,Crowman,5,"Bought this speaker at a discount on Amazon from the damaged box store. Box was lightly damaged. Item inside was in perfect condition. Saved a boat load of cash doing so. Easy to use. Sounds great. Looks great light weight , battery life is long. Excellent buy all around.","Reviewed in the United States July 25, 2024",True,3,Color: BlackStyle: Emberton,Marshall
RL16ZWDRDNUEI,5.0 out of 5 stars Great product with usage caveats,Omar Enrique Ferrer,5,"A few months ago I had an epiphany. When I was a kid my father loved to have the best in sound equipment in the house, and I would play with graphic equalizers and lay in the floor looking for the best position between the giant speakers to experiment how to better enjoy the music.Today, I hear music in monophonic audio in an old JBL Charge 3 speaker (don't tell my dad, he would be ashame of me).So I started to get better equipment. Now, I live in a small apartment with thin walls in a 3rd floor, so, big amplifiers and so are out of the question, but at least I could get better bluetooth speakers, so I tried the Marshall Emberton II.To say that I impressed with the sound would be an understatement. With out-of-the-box settings, the sound is more than detailed. 80s and 90s music sound outstanding although, Peter Cetera's Glory of Love and Toto's Africa vocals sound as I never heard them before, they are sharp and strong, sometimes detracting just a little from the overall sound (keywords here, really, just a little).This brings me to my first recommendation: do not mess with your applications equalizers if you don't know what you are doing. This speakers were clearly designed to use the manufacturer equalizer settings (more on this later). I have youtube music and amazon prime music (yeah, I know, no spotify), and my sound with the latter was to heavy on bass, to the point of drowning the music and feeling almost distorting. Tron: Legacy's soundtrack sounded specially dreadful, as Daftpunk uses heavy bass in their electronic music for that specific music. I then set the equalization in Amazon Prime Music to flat. It was a different performance altogether. I could ever hear some slight effects they used, that I had not noticed before.Now, one down for the application. Bluetooth pairing used Google Fast Pair, which was seamless and impressive (it shows appears to be a custom Marshall little window, so, it looks cool), but the application takes forever to actually ""discover"" the device, even when it is already paired.When it finally discover it (which was not too long, but took a couple of turning on and off the speaker), the application notified me of a firmware upgrade, which I proceeded to install. The installation failed miserably, so, I temporarily stopped that effort, which I retook successfully a day later. The update was surprisingly big in size, taking around 5 minutes to download, and the application simply marked the update successful while the speaker was still rebooting, which took a few seconds more than what I feel comfortable with, but it went through, and after that, the application again took surprisingly long to detect the speaker.To end that topic, the equalization settings are definitely underwhelming, with only three modes: Marshall, Voice and Push, of which I have only tried Marshall as everybody else says that Voice is just for podcast and such and Push increases bass at the expense of all the other sound bands quality.Lesson learned: unless too picky, when using this speaker, leave your apps equalizers on flat, their profile is that good.Now, to the hardware itself, people will notice this little wonder. Using the nostalgia factor with the Marshall amplifier design was a touch of genius, and the brass button on top is the cherry on top. Some reviews complain about a single button approach to multifunction (power, volume, forward-back, bluetooth pairing has another almost invisible button, which fits because you are not changing your pairing frequently). If we can handle touch control on over-head and in-ear speakers, this button is a piece of cake.My only complain in this department is that, at least for me, an old guy, the signs indicating the functions around the button, being carved in the black speaker, which has texture, are for all intent and purposes invisible, but once you get accustomed, an use the logo as a positional reference that's not a problem anymore.And finally, the little caveat. Single speaker, stereo sound. Let that sink in.Done? Ok, they achieve this trick by separating the sound left and right with drivers back and front respectively (or was it the other way around? well, you get my point). Stereo suffers a little (not too much) because both sources are incredibly close, but it brings this caveat. This speaker should not be set as others, against walls, like in shelf, and so, because you end up drowning one side.The best position for this speaker is in the center of the audio stage, and if you want to appreciate the sound, you should point one side (not the front or back) to you. that way both sources are equally distanced from you so you get a better balance.If you are ok with the caveats this product is worth the price, I definitely recommend it.","Reviewed in the United States October 1, 2022",True,165,Color: Black & BrassStyle: Emberton II,Marshall
R1WRMQNY9KE109,5.0 out of 5 stars Simple yet Wonderful,Sunny,5,"The Marshall Emberton is a testament to Marshall's commitment to quality and innovation. It seamlessly blends timeless design with cutting-edge technology, delivering a speaker that not only looks stunning but also sounds exceptional. The iconic Marshall logo adorns the front, paying homage to the brand’s heritage.Portability and Convenience: The Emberton’s compact size, weighing just 0.7 kilograms, makes it incredibly portable. Slip it into your bag or pocket, and you have a powerful sound system wherever you go.Sound Performance: Don’t be fooled by its size; the Emberton packs a punch. With two 10W drivers, it delivers a surprisingly rich and dynamic sound. The bass is deep and satisfying, the mids are clear, and the highs are crisp, offering a well-balanced audio experience. Even at high volumes, the sound remains distortion-free, showcasing Marshall’s commitment to audio excellence.In conclusion, the Marshall Emberton is a testament to Marshall’s engineering prowess. It defies its size, delivering a sound quality that rivals much larger speakers. Its robust build, impressive battery life, and excellent sound make it a top choice in the realm of portable Bluetooth speakers. Whether you’re a music enthusiast, a frequent traveller, or someone who values premium audio in a compact form, the Marshall Emberton is a stellar choice.","Reviewed in the United States October 14, 2023",True,24,Color: BlackStyle: Emberton,Marshall
RC13S2KIPGBVM,5.0 out of 5 stars Great quality product,Matthew M.,5,"This speaker really amazed me the sound it produced with such a small footprint. I was looking for a speaker I can travel with and was very impressed upon arrival. With sound coming from both sides, I was really amazed of the quality it produced. Do not expect earth shattering bass from this unit, but good quality sound with ease of portability. Get one, you won’t regret it!","Reviewed in the United States July 24, 2024",True,1,Color: CreamStyle: Emberton II,Marshall
RVQU04O5Y7EP5,4.0 out of 5 stars Rich sound - with the right music,Brett Williams,4,"What I liked most about this unit was the dual driver system where you can get a more stereo sound than other Bluetooth speakers that are more mono (unless you pair a few together). The battery lasting up to 30 hours is impressive, though I didn't just it more than a few hours and couldn't speak to what real-time is. The top metal multi-directional button is very nice and premium feel......however the textured top/rubber surround makes reading the Volume/Track directions virtually impossible to see - you get used to it, but it would be nice if they were a little more visible.I will say that I'm disappointed in 2024, we're still seeing devices with Bluetooth 5.1, considering that it was released in 2016 and 5.3 has been out since 2021.With the driver's front and back-firing, I found that I got a wider sound by turning the unit sideways so that I was looking at the side of the unit while the drivers fired left and right.I listen to just about anything, and other were songs where the speaker excelled, but then others where it sounded very flat, and it's because of the inconsistency that I returned it. I will say that I liked it much more than the JBL's that I tested against which had almost zero depth comparatively, but for a little more I got something that, while larger, has a better sound presence.I was tempted to keep this as an alternative, but I think over time I would probably get annoyed with some songs sounding flat and others very deep and rich (or course tracks and recording quality matter, but compared to other speakers I tested I didn't see as big of a swing between the same songs).","Reviewed in the United States June 5, 2024",True,4,Color: Black & BrassStyle: Emberton II,Marshall
R1YUS7GL3C2BUG,5.0 out of 5 stars Amazing in every way!,Amy,5,Gorgeous quality - beyond what I expected! Sound quality is incredible for this size speaker. It came right out of the beautiful packaging charged up and effortlessly paired with my phone. I would definitely recommend and buy this speaker again.,"Reviewed in the United States August 25, 2024",True,2,Color: CreamStyle: Emberton II,Marshall
R1B1NV04V8NIEM,5.0 out of 5 stars Best portable Speaker!,AJ,5,"Wow! This tiny portable speaker packs a punch. I am by no means an audiophile - So don't know the technical jargon to describe it, but I could hear the minute instrument details and crisp sound. The bass is enough for me and the sound fills a small room. The battery life is great and is portable enough to take it anywhere. Really glad I didn't get the larger one which would no doubt sound great but would not be small enough to take it anywhere.","Reviewed in the United States July 30, 2024",True,2,Color: Black & BrassStyle: Emberton II,Marshall
R3JMLBD2NPCVJ2,5.0 out of 5 stars Best Yet Bluetooth Speaker,Stephen R. Finney,5,"This Bluetooth is head an shoulders above any JBL, Altec, or Bose Bluetooth speaker I've yet heard. The bass while strong, is not ridiculous, and muffled. What blew my mind is that I could hear the snare on a drum! No Bluetooth speaker I've had before could make a snare drum sound right. The speaker also has great volume. I may have more to add once I've had it for a while, but as of this moment I'm genuinely impressed. I will be buying at least one for a present for a sibling. As of this moment I'm recommending this speaker to anyone wanting a moderately priced, great sounding Bluetooth speaker.","Reviewed in the United States August 7, 2024",True,4,Color: CreamStyle: Emberton II,Marshall
R2NGMO6JD5HK0F,5.0 out of 5 stars Sounds great,Jillian,5,"For a small speaker it has a lot of power. Sounds great and looks great. I love the cream color just looks like as advertised. My phone picked up the connection very quick. It came partially charged, so I was able to test it right out the box and I love it.","Reviewed in the United States August 27, 2024",True,0,Color: CreamStyle: Emberton II,Marshall
