DATAFLOW,LAST UPDATE,freq,s_adj,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,AT,2023-08,111,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,AT,2023-09,108,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,AT,2023-10,102,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,AT,2023-11,96,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,AT,2023-12,116,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,AT,2024-01,101,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,AT,2024-02,96,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,AT,2024-03,109,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,AT,2024-04,102,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,AT,2024-05,101,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,AT,2024-06,108,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BE,2023-08,117,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BE,2023-09,126,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BE,2023-10,135,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BE,2023-11,136,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BE,2023-12,135,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BE,2024-01,129,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BE,2024-02,125,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BE,2024-03,123,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BE,2024-04,124,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BE,2024-05,127,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BE,2024-06,128,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BG,2023-08,61,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BG,2023-09,60,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BG,2023-10,61,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BG,2023-11,62,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BG,2023-12,63,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BG,2024-01,65,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BG,2024-02,67,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BG,2024-03,67,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BG,2024-04,66,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BG,2024-05,65,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,BG,2024-06,66,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CH,2023-08,104,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CH,2023-09,104,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CH,2023-10,101,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CH,2023-11,101,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CH,2023-12,102,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CH,2024-01,101,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CH,2024-02,102,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CH,2024-03,104,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CY,2023-08,14,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CY,2023-09,14,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CY,2023-10,14,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CY,2023-11,14,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CY,2023-12,14,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CY,2024-01,14,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CY,2024-02,13,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CY,2024-03,12,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CY,2024-04,11,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CY,2024-05,11,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CY,2024-06,11,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CZ,2023-08,69,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CZ,2023-09,71,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CZ,2023-10,83,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CZ,2023-11,69,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CZ,2023-12,75,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CZ,2024-01,84,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CZ,2024-02,72,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CZ,2024-03,84,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CZ,2024-04,77,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CZ,2024-05,69,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,CZ,2024-06,71,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DE,2023-08,578,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DE,2023-09,586,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DE,2023-10,595,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DE,2023-11,602,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DE,2023-12,607,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DE,2024-01,612,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DE,2024-02,618,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DE,2024-03,623,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DE,2024-04,626,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DE,2024-05,629,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DE,2024-06,629,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DK,2023-08,74,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DK,2023-09,76,
