review,rating
I like it I would recommend .... Because of confinement he took a long time to arrive,3
I really love in 5 days I've seen the progrès.Je advise you,4
I received my order well packaged it try to stay,4
I already adheres to my 2 boxes and the results are there,4
"Saleswoman very serious and nice good product
Nothing to say",4
Hello. A very good product for smoothening the face and apply a small amount during the nighttime if you have oily skin preferably having a silk satin pillow case. Everything arrived on time having extra free gifts such as Glycolic acid body wash and/or Kojic soap upon your request after messaging FrDulcinea. The best for smooth bottom of feet without having to use lotion all day use. She is very considerate and email her enough information on how you want your package and free gifts before sending via international mail.,5
"Hello. I was able to use the Gamme Metisse and achieve a very softened skin texture because of retinol and fruit acids, very strong effective formula in combination with FrDulcinea's Gamme Metisse products. The best for smooth looking skin and NONE BETTER having a beautiful lavender and pumpkin spice fragrance. Shipping on time but ask FrDulcinea concerning bubble wrap. The best for smooth looking skin and NONE BETTER. She is very kind and make sure to message or email her enough information during your ordering period  before sending your package.",5
i got a refund from the seller she said the shipment was experience so I do not receive  this product,1
I order my package but never received the package and I tried to get in contact with them and they never got back to me. Don't waste your money she’s a scammer,1
Iam still waiting for for the order to come which was dispatched on the 20th November from France to Sweden.Unfortnunatelt it seems like something is wrong coz it's now close to 3 weeks and the packet has not arrived ..Very strange coz it takes e few days to receive a packet from France.I have asked the seller for a refund and she is saying she only does that when the packet is lost.Im about to open a case with now coz I have run out patiece.,1
I'm not a fan because his yellowed my hands. But for best result renew. Quick delivery,2
No result obtained with the cream,1
thank you for the gift,5
I received my order and well packaged thank you it works very well there is the foot that is not lit,5
It's not the same platform I to this before it is not at all well,1
Powder received well packaged but not try again,3
Article received my test yet,3
One of the best seller here. Sheabutter cream is very moisturizing. No lightening yet. Maybe it is too early. Excellent customer service,5
Hello this product it really well there tro,5
"Not received, but delivered in Mailbox Post ... What !!! the saleswoman had planned re shipping, commercial gesture. But given his many travels, she could honor ... I expect nothing more. Money in the trash !!! 63,50 euros for 2 items. Not honest.",1
"1 sent to the top and there ... the color of the cream, the texture is completely different. Small white spots appeared, but tasks fall while I thought party. Not a solution for me.",1
"Not a fan of the smell, different from the first shipment.",2
I like it very much a free sample also she is the best,5
"Article Never received, the seller gave me hope for forwarding to the closure of the dispute through Etsy. Not honest. For previously purchased, the effects are short-lived.",1
"False case cream made my hands blacker than before clerk not honest at all, she has promised to catch up sent me one pair of gloves that never reached its destination I regret having used the restorative and eclaissiante hand cream is very careful about this kind of products",1
"Very disappointed in this cream, on the contrary it blackened me I do not recommend € 120 in the trash",1
Make it soft and luminous skin. To put the morning and evening skin tone is just perfect,4
Saleswoman serious reçudans sends very quick time. pleasant smell against by not result too early because I put for a week to have in a month.,4
I wore and kept a whole night results but super soft hands of dead skin a little disappointed,1
I expect to use it first. Saleswoman listening,1
Delivery to the top but the product I have not tested,2
"Hello yours I thank the seller for the professionalism is top, but the product I have not tested yet",4
"Produced at the top, hydrate well the skin and more tasks in a week",5
Products on top in most spots in a week,5
Ordered but not used,1
"Order received in time, serious seller.",5
"Order received in time, serious seller.",5
"Perfect for deeply hydrate the skin of my extremities and fade dark spots caused by intense drought at this level. Thank you. Fast delivery, I recommend this product, nice find.",5
Product was not effective on my skin.,2
Did not work for me.,2
I did not receive my order . The shipping method was very bad. No tracking for the shipping. Too bad,1
"Item received quickly. Result in less than a week on a pronounced Melasma. Thank you infinitely Beauty Dulcinea, I recommend this article. My face lit up and my melasma fades.",5
Send fast but I expected more results,3
Shipping was on time. Unfortunately I didn’t see any change with my face using this product.  The color was also not as described. It had a mustard color with strong medicine smell.,1
"Delivery time too long, slight effect found only on the face cream at the time of my first order. The body milk and soap are identical to those of the Métis range.
The seller is more or less correct and accepts the return of products and refund (return costs are your responsibility)",1
Received very quickly. Unused. To see over time. Thank you,5
"Effective cream, works really well. Skin smoother and hyperpigmentation vanishing. Thank you :)",4
"Item received quickly. I expect that the effects are not immediate, since I bought recently.",4
"Just wow ..
After 3 days of use my complexion has changed completely.
A very good cream, creamy, absorbs quickly and leaves the silky face. Try it and adopt it. I highly recommend it. Dulcinea beauty thank you.",5
I Only Bought One. But It Didnt Do Anything For Me.  But There Is No Way To Tell Really. I May Have Needed More. But Oh Well. Shalom,3
The product is great. I expect to see results within 2-3 months.,4
Please I need to buy more pls I need a phone I can call,5
Take to long to arrive,1
C really a scrub that very well,5
"Not happy with this product and the seller refused to accept a return. The container was 90% full and arrived a liquid, when in the listing there was an image of a thick cream (which she removed). Highly overpriced.",1
Very effective. Thank you for the samples.,5
"received a jar half empty, not even wrapped, no explanation, I know even if c is the right product",1
thank you for products <3 <3 <3,5
I found the product too expensive and small,2
"They sent the wrong shirt, bought in time for Christmas, contacted them to send correct shirt ordered, they said keep the first one and will send correct one, great. later I followed up about shipment status, said they sent it, I asked for tracking, they didn't send it and when asked again they said it was delivered I said that was for the first shirt that I already told you was incorrect, they said oops we're busy but we'll still send, Christmas a couple of days away, I asked again they said they sent it I'm waiting finally they send tracking ie actually ship it after they said they had, received it in January, after Christmas, TX",1
The shirt is very nice but it was to small for me. I guess it run to small. But thank you,5
Good fitting,5
"Fits to size, and is definitely a product I love to wear.",5
"When I originally ordered this shirt on October 20th it said it would arrive BY October 25th. It was a gift for a birthday and I figured okay, it will be there on time.... Everyday I check it the delivery date is one day further back... it is now Oct. 29th and the shirt is still in the place it was ordered from (New York) we live in Arizona. If you’re ordering a last minute gift for someone, expect it to be at least a week after delivery date ‍",1
great quality exactly what i wanted!,5
"Fast shipping, great value, good service.",5
I love this hoodie! Exactly what I wanted and super comfortable:) The quality is great and the customer service is some of the best I’ve ever worked with! Thank you,5
AMAZING shirt!!! the material is great and quality is exactly what i expected!!! LOVE it! Thank you so much,5
I would leave zero stars if possible. Garbage products. Garbage customer service. Straight vinyl.,1
It came in on time fits great made of strong material.,5
My order never came I not recommend never get my coat,1
Shipping time was great. The material is very cheap. The letters are lifting already and I haven’t worn it yet.,3
It was not what I expected but I'm satisfied,3
I love the look on the shirt. The shirt was delivered faster than expected. Great customer service.,5
Very dispoint only worn once not even washed decal coming off,1
Thanks again! AAA +++ A pleasure to do business with you!,5
I love this sweater very very much it looks hot,5
I really really love the sweater very much,5
Great I love it alot,5
It item was good material,4
Perfect size and fast delivery. Love it!,5
Thank you so much for shipping so quickly! Both daughters LOVE their sweatshirts!,5
Low quality vinyl sticker and sweatshirt!,1
Got this for my daughter she loves it.,5
Good quality sweatshirt and printing! I’m ordering another one.,5
I ordered a Medium and got a Small. Good material and design tho,3
haven’t received my order  yet,1
"I ordered this sweater for my nephew on a size small, When we received it, it was too small, he's so tall! I contacted the shop right away and he let me know there was no problem, he would switch it for a bigger size! I just received it, and it fit my nephew perfect! Thanks so much! :)",5
Logo is ripped no strings,1
Very fast shipping great product,5
"It took almost two weeks to ship, but the product arrived eventually and was exactly as described.",3
Exactly what I asked for! Fast delivery. Perfect for our Disney world trip. Thank you!,5
Perfect fit!! Thank you so much!! Stay thrashin!!,5
Back logo was way too small,1
Awesome quality and well made.,5
"Super rad , fits and looks as described ,nice buy .",5
"Quickly shipped, shirt exactly as expected. Thanks so much for a quality product at a great price!",5
cool shirt nice quality material,5
Exactly what I wanted! Thank you!,5
Exactly as pictured. Thank you!,5
Screen print is cheaply done but commensurate with the price.,2
Nice sign....  and the shop's workers were helpful and very patient as I tried to decide which font to use.  The sign was well packaged and shipped promptly.  Thanks!,5
Product came out great and seller was extremely responsive - thanks!,5
Such a great sign- thanks!,5
"Love, Love this wooden knobs. Thank you. They are perfect",5
Love the paw print wine stopper!!,5
"Love having this cute mat laminated!  Your prints are the best, too!  Many thanks!",5
"Exactly as shown, very nice quality. My parents hung it in their downstairs bar and love it.",5
Wonderful magnets. Solid and well crafted. Five stars.,5
"This sign is beautiful, thank you.",5
The worked well on my t shirts.,5
"I really liked this sign. It’s not overly huge like many signs and It has a vintage feel. The added twine made it very easy to quickly hang on my fence without hardware. I really appreciated that. I liked the way it worked on my pool fence so much that I bought a second one for another area of the pool fence. Reminding my children to play safe is very important. Ty, so much!",5
Great product. Bought as a gift and they loved it.,5
Great product. Bought as a gift and they loved it.,5
"This wine stopper is so beautiful and looks exactly how I wanted it too, however, it is really difficult to get in and out of the wine bottle. It is not as functional as it is attractive.",3
"Didn’t have any problems with the estimated shipping date.  But, was disappointed in the finish quality of the Honey Bee sign.  There were scratches in areas that were painted black. Also a few noticeable paint smudges.  I will keep the sign and correct the imperfections I have mentioned. It’s just disappointing to pay for an item that I have to take the time to fix.",1
Excellent customer service and beautiful products!,5
"Awesome sign , came fast I would definitely buy from this shop again",5
I love this placemat.  My cat is a messy eater and this is easier to clean than my floor.,5
They are just the right size for what I am using them for.,4
"While the item did take longer to receive than originally anticipated, the sign is perfect for my sons woodland themed room.",5
"I bought these for my kitchen cabinets, and wow!  The knobs now totally outshine my cabinets.  Just a simple change like adding new and unusual knobs made a HUGE difference.  I live in the mountains, and I have lots of bears that stop by, so these bear knobs are just perfect.  They are well crafted, and very easy to install.  And they make me smile every time I walk into the kitchen.  Love them - they are worth the wait time for delivery!",5
I love it!  Perfect for little girls room!,5
"My in-laws absolutely love this. Great product. Took 3 weeks to ship, but I wasn’t in a rush to get it. Was surprised I got a cute knob for free. Thank you!",5
I purchased this for my Goddaughter's room and I am so happy with it! It is beautiful!,5
