Country Name,2018,2017,2016,2015,2014
Bulgaria,2.81%,2.06%,-0.80%,-0.10%,-1.42%
Bangladesh,5.54%,5.70%,5.51%,6.19%,6.99%
Mauritania,3.05%,2.28%,1.49%,3.24%,3.53%
Namibia,4.29%,6.15%,6.73%,3.39%,5.35%
Philippines,5.21%,2.85%,1.25%,0.67%,3.60%
Liberia,23.56%,12.42%,8.83%,7.75%,9.86%
Israel,0.82%,0.25%,-0.55%,-0.63%,0.49%
Netherlands,1.70%,1.38%,0.32%,0.60%,0.98%
Gabon,4.75%,2.65%,2.11%,-0.34%,4.69%
Madagascar,8.59%,8.61%,6.04%,7.40%,6.08%
Nepal,4.06%,3.63%,8.79%,7.87%,8.36%
Mexico,4.90%,6.04%,2.82%,2.72%,4.02%
North Macedonia,1.46%,1.35%,-0.24%,-0.30%,-0.28%
Nigeria,12.09%,16.52%,15.68%,9.01%,8.06%
Burundi,-2.81%,16.05%,5.56%,5.54%,4.41%
United States,2.44%,2.13%,1.26%,0.12%,1.62%
Curacao,2.58%,1.59%,-0.05%,-0.48%,1.50%
Italy,1.14%,1.23%,-0.09%,0.04%,0.24%
United Kingdom,2.29%,2.56%,1.01%,0.37%,1.45%
Jamaica,3.74%,4.38%,2.35%,3.69%,8.27%
Iceland,2.68%,1.76%,1.70%,1.63%,2.04%
Sweden,1.95%,1.79%,0.98%,-0.05%,-0.18%
Costa Rica,2.22%,1.63%,-0.02%,0.80%,4.52%
Vanuatu,2.33%,3.08%,0.84%,2.48%,0.80%
Croatia,1.50%,1.13%,-1.13%,-0.46%,-0.22%
Panama,0.76%,0.88%,0.74%,0.14%,2.63%
Palau,0.00%,1.28%,-1.04%,0.95%,4.19%
Lesotho,4.75%,4.45%,6.60%,3.22%,5.37%
Haiti,12.48%,10.68%,11.50%,6.73%,3.44%
UAE,3.07%,1.97%,1.62%,4.07%,2.35%
Tajikistan,0.00%,0.00%,6.00%,5.71%,6.10%
Malawi,12.42%,11.54%,21.71%,21.87%,23.79%
Maldives,-0.13%,2.82%,0.50%,0.95%,2.12%
Bhutan,2.72%,4.95%,3.22%,4.54%,8.27%
Oman,0.88%,1.60%,1.11%,0.07%,1.02%
Morocco,1.80%,0.75%,1.64%,1.56%,0.44%
Grenada,0.80%,0.91%,1.65%,-0.52%,-0.98%
Bahrain,2.09%,1.39%,2.79%,1.85%,2.65%
Sao Tome And Principe,7.86%,5.70%,5.43%,5.25%,7.00%
South Africa,4.50%,5.18%,6.59%,4.51%,6.14%
Solomon Islands,3.46%,0.49%,0.51%,-0.57%,5.17%
Zimbabwe,10.62%,0.89%,-1.54%,-2.43%,-0.20%
Egypt,14.40%,29.51%,13.81%,10.37%,10.07%
Romania,4.63%,1.34%,-1.54%,-0.59%,1.07%
Azerbaijan,2.27%,12.94%,12.44%,4.03%,1.37%
Pakistan,5.08%,4.09%,3.77%,2.53%,7.19%
Papua New Guinea,4.72%,5.42%,6.67%,6.00%,5.22%
San Marino,0.00%,1.05%,0.57%,0.15%,1.11%
Brazil,3.66%,3.45%,8.74%,9.03%,6.33%
Kyrgyz Republic,1.54%,3.18%,0.39%,6.50%,7.53%
Hong Kong,2.41%,1.48%,2.41%,3.00%,4.44%
Lao PDR,2.04%,0.83%,1.60%,1.28%,4.13%
Kosovo,1.05%,1.49%,0.27%,-0.54%,0.43%
Antigua And Barbuda,1.21%,2.43%,-0.49%,0.97%,1.09%
Kazakhstan,6.02%,7.44%,14.55%,6.67%,6.71%
Algeria,4.27%,5.59%,6.40%,4.78%,2.92%
Uganda,2.62%,5.64%,5.45%,5.41%,3.07%
Samoa,4.20%,1.75%,1.30%,0.72%,-0.41%
Slovak Republic,2.51%,1.31%,-0.52%,-0.33%,-0.08%
Singapore,0.44%,0.58%,-0.53%,-0.52%,1.03%
Australia,1.91%,1.95%,1.28%,1.51%,2.49%
Botswana,3.24%,3.31%,2.82%,3.06%,4.40%
South Sudan,83.50%,187.85%,380.00%,52.77%,1.67%
Denmark,0.81%,1.15%,0.25%,0.45%,0.56%
Vietnam,3.54%,3.52%,2.67%,0.63%,4.08%
Serbia,1.96%,3.13%,1.12%,1.39%,2.08%
