Country Name,2018,2017,2016,2015,2014
Indonesia,"$3,894","$3,838","$3,563","$3,332","$3,492"
Senegal,"$1,458","$1,362","$1,270","$1,219","$1,397"
Ukraine,"$3,097","$2,641","$2,188","$2,125","$3,105"
Sierra Leone,$534,$499,$501,$588,$715
Marshall Islands,"$3,794","$3,673","$3,491","$3,200","$3,185"
Antigua And Barbuda,"$16,673","$15,384","$15,199","$14,285","$13,502"
Samoa,"$4,189","$4,260","$4,109","$4,074","$3,938"
Hong Kong,"$48,543","$46,166","$43,731","$42,432","$40,315"
Uruguay,"$18,704","$18,691","$16,716","$15,614","$16,832"
Egypt,"$2,537","$2,444","$3,520","$3,563","$3,380"
Israel,"$41,705","$40,475","$37,283","$35,814","$37,738"
Russia,"$11,287","$10,720","$8,705","$9,313","$14,096"
Equatorial Guinea,"$10,006","$9,668","$9,250","$11,283","$19,394"
Papua New Guinea,"$2,801","$2,695","$2,510","$2,679","$2,921"
Guinea-Bissau,$803,$739,$661,$603,$623
St. Vincent And The Grenadines,"$7,361","$7,213","$7,075","$6,922","$6,684"
Ethiopia,$772,$769,$717,$641,$567
Somalia,$315,$309,$296,$293,$295
Fiji,"$6,317","$6,101","$5,651","$5,391","$5,606"
Greece,"$19,776","$18,608","$17,898","$18,057","$21,631"
Italy,"$34,626","$32,407","$30,961","$30,242","$35,566"
UAE,"$43,839","$40,645","$38,142","$38,663","$43,752"
Aruba,"$30,253","$29,351","$28,452","$28,397","$26,893"
Northern Mariana Islands,"$22,887","$27,585","$21,891","$16,314","$15,045"
Panama,"$15,545","$15,146","$14,344","$13,630","$12,796"
Bosnia,"$6,072","$5,395","$4,995","$4,727","$5,330"
Suriname,"$6,938","$6,296","$5,873","$9,168","$9,472"
Oman,"$16,521","$15,128","$14,610","$16,033","$20,035"
"Congo, Rep.","$2,601","$2,174","$2,039","$2,448","$3,776"
Faroe Islands,"$62,918","$59,993","$56,854","$52,400","$59,434"
Moldova,"$4,230","$3,510","$2,880","$2,732","$3,329"
Cabo Verde,"$3,617","$3,293","$3,131","$3,043","$3,589"
Lebanon,"$8,013","$7,793","$7,626","$7,645","$7,688"
United Kingdom,"$42,996","$40,306","$41,048","$45,039","$47,452"
Mauritius,"$11,208","$10,485","$9,682","$9,260","$10,154"
West Bank And Gaza,"$3,562","$3,620","$3,528","$3,272","$3,352"
Gambia,$733,$680,$691,$661,$607
Georgia,"$4,723","$4,357","$4,062","$4,014","$4,739"
