Country Name,2018,2017,2016,2015,2014
Cayman Islands,"64,172","63,382","62,564","61,721","60,848"
Botswana,"22,54,067","22,05,076","21,59,925","21,20,716","20,88,619"
Bosnia,"33,23,929","33,51,534","33,86,263","34,29,362","34,82,106"
Indonesia,"26,76,70,549","26,46,50,969","26,15,56,386","25,83,83,257","25,51,28,076"
India,"1,35,26,42,283","1,33,86,76,779","1,32,45,17,250","1,31,01,52,392","1,29,56,00,768"
Sao Tome And Principe,"2,11,032","2,07,086","2,03,221","1,99,439","1,95,727"
Netherlands,"1,72,31,624","1,71,31,296","1,70,30,314","1,69,39,923","1,68,65,008"
China,"1,39,27,30,000","1,38,63,95,000","1,37,86,65,000","1,37,12,20,000","1,36,42,70,000"
Turks And Caicos Islands,"37,667","37,116","36,558","35,979","35,371"
Portugal,"1,02,83,822","1,03,00,300","1,03,25,452","1,03,58,076","1,04,01,062"
Nepal,"2,80,95,712","2,76,32,682","2,72,63,430","2,70,15,033","2,69,05,982"
"Congo, Rep.","52,44,363","51,10,701","49,80,996","48,56,093","47,36,965"
Qatar,"27,81,682","27,24,727","26,54,379","25,65,708","24,59,202"
Morocco,"3,60,29,089","3,55,81,257","3,51,26,274","3,46,63,608","3,41,92,358"
Namibia,"24,48,300","24,02,623","23,58,044","23,14,901","22,73,426"
Lao PDR,"70,61,498","69,53,031","68,45,848","67,41,160","66,39,763"
Jamaica,"29,34,853","29,20,848","29,06,242","28,91,024","28,75,137"
Virgin Islands (U.S.),"1,07,001","1,07,281","1,07,516","1,07,712","1,07,882"
Central African Republic,"46,66,375","45,96,023","45,37,683","44,93,171","44,64,171"
Bhutan,"7,54,396","7,45,563","7,36,706","7,27,885","7,19,053"
Uzbekistan,"3,29,56,100","3,23,88,600","3,18,47,900","3,12,98,900","3,07,57,700"
Micronesia,"1,12,640","1,11,461","1,10,215","1,08,886","1,07,444"
Cabo Verde,"5,43,764","5,37,499","5,31,140","5,24,740","5,18,276"
Guyana,"7,79,007","7,75,218","7,71,363","7,67,433","7,63,371"
American Samoa,"55,461","55,617","55,739","55,806","55,791"
Egypt,"9,84,23,602","9,64,42,590","9,44,47,071","9,24,42,549","9,04,24,668"
