Year, Month,Monthly Anomaly, Monthly Unc.,  Annual Anomaly, Annual Unc,Five-Year Anomaly, Five-Year Unc., Ten-Year Anomaly, Ten-Year Unc.,  Twenty-Year Anomaly, Twenty-year Unc.
1887,1,-0.767,0.269,-0.456,0.085,-0.311,0.089,-0.315,0.074,-0.231,0.062
1899,2,-0.212,0.142,-0.187,0.082,-0.141,0.063,-0.215,0.063,-0.273,0.061
1997,3,0.521,0.043,0.438,0.027,0.528,0.02,0.469,0.019,0.516,0.017
1924,7,-0.203,0.144,-0.197,0.077,-0.152,0.064,-0.17,0.062,-0.173,0.058
1886,4,-0.139,0.209,-0.383,0.108,-0.391,0.094,-0.304,0.076,-0.241,0.061
2000,9,0.524,0.035,0.45,0.026,0.593,0.019,0.588,0.019,0.573,0.018
1938,5,-0.04,0.111,0.127,0.073,0.058,0.062,0.014,0.064,0.001,0.063
1885,4,-0.373,0.18,-0.449,0.127,-0.397,0.095,-0.281,0.077,-0.245,0.06
1861,11,0.059,0.395,-0.373,0.188,-0.364,0.107,-0.303,0.101,-0.211,0.103
1874,11,-0.112,0.358,-0.25,0.12,-0.243,0.088,-0.142,0.08,-0.169,0.065
1874,1,-0.345,0.409,-0.37,0.117,-0.268,0.097,-0.135,0.086,-0.161,0.066
1935,7,0.038,0.127,-0.12,0.071,-0.089,0.062,-0.019,0.059,-0.012,0.061
2002,3,0.996,0.05,0.761,0.025,0.609,0.02,0.643,0.018,0.586,0.018
1856,5,0.02,0.669,-0.081,0.352,-0.17,0.155,-0.216,0.145,     NaN,  NaN
2019,11,0.975,0.043,1.14,0.027,0.987,  NaN,     NaN,  NaN,     NaN,  NaN
1900,10,0.178,0.131,-0.06,0.08,-0.176,0.065,-0.237,0.066,-0.285,0.061
1850,4,-0.485,0.575,      NaN,  NaN,   NaN,  NaN,     NaN,  NaN,     NaN,  NaN
1862,11,-0.806,0.659,-0.388,0.135,-0.359,0.126,-0.276,0.094,-0.208,0.095
1983,4,0.3,0.043,0.35,0.026,0.232,0.018,0.234,0.017,0.22,0.015
1940,12,0.213,0.107,0.086,0.11,0.086,0.099,0.092,0.096,0.009,0.065
