SuggestionDate,SuggestionText,CharCount,SuggestionCategory,Upvotes,ReportedToDevs
4/1/2022,"i feel like there isnt really enough damage types while we already have fresh, spicy and salty i feel like it wouldnt make sense not to include a sour damage type. sour shards sour shards would be a consumable that can be turned into globs and used on weapons to give them the sour damage bonus source of sour shards sour shards are exclusively a buried item which means they cant be found anywhere else exept areas where digging spots spawn. these shards would come from the sour lemonhead an old mildly sour candy made early 1960 how to harvest unlike most other candys this tough lemonhead would require a tier 3 axe is eating this worth it? yes and no. the sour shards would restore 25% hunger but would also reduce thirst by 5%",732,Feature,47,TRUE
4/1/2022,"Update the snail shell on the backyard so that we can break it, or add snails so we can farm for shields.. and their mucus to fix some items",140,Tweak,49,TRUE
4/3/2022,"I would like to see an Ice box/cooler added to the game as it would open up new weapons, a new damage type, and new mobs. A hostile mob could be the alaskan darkling beetle or arctic bumblebees. The new damage type could freeze the enemy for a few seconds. Weapons such as ice dagger, the frozen club.",301,Feature,46,TRUE
4/3/2022,"add an icon to the map or at least to the interface, showing the location of your weapon, if you accidentally threw it and can't find it. This can be very frustrating if you hit the wrong key, especially at night when visibility is very poor",241,Feature,82,TRUE
4/3/2022,"Ok this is a short suggestion, but i think it would help. How about being able to upgrade ovens / Spinning wheels? They could be upgraded with charcoal and Lubricant if it gets added. These would make then go faster. and would be helpful.",238,Feature,53,TRUE
4/4/2022,"heavily buff the assistant manager, its extremely underwhelming and doesnt take that much time to kill. i'd suggest increasing its healthpool, as well as its defense increasing by 25% per enviromental hazard it creates (up to 50% if the tesla coils and lasers are active simultaneously)",286,Tweak,11,FALSE
4/5/2022,"Rock, paper, scissor emote For you and your friends/squad to determite Who is doing which job, like Who is collecting berry chunks and Who is collecting Web fibers, use rock, paper, scissor",189,Feature,45,TRUE
4/5/2022,"Ok so, I was thinking about something, what completely viable early game combat strategy could be made into an endgame one? The throwing pebblets build! Currently, this class only goes up to really early on in the middle of the game where healbasas are introduced and then that's it! So I thought of some new items that the throwing class could have. Silk armour: As you constantly run from stick to leaf, waving your hands in massive arks to launch your projectiles, you turn to the most while, lightweight armour you can, and that means spider rope! •low defence •gives you the quickness (because this build would need it, and because it's a throwback to the old spider armour) •light armour •set bonus (pale white pummeller) makes your thrown projectiles faster (Plant glue, insect glue and upper yard bug gloop glue) glue clump! Don't ask how this is thrown or held. •all 3 variants work the same, they explode on impact slowing everything in the radius, the only difference is how slow it makes them •plant glue is made from 5 web fibre and 2 sap, insect is made from 3 web fibre and 1 spider venom and advanced is made from 2 bug gloop •does not deal damage Advanced throwing pebblets! LVL 1, Barbed pebblet: just does a reasonable amount of extra damage and sticks to the target 2 pebblets 1 sap 3 thistles LVL 2, venomous pebblet: poisons target as well as lots more damage 3 pebblets 2 web fibre 1 venom LVL 3, mega pebblet: damage per hit equal to that of a charged insect axe attack, also has a chance to stun 5 quartzite 10 bug gloop 2 raw lint 5 splinters",1568,Item,19,FALSE
4/5/2022,"Make some type of bridge that can be constructed, rather than hand making one with roof or floor pieces. An idea I have is a rope bridge, where you build two anchor points, use lint or silk rope to connect them, and then you could place weed stems, planks, or some other materials at the anchor points to build the bridge. Would allow for some cool designs",356,Item,30,FALSE
4/5/2022,give the three elemental types the ability to apply debuffs to enemies spicy would have a chance to apply the sizzle effect on enemies salty would have a chance to increase crit chance on enemies fresh would slow down enemy attacks,231,Feature,28,FALSE
4/6/2022,"In reality the antlions we see in game are just larvae. To make their cycle of life a bit more realistic we can make a passive dragonfly. Also, Antlions IRL smack their prey on the ground. It would cause players Heavy damage and make player unable to run. This would make the antlion something you want to avoid like the wolf spider rather than people bow spamming it. Which comes to my second suggestion: Making pit antlions able to get out of their pits",455,Tweak,10,FALSE
4/6/2022,"New smoothie concept: Dazzling ayahuasca As you may have noticed, more and more attacks from newer creatures have been immune from perfect blocking, take the broodmother scream or the IWS attacks for instance What if there was a way to bypass this? What if there was a way to perfect block anything and everything (maybe even fall damage but probably not idk)? Introducing the dazzling ayahuasca! This smoothie would be a bright, visually pleasing orange and would be made from 2 koi scales and a sunken bone. And, being remarkably similar to our favorite (and only) pb based armour set, I'd function the same as well allowing you to pb any and every attack with whatever weapon you deem adequate, as well as mildly increasing the perfect block window. No more getting evaporated and then inhaled by the IWS, no more instantly collapsing because the broodmilf is a bit too loud. It still wouldn't make the backyard into paradise, but it'd make it just a little bit less like insect heck (can't say h-e-l-l because the bot would instantly delete my suggestion if I did that unfortunately) Summary: •smoothie would be neon orange •costs 2 koi scales and 1 sunken bone •makes the pb window a tiny bit larger •makes any attack perfect blockable, like the broodscream or the IWS bite •the drink is poggers",1300,Item,15,FALSE
4/6/2022,"A tier 2 for juicy, using the juice boxes in the sandbox, picnic table, maybe one in the trash heap and atop the tarpaul on the upper yard. Would do the same thing but just better. Pretty self explanatory.",205,Item,20,FALSE
4/6/2022,Idea: Mega Muscles A mutation with 2 levels Level 1: Gained by dealing 20K damage to any bugs. Makes you deal 1.2X damage. Level 2: Gained by collecting all weapon mastery mutations. Makes you deal 1.5X damage.,210,Feature,22,FALSE
4/6/2022,Really small gorillas,21,Joke,12,FALSE
4/6/2022,"perhaps a mode for grounded called ""Locked"", You could pick a certain area you'll have to spend the WHOLE playthrough in, some stuff will be impossible to get, some stuff will be easy to get, some places would be hard etc. You could pick: Sandbox, Hedge + Eastern Flooded Zone, Pond(+ Oak tree surroundings), Woodpile(+ Deck) etc. I just think it would make a nice challenge lol, I know you can TECHNICALLY do it in the normal game, but I'd like it to be like no chance to cheat, maybe people will come with insane strats for an area? or just find it impossible to live in? Who knows",583,Feature,17,FALSE
4/6/2022,"Carry Cart: (This has been suggested before but I have a way to do it that nobody else has suggested) It would carry ten Grass Planks/Weed Stems, you could either carry it normally or use ant pheromones to get ants to do it. When the cart falls, it breaks and you need to repair it, you can prevent this by adding bee wings to it. You could also upgrade it to have a seat, meaning you can ride in it, or you could upgrade it to have 5+ carrying space, once you have upgraded to the chair. Once you have added on the chair, you cannot add anymore storage, but you can add one more chair. After adding more storage, you cannot add chairs, but can add 5+ storage",659,Item,24,FALSE
4/6/2022,"i think the edition of more early game area bug will add a lot of incentive to keep playing for newer players, since most players just encounter red ants,weevils and aphids with the occasional larva. I think adding more early game bugs will make the game much more interesting. Maybe more hostile bugs. Maybe ticks, fleas and flys can be added in the early grassland area",371,Feature,17,FALSE
4/7/2022,"I speak in the name of riku and friends community. The game Grounded, I got as a gift from one of my twitch followers. I liked this game from the Beginning, You can experience close up, The Mother's Nature can give a coat. But the Fight that you have to earn a place. In the course of my streams and off Screen Runs. I am many things We noticed we spoke many hours about things. Values ​​Developer, Dear Grounded Community. 1st Idea Caterpillar (Caterpenous Skin and Rape Meat) Recipe Idea: Level 2 Armor Caterpillar Helmet / Vest / Shoes (Beetle and Larvae do not take you as a Danger until you attack them, Set Effect: You need less Water and Food) Later, The Caterpillars become Cocoons (Evolution Baby! xD) The give Silk and Crawler Meat to be too butterflies (You Lake Evolution What is breathtaking) Butterflies drop Butterfly Wing Which One can make to Butterfly Glider (Recipe). With which One can fly back on things and slide through the Air BUT! That costs Endurance, No Endurance = End of the Flight Time So it's worth a duration to boost. So as an alternative to the dandelion glider And you can fly small Obstacles or build simpler bases 2nd Idea If You could bend with the ants. Not Only at first where you wear a LV 1 Ants Armour. But so Later at Late Game I would like to fight with you against Beetle and Spiders. As allies They are almost everywhere, in the garden But i would like to have black ants as friend either and an ant pet  The ants were the first thing that I was very enthusiastic in Grounded Make the ants great again ! ^^ THANK YOU THAT YOU HAVE Read All this Through And a Huge Thank You If You Support IT. Greetings Riku",1654,Feature,26,FALSE
