ISO3,Country,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in Education (2010),Inequality in Education (2011),Inequality in Education (2012),Inequality in Education (2013),Inequality in Education (2014),Inequality in Education (2015),Inequality in Education (2016),Inequality in Education (2017),Inequality in Education (2018),Inequality in Education (2019),Inequality in Education (2020),Inequality in Education (2021)
FJI,Fiji,High,EAP,99.0,11.85438786,11.85438786,11.85438786,11.85438786,11.85438786,,,2.636659279,2.636659279,2.636659279,2.636659279,2.636659279
STP,Sao Tome and Principe,Medium,SSA,138.0,19.992,19.992,19.992,19.992,18.30533,18.30533,18.30533,18.30533,18.30533,18.69702,18.69702,18.69702
KEN,Kenya,Medium,SSA,152.0,26.01787,26.01787,26.01787,26.01787,22.89552,22.89552,22.89552,22.89552,22.89552,22.89552,22.89552,22.89552
ISR,Israel,Very High,,22.0,8.52947,8.431034,7.632879,6.972077,6.736993,6.604792,6.556548,6.58256,6.272,6.272,6.272,6.272
TJK,Tajikistan,Medium,ECA,122.0,,,6.54325,6.54325,6.54325,6.54325,6.54325,6.03825,6.03825,6.03825,6.03825,6.03825
CRI,Costa Rica,Very High,LAC,58.0,13.8051,12.91043,13.01343,12.42771,12.2896,11.91329,12.18311,11.9393,11.58937,11.57677,11.57677,11.57677
BOL,Bolivia,Medium,LAC,118.0,23.6719,21.6249,20.53567,19.90639,20.20261,19.81948,19.3384,19.30221,17.56781,16.54294,16.54294,16.54294
LCA,Saint Lucia,High,LAC,106.0,26.66745775,26.66745775,26.66745775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775
TKM,Turkmenistan,High,ECA,91.0,5.24207,5.24207,,,,,3.55428,3.55428,3.55428,2.94467,2.94467,2.94467
SYR,Syrian Arab Republic,Medium,AS,150.0,28.7093834,28.7093834,28.7093834,28.7093834,28.7093834,28.7093834,,,,,,
KNA,Saint Kitts and Nevis,High,LAC,75.0,,,,,,,,,,,,
AND,Andorra,Very High,,40.0,15.1603022,15.1603022,15.1603022,15.1603022,9.965680746,10.08381514,10.00815435,10.00815435,10.00815435,10.00815435,10.00815435,10.00815435
JAM,Jamaica,High,LAC,110.0,,5.60595,5.60595,5.60595,5.60595,5.60595,5.60595,5.60595,6.51579,6.51579,6.51579,6.51579
PHL,Philippines,Medium,EAP,116.0,13.5,13.5,13.5,11.5562,11.5562,11.5562,11.5562,10.0958,10.0958,10.0958,10.0958,10.0958
MKD,North Macedonia,High,ECA,78.0,17.466,10.53734,10.53734,10.53734,10.53734,10.53734,10.53734,10.53734,8.36817,8.36817,8.36817,8.36817
BTN,Bhutan,Medium,SA,127.0,44.81067,44.81067,44.81067,44.81067,44.81067,44.81067,44.81067,48.22657529,48.22657529,48.22657529,48.22657529,48.22657529
TON,Tonga,High,EAP,91.0,,5.061193561,5.061193561,5.061193561,5.061193561,5.061193561,5.061193561,,,4.30943,4.30943,4.30943
GNQ,Equatorial Guinea,Medium,SSA,145.0,,,,,,,,,,,,
