,Meal Name,Category,Area,Tags
0,Apple Frangipan Tart,Dessert,British,"Tart,Baking,Fruity"
1,Apple & Blackberry Crumble,Dessert,British,Pudding
2,Apam balik,Dessert,Malaysian,NaN
3,Ayam Percik,Chicken,Malaysian,NaN
4,Bakewell tart,Dessert,British,"Tart,Baking,Alcoholic"
5,Bread and Butter Pudding,Dessert,British,"Pudding,Brunch"
6,Beef Wellington,Beef,British,"Meat,Stew"
7,Baingan Bharta,Vegetarian,Indian,"Spicy,Bun,Calorific"
8,Beef Brisket Pot Roast,Beef,American,Meat
9,Beef Sunday Roast,Beef,British,MainMeal
10,Braised Beef Chilli,Beef,Mexican,NaN
11,Beef stroganoff,Beef,Russian,NaN
12,Broccoli & Stilton soup,Starter,British,NaN
13,Bean & Sausage Hotpot,Miscellaneous,British,NaN
14,Banana Pancakes,Dessert,American,"Breakfast,Desert,Sweet"
15,Beef Dumpling Stew,Beef,British,"Stew,Baking"
16,Beef and Mustard Pie,Beef,British,"Meat,Pie"
17,Beef and Oyster pie,Beef,British,Pie
18,Blackberry Fool,Dessert,British,"Desert,Summer,Fruity,Dairy"
19,Battenberg Cake,Dessert,British,"Cake,Sweet"
20,Beef Bourguignon,Beef,French,NaN
21,Brie wrapped in prosciutto & brioche,Side,French,"SideDish,Treat,Baking"
22,Boulangère Potatoes,Side,French,SideDish
23,BeaverTails,Dessert,Canadian,"Treat,Pudding,Speciality"
24,Brown Stew Chicken,Chicken,Jamaican,Stew
25,Beef Lo Mein,Beef,Chinese,NaN
26,Baked salmon with fennel & tomatoes,Seafood,British,"Paleo,Keto,HighFat,Baking,LowCarbs"
27,Budino Di Ricotta,Dessert,Italian,"Cake,Baking,Desert,Sweet,Alcoholic,Calorific"
28,Breakfast Potatoes,Breakfast,Canadian,"Breakfast,Brunch,"
29,Bitterballen (Dutch meatballs),Beef,Dutch,"DinnerParty,HangoverFood,Alcoholic"
30,BBQ Pork Sloppy Joes,Pork,American,NaN
31,"Beef Banh Mi Bowls with Sriracha Mayo, Carrot & Pickled Cucumber",Beef,Vietnamese,NaN
32,Big Mac,Beef,American,NaN
33,Bigos (Hunters Stew),Pork,Polish,NaN
34,Boxty Breakfast,Pork,Irish,NaN
35,Beef Rendang,Beef,Malaysian,NaN
36,Burek,Side,Croatian,"Streetfood, Onthego"
37,Beef Mechado,Beef,Filipino,"Stew, Warming"
38,Bistek,Beef,Filipino,NaN
39,Beef Caldereta,Beef,Filipino,NaN
40,Beef Asado,Beef,Filipino,NaN
41,Bread omelette,Breakfast,Indian,NaN
42,Beetroot Soup (Borscht),Vegetarian,Ukrainian,soup
43,Blini Pancakes,Side,Russian,pancake
44,Chicken Enchilada Casserole,Chicken,Mexican,"Casserole,Cheasy,Meat"
45,Chocolate Gateau,Dessert,French,"Cake,Chocolate,Desert,Pudding"
46,Cream Cheese Tart,Starter,Unknown,"Tart,Savory"
47,Christmas Pudding Flapjack,Dessert,British,"Snack,Cake"
48,Chicken Handi,Chicken,Indian,NaN
49,Chicken Alfredo Primavera,Chicken,Italian,"Pasta,Meat,Dairy"
50,Chicken Fajita Mac and Cheese,Chicken,American,"Pasta,Cheasy,Meat"
51,Cajun spiced fish tacos,Seafood,Mexican,"Spicy,Fish"
52,Crock Pot Chicken Baked Tacos,Chicken,Mexican,NaN
53,Chicken Karaage,Chicken,Japanese,NaN
54,Coq au vin,Chicken,French,NaN
55,Chilli prawn linguine,Pasta,Italian,NaN
56,Clam chowder,Starter,American,NaN
57,Creamy Tomato Soup,Starter,British,Baking
58,Chicken & mushroom Hotpot,Chicken,British,NaN
59,Chicken Couscous,Chicken,Moroccan,NaN
60,Chocolate Avocado Mousse,Dessert,British,NaN
61,Choc Chip Pecan Pie,Dessert,American,"Pie,Desert,Sweet,Nutty"
