"game_id","first","time_control_name","game_end_reason","winner","created_at","last_update","type","game_request.lexicon","game_request.initial_time_seconds","game_request.increment_seconds","game_request.challenge_rule","game_request.game_mode","game_request.rating_mode","game_request.max_overtime_minutes","game_request.player_vs_bot","game_request.bot_type","game_request.rules.board_layout_name","game_request.rules.letter_distribution_name","game_request.rules.variant_name"
"aZXEhjXA","BasicBot","blitz","STANDARD",1,"2024-04-13T23:59:17.150891Z","2024-04-14T00:05:08.701605Z","NATIVE","NWL23",300,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"o2B2TXjz","BasicBot","rapid","STANDARD",1,"2024-04-13T23:55:55.956246Z","2024-04-14T00:01:53.660882Z","NATIVE","CSW21",540,0,"VOID","REAL_TIME","RATED",0,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"AquFMAZz","cafarr","regular","STANDARD",1,"2024-04-13T23:51:37.679305Z","2024-04-14T00:00:36.257459Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"hpNzoMZe","magnolia","rapid","STANDARD",0,"2024-04-13T23:49:46.150828Z","2024-04-13T23:55:51.752662Z","NATIVE","CSW21",540,0,"VOID","REAL_TIME","RATED",0,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"SAFeAwmn","Lucx12","blitz","STANDARD",0,"2024-04-13T23:48:29.609697Z","2024-04-13T23:54:29.987151Z","NATIVE","NWL23",300,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"76mfsw3d","Nancy19809","regular","STANDARD",1,"2024-04-13T23:46:10.910595Z","2024-04-14T00:00:02.994302Z","NATIVE","NWL23",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"5vPXcWbe","MISSOOI","rapid","STANDARD",0,"2024-04-13T23:44:57.304429Z","2024-04-13T23:54:05.706390Z","NATIVE","CSW21",720,5,"VOID","REAL_TIME","CASUAL",0,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"ahfPuxZp","BasicBot","regular","STANDARD",1,"2024-04-13T23:41:54.260475Z","2024-04-13T23:50:14.735224Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"BKstYL6m","BasicBot","regular","STANDARD",0,"2024-04-13T23:32:14.033669Z","2024-04-13T23:46:05.999038Z","NATIVE","NWL23",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"hQCmbKgy","BasicBot","blitz","TIME",0,"2024-04-13T23:24:28.966472Z","2024-04-13T23:30:30.037696Z","NATIVE","NWL23",300,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"6fSudcEP","BasicBot","regular","RESIGNED",0,"2024-04-13T23:20:09.729992Z","2024-04-13T23:24:19.266569Z","NATIVE","NWL23",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
