id,premise,hypothesis,lang_abv
c6d58c3f69,"The boxes are named after Box, Casey, Rachel, Isaiah, Kelly, Kelly and other Columbine High School students who lost their lives earlier this year.","There will also be no memorial to Cassie, one of the deceased students at Coleman High School.",ur
cefcc82292,We should do that.,"When management says what to do, it doesn't allow us to access trade secrets.",ar
e98005252c,Especially because my mother took drugs.,My mother took drugs.,fr
58518c10ba,Dialogue with city officials and other civic and community organizations on the development of IMA arts.,The IMA works with other organizations as they are all dependent on one another for money.,zh-cn
c32b0d16df,He was still there.,"We thought he was gone, however, he stayed.",ru
aa2510d454,Her family has lost a son and a daughter.,The son and daughter have lost their father.,en
865d1c7b16,"Arrangements have been made to enable the planning committee to reflect the qualified community and include representatives from the community, financiers, companies and other partners.",There is enough space on the board to accommodate 35-40 positions.,en
a16f7ed56b,"This may be the first thing I remember since I was a kid, especially about stupid things.",This is one of my first memories.,fr
6d9fa191e6,"Companies (business trusts, venture capital and in-house services) are required to submit verified financial statements.",Financially disadvantaged services are often considered.,en
c156e8fed5,No one knew where they were going.,His arrival was a mystery,sw
f11f1ffffe,How long has he been in his current position,How long has he been in his current position?,en
d41b559e9f,It usually takes a long time to develop a business plan.,You can develop the program faster than expected.,fr
40a9b0f08e,Elements of research and development,Formation of research and development.,en
d8f3da717a,Then I thought about it.,I refused to even think about it.,en
126e3cfa1b,It will probably not be difficult for hackers or drug addicts to translate everything you type into computer language and write in more familiar English.,Hackers are happy to translate computer slang into plain English.,ru
4e9266e800,Yeah.,I'll take care of her right away.,en
6aed8d36c4,He trembled under his arm.,Her hand was soft.,en
25208d6ba0,De Zeit reports that Harrer refused to know him.),Harrer does not claim to know she is him.,en
e2e9ac7c0e,"To improve governance, agencies must obtain and rely on authoritative financial and program information.",Agencies that rely on poor financial information will face management challenges.,en
ba081d77e9,"So let me take a slightly different approach to the beach volleyball saga, as President Gingrich said, if the price of volleyball is unlimited freedom, you'd still find a village. Raise a volleyball net.","If the village could be free, President Gingrich thinks it shouldn't have a volleyball net.",en
736398e1c2,"His proud reluctance has become a 40-year-old hot product, refreshing. But this is not a good signal that he can promote important ideas through Congress.",This is too powerful,en
195bf91d47,"I want to say that autonomous institutions, including this community, individuals and collectives, know how to get along using the natural games that make up their world.",The representative cannot pay.,fr
1560d0a5ef,Nash came to the MIT New Years Eve party wearing only diapers.,Nash has had a lot of bad photos on Instagram.,en
9ac4a418ea,"You know our church collects the most money every year, you know garage sales and you always get clothes you know and","In our church, sales are also made every year.",en
fe8a09a5e0,Wear a hat with some fresh air and stand in the shade of the street.,The buildings are so low that there are no shadows on the streets.,en
47febf64b9,"The creepy secret story explores how the Pentagon gets rid of the extra (soon, bad) weapons.",Repeat the story of the Pentagon's excellent work on removing excessive weapons.,en
c02c110caa,Cause the cold is just stuck in the ground and nowhere to go,Time could not escape from the earth.,en
ecc46e6843,We have taken a number of steps to empower and invest in our people.,Our people feel that they have no power.,en
11bfd51cef,On the hill you will find the Edinburgh Zoo just behind Costorphine Hospital.,The Edinburgh Zoo is situated on a huge hill.,en
c140c2dbe4,Is there enough information to evaluate the public?,Information also provides important information.,en
f43526bc93,"Most of The Slate won't be released next week, the third and final of our traditional summer weeks.","The board will continue as normal, and will be posted weekly.",en
101e77ae70,Challenges in restoring public confidence,Meetings will be held at the town hall to solve social problems.,en
271a1da97e,yes uh uh huh yes that's one of the things uh when you read a newspaper and things that you really like as a critic or that you don't like at all,"Critics like it or not, but I like it",en
ea0b9c3bef,"Yes, and from time to time they will have a dress, but the one who does it will want it and will be wise.",They always carry but do not use enough sage.,en
0802a0f669,"To keep the color fresh, he drew blood from a barrel onto the body, then took his brush to write those faded red colors on the canvas.",He used a red beet dye to paint his picture.,en
ab63216ae6,"That was their goal, oh",He never wanted to.,de
23c3a73fc6,"Harald suggested using another version, in which three people went to Karachi together.",The Herald said that the trio would have a 10% chance of traveling to Karachi in October.,zh-cn
985d338ef8,Matches of the National Football Federation are scheduled.,Seminar dates are set.,en
6f6c6fea9d,"Wolfston easily separated himself from the captain. Will I meet the bishops of the Hell Church, or will I deceive them? Then he threw it away, perhaps for confirmation.","He threw himself into the sand, confirming his point.",sw
c2664ed75b,"More than a mile away, but Washington is one of my favorite places, my daughter lives in Arlington, and when I meet her, I like to ride this bike path and bike, oh my God. , You can travel all the way to South Virginia on your bike.",I like to ride a motorcycle when I meet my daughter.,en
a956661b91,"It stands next to a house called Quad, an old Jacobean Renaissance complex located next to a column in the courtyard.",Quad is a co-ed university residence.,el
0e3e5e73c6,Kinabalu National Park is one of the 6 protected areas in the region.,There are three protected areas in the country.,sw
1ab8fd34c1,"Pick up, click on the word actress, you will get ...",The list of actresses is available to anyone with a computer.,ur
8117fa2533,The company will continue to restructure to meet changing business needs.,The company remains unchanged.,tr
8916c42b8d,"Nowadays the word barbecue is just used to cook meat in a hole, also called a hole.",There were at least two words that meant cooking meat in a well.,sw
c65868964b,"Black, no matter what the black issue or what now",The black problem arose hundreds of years ago.,en
d81aac106b,"You can also look at a Roman scale carved into the rock to measure the length of the river and help former priests make statements about the flood of the Nile, sparking the movement of field workers to community projects such as building temples.",The Egyptians made many technological developments.,en
f677445cdb,At the top of the hill is the old fortress of Cadifekale.,"In the Middle Ages, the fortress withstood several attacks.",en
10805bf82e,clear. His boss waited a few minutes for an answer.,The plot reacts immediately and only as a decoration.,hi
206acf3c75,The Constitution of 1787 states that slave owners have the right to reinstate the escaped slaves in the free zone.,"In 1787, a law was passed forbidding people from taking back free slaves.",vi
9721cfb6ef,UNLV They say that UNLV can be the best amateur team of all time.,UNLV may be the best amateur team of all time.,en
fd8926ffaa,And Mr. Inglethorp's door?,Je! What’s on Mr Inglethorp’s door?,en
530597e45b,"The GAO website (www.gao.gov) contains complete excerpts and text files with current references and guides, as well as a comprehensive archive of old-fashioned products.",The GAO website is very slow and difficult to navigate.,en
90e8e71f2a,And suddenly it came from somewhere. I don't know where it came from,"It comes quickly, but I know where it comes from.",es
95afbb828a,"In August, among critics of the legacy of drama, ballet and opera writers, there was no tradition of costume criticism, including serious analysis or even costume criticism.",Criticism of clothing is serious.,en
4168cf9885,Luara Vadisi,Valley in the Loire region.,en
ebe9ea1ecb,"Then, enter the spacious and majestic Empire Hall, where there are three beautiful marble fountains and a canopy throne where sultans can enjoy their music and dance.",There is no fountain in the Empire Hall at all.,en
868ca44474,Another unit is added to the shared house each time a married couple creates a new family.,A new unit is placed in the common house each time a new family is created by marriage.,en
082942d779,"My style is interesting, but the plot of the story is not here.",The interesting story of my family is a subject I will write about in the future.,bg
a3a051aa28,Dr. Gentilillo recommends developing an Emergency Alcohol Research Center.,This research center will employ ten people.,bg
d1610260dd,"Market testing is familiar with similar or recurring requirements and recent market testing results with federal and non-federal experts involved in written or telephone calls, with announcements from more authoritative sources in relevant publications (i.e.",Ads found from sources in relevant publications are more suitable for market testing.,en
2f7e0f9f3d,"In the film, it is not clear where the secret report that sparked Bergman's interest in cigarettes came from, or who the FDA thought was a good idea to turn him into a Wiegand.",The government turned Bergman into a Wiegand.,en
4d37dcc165,This too was locked or locked from the inside.,It was also locked inside.,en
dbb048e569,Umeda marks the northern edge of the popular business and entertainment district of Kita (which means north) and is the center of New Osaka.,Umeda is the northern end of the entertainment district.,th
560dfbf473,When you grew up you were like when I was like Galveston,You grew up in Gloucester.,en
eabb83cb0c,It will be very hot that day.,The weather will be warm that day.,en
81dbac155f,The 1995 corruption allegations among Rao administration officials also paved the way for a return.,Nobody accused Rao administration officials of corruption in 1995.,en
01874127e0,"The main conclusion that can be drawn from our simulations is that autonomous agents combined with one or more autocatalytic or operating cycles constitute a fully justified open network of nonequilibrium chemical reaction, albeit a new one.",We cannot draw conclusions.,ru
324a4f0da0,"To reach any of these three carbonates, you must walk 20 minutes, 30 minutes or two hours after the end of the trail.","The three types of carbonates have 3 fallout paths, each of varying length and continue even after passing.",en
a0b1eeb830,"Transferring to San Diego on February 4, Hammy and Mikdar arrived in San Diego from Los Angeles under the aegis of Mohdar Abdullah.",Hazmi and Mihdhar went to Southern California.,fr
914b530757,"Pete Buchanan immediately followed, distributing blankets and whiskey bottles contaminated with smallpox.",Pat Buchanan took a step back and tried to reach where he was.,en
f469087306,"There was a clear threat here, a fiery spirit that he could not understand.",The threat was uncertain because the area was covered with fog.,tr
89c44454bb,"Apart from words, grammar, especially syntax, has also changed significantly, although again this is not confusing even for the average modern reader.","The grammar has changed, but not much.",es
