Season,No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions),plot
1,1,1,"""Pilot""",James Burrows,Chuck Lorre & Bill Prady,"September 24, 2007",276023,9.52,"After an unsuccessful visit to the high-IQ sperm bank, Dr. Leonard Hofstadter and Dr. Sheldon Cooper return home to find aspiring actress Penny is their new neighbor across the hall from their apartment. Sheldon thinks Leonard, who is immediately interested in her, is chasing a dream he will never catch. Leonard invites Penny to his and Sheldon's apartment for Indian food, where she asks to use their shower since hers is broken. While wrapped in a towel, she gets to meet their visiting friends Howard Wolowitz, a wannabe ladies' man who tries to hit on her, and Rajesh Koothrappali, who is unable to speak to her as he suffers from selective mutism in the presence of women. Leonard is so infatuated with Penny that, after helping her use their shower, he agrees to retrieve her TV from her ex-boyfriend Kurt. However, Kurt's physical superiority overwhelms Leonard's and Sheldon's combined IQ of 360, and they return without pants or TV. Penny, feeling bad, offers to take the guys out to dinner, initiating a friendship with them."
1,2,2,"""The Big Bran Hypothesis""",Mark Cendrowski,Story by : Chuck Lorre & Bill PradyTeleplay by : Robert Cohen & Dave Goetsch,"October 1, 2007",3T6601,8.58,"When Sheldon and Leonard drop off a box of flat pack furniture that came for Penny, Sheldon is deeply disturbed at how messy and disorganized her apartment is. Later that night, while Penny sleeps, the obsessive-compulsive Sheldon, unable to sleep, sneaks into her apartment to organize and clean it. Leonard finds out and reluctantly helps him. The next morning, Penny is furious to discover they had been in her apartment. Sheldon tries to apologize to Penny but fails by remarking that Leonard is a ""gentle and thorough lover"". Later, Penny encounters Raj in the hallway. Though he cannot talk to Penny, she calms down whilst telling him about the issue, reasoning the guys were just trying to help her, and hugs Raj. Then Leonard apologizes, prompting Penny to forgive and hug him. Title reference: Sheldon having Big Bran cereal (with higher fiber content) after Penny finds out her apartment has been rearranged."
1,3,3,"""The Fuzzy Boots Corollary""",Mark Cendrowski,Story by : Chuck LorreTeleplay by : Bill Prady & Steven Molaro,"October 8, 2007",3T6602,8.36,"When a dejected Leonard sees Penny kissing a man in front of her apartment door, the guys persuade him to date someone at work, so he approaches fellow scientist Leslie Winkle. In an experiment to strip the usual dating procedure to its essentials, she suggests fast forwarding to a kiss. She finds their kiss good but unexciting, so she turns him down. As Leonard becomes more depressed, thinking of buying a cat, Sheldon points out that Penny never rejected him as he never asked her out, so Leonard asks her out to dinner. As she misinterprets this as an invitation to hang out with all the guys, he devises reasons for their absence from the date. Penny says the man Leonard saw was not her boyfriend: casual weekend sex helps her get over relationships. Leonard, excited, regains his confidence, but he accidentally hurts himself and Penny has to take him home. In the end, Leonard does not find the courage to reveal his true feelings to Penny, though she suspected what he was up to. Title reference: One of the names Leonard was considering for his cat."
1,4,4,"""The Luminous Fish Effect""",Mark Cendrowski,Story by : Chuck Lorre & Bill PradyTeleplay by : David Litt & Lee Aronsohn,"October 15, 2007",3T6603,8.15,"At the university, Sheldon is fired from his job as a physicist after insulting his new boss Dr. Eric Gablehauser. Sheldon's change of circumstance triggers a downward spiral of depression in which he fails to improve scrambled eggs, develops luminous fish for nightlights, and weaves on a hand loom. Worried, Leonard calls Sheldon's mother, Mary Cooper. When she visits, the men realize she is the complete opposite of their expectations: she is sweet, down-to-earth, a devout Christian, and a loving and caring mother. Mary finally forces Sheldon to apologize, who is given his job back after she flirts with Dr. Gablehauser. Title reference: Sheldon creating glow-in-the-dark fish during his period of unemployment. A line of genetically modified fluorescent fish using the green fluorescent protein (and variants) from jellyfish, the GloFish, was actually developed and began selling in 2003."
1,5,5,"""The Hamburger Postulate""",Andrew D. Weyman,Story by : Jennifer GlickmanTeleplay by : Dave Goetsch & Steven Molaro,"October 22, 2007",3T6604,8.81,"The guys, eating at the Cheesecake Factory where Penny works, are approached by Leslie Winkle. She wants Leonard to play cello in her string quartet as the other players are uncomfortable near the current cellist who was possibly irradiated at work. After the quartet practice in Leonard and Sheldon's apartment, Leslie seduces Leonard for the night, making Sheldon so uneasy that he repeatedly asks Penny's advice. Penny later congratulates Leonard, who tries to figure out what she meant. Leonard decides to pursue a real relationship with Leslie rather than an imaginary one with Penny, but at her lab, Leslie makes it clear she is not interested in a relationship: she just needed him for a one-night stand to satisfy her sex drive - which is now satisfied until New Year. Leonard later tells Penny, who reassures him and walks away smiling. Title reference: Sheldon switching his favorite burger restaurant."
1,6,6,"""The Middle-earth Paradigm""",Mark Cendrowski,Story by : Dave GoetschTeleplay by : David Litt & Robert Cohen,"October 29, 2007",3T6605,8.92,"Penny invites the guys to her Halloween party. They at first decline as they do not dance, but accept when costumes are mentioned. At the party they have problems socializing: Sheldon is unable to explain his Doppler effect costume since none of Penny's friends are physicists or smart enough to understand it; Raj (dressed as Thor) cannot speak to women; Howard as Robin Hood is mistaken for Peter Pan; and Leonard (dressed as Frodo Baggins from The Lord of the Rings) is insecure. Penny's ex-boyfriend Kurt (underdressed as a very tall, muscular caveman) later shows up and aggressively confronts Leonard, causing him to leave. A drunk Penny goes to check on Leonard and apologizes for Kurt's behavior, confessing that Kurt played on her emotions to come to her party. She is very upset, but Leonard tells her she is perfect, and they kiss, but Leonard stops it from going any further, not wanting to take advantage of her drunken and emotional state. They kiss again, in sight of Kurt, Leonard saying ""That's how we roll at the Shire!"" before locking his apartment door in panic. Meanwhile, Howard cannot find Raj, who is at home sleeping with a girl who finds him to be a ""very good listener"". Title reference: Leonard's Halloween costume."
1,7,7,"""The Dumpling Paradox""",Mark Cendrowski,Story by : Chuck Lorre & Bill PradyTeleplay by : Lee Aronsohn & Jennifer Glickman,"November 5, 2007",3T6606,9.68,"Penny's promiscuous acquaintance Christy from Omaha, Nebraska, ""kind of family"" since she slept with Penny's brother whilst engaged to her cousin, arrives to visit Penny indefinitely, and immediately beds Howard in Penny's apartment which the pair take over. Penny replaces Howard as a Halo 3 player and displays natural talent, to Sheldon's disbelief. To avoid the noisy ""lovers"", Penny sleeps on Leonard and Sheldon's couch that night. Next day, Howard invites Christy to move in with him (and his mother), taking up all his time. Distraught at the odd number in the group, Sheldon invites Penny to play Halo again, but she prefers to go dancing. The guys believe their group is falling apart and go to speak to Howard. There they hear Howard's mother arguing loudly with Christy, causing her to leave. Howard, single again, goes to play Halo with the guys, and the group is restored, completely ignoring Penny and her three attractive friends who briefly appear at the door. Title reference: The scene where Leonard, Sheldon, and Raj are at the Chinese restaurant and do not know what to do with the spare dumpling which Howard would normally have eaten."
1,8,8,"""The Grasshopper Experiment""",Ted Wass,Story by : Dave Goetsch & Steven MolaroTeleplay by : Lee Aronsohn & Robert Cohen,"November 12, 2007",3T6607,9.32,"Raj introduces his parents, Dr. V.M. Koothrappali and Mrs. Koothrappali, to his friends via webcam. However, Raj is overwhelmed when his parents try to arrange him a date with Lalita Gupta, a childhood friend and dental student, as he cannot talk to women. To Raj's annoyance, Howard, using a fake Indian accent to impersonate Raj, phones Lalita to set up a date for them. Meanwhile, Penny takes up bar tending for some extra money. She practices mixing drinks with the guys, and they discover Raj is able to speak to women after drinking alcohol. They decide his date should be at Penny's restaurant so she and the guys can keep an eye on Raj's behavior when drinking. On his date, Raj becomes an obnoxious drunk, angering Lalita, who has no intentions of marrying Raj and had only agreed to the date to placate her parents. After Sheldon flatters Lalita with compliments comparing her to Princess Panchali, an Indian fairy tale princess, she takes him away for a meal, to Raj's horror. When Raj tries to explain all this to his parents, they are angry about his drinking. Title reference: The drink (a Grasshopper) that enabled Raj to speak to women."
1,9,9,"""The Cooper-Hofstadter Polarization""",Joel Murray,Story by : Bill Prady & Stephen EngelTeleplay by : Chuck Lorre & Lee Aronsohn & Dave Goetsch,"March 17, 2008",3T6608,9.11,"Leonard cleans up after an Internet experiment, and in the trash can he finds an invitation to him and Sheldon to present their joint research at an academic conference. Sheldon disapproves of presenting research in person, but Leonard defies him and goes alone. This causes a rift between the two which Penny tries to mend but accidentally makes worse. Sheldon appears at the conference and tries to discredit Leonard's presentation by attempting to ""blow up"" Leonard's head with his mind à la the movie Scanners, starting a physical altercation between the two. Howard films the fight on his cellphone and puts it on YouTube, but angers Penny by also posting a photo on Facebook of her sleeping on his shoulder during the presentation, entitled ""Me and my girlfriend"". Title reference: The rift between Leonard and Sheldon."
1,10,10,"""The Loobenfeld Decay""",Mark Cendrowski,Story by : Chuck LorreTeleplay by : Bill Prady & Lee Aronsohn,"March 24, 2008",3T6609,8.63,"Penny is given a part in the musical Rent, but after Leonard and Sheldon hear her off-key singing, Leonard lies to avoid having to see her perform and hurt her feelings. Sheldon, worried that Leonard's lie was inadequate, devises an intricate lie about his nonexistent drug-addicted cousin ""Leopold Houston"" needing an intervention the night of the play. Sheldon is so obsessed with his lie's credibility that he has Toby Loobenfeld, a research assistant who double majored in Physics and Theatre, impersonate cousin ""Leo"" to convince Penny the lie is true. In the end, Leonard must still see the video of Penny's performance, and Penny and ""Leo"" start flirting. Title reference: The name of the physicist/actor, Toby Loobenfeld, who plays the fictional cousin."
