,Unnamed: 0,Reviews,Airline,Lowercase,PunctuationsRemoved,OtherTextsRemoved,StopWordsRemoved
0,0,"✅ Trip Verified |  Recently my daughter and I flew to Shanghai from Toronto on Air Canada. When we arrived in Shanghai, there was a problem with my daughter's visa and we were sent back to Toronto. It was such a difficult thing for us! Painful! But the staff on both the flight from Shanghai to Seoul and then from Seoul to Shanghai were unbelievably kind and thoughtful. They immediately offered words of encouragement, a listening ear, and comfort. I was so impressed at how a little kindness (a lot of kindness, in this case) can make such a difference when one is in distress! Either your teams are well-trained for situations like this, or they are just intuitive. I don't know. But hats off to Don and his crew! I wish I knew all of your names! We will certainly remember Air Canada and choose you again!",Air Canada,"✅ trip verified | recently my daughter and i flew to shanghai from toronto on air canada. when we arrived in shanghai, there was a problem with my daughter's visa and we were sent back to toronto. it was such a difficult thing for us! painful! but the staff on both the flight from shanghai to seoul and then from seoul to shanghai were unbelievably kind and thoughtful. they immediately offered words of encouragement, a listening ear, and comfort. i was so impressed at how a little kindness (a lot of kindness, in this case) can make such a difference when one is in distress! either your teams are well-trained for situations like this, or they are just intuitive. i don't know. but hats off to don and his crew! i wish i knew all of your names! we will certainly remember air canada and choose you again!", Trip Verified |  Recently my daughter and I flew to Shanghai from Toronto on Air Canada When we arrived in Shanghai there was a problem with my daughters visa and we were sent back to Toronto It was such a difficult thing for us Painful But the staff on both the flight from Shanghai to Seoul and then from Seoul to Shanghai were unbelievably kind and thoughtful They immediately offered words of encouragement a listening ear and comfort I was so impressed at how a little kindness a lot of kindness in this case can make such a difference when one is in distress Either your teams are welltrained for situations like this or they are just intuitive I dont know But hats off to Don and his crew I wish I knew all of your names We will certainly remember Air Canada and choose you again, Trip Verified |  Recently my daughter and I flew to Shanghai from Toronto on Air Canada When we arrived in Shanghai there was a problem with my daughters visa and we were sent back to Toronto It was such a difficult thing for us Painful But the staff on both the flight from Shanghai to Seoul and then from Seoul to Shanghai were unbelievably kind and thoughtful They immediately offered words of encouragement a listening ear and comfort I was so impressed at how a little kindness a lot of kindness in this case can make such a difference when one is in distress Either your teams are welltrained for situations like this or they are just intuitive I dont know But hats off to Don and his crew I wish I knew all of your names We will certainly remember Air Canada and choose you again,Trip Verified | Recently daughter I flew Shanghai Toronto Air Canada When arrived Shanghai problem daughters visa sent back Toronto It difficult thing us Painful But staff flight Shanghai Seoul Seoul Shanghai unbelievably kind thoughtful They immediately offered words encouragement listening ear comfort I impressed little kindness lot kindness case make difference one distress Either teams welltrained situations like intuitive I dont know But hats Don crew I wish I knew names We certainly remember Air Canada choose
1,1,"✅ Trip Verified |  First the LAX ticket counter didn't open until 6am, we had a 7am flight. They wouldn't allow people to enter the correct space to check in and instead caused a line thru the terminal. Same thing at YVR. One of my worst airline experiences ever. Ticket counter staff all rude and unprofessional.",Air Canada,"✅ trip verified | first the lax ticket counter didn't open until 6am, we had a 7am flight. they wouldn't allow people to enter the correct space to check in and instead caused a line thru the terminal. same thing at yvr. one of my worst airline experiences ever. ticket counter staff all rude and unprofessional.", Trip Verified |  First the LAX ticket counter didnt open until 6am we had a 7am flight They wouldnt allow people to enter the correct space to check in and instead caused a line thru the terminal Same thing at YVR One of my worst airline experiences ever Ticket counter staff all rude and unprofessional, Trip Verified |  First the LAX ticket counter didnt open until 6am we had a 7am flight They wouldnt allow people to enter the correct space to check in and instead caused a line thru the terminal Same thing at YVR One of my worst airline experiences ever Ticket counter staff all rude and unprofessional,Trip Verified | First LAX ticket counter didnt open 6am 7am flight They wouldnt allow people enter correct space check instead caused line thru terminal Same thing YVR One worst airline experiences ever Ticket counter staff rude unprofessional
2,2,"✅ Trip Verified |  
We had to go back from starting track to the gate because of technical reasons. Almost 3 hours in the airplane at ground, but nobody served water or drinks. Very bad experience.",Air Canada,"✅ trip verified | we had to go back from starting track to the gate because of technical reasons. almost 3 hours in the airplane at ground, but nobody served water or drinks. very bad experience."," Trip Verified |  
We had to go back from starting track to the gate because of technical reasons Almost 3 hours in the airplane at ground but nobody served water or drinks Very bad experience"," Trip Verified |  
We had to go back from starting track to the gate because of technical reasons Almost 3 hours in the airplane at ground but nobody served water or drinks Very bad experience",Trip Verified | We go back starting track gate technical reasons Almost 3 hours airplane ground nobody served water drinks Very bad experience
3,3,✅ Trip Verified |  First start off my trip with my first flight delayed 2 hours making me miss my connecting flight. I pick my seats in advance and both times i was moved to the back of the plane with no explanation and when I ask to have my seat back they say it’s out of their control or say they were putting people together. So these people poor planning is now my issue? Awful staff not helpful at all. I could’ve drove to my destination with all the delays and problems.,Air Canada,✅ trip verified | first start off my trip with my first flight delayed 2 hours making me miss my connecting flight. i pick my seats in advance and both times i was moved to the back of the plane with no explanation and when i ask to have my seat back they say it’s out of their control or say they were putting people together. so these people poor planning is now my issue? awful staff not helpful at all. i could’ve drove to my destination with all the delays and problems., Trip Verified |  First start off my trip with my first flight delayed 2 hours making me miss my connecting flight I pick my seats in advance and both times i was moved to the back of the plane with no explanation and when I ask to have my seat back they say its out of their control or say they were putting people together So these people poor planning is now my issue Awful staff not helpful at all I couldve drove to my destination with all the delays and problems, Trip Verified |  First start off my trip with my first flight delayed 2 hours making me miss my connecting flight I pick my seats in advance and both times i was moved to the back of the plane with no explanation and when I ask to have my seat back they say its out of their control or say they were putting people together So these people poor planning is now my issue Awful staff not helpful at all I couldve drove to my destination with all the delays and problems,Trip Verified | First start trip first flight delayed 2 hours making miss connecting flight I pick seats advance times moved back plane explanation I ask seat back say control say putting people together So people poor planning issue Awful staff helpful I couldve drove destination delays problems
4,4,"✅ Trip Verified | I booked a flight through flighthub and due to Covid had to cancel, first they wanted to give a voucher and then the government ordered the refund after a year. I have been back and forth with Air Canada and Flighthub both saying the other should issue the refund. It takes forever to get anyone on the phone and last time I got someone in November 2021 that was to get back to me within a week and no response came. My credit card been out $1550 + since over 2 years accruing interest. =",Air Canada,"✅ trip verified | i booked a flight through flighthub and due to covid had to cancel, first they wanted to give a voucher and then the government ordered the refund after a year. i have been back and forth with air canada and flighthub both saying the other should issue the refund. it takes forever to get anyone on the phone and last time i got someone in november 2021 that was to get back to me within a week and no response came. my credit card been out $1550 + since over 2 years accruing interest. =", Trip Verified | I booked a flight through flighthub and due to Covid had to cancel first they wanted to give a voucher and then the government ordered the refund after a year I have been back and forth with Air Canada and Flighthub both saying the other should issue the refund It takes forever to get anyone on the phone and last time I got someone in November 2021 that was to get back to me within a week and no response came My credit card been out 1550  since over 2 years accruing interest , Trip Verified | I booked a flight through flighthub and due to Covid had to cancel first they wanted to give a voucher and then the government ordered the refund after a year I have been back and forth with Air Canada and Flighthub both saying the other should issue the refund It takes forever to get anyone on the phone and last time I got someone in November 2021 that was to get back to me within a week and no response came My credit card been out 1550  since over 2 years accruing interest ,Trip Verified | I booked flight flighthub due Covid cancel first wanted give voucher government ordered refund year I back forth Air Canada Flighthub saying issue refund It takes forever get anyone phone last time I got someone November 2021 get back within week response came My credit card 1550 since 2 years accruing interest
5,5,"Not Verified |  4 hours flight from Vancouver to Toronto started with a delay, then entertainment system did not work even though they tried to reset it, asked if could switch to another seat but the no, asked if they could offer me a pass for the internet access they said they could not, end up paying $20 for a wifi access that was just as bad as the rest of the experience with Air Canada. Don't pay for internet you wont be able to stream anything.",Air Canada,"not verified | 4 hours flight from vancouver to toronto started with a delay, then entertainment system did not work even though they tried to reset it, asked if could switch to another seat but the no, asked if they could offer me a pass for the internet access they said they could not, end up paying $20 for a wifi access that was just as bad as the rest of the experience with air canada. don't pay for internet you wont be able to stream anything.",Not Verified |  4 hours flight from Vancouver to Toronto started with a delay then entertainment system did not work even though they tried to reset it asked if could switch to another seat but the no asked if they could offer me a pass for the internet access they said they could not end up paying 20 for a wifi access that was just as bad as the rest of the experience with Air Canada Dont pay for internet you wont be able to stream anything,Not Verified |  4 hours flight from Vancouver to Toronto started with a delay then entertainment system did not work even though they tried to reset it asked if could switch to another seat but the no asked if they could offer me a pass for the internet access they said they could not end up paying 20 for a wifi access that was just as bad as the rest of the experience with Air Canada Dont pay for internet you wont be able to stream anything,Not Verified | 4 hours flight Vancouver Toronto started delay entertainment system work even though tried reset asked could switch another seat asked could offer pass internet access said could end paying 20 wifi access bad rest experience Air Canada Dont pay internet wont able stream anything
6,6,"Not Verified |  Flight to Toronto delayed over 5 hours resulting in missed connect and waited over an hour on the phone only for them to disconnect the line. Arrive in Toronto at 0050 and they say we aren't helping you we're closed and that they understand. What a joke, you understand as you go home and we are stranded in the airport. Not the first time this has happened. Last time coming home from Costa Rica only i didn't have the energy to fight for my refund or any kind of compensation. ",Air Canada,"not verified | flight to toronto delayed over 5 hours resulting in missed connect and waited over an hour on the phone only for them to disconnect the line. arrive in toronto at 0050 and they say we aren't helping you we're closed and that they understand. what a joke, you understand as you go home and we are stranded in the airport. not the first time this has happened. last time coming home from costa rica only i didn't have the energy to fight for my refund or any kind of compensation.",Not Verified |  Flight to Toronto delayed over 5 hours resulting in missed connect and waited over an hour on the phone only for them to disconnect the line Arrive in Toronto at 0050 and they say we arent helping you were closed and that they understand What a joke you understand as you go home and we are stranded in the airport Not the first time this has happened Last time coming home from Costa Rica only i didnt have the energy to fight for my refund or any kind of compensation ,Not Verified |  Flight to Toronto delayed over 5 hours resulting in missed connect and waited over an hour on the phone only for them to disconnect the line Arrive in Toronto at 0050 and they say we arent helping you were closed and that they understand What a joke you understand as you go home and we are stranded in the airport Not the first time this has happened Last time coming home from Costa Rica only i didnt have the energy to fight for my refund or any kind of compensation ,Not Verified | Flight Toronto delayed 5 hours resulting missed connect waited hour phone disconnect line Arrive Toronto 0050 say arent helping closed understand What joke understand go home stranded airport Not first time happened Last time coming home Costa Rica didnt energy fight refund kind compensation
7,7,"✅ Trip Verified | I purchased an all inclusive package with Air Canada Vacations. My flight was to be from Ottawa to Montreal to Cayo Coco. My first flight kept getting delayed, but I was assured that my connection in Montreal would wait because it was a charter. I arrived in Montreal and was told my connecting flight had left and there was nothing they could do. I was treated with unbelievable hostility. I arrived at Ottawa airport at 07.20 and returned the next morning at 03.00. Air Canada vacations takes no responsibility that my flight left late, missing my connection, and refuse to refund my package, but did offer me a 25% discount on my next travel purchase. I wouldn’t travel with this airline again. They basically took over $1200 from my pocket and refuse to return it. I did eventually get to Cayo Coco, but chose Sunwing instead.",Air Canada,"✅ trip verified | i purchased an all inclusive package with air canada vacations. my flight was to be from ottawa to montreal to cayo coco. my first flight kept getting delayed, but i was assured that my connection in montreal would wait because it was a charter. i arrived in montreal and was told my connecting flight had left and there was nothing they could do. i was treated with unbelievable hostility. i arrived at ottawa airport at 07.20 and returned the next morning at 03.00. air canada vacations takes no responsibility that my flight left late, missing my connection, and refuse to refund my package, but did offer me a 25% discount on my next travel purchase. i wouldn’t travel with this airline again. they basically took over $1200 from my pocket and refuse to return it. i did eventually get to cayo coco, but chose sunwing instead.", Trip Verified | I purchased an all inclusive package with Air Canada Vacations My flight was to be from Ottawa to Montreal to Cayo Coco My first flight kept getting delayed but I was assured that my connection in Montreal would wait because it was a charter I arrived in Montreal and was told my connecting flight had left and there was nothing they could do I was treated with unbelievable hostility I arrived at Ottawa airport at 0720 and returned the next morning at 0300 Air Canada vacations takes no responsibility that my flight left late missing my connection and refuse to refund my package but did offer me a 25 discount on my next travel purchase I wouldnt travel with this airline again They basically took over 1200 from my pocket and refuse to return it I did eventually get to Cayo Coco but chose Sunwing instead, Trip Verified | I purchased an all inclusive package with Air Canada Vacations My flight was to be from Ottawa to Montreal to Cayo Coco My first flight kept getting delayed but I was assured that my connection in Montreal would wait because it was a charter I arrived in Montreal and was told my connecting flight had left and there was nothing they could do I was treated with unbelievable hostility I arrived at Ottawa airport at 0720 and returned the next morning at 0300 Air Canada vacations takes no responsibility that my flight left late missing my connection and refuse to refund my package but did offer me a 25 discount on my next travel purchase I wouldnt travel with this airline again They basically took over 1200 from my pocket and refuse to return it I did eventually get to Cayo Coco but chose Sunwing instead,Trip Verified | I purchased inclusive package Air Canada Vacations My flight Ottawa Montreal Cayo Coco My first flight kept getting delayed I assured connection Montreal would wait charter I arrived Montreal told connecting flight left nothing could I treated unbelievable hostility I arrived Ottawa airport 0720 returned next morning 0300 Air Canada vacations takes responsibility flight left late missing connection refuse refund package offer 25 discount next travel purchase I wouldnt travel airline They basically took 1200 pocket refuse return I eventually get Cayo Coco chose Sunwing instead
8,8,"Not Verified |  I cancelled my family of four's Air Canada flights for Dec 2021 because of Omicron/COVID and Canada's desire to limit travel. Other flights I had booked for this same trip with American Airlines and Southwest I was immediately able to get credits to use for the future. But Air Canada made me fill out an online case report in order to request a credit. However they have not responded to my cases, they provide no email or phone assistance (waited for 40min to find that out) and the online chat bot only tells me the cases are 'closed' with no explanation. I will avoid booking with Air Canada because of this lack of service.",Air Canada,"not verified | i cancelled my family of four's air canada flights for dec 2021 because of omicron/covid and canada's desire to limit travel. other flights i had booked for this same trip with american airlines and southwest i was immediately able to get credits to use for the future. but air canada made me fill out an online case report in order to request a credit. however they have not responded to my cases, they provide no email or phone assistance (waited for 40min to find that out) and the online chat bot only tells me the cases are 'closed' with no explanation. i will avoid booking with air canada because of this lack of service.",Not Verified |  I cancelled my family of fours Air Canada flights for Dec 2021 because of OmicronCOVID and Canadas desire to limit travel Other flights I had booked for this same trip with American Airlines and Southwest I was immediately able to get credits to use for the future But Air Canada made me fill out an online case report in order to request a credit However they have not responded to my cases they provide no email or phone assistance waited for 40min to find that out and the online chat bot only tells me the cases are closed with no explanation I will avoid booking with Air Canada because of this lack of service,Not Verified |  I cancelled my family of fours Air Canada flights for Dec 2021 because of OmicronCOVID and Canadas desire to limit travel Other flights I had booked for this same trip with American Airlines and Southwest I was immediately able to get credits to use for the future But Air Canada made me fill out an online case report in order to request a credit However they have not responded to my cases they provide no email or phone assistance waited for 40min to find that out and the online chat bot only tells me the cases are closed with no explanation I will avoid booking with Air Canada because of this lack of service,Not Verified | I cancelled family fours Air Canada flights Dec 2021 OmicronCOVID Canadas desire limit travel Other flights I booked trip American Airlines Southwest I immediately able get credits use future But Air Canada made fill online case report order request credit However responded cases provide email phone assistance waited 40min find online chat bot tells cases closed explanation I avoid booking Air Canada lack service
9,9,✅ Trip Verified |  I had an 8 hour of flight from Brussel to Montreal. We were served with lunch and a snack. No refreshments were served in between. I asked for baby food and flight attendant said I had to request it in advance.  Extremely disappointed with this airline. They are charging so much for the tickets but the service in return is absolutely zero. Flight attendants were rude to me. I will try to avoid them for my next travel. ,Air Canada,✅ trip verified | i had an 8 hour of flight from brussel to montreal. we were served with lunch and a snack. no refreshments were served in between. i asked for baby food and flight attendant said i had to request it in advance. extremely disappointed with this airline. they are charging so much for the tickets but the service in return is absolutely zero. flight attendants were rude to me. i will try to avoid them for my next travel., Trip Verified |  I had an 8 hour of flight from Brussel to Montreal We were served with lunch and a snack No refreshments were served in between I asked for baby food and flight attendant said I had to request it in advance  Extremely disappointed with this airline They are charging so much for the tickets but the service in return is absolutely zero Flight attendants were rude to me I will try to avoid them for my next travel , Trip Verified |  I had an 8 hour of flight from Brussel to Montreal We were served with lunch and a snack No refreshments were served in between I asked for baby food and flight attendant said I had to request it in advance  Extremely disappointed with this airline They are charging so much for the tickets but the service in return is absolutely zero Flight attendants were rude to me I will try to avoid them for my next travel ,Trip Verified | I 8 hour flight Brussel Montreal We served lunch snack No refreshments served I asked baby food flight attendant said I request advance Extremely disappointed airline They charging much tickets service return absolutely zero Flight attendants rude I try avoid next travel
