"country","AverageNetWorthTotalWealth2021","AverageNetWorthGDPPerAdult2021","AverageNetWorthWealthPerAdult2021","AverageNetWorthShareOfWorldWealth2021"
"India",14225,3465,15535,3.07
"China",85107,15765,76639,18.36
"United States",145793,91340,579051,31.45
"Indonesia",3405,6472,18534,0.73
"Pakistan",790,2366,6237,0.2
"Nigeria",752,4218,7618,0.2
"Brazil",3327,9993,21429,0.72
"Bangladesh",1026,3333,9490,0.22
"Russia",3789,15750,34005,0.8
"Ethiopia",228,1679,3861,0.05
"Mexico",4167,14546,48138,0.9
"Japan",25692,45449,245238,5.54
"Egypt",1405,6626,23134,0.3
"Philippines",992,5580,14502,0.2
"DR Congo",59,1292,1438,0.01
"Vietnam",985,4186,14246,0.21
"Iran",2292,24359,39093,0.49
"Turkey",1142,9403,19496,0.3
"Germany",17489,59423,256985,3.77
"Thailand",1341,8926,24638,0.3
"United Kingdom",16261,59377,309375,3.51
"Tanzania",122,2528,4260,
"France",16159,56125,322074,3.49
"South Africa",938,9177,24601,0.2
"Italy",11512,40324,231323,2.48
"Kenya",369,3856,12987,0.08
"Myanmar",258,1973,7112,0.1
"Colombia",616,8737,17079,0.13
"South Korea",10149,40600,237644,2.19
"Sudan",,2802,,
"Uganda",49,2129,2387,0.01
"Spain",8431,36083,222888,1.8
"Algeria",284,5885,10141,0.06
"Iraq",371,9399,16919,0.08
"Argentina",326,15433,10446,0.07
"Afghanistan",41,1149,2139,0.01
"Yemen",123,2073,7808,0.03
"Canada",12362,64188,409297,2.67
"Poland",1525,21200,50426,0.3
"Morocco",374,5333,15164,0.08
"Angola",55,5363,3701,0.01
"Ukraine",679,5779,19742,0.15
"Uzbekistan",,3063,,
"Malaysia",615,16254,27078,0.13
"Mozambique",16,1097,1117,
"Ghana",130,4480,7604,0.03
"Peru",477,9761,20940,0.1
"Saudi Arabia",2073,33785,84407,0.5
"Madagascar",30,990,2118,0.01
"Ivory Coast",,5296,,
"Nepal",78,1812,4189,
"Cameroon",46,3354,3490,0.01
"Venezuela",531,5568,28243,0.11
"Niger",14,1474,1420,
"Australia",10649,85678,550110,2.3
"North Korea",,931,,
"Syria",18,1590,1562,
"Mali",23,2131,2629,0.01
"Burkina Faso",16,1946,1618,
"Taiwan",5878,40010,297864,1.3
"Sri Lanka",401,5555,27040,0.1
"Malawi",22,1313,2378,
"Zambia",27,2398,3084,0.01
"Kazakhstan",523,15514,42559,0.11
"Chad",10,1677,1372,
"Chile",785,22107,54639,0.17
"Romania",640,18685,42351,0.1
"Somalia",,280,,
"Senegal",41,3341,5001,
"Guatemala",,8198,,
"Netherlands",5422,72065,400828,1.2
"Ecuador",238,9125,20539,0.05
"Cambodia",65,2538,6270,0.01
"Zimbabwe",71,4220,9791,0.02
"Guinea",25,2830,3935,0.01
"Benin",18,2810,2976,
"Rwanda",28,1642,4179,
"Burundi",4,660,809,
"Bolivia",102,5441,14098,0.02
"Tunisia",174,5171,20981,
"South Sudan",,2204,,
"Haiti",9,3326,1358,
"Belgium",3440,63611,381114,0.74
"Jordan",184,7594,30814,0.04
"Dominican Republic",,13374,,
"United Arab Emirates",994,50662,122841,0.21
"Cuba",,12849,,
"Honduras",,4643,,
"Czech Republic",701,33177,82240,0.15
"Sweden",2990,75994,381968,0.7
"Tajikistan",25,1561,4597,
"Papua New Guinea",43,5090,8449,
"Portugal",1287,28700,154377,0.3
"Azerbaijan",115,7549,15953,0.02
"Greece",914,24534,108300,0.2
"Hungary",547,23831,70668,0.12
"Togo",6,1885,1518,
"Israel",1564,87463,273417,0.34
"Austria",1825,62610,250125,0.39
"Belarus",193,9129,26221,0.04
"Switzerland",4878,116239,696604,1.1
"Sierra Leone",3,978,799,
"Laos",35,4364,7916,0.01
"Turkmenistan",78,13511,20588,
"Hong Kong",3492,58876,552930,0.75
"Libya",44,10870,9732,0.01
"Kyrgyzstan",25,2126,6276,0.01
"Paraguay",55,8411,12078,
"Nicaragua",57,3405,13523,
"Bulgaria",241,14491,43631,0.05
"Serbia",179,11538,32816,
"El Salvador",164,6658,38523,0.04
"Republic of the Congo",5,4509,1841,
"Denmark",1935,83561,426494,0.42
"Singapore",1766,78784,358204,0.4
"Lebanon",345,16311,75734,0.07
"Finland",817,64698,186208,0.18
"Liberia",14,1103,5259,
"Norway",1413,111297,334432,0.3
"Slovakia",276,25325,63493,0.1
"Palestine",,6465,,
"Central African Republic",2,1129,980,
"Oman",156,19311,40962,
"Ireland",920,130484,251337,0.2
"New Zealand",1716,68589,472153,0.4
"Mauritania",7,3648,2938,
"Costa Rica",171,16984,45677,0.04
"Kuwait",545,42522,171348,0.12
"Panama",145,21512,49935,
"Croatia",224,20637,68272,0.05
"Georgia",46,6365,15673,0.01
"Eritrea",5,1290,3113,
"Mongolia",15,7178,7310,
"Uruguay",147,23353,57726,0.03
"Puerto Rico",,48031,,
"Bosnia and Herzegovina",87,8453,33122,0.02
"Qatar",445,74975,188106,0.1
"Moldova",59,4440,18392,0.01
"Namibia",31,8869,22369,
"Armenia",47,6395,21802,0.01
"Lithuania",136,29276,63508,0.03
"Jamaica",45,7265,21712,0.01
"Albania",78,8203,35529,0.02
"Gambia",3,1761,2942,
"Gabon",23,15195,18647,
"Botswana",27,13514,19388,0.01
"Lesotho",2,2159,1724,
"Guinea-Bissau",2,1488,1896,
"Slovenia",179,35284,107476,
"Equatorial Guinea",20,15920,24769,
"Latvia",127,25657,87270,0.03
"North Macedonia",,8624,,
"Bahrain",132,28136,98031,0.3
"Trinidad and Tobago",51,20623,49567,
"Timor-Leste",4,3336,5849,
"Estonia",80,33405,77360,0.02
"Cyprus",103,38463,149824,0.02
"Mauritius",63,11353,65031,0.01
"Eswatini",,7351,,
"Djibouti",2,5704,3755,
"Fiji",12,8047,20518,
"Reunion",,38036,,
"Comoros",3,2863,6062,
"Guyana",7,15122,14389,
"Solomon Islands",6,3699,15596,
"Bhutan",,4696,,
"Macau",,52442,,
