name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,date
Egypt,EGY,EGP,8.0,5.92,,2003-04-01
Portugal,PRT,EUR,3.25,0.892339267389462,21334.13,2019-07-09
Costa Rica,CRI,CRC,1130.0,518.625,,2007-06-01
India,IND,INR,178.0,69.685,1976.093,2019-01-01
Indonesia,IDN,IDR,16100.0,9120.0,,2004-05-01
Denmark,DNK,DKK,24.75,8.38,,2002-04-01
Austria,AUT,EUR,3.4,0.875695083,44498.37,2017-07-01
Hong Kong,HKG,HKD,14.8,7.7742,,2010-07-01
Australia,AUS,AUD,5.1,1.059378145,67855.88,2014-07-01
Norway,NOR,NOK,46.0,8.14255,97013.261,2015-07-01
Latvia,LVA,EUR,2.85,0.892339267389462,15652.61,2019-07-09
Lebanon,LBN,LBP,6500.0,1507.0,8778.47,2019-07-09
United States,USA,USD,4.624166667,1.0,48327.861,2014-01-01
Belgium,BEL,EUR,3.95,0.930232558,47682.132,2016-01-01
New Zealand,NZL,NZD,5.9,1.313283866,40515.94,2015-01-01
Spain,ESP,EUR,3.65,0.863073404,29150.345,2015-01-01
Israel,ISR,ILS,17.5,3.93415,36926.33,2015-01-01
Euro area,EUZ,EUR,3.380031071,0.78015291,,2010-07-01
Belgium,BEL,EUR,3.7,0.742748914,43553.781,2014-07-01
France,FRA,EUR,3.6,0.736946829,44007.331,2013-01-01
Malaysia,MYS,MYR,7.63,3.6155,10456.887,2015-01-01
Philippines,PHL,PHP,115.21,43.44,2344.889,2013-07-01
Chile,CHL,CLP,2050.0,493.05,11827.958,2012-07-01
Thailand,THA,THB,87.0,29.755,5394.714,2013-01-01
Netherlands,NLD,EUR,3.45,0.736946829,50216.422,2013-01-01
Poland,POL,PLN,9.1,3.52045,12300.126,2012-01-01
Turkey,TUR,TRY,8.25,1.8269,10398.685,2012-07-01
India,IND,INR,180.0,63.86125,1741.652,2018-01-01
United States,USA,USD,2.71,1.0,,2003-04-01
South Africa,ZAF,ZAR,17.95,8.2805,,2009-07-01
Switzerland,CHE,CHF,6.5,1.05085,,2010-07-01
Estonia,EST,EUR,3.0,0.930232558,20090.024,2016-01-01
South Korea,KOR,KRW,2500.0,977.45,,2006-01-01
Estonia,EST,EUR,3.15,0.816826629,17786.014,2018-01-01
Portugal,PRT,EUR,3.25,0.87248614928238,21158.999,2019-01-01
Israel,ISR,ILS,15.0,3.97425,,2009-07-01
UAE,ARE,AED,12.0,3.67305,,2013-01-01
South Africa,ZAF,ZAR,31.0,14.175,6182.25,2019-07-09
Japan,JPN,JPY,390.0,108.765,38344.02,2019-07-09
Sweden,SWE,SEK,33.0,7.7119,,2006-01-01
Peru,PER,PEN,9.5,3.446,,2006-01-01
Japan,JPN,JPY,262.0,120.0,,2003-04-01
Egypt,EGY,EGP,9.09,5.7,,2007-01-01
Spain,ESP,EUR,3.5,0.777756173,32077.084,2013-07-01
Poland,POL,PLN,10.1,3.40575,12361.266,2018-01-01
Norway,NOR,NOK,40.0,6.50925,,2009-07-01
Sweden,SWE,SEK,48.0,9.12455,49866.266,2017-01-01
Finland,FIN,EUR,3.75,0.824844311,44488.643,2012-07-01
India,IND,INR,90.0,59.98,1513.618,2013-07-01
Peru,PER,PEN,8.056,3.0274,,2009-07-01
Brazil,BRA,BRL,8.71,1.77495,,2010-07-01
Hong Kong,HKG,HKD,11.5,7.8,,2003-04-01
Italy,ITA,EUR,4.2,0.908306463,29866.581,2016-07-01
Ireland,IRL,EUR,4.07,0.816826629,64782.3,2018-01-01
Qatar,QAT,QAR,13.0,3.64175,62826.06,2019-07-09
Brazil,BRA,BRL,6.4,2.1335,,2007-01-01
UAE,ARE,AED,10.0,3.67285,,2008-06-01
Malaysia,MYS,MYR,9.05,4.1175,9755.178,2019-01-01
Sri Lanka,LKA,LKR,210.0,112.775,,2010-07-01
South Korea,KOR,KRW,3200.0,1018.05,,2008-06-01
Kuwait,KWT,KWD,1.05,0.3025,27318.517,2018-07-01
Colombia,COL,COP,6500.0,2327.7,,2005-06-01
Philippines,PHL,PHP,99.39,48.385,,2009-07-01
Colombia,COL,COP,8600.0,1921.0,7114.33,2013-07-01
Euro area,EUZ,EUR,4.05,0.87248614928238,37309.0933792496,2019-01-01
Peru,PER,PEN,8.99,3.49,,2004-05-01
Moldova,MDA,MDL,43.0,16.6526,2279.645,2018-07-01
Taiwan,TWN,TWD,69.0,33.2315,22599.765,2016-01-01
Euro area,EUZ,EUR,3.583482241,0.824844311,36947.0,2012-07-01
Britain,GBR,GBP,2.69,0.633211968,38811.424,2013-01-01
Brazil,BRA,BRL,3.6,2.34,,2002-04-01
Sweden,SWE,SEK,40.7,8.19145,58014.168,2015-01-01
