Book,Num_Ratings,Genres
To Kill a Mockingbird,"5,691,311","['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical']"
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)","9,278,135","['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Classics']"
Pride and Prejudice,"3,944,155","['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']"
The Diary of a Young Girl,"3,488,438","['Classics', 'Nonfiction', 'History', 'Biography', 'Memoir', 'Historical', 'Holocaust']"
Animal Farm,"3,575,172","['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'Politics', 'School', 'Literature']"
The Little Prince,"1,924,063","['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Philosophy', 'Young Adult']"
1984,"4,201,429","['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics']"
The Great Gatsby,"4,839,642","['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Romance', 'Novels']"
The Catcher in the Rye,"3,315,881","['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels', 'Coming Of Age']"
The Lord of the Rings,"644,766","['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy']"
The Book Thief,"2,364,659","['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'World War II']"
Jane Eyre,"1,975,582","['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Gothic', 'Literature', 'Historical']"
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","617,006","['Fantasy', 'Classics', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Middle Grade']"
Lord of the Flies,"2,738,919","['Classics', 'Fiction', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School']"
Romeo and Juliet,"2,469,086","['Classics', 'Plays', 'Fiction', 'Romance', 'School', 'Drama', 'Read For School']"
"Harry Potter and the Deathly Hallows (Harry Potter, #7)","3,468,276","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook']"
The Kite Runner,"2,954,721","['Fiction', 'Historical Fiction', 'Classics', 'Contemporary', 'Novels', 'Historical', 'Literature']"
"The Giver (The Giver, #1)","2,285,401","['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School']"
The Giving Tree,"1,067,524","['Childrens', 'Fiction', 'Picture Books', 'Classics', 'Poetry', 'Young Adult', 'Fantasy']"
Charlotte's Web,"1,724,889","['Classics', 'Fiction', 'Childrens', 'Fantasy', 'Young Adult', 'Middle Grade', 'Animals']"
Little Women,"2,085,559","['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature']"
"The Hunger Games (The Hunger Games, #1)","7,963,002","['Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']"
"The Hobbit (The Lord of the Rings, #0)","3,662,325","['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'Science Fiction Fantasy', 'High Fantasy']"
Of Mice and Men,"2,396,235","['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels']"
Fahrenheit 451,"2,215,889","['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Novels']"
Green Eggs and Ham,"735,514","['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Humor']"
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","3,808,160","['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']"
Wuthering Heights,"1,684,275","['Classics', 'Fiction', 'Romance', 'Gothic', 'Historical Fiction', 'Literature', '19th Century']"
Alice's Adventures in Wonderland / Through the Looking-Glass,"536,708","['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Literature', 'Adventure']"
The Picture of Dorian Gray,"1,370,605","['Classics', 'Fiction', 'Horror', 'Fantasy', 'Gothic', 'Literature', 'Novels']"
"Night  (The Night Trilogy, #1)","1,170,381","['Nonfiction', 'Classics', 'History', 'Memoir', 'Holocaust', 'Biography', 'School']"
Gone with the Wind,"1,179,002","['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'War', 'Literature']"
The Holy Bible: King James Version,"272,793","['Religion', 'Classics', 'Nonfiction', 'Christian', 'Philosophy', 'History', 'Christianity']"
"Harry Potter and the Goblet of Fire (Harry Potter, #4)","3,397,378","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']"
"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)","1,739,532","['Science Fiction', 'Fiction', 'Humor', 'Classics', 'Fantasy', 'Comedy', 'Science Fiction Fantasy']"
Hamlet,"890,747","['Classics', 'Plays', 'Fiction', 'Drama', 'School', 'Literature', 'Theatre']"
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","3,048,651","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook']"
The Adventures of Huckleberry Finn,"1,237,071","['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Young Adult', 'Adventure', 'School']"
Tolkien On Fairy-stories,"3,744","['Fantasy', 'Classics', 'Essays', 'Fiction', 'Fairy Tales', 'Literary Criticism', 'Writing']"
Les Misérables,"769,757","['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'France', 'Historical', 'Novels']"
The Alchemist,"2,792,673","['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Self Help']"
Brave New World / Brave New World Revisited,"159,408","['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Fantasy']"
Crime and Punishment,"820,645","['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Philosophy', 'Novels']"
The Help,"2,600,987","['Fiction', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Classics', 'Contemporary']"
The Secret Garden,"1,097,941","['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Fantasy']"
Memoirs of a Geisha,"1,929,777","['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Classics', 'Japan', 'Adult']"
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)","2,620,424","['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure']"
The Odyssey,"1,017,517","['Classics', 'Fiction', 'Poetry', 'Mythology', 'Fantasy', 'School', 'Literature']"
A Christmas Carol,"779,092","['Classics', 'Fiction', 'Christmas', 'Fantasy', 'Audiobook', 'Literature', 'Historical Fiction']"
"The Cat in the Hat (The Cat in the Hat, #1)","515,170","['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor']"
The Outsiders,"1,220,608","['Classics', 'Young Adult', 'Fiction', 'School', 'Read For School', 'Realistic Fiction', 'Coming Of Age']"
One Hundred Years of Solitude,"911,512","['Fiction', 'Classics', 'Magical Realism', 'Literature', 'Fantasy', 'Novels', 'Historical Fiction']"
The Grapes of Wrath,"864,334","['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', 'School', 'American']"
A Thousand Splendid Suns,"1,428,213","['Fiction', 'Historical Fiction', 'Contemporary', 'Historical', 'Novels', 'War', 'Classics']"
"Anne of Green Gables (Anne of Green Gables, #1)","918,700","['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Middle Grade', 'Audiobook']"
Where the Sidewalk Ends,"1,336,522","['Poetry', 'Childrens', 'Classics', 'Fiction', 'Humor', 'Young Adult', 'Picture Books']"
The Count of Monte Cristo,"867,955","['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'Literature', 'France', 'Historical']"
"Ender’s Game (Ender's Saga, #1)","1,309,236","['Science Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia', 'War']"
Where the Wild Things Are,"963,323","['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult']"
The Color Purple,"633,920","['Classics', 'Fiction', 'Historical Fiction', 'Feminism', 'LGBT', 'Historical', 'African American']"
A Tale of Two Cities,"911,758","['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'School']"
The Adventures of Tom Sawyer,"892,115","['Classics', 'Fiction', 'Adventure', 'Historical Fiction', 'Young Adult', 'Literature', 'Childrens']"
Life of Pi,"1,552,035","['Fiction', 'Fantasy', 'Classics', 'Adventure', 'Contemporary', 'Magical Realism', 'Novels']"
"The Handmaid’s Tale (The Handmaid's Tale, #1)","1,891,991","['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult']"
One Flew Over the Cuckoo's Nest,"705,198","['Classics', 'Fiction', 'Psychology', 'Literature', 'Novels', 'Mental Health', 'School']"
Frankenstein: The 1818 Text,"1,470,152","['Classics', 'Fiction', 'Horror', 'Science Fiction', 'Gothic', 'Fantasy', 'School']"
Flowers for Algernon,"614,176","['Fiction', 'Classics', 'Science Fiction', 'Young Adult', 'Psychology', 'Literature', 'School']"
"Oh, the Places You'll Go!","387,581","['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Young Adult']"
Anna Karenina,"799,913","['Classics', 'Fiction', 'Romance', 'Russia', 'Historical Fiction', 'Russian Literature', 'Literature']"
Tuesdays with Morrie,"954,913","['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Inspirational', 'Philosophy', 'Self Help']"
Winnie-the-Pooh (Winnie-the-Pooh #1),"313,861","['Classics', 'Childrens', 'Fiction', 'Fantasy', 'Animals', 'Middle Grade', 'Audiobook']"
"The Fellowship of the Ring (The Lord of the Rings, #1)","2,686,920","['Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy']"
Slaughterhouse-Five,"1,302,806","['Classics', 'Fiction', 'Science Fiction', 'War', 'Historical Fiction', 'Literature', 'Novels']"
The Old Man and the Sea,"1,060,714","['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'School', 'Adventure']"
Catch-22,"804,276","['Classics', 'Fiction', 'Historical Fiction', 'War', 'Humor', 'Literature', 'Novels']"
The Scarlet Letter,"825,467","['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'High School', 'Historical']"
Macbeth,"839,821","['Classics', 'Plays', 'Fiction', 'School', 'Drama', 'Read For School', 'Literature']"
"Twilight (The Twilight Saga, #1)","6,158,643","['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Vampires', 'Paranormal', 'Paranormal Romance']"
Lolita,"794,964","['Classics', 'Fiction', 'Literature', 'Novels', 'Russia', 'Romance', 'Russian Literature']"
The Metamorphosis,"918,431","['Classics', 'Fiction', 'Fantasy', 'Philosophy', 'Literature', 'Short Stories', 'School']"
The Time Traveler's Wife,"1,736,216","['Fiction', 'Romance', 'Fantasy', 'Time Travel', 'Science Fiction', 'Contemporary', 'Adult']"
Siddhartha,"720,467","['Classics', 'Fiction', 'Philosophy', 'Spirituality', 'Religion', 'Literature', 'Buddhism']"
The Stranger,"960,905","['Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Novels', 'French Literature']"
Goodnight Moon,"358,773","['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Kids', 'Animals']"
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","3,597,747","['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']"
A Tree Grows in Brooklyn,"442,856","['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Coming Of Age', 'Historical', 'New York']"
War and Peace,"310,975","['Classics', 'Fiction', 'Historical Fiction', 'Russia', 'Russian Literature', 'Literature', 'War']"
"The Little House Collection (Little House, #1-9)","150,166","['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade']"
A Clockwork Orange,"681,585","['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Horror', 'Novels']"
All Quiet on the Western Front,"427,431","['Classics', 'Fiction', 'Historical Fiction', 'War', 'Historical', 'Literature', 'School']"
The Stand,"722,312","['Horror', 'Fiction', 'Fantasy', 'Science Fiction', 'Post Apocalyptic', 'Thriller', 'Dystopia']"
