artist,song,date
Tony Bennett,I Wanna Be Around,1963-04-13
George Harrison,You,1975-10-25
Florida Georgia Line,Get Your Shine On,2013-03-30
Lewis Capaldi,Before You Go,2020-10-24
"Billy ""Crash"" Craddock",Rub It In,1974-09-28
Ne-Yo,Closer,2008-06-21
R.E.M.,Stand,1989-05-20
Paul Davis,Cool Night,1981-11-28
Splender,I Think God Can Explain,2000-07-15
Eddie Rabbitt,You Can't Run From Love,1983-04-30
Bad Company,Rock 'n' Roll Fantasy,1979-04-28
The Drifters,Sweets For My Sweet,1961-10-30
Janet Jackson,Runaway,1996-02-10
MAGIC!,Rude,2014-07-05
Chris Brown Featuring Kevin K-MAC McCall,Strip,2012-04-14
Herman's Hermits,Just A Little Bit Better,1965-11-20
Justin Bieber,What Do You Mean?,2015-12-12
Ariana Grande,Into You,2016-08-13
Orchestral Manoeuvres In The Dark,Dreaming,1988-05-28
SWV,Rain,1998-04-04
ABBA,Waterloo,1974-07-13
Jennifer Rush,The Power Of Love,1986-04-05
The Platters,To Each His Own,1960-11-28
Neil Sedaka,Sweet Little You,1961-09-25
Jason Aldean,Any Ol' Barstool,2017-04-15
The Weeknd,Blinding Lights,2021-04-24
Crucial Conflict,Hay,1996-05-18
The 5th Dimension,One Less Bell To Answer,1971-02-27
Kathy Linden,You Don't Know Girls,1959-08-03
The Fixx,Saved By Zero,1983-07-30
Paula Abdul,Rush Rush,1991-06-15
Foreigner,Juke Box Hero,1982-03-13
Joe Jackson,Happy Ending,1984-08-04
Estelle Featuring Kanye West,American Boy,2008-07-26
Donovan,Colours,1965-08-21
Dua Lipa,New Rules,2017-09-23
Mary Wells,Your Old Stand By,1963-07-13
Britney Spears Featuring Madonna,Me Against The Music,2003-11-01
The Dove Shack,"Summertime In The LBC (From ""The Show"")",1995-09-16
Gary Allan,Nothing On But The Radio,2004-10-16
Brewer And Shipley,One Toke Over The Line,1971-03-27
"The Stylistics Featuring Russell Thompkins,Jr.","Betcha By Golly, Wow",1972-04-29
Grateful Dead,Touch Of Grey,1987-10-10
The Tymes,You Little Trustmaker,1974-10-26
Jazmine Sullivan,Need U Bad,2008-08-09
PSY,Gangnam Style,2012-11-03
Jermaine Jackson,Don't Take It Personal,1989-12-23
Mason Williams,Classical Gas,1968-07-20
REO Speedwagon,Roll With The Changes,1978-05-13
P!nk,U + Ur Hand,2007-08-11
Soul For Real,Every Little Thing I Do,1995-09-09
Snoop Dogg Featuring The-Dream,Gangsta Luv,2010-02-13
Johnny Gill,Rub You The Right Way,1990-05-19
Linkin Park Featuring Kiiara,Heavy,2017-06-03
Ne-Yo,Closer,2009-01-03
The Free Movement,I've Found Someone Of My Own,1971-09-11
Sting,Fields Of Gold,1993-08-14
John Cafferty & The Beaver Brown Band,C-I-T-Y,1985-08-17
Bob Seger & The Silver Bullet Band,Still The Same,1978-08-26
R. Kelly & Public Announcement,Dedicated,1993-06-05
Bryan Adams,Have You Ever Really Loved A Woman?,1995-05-27
Adam Wade,Ruby,1960-04-04
E-40 (Featuring Leviti),1-Luv,1995-05-13
Dyke And The Blazers,Let A Woman Be A Woman - Let A Man Be A Man,1969-11-29
Roxette,"It Must Have Been Love (From ""Pretty Woman"")",1990-05-26
Rose Royce,Ooh Boy,1978-01-28
Britney Spears,Do Somethin',2005-04-16
KISS,Forever,1990-02-24
Daniel Boone,Beautiful Sunday,1972-07-01
Panic! At The Disco,I Write Sins Not Tragedies,2006-08-26
Frank Sinatra,It Was A Very Good Year,1966-01-08
Kenny Loggins,I Believe In Love,1977-08-27
The Chainsmokers Featuring Daya,Don't Let Me Down,2016-07-02
Ginuwine,Stingy,2002-11-16
Diddy Featuring Nicole Scherzinger,Come To Me,2006-12-02
Zayn,Pillowtalk,2016-05-14
Next,I Still Love You,1998-10-03
Kelly Clarkson,Miss Independent,2003-06-14
Ed Sheeran,Perfect,2018-03-31
Bobby Womack,"You're Welcome, Stop On By",1974-08-10
Hootie & The Blowfish,Let Her Cry,1995-09-16
The Game Featuring 50 Cent,How We Do,2005-06-04
Shirley Brown,Woman To Woman,1974-11-30
Shaun Cassidy,Hey Deanie,1977-12-31
Taylor Swift,Today Was A Fairytale,2010-03-13
Dennis Coffey & The Detroit Guitar Band,Taurus,1972-02-19
Selena Gomez Featuring Gucci Mane,Fetish,2017-10-07
Walter Egan,Only The Lucky,1977-07-02
Miami Sound Machine,Conga,1986-01-11
Dean Martin,(Remember Me) I'm The One Who Loves You,1965-07-03
The Raiders,Love Music,1973-02-10
People's Choice,Do It Any Way You Wanna,1975-11-08
Steve Alaimo,Amerikan Music,1972-04-29
Eminem Featuring Lil Wayne,No Love,2010-07-24
Chris Brown,Say Goodbye,2006-12-23
The Fray,You Found Me,2009-06-06
Kenny Loggins,Danger Zone,1986-09-27
Drake Featuring Lil Wayne,HYFR (Hell Ya F*****g Right),2012-06-16
R. Kelly Featuring Jay-Z,Fiesta,2001-05-19
Duran Duran,Come Undone,1993-04-24
