,Book_name,Author_name
0,RISE: Essential Soft-Skills for Career Management,Rajeev Nanda
1,Don't Believe Everything You Think (English),Joseph Nguyen
2,Days at the Morisaki Bookshop : A charming and uplifting Japanese translated story on the healing power of books,Satoshi Yagisawa
3,The Art of Laziness: Overcome Procrastination and Boost Your Productivity,Library Mindset
4,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) : Perfect Motivational Gift Set,Dale Carnegie
5,Start Living Again,Saranya Umakanthan
6,The Psychology of Money,Morgan Housel
7,As a Man Thinketh,James Allen
8,The Power of Your Subconscious Mind,Joseph Murphy
9,The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,Brianna Wiest
10,Things No One Taught Us About Love: How to Build Healthy Relationships with Yourself and Others,Vex King
11,Mahagatha: 100 Tales from the Puranas,Satyarth Nayak
12,The Psychology of Money,Morgan Housel
13,Success Through A Positive Mental Attitude,Napoleon Hill
14,"Why I am an Atheist and Other Works | Letters & Jail Diary of Bhagat Singh on Revolution, Religion & Politics",Bhagat Singh
15,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) : Perfect Motivational Gift Set,Dale Carnegie
16,11 Rules For Life: Secrets to Level Up,Chetan Bhagat
17,The Theory Of Everything,Stephen Hawking
18,The Satvic Revolution: 7 Life-Changing Habits to Discover Peak Health and Joy,Subah Saraf
19,Win Your Inner Battles,Darius Foroux
20,The Girl Who Drank the Moon,Kelly Barnhill
21,How to Win Friends and Influence People : Original Edition | Premium Paperback,Dale Carnegie
22,The Psychology of Money,Morgan Housel
23,The Wealth Money Can't Buy: The 8 Hidden Habits to Live Your Richest Life,Robin Sharma
24,The Monk Who Sold His Ferrari,Robin Sharma
25,Chanakya Neeti,Radhakrishnan Pillai
26,How to Stop Worrying and Start Living by Dale Carnegie,Dale Carnegie
27,Success Through A Positive Mental Attitude,Napoleon Hill
28,"How to Stop Worrying and Start Living [Original Edition (Complete), Premium Paperback]",Dale Carnegie
29,"THE SILENT PATIENT [Paperback] Michaelides, Alex",Alex Michaelides
30,Jaico Publishing House The 5 Am Club,Robin Sharma
31,As a Man Thinketh,James Allen
32,How to Develop Self-Confidence & Influence People By Public Speaking,Dale Carnegie
33,Beyond Good And Evil,Friedrich Nietzsche
34,How to Win Friends and Influence People: Original Classic Edition | Premium Paperback,Dale Carnegie
35,"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things [Paperback] Foroux, Darius",Darius Foroux
36,"Deep Work: Rules for Focused Success in a Distracted World [Paperback] Newport, Cal",Cal Newport
37,The Housemaid : An addictive psychological thriller with mind-bending twists,Freida McFadden
38,The Compound Effect,Darren Hardy
39,Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,Thibaut Meurisse
40,Autobiography of A Yogi,Paramahansa Yogananda
41,The Alchemist,Paulo Coelho
42,Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,Thibaut Meurisse
43,"Three Thousand Stitches: Ordinary People, Extraordinary Lives [Paperback] Murty, Sudha",Murty Sudha
44,THE BLUE UMBRELLA,Ruskin Bond
45,The Monk Who Sold His Ferrari,Robin Sharma
46,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty [Paperback] Sudha Murty",Murty Sudha
47,"Read People Like a Book: How to Analyze, Understand, and Predict People’s Emotions, Thoughts, Intentions, and Behaviors",Patrick King
48,How to Win Friends and Influence People : Original Edition | Premium Paperback,Dale Carnegie
49,"Why I am an Atheist and Other Works | Letters & Jail Diary of Bhagat Singh on Revolution, Religion & Politics",Bhagat Singh
50,"How to Stop Worrying and Start Living [Original Edition (Complete), Premium Paperback]",Dale Carnegie
51,Chanakya Neeti,Radhakrishnan Pillai
52,Who Will Cry When You Die?,Robin Sharma
53,I Don't Love You Anymore: Moving On and Living Your Best Life | National Bestseller by Rithvik Singh | Original Edition,Rithvik Singh
54,The Monk Who Sold His Ferrari,Robin Sharma
55,The Law of Success In Sixteen Lessons,Napoleon Hill
56,The Wealth Money Can't Buy: The 8 Hidden Habits to Live Your Richest Life,Robin Sharma
57,Your Brain on Art: How the Arts Transform Us,Susan Magsamen
58,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",Maple Press
59,Night Train at Deoli and Other Stories,Ruskin Bond
60,The End of Reality,Jonathan Taplin
61,"Stop Negative Thinking: How To Control Your Thoughts, Stop Overthinking, And Transform Your Mental Habits (English)",Nick Trenton
62,101 Essays That Will Change The Way You Think,Brianna Wiest
63,One Arranged Murder,Chetan Bhagat
64,"Story Books for Kids (Set of 10 Books) (Illustrated) - World and Indian Scientists - Biographies for Children - 6 Years to 10 Years Old - Einstein, Newton, Galileo Galilei, Marie Curie, Charles Darwin, CV Raman, Homi Bhabha, Ramanujan, Vikram Sarabhai, Abdul Kalam",Maple Press
65,Miracles of Your Mind,Dr. Joseph Murphy
66,Operation Payback,Aditi Mathur Kumar
67,The Quick And Easy Way To Effective Speaking,Dale Carnegie
68,"Why I am an Atheist and Other Works | Letters & Jail Diary of Bhagat Singh on Revolution, Religion & Politics",Bhagat Singh
69,The Quick And Easy Way To Effective Speaking,Dale Carnegie
70,Chanakya Neeti,Radhakrishnan Pillai
71,The Monk Who Sold His Ferrari,Robin Sharma
72,The Wealth Money Can't Buy: The 8 Hidden Habits to Live Your Richest Life,Robin Sharma
73,The Importance of Being Earnest,Oscar Wilde
74,Great Truths That Set Us Free,Dr. Joseph Murphy
75,The Pickpocket and the Gargoyle,Lindsay Eagar
76,MTG International General Knowledge Olympiad (IGKO) Workbook for Class 4 - MCQs & Achievers Section - SOF IGKO Olympiad Preparation Books For 2024-2025 Exam,RAGHAV SINGH
77,1001 Ultimate Brain Booster Activities for 4+ Years Old Kids |Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,Team Pegasus
78,My First 365 Coloring Book: Jumbo Coloring Book For Kids (With Tear Out Sheets),Wonder House Books
79,The Performance Paradox: How to Learn and Grow Without Compromising Results,Eduardo Briceno
80,101 Essays That Will Change The Way You Think,Brianna Wiest
81,The Compound Effect,Darren Hardy
82,How to Change Your Life,Jake Humphrey
