Book,Author,URL
To Kill a Mockingbird,Harper Lee,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone
Pride and Prejudice,Jane Austen,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
The Diary of a Young Girl,Anne Frank,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl
Animal Farm,George Orwell,https://www.goodreads.com/book/show/170448.Animal_Farm
The Little Prince,Antoine de Saint-Exupéry,https://www.goodreads.com/book/show/157993.The_Little_Prince
1984,George Orwell,https://www.goodreads.com/book/show/61439040-1984
The Great Gatsby,F. Scott Fitzgerald,https://www.goodreads.com/book/show/4671.The_Great_Gatsby
The Catcher in the Rye,J.D. Salinger,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
The Lord of the Rings,J.R.R. Tolkien,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
The Book Thief,Markus Zusak,https://www.goodreads.com/book/show/19063.The_Book_Thief
Jane Eyre,Charlotte Brontë,https://www.goodreads.com/book/show/10210.Jane_Eyre
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
Lord of the Flies,William Golding,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
Romeo and Juliet,William Shakespeare,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
The Kite Runner,Khaled Hosseini,https://www.goodreads.com/book/show/77203.The_Kite_Runner
"The Giver (The Giver, #1)",Lois Lowry,https://www.goodreads.com/book/show/3636.The_Giver
The Giving Tree,Shel Silverstein,https://www.goodreads.com/book/show/370493.The_Giving_Tree
Charlotte's Web,E.B. White,https://www.goodreads.com/book/show/24178.Charlotte_s_Web
Little Women,Louisa May Alcott,https://www.goodreads.com/book/show/1934.Little_Women
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,https://www.goodreads.com/book/show/2767052-the-hunger-games
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,https://www.goodreads.com/book/show/5907.The_Hobbit
Of Mice and Men,John Steinbeck,https://www.goodreads.com/book/show/890.Of_Mice_and_Men
Fahrenheit 451,Ray Bradbury,https://www.goodreads.com/book/show/13079982-fahrenheit-451
Green Eggs and Ham,Dr. Seuss,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Wuthering Heights,Emily Brontë,https://www.goodreads.com/book/show/6185.Wuthering_Heights
Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
The Picture of Dorian Gray,Oscar Wilde,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray
