,Book_name,book_summaries
0,RISE: Essential Soft-Skills for Career Management,"When your peers and competitors are as qualified and as competent as you are, then how do you create a differentiator for yourself in the workplace? This book is a primer on the most essential soft-skills that you can, or rather should, learn to help you in your career progression and professional growth. As more and more of the jobs gets standardized, automated or disrupted with onslaught of technologies, these skills will give you a consistent and constant advantage amongst your peers. The added benefit is that this competitive advantage continues to grow as you put them in daily practice and master the skills over time. Although the book is targeted toward working professionals; every reader – student, individual, business owner – will also benefit from it."
1,Don't Believe Everything You Think (English),"Discover how to conquer anxiety, self-doubt, and self-sabotage without depending on motivation or willpower. 'Don't Believe Everything You Think' uncovers the core of psychological suffering and offers insights to effortlessly shape the life you crave. Learn to detach from negativity, embrace love and joy, escape negative thought cycles, and tap into inner wisdom. The message is clear: anyone can attain peace, love, and fulfillment, irrespective of their history. It's not about rewiring your brain, but expanding your consciousness for lasting transformation. Within this book, delve into the core of emotional suffering and receive insights on effortlessly curating the life you aspire to."
2,Days at the Morisaki Bookshop : A charming and uplifting Japanese translated story on the healing power of books,"The Japanese bestseller: a tale of love, new beginnings, and the comfort that can be found between the pages of a good book."
3,The Art of Laziness: Overcome Procrastination and Boost Your Productivity,"Do you constantly feel unmotivated to work on your dreams?

If the answer is yes, then this book is for you. Laziness stops us from enjoying the little time we have. It doesn't help you accomplish your goals. It stops you from starting anything new. It makes your life miserable.

This book will teach you:

How to overcome laziness
How to stop procrastination
How to improve your productivity"
4,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) : Perfect Motivational Gift Set,"A collection of world's timeless classics, this box set includes the four greatest bestsellers, which have inspired readers for generations. Packed with wisdom and time-tested principles that are as relevant in modern times as ever before, these inspirational books are a must-read for all those aspiring for personal growth and wealth."
5,Start Living Again,Start Living Again
6,The Psychology of Money,"Timeless lessons on wealth, greed, and happiness doing well with money isn?t necessarily about what you know. It?s about how you behave. And behavior is hard to teach, even to really smart people. How to manage money, invest it, and make business decisions are typically considered to involve a lot of mathematical calculations, where data and formulae tell us exactly what to do. But in the real world, people don?t make financial decisions on a spreadsheet. They make them at the dinner table, or in a meeting room, where personal history, your unique view of the world, ego, pride, marketing, and odd incentives are scrambled together. In the psychology of money, the author shares 19 short stories exploring the strange ways people think about money and teaches you how to make better sense of one of life?s most important matters."
7,As a Man Thinketh,"Discover the timeless wisdom of James Allen's ""As a Man Thinketh."" This powerful book explores the connection between thoughts and personal achievement, inspiring readers to harness the power of their minds for positive transformation and success."
8,The Power of Your Subconscious Mind,"This remarkable book by Dr. Joseph Murphy, one of the pioneering voices of affirmative thinking, will unlock for you the truly staggering powers of your subconscious mind. Combining time-honored spiritual wisdom with cutting edge scientific research, Dr. Murphy explains how the subconscious mind influences every single thing that you do and how, by understanding it and learning to control its incredible force, you can improve the quality of your daily life.Everything, from the promotion that you wanted and the raise you think you deserve, to overcoming phobias and bad habits and strengthening interpersonal relationships, the Power of Your Subconscious Mind will open a world of happiness, success, prosperity and peace for you. It will change your life and your world by changing your beliefs."
9,The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,"This is a book about self-sabotage. Why we do it, when we do it, and how to stop doing it—for good. Coexisting but conflicting needs create self-sabotaging behaviors. This is why we resist efforts to change, often until they feel completely futile. But by extracting crucial insight from our most damaging habits, building emotional intelligence by better understanding our brains and bodies, releasing past experiences at a cellular level, and learning to act as our highest potential future selves, we can step out of our own way and into our potential. For centuries, the mountain has been used as a metaphor for the big challenges we face, especially ones that seem impossible to overcome. To scale our mountains, we actually have to do the deep internal work of excavating trauma, building resilience, and adjusting how we show up for the climb. In the end, it is not the mountain we master, but ourselves."
10,Things No One Taught Us About Love: How to Build Healthy Relationships with Yourself and Others,"THE SUNDAY TIMES BESTSELLER

Things No One Taught Us About Love"
11,Mahagatha: 100 Tales from the Puranas,Do you know the story where Brahma and Vishnu race against each other or where Shiva battles Krishna? Where Indra attempts foeticide ? Do you know about Maya Sita or Narada's monkey face? Or why Surya falls from the sky or why Chandra commits adultery?
12,The Psychology of Money,"Timeless lessons on wealth, greed, and happiness doing well with money isn?t necessarily about what you know. It?s about how you behave. And behavior is hard to teach, even to really smart people. How to manage money, invest it, and make business decisions are typically considered to involve a lot of mathematical calculations, where data and formulae tell us exactly what to do. But in the real world, people don?t make financial decisions on a spreadsheet. They make them at the dinner table, or in a meeting room, where personal history, your unique view of the world, ego, pride, marketing, and odd incentives are scrambled together. In the psychology of money, the author shares 19 short stories exploring the strange ways people think about money and teaches you how to make better sense of one of life?s most important matters."
