name,four_regions,Latitude,Longitude
North Korea,asia,40.0,127.0
Tuvalu,asia,-8.51719,179.14478
Montenegro,europe,42.75,19.25
Iran,asia,32.0,53.0
Guinea-Bissau,africa,12.0,-15.0
El Salvador,americas,13.83333,-88.91667
Eritrea,africa,15.0,39.0
Belize,americas,17.49952,-88.19756
Senegal,africa,14.5,-14.25
Singapore,asia,1.28967,103.85007
Namibia,africa,-22.0,17.0
Brunei,asia,4.5,114.66667
Cape Verde,africa,16.0,-24.0
Timor-Leste,asia,-8.83333,125.75
Kuwait,asia,29.36972,47.97833
Finland,europe,64.0,26.0
Zimbabwe,africa,-19.0,29.75
Georgia,europe,41.99998,43.4999
Guyana,americas,5.0,-59.0
Samoa,asia,-13.8,-172.13333
Moldova,europe,47.25,28.58333
Croatia,europe,45.16667,15.5
Solomon Islands,asia,-8.0,159.0
Marshall Islands,asia,7.113,171.236
Slovak Republic,europe,48.66667,19.5
Morocco,africa,32.0,-6.0
Armenia,europe,40.25,45.0
Brazil,americas,-10.0,-55.0
Argentina,americas,-34.0,-64.0
Bahamas,americas,25.04082,-77.37122
Palestine,asia,31.92157,35.20329
Spain,europe,40.0,-4.0
India,asia,22.0,79.0
Fiji,asia,-18.0,178.0
Hungary,europe,47.0,20.0
Sudan,africa,16.0,30.0
Serbia,europe,44.81892,20.45998
Somalia,africa,6.0,48.0
Nicaragua,americas,13.0,-85.0
Kyrgyz Republic,asia,41.5,75.0
Philippines,asia,13.0,122.0
South Korea,asia,36.5,127.75
Qatar,asia,25.27932,51.52245
Malawi,africa,-13.5,34.0
Vanuatu,asia,-16.0,167.0
Papua New Guinea,asia,-6.0,147.0
Panama,americas,8.9936,-79.51973
Nigeria,africa,10.0,8.0
Syria,asia,35.0,38.0
Myanmar,asia,21.0,96.0
Oman,asia,21.0,57.0
"Macedonia, FYR",europe,41.66667,21.75
Bangladesh,asia,24.0,90.0
Chad,africa,15.0,19.0
Cameroon,africa,6.0,12.5
Tanzania,africa,-6.0,35.0
"Congo, Rep.",africa,-1.0,15.5
Slovenia,europe,46.08333,15.0
Greece,europe,39.0,22.0
Estonia,europe,59.0,26.0
Monaco,europe,43.73333,7.41667
Mauritania,africa,20.25,-10.5
Ethiopia,africa,9.0,39.5
St. Lucia,americas,13.88333,-60.96667
Central African Republic,africa,7.0,21.0
Netherlands,europe,52.25,5.75
Honduras,americas,15.0,-86.5
Sweden,europe,62.0,15.0
Equatorial Guinea,africa,1.7,10.5
Venezuela,americas,8.0,-66.0
Belarus,europe,53.0,28.0
Bolivia,americas,-17.0,-65.0
Bosnia and Herzegovina,europe,44.25,17.83333
Trinidad and Tobago,americas,11.0,-61.0
Romania,europe,46.0,25.0
Saudi Arabia,asia,25.0,45.0
South Africa,africa,-29.0,24.0
Cote d'Ivoire,africa,8.0,-5.5
Russia,europe,60.0,100.0
Haiti,americas,19.0,-72.41667
Antigua and Barbuda,americas,17.05,-61.8
Mauritius,africa,-20.3,57.58333
Sao Tome and Principe,africa,1.0,7.0
Albania,europe,41.0,20.0
Comoros,africa,-12.23333,44.44553
Sri Lanka,asia,7.75,80.75
Burkina Faso,africa,12.5,-1.66667
Kazakhstan,asia,48.0,68.0
New Zealand,asia,-42.0,174.0
Portugal,europe,39.6945,-8.13057
Seychelles,africa,-4.58333,55.66667
Lao,asia,18.0,105.0
Guatemala,americas,14.64072,-90.51327
Burundi,africa,-3.5,30.0
Luxembourg,europe,49.61167,6.13
Ecuador,americas,-1.25,-78.25
Mongolia,asia,46.0,105.0
France,europe,46.0,2.0
Maldives,asia,3.2,73.0
Turkmenistan,asia,39.75,59.66667
