country,rank,area,landAreaKm
Bosnia and Herzegovina,137,51209.0,51200.0
United States,3,9372610.0,9147420.0
Estonia,156,45227.0,42750.0
Armenia,140,29743.0,28470.0
Venezuela,52,916445.0,882050.0
Croatia,130,56594.0,55960.0
Curacao,189,444.0,444.0
Niger,54,1267000.0,1266700.0
Turkey,18,783562.0,783562.0
British Virgin Islands,221,151.0,150.0
North Macedonia,150,25713.0,25220.0
Mali,58,1240192.0,1220190.0
Chad,67,1284000.0,1259200.0
El Salvador,112,21041.0,20720.0
Jordan,83,89342.0,88794.0
Martinique,180,1128.0,1128.0
Vietnam,16,331212.0,313429.0
Malaysia,46,330803.0,328550.0
Jersey,195,116.0,120.0
Ireland,125,70273.0,68890.0
Belgium,82,30528.0,30280.0
Eritrea,131,117600.0,121040.8
Bulgaria,110,110879.0,108560.0
Egypt,14,1002450.0,995450.0
Romania,64,238391.0,230080.0
Reunion,161,2511.0,2512.0
Benin,77,112622.0,112760.0
Kiribati,192,811.0,810.0
Guam,191,549.0,540.0
Czech Republic,89,78865.0,77198.5
Belarus,97,207600.0,202980.0
Montserrat,230,102.0,102.0
Belize,177,22966.0,22810.0
Malawi,62,118484.0,94280.0
Cameroon,53,475442.0,472710.0
Jamaica,139,10991.0,10830.0
Guinea-Bissau,148,36125.0,28120.0
Morocco,39,446550.0,446300.0
Zambia,63,752612.0,743390.0
Greenland,208,2166086.0,410450.0
Djibouti,160,23200.0,23180.0
Portugal,93,92090.0,91605.6
Afghanistan,36,652230.0,652230.0
Netherlands,72,41850.0,33670.0
Saint Martin,220,53.0,50.0
Slovakia,116,49037.0,49035.0
Saint Kitts and Nevis,211,261.0,260.0
Sweden,87,450295.0,407283.5
Thailand,20,513120.0,510890.0
American Samoa,214,199.0,200.0
Sao Tome and Principe,187,964.0,960.0
Palestine,121,6220.0,6020.0
Puerto Rico,136,8870.0,8870.0
Guyana,164,214969.0,196850.0
Iraq,35,438317.0,434128.0
Hong Kong,104,1104.0,1050.0
Madagascar,50,587041.0,581800.0
Albania,138,28748.0,27400.0
Falkland Islands,231,12173.0,12173.0
China,2,9706961.0,9424702.9
Mayotte,181,374.0,374.0
Andorra,203,468.0,470.0
Uzbekistan,43,447400.0,440650.0
Somalia,69,637657.0,627340.0
Canada,38,9984670.0,8965590.0
Norway,119,323802.0,364285.0
France,23,551695.0,547557.0
Dominica,204,751.0,750.0
South Korea,29,100210.0,97600.0
Uruguay,135,181034.0,175020.0
Austria,100,83871.0,82520.0
Angola,42,1246700.0,1246700.0
Sint Maarten,213,34.0,34.0
Macau,167,32.9,32.9
Slovenia,149,20273.0,20136.4
Montenegro,169,13812.0,13450.0
Chile,65,756102.0,743532.0
Costa Rica,124,51100.0,51060.0
Libya,107,1759540.0,1759540.0
Ghana,47,238533.0,227533.0
North Korea,56,120538.0,120410.0
French Guiana,183,83534.0,83534.0
Brazil,7,8515767.0,8358140.0
Tuvalu,227,26.0,30.0
Qatar,143,11586.0,11490.0
Cayman Islands,205,264.0,240.0
Bermuda,206,54.0,54.0
Trinidad and Tobago,153,5130.0,5130.0
Botswana,144,582000.0,566730.0
Singapore,114,710.0,718.0
Mozambique,48,801590.0,786380.0
Nicaragua,106,130373.0,120340.0
Bhutan,165,38394.0,38140.0
Italy,25,301336.0,295717.0
Nepal,49,147181.0,143350.0
Spain,32,505992.0,499556.6
Saudi Arabia,40,2149690.0,2149690.0
Monaco,217,2.02,2.0
Aruba,198,180.0,180.0
South Africa,24,1221037.0,1213090.0
