country,time,population_density
AUS,2012,2.959200369680955
DEU,2009,234.93963741717104
CHE,2018,215.5000945339149
ISR,2006,325.956561922366
USA,2003,31.664534617198143
PRT,2003,114.30405464480874
NZL,2009,16.34043522843796
CAN,2012,3.871939493106421
IRL,2006,62.034997822615765
BRA,2009,23.272827327611168
MEX,2018,63.79477918670748
POL,2018,124.03158376065583
AUS,2003,2.567035523215704
EST,2012,31.203019580089645
ITA,2018,204.32222590440887
ISL,2015,3.2999002493765586
MEX,2015,61.80709226060341
KOR,2006,499.98236994219656
EST,2012,31.203019580089645
JPN,2015,348.8093278463649
BEL,2012,366.8075297225892
LUX,2009,193.3543345012158
LUX,2012,206.235870823396
HUN,2012,109.58093449685188
NOR,2012,13.740329752165676
IRL,2012,66.76633763971549
ESP,2003,84.50881392600309
CHL,2018,25.152179058870363
SWE,2018,24.9814588688378
POL,2009,124.56446062426538
MEX,2009,57.125660639419735
ITA,2003,193.8103294354757
AUS,2018,3.245344915899855
BRA,2003,21.85046888422544
NZL,2006,15.892294253921234
ISR,2012,365.5499075785583
ESP,2012,93.50683712840608
CHE,2015,209.62662075113204
FIN,2009,17.567854557420205
DNK,2012,139.7893
GBR,2015,269.153139337825
BRA,2015,24.549505631635743
BRA,2015,24.549505631635743
SVN,2018,102.99229256470868
IRL,2003,58.013078821309335
SWE,2003,21.99203514904145
MEX,2009,57.125660639419735
ISR,2018,410.48059149722735
USA,2018,35.730096464358255
NZL,2015,17.50560176218146
FIN,2012,17.815561551877323
GRC,2006,85.49543832428239
EST,2006,31.7718801604152
ISL,2003,2.887990024937656
NOR,2015,14.207938482551718
BEL,2009,356.555250990753
NLD,2003,480.6072867298578
NZL,2009,16.34043522843796
PRT,2015,113.07251958395555
SWE,2015,24.05826177288175
NZL,2012,16.74110364209487
ITA,2006,196.61968158854043
CHL,2012,23.323503225147
EST,2009,31.48183533852324
MEX,2012,59.54675223128167
JPN,2015,348.8093278463649
SVN,2006,99.64587884806356
FRA,2018,122.65088018233718
EST,2015,30.260110420979988
CAN,2003,3.529497556769828
IRL,2012,66.76633763971549
DEU,2012,230.75062546623056
SWE,2009,22.82742143719357
NLD,2009,490.0796916691373
DEU,2009,234.93963741717104
FRA,2009,118.18108251743654
USA,2003,31.664534617198143
EST,2006,31.7718801604152
AUS,2012,2.959200369680955
NLD,2006,484.18545616113744
NOR,2003,12.498097162444832
NZL,2003,15.29451976757434
CHL,2009,22.639841997385453
PRT,2006,115.03539958456324
TUR,2009,93.60238816054468
DEU,2003,236.616427281328
DEU,2015,234.1529868715244
LUX,2003,175.4270798536392
MEX,2018,63.79477918670748
FIN,2015,18.03011088809187
IRL,2003,58.013078821309335
HUN,2006,112.39113938176544
KOR,2009,508.0139604368432
SVK,2012,112.45173432041258
USA,2003,31.664534617198143
ESP,2018,93.66979207925012
PRT,2018,112.26193595151388
SVN,2015,102.44610924111088
PRT,2003,114.30405464480874
DEU,2012,230.75062546623056
