country,time,unemployment
AUS,2012,5.225
DEU,2009,7.742
CHE,2018,4.713
ISR,2006,10.707
USA,2003,5.989
PRT,2003,6.132
NZL,2009,6.121
CAN,2012,7.392
IRL,2006,4.415
BRA,2009,9.419
MEX,2018,3.275
POL,2018,3.846
AUS,2003,5.933
EST,2012,10.021
ITA,2018,10.61
ISL,2015,3.979
MEX,2015,4.311
KOR,2006,3.254
EST,2012,10.021
JPN,2015,3.385
BEL,2012,7.542
LUX,2009,5.122
LUX,2012,5.14
HUN,2012,11.003
NOR,2012,3.123
IRL,2012,15.451
ESP,2003,11.283
CHL,2018,7.235
SWE,2018,6.365
POL,2009,8.167
MEX,2009,5.356
ITA,2003,8.869
AUS,2018,5.3
BRA,2003,11.169
NZL,2006,3.857
ISR,2012,6.762
ESP,2012,24.788
CHE,2015,4.801
FIN,2009,8.25
DNK,2012,7.798
GBR,2015,5.301
BRA,2015,8.538
BRA,2015,8.538
SVN,2018,5.126
IRL,2003,4.478
SWE,2003,5.555
MEX,2009,5.356
ISR,2018,3.917
USA,2018,3.896
NZL,2015,5.415
FIN,2012,7.689
GRC,2006,8.906
EST,2006,5.915
ISL,2003,3.997
NOR,2015,4.296
BEL,2009,7.908
NLD,2003,3.593
NZL,2009,6.121
PRT,2015,12.447
SWE,2015,7.432
NZL,2012,6.931
ITA,2006,6.777
CHL,2012,6.637
EST,2009,13.548
MEX,2012,4.887
JPN,2015,3.385
SVN,2006,5.993
FRA,2018,9.018
EST,2015,6.187
CAN,2003,7.574
IRL,2012,15.451
DEU,2012,5.379
SWE,2009,8.351
NLD,2009,4.347
DEU,2009,7.742
FRA,2009,9.122
USA,2003,5.989
EST,2006,5.915
AUS,2012,5.225
NLD,2006,5.002
NOR,2003,4.221
NZL,2003,4.745
CHL,2009,11.313
PRT,2006,7.649
TUR,2009,14.026
DEU,2003,9.779
DEU,2015,4.624
LUX,2003,3.675
MEX,2018,3.275
FIN,2015,9.376
IRL,2003,4.478
HUN,2006,7.494
KOR,2009,3.363
SVK,2012,13.966
USA,2003,5.989
ESP,2018,15.255
PRT,2018,6.994
SVN,2015,8.997
PRT,2003,6.132
DEU,2012,5.379
