country,time,expenditure_on _education_pct_gdp,mortality_rate_infant
AUS,2012,4.86667013168335,3.6
DEU,2009,4.34005403518677,3.5
CHE,2018,4.93008995056152,3.6
ISR,2006,5.59218978881836,4.3
USA,2003,6.3286075592041,6.9
PRT,2003,5.28152990341187,4.3
NZL,2009,6.50176286697388,5.2
CAN,2012,4.69258737564087,4.8
IRL,2006,4.54742002487183,4.1
BRA,2009,5.46355009078979,17.5
MEX,2018,4.2542200088501,12.6
POL,2018,4.60506010055542,3.9
AUS,2003,5.24635744094849,4.9
EST,2012,4.71772003173828,3.1
ITA,2018,4.25614023208618,2.7
ISL,2015,7.4579701423645,2.1
MEX,2015,5.22942018508911,13.9
KOR,2006,,4.4
EST,2012,4.71772003173828,3.1
JPN,2015,3.22902536392212,2.0
BEL,2012,6.25576496124268,3.5
LUX,2009,4.86713409423828,2.4
LUX,2012,3.87815999984741,2.3
HUN,2012,4.14249992370605,4.8
NOR,2012,7.32766008377075,2.5
IRL,2012,,3.4
ESP,2003,4.1734299659729,4.1
CHL,2018,5.473060131073,6.3
SWE,2018,7.64084005355835,2.2
POL,2009,4.98976993560791,5.4
MEX,2009,5.18794012069702,17.0
ITA,2003,4.54179000854492,4.1
AUS,2018,5.12431001663208,3.2
BRA,2003,,25.1
NZL,2006,,5.4
ISR,2012,5.58893013000488,3.4
ESP,2012,4.46931982040405,2.9
CHE,2015,4.99559020996094,3.7
FIN,2009,6.45955991744995,2.6
DNK,2012,7.23782014846802,3.5
GBR,2015,5.55358982086182,3.9
BRA,2015,6.24105978012085,14.3
BRA,2015,6.24105978012085,14.3
SVN,2018,4.93455982208252,1.9
IRL,2003,4.20493984222412,5.1
SWE,2003,6.79142999649048,3.2
MEX,2009,5.18794012069702,17.0
ISR,2018,6.06284999847412,2.9
USA,2018,4.92889022827148,5.6
NZL,2015,5.70862293243408,4.6
FIN,2012,7.14803981781006,2.3
GRC,2006,3.67875790596008,3.8
EST,2006,5.85676240921021,5.1
ISL,2003,7.24507999420166,2.7
NOR,2015,7.52334976196289,2.2
BEL,2009,6.45809984207153,3.8
NLD,2003,5.0404200553894,4.8
NZL,2009,6.50176286697388,5.2
PRT,2015,4.88554000854492,3.0
SWE,2015,7.4439001083374,2.4
NZL,2012,6.16936111450195,5.0
ITA,2006,4.52545022964478,3.7
CHL,2012,4.54170417785645,7.2
EST,2009,5.96005010604858,3.9
MEX,2012,5.10309982299805,15.4
JPN,2015,3.22902536392212,2.0
SVN,2006,5.59066009521484,3.3
FRA,2018,5.40716981887817,3.4
EST,2015,5.14418983459473,2.4
CAN,2003,,5.3
IRL,2012,,3.4
DEU,2012,4.92844009399414,3.4
SWE,2009,6.74971008300781,2.6
NLD,2009,5.43156003952026,3.9
DEU,2009,4.34005403518677,3.5
FRA,2009,5.73407077789307,3.2
USA,2003,6.3286075592041,6.9
EST,2006,5.85676240921021,5.1
AUS,2012,4.86667013168335,3.6
NLD,2006,5.04402017593384,4.3
NOR,2003,7.39933013916016,3.6
NZL,2003,,5.7
CHL,2009,4.25475978851318,7.5
PRT,2006,4.90767002105713,3.4
TUR,2009,3.76504969596863,16.6
DEU,2003,4.17101860046387,4.1
DEU,2015,4.85515022277832,3.3
LUX,2003,4.86869335174561,3.1
MEX,2018,4.2542200088501,12.6
FIN,2015,7.03208017349243,2.0
IRL,2003,4.20493984222412,5.1
HUN,2006,5.28974008560181,6.1
KOR,2009,3.91358160972595,3.7
SVK,2012,3.8590099811554,5.5
USA,2003,6.3286075592041,6.9
ESP,2018,4.1794900894165,2.7
PRT,2018,4.67515993118286,2.9
SVN,2015,4.90953016281128,2.1
PRT,2003,5.28152990341187,4.3
DEU,2012,4.92844009399414,3.4
