Country,Total in km2,Land in km2,Water in km2
San Marino,61.0,61.0,61.0
Russia,17098246.0,16378410.0,16378410.0
Egypt,1002000.0,995450.0,995450.0
Guatemala,108889.0,107159.0,107159.0
Andorra,468.0,468.0,468.0
Philippines,300000.0,298170.0,298170.0
Montenegro,13888.0,13452.0,13452.0
Latvia,64594.0,62249.0,62249.0
Estonia,45339.0,42388.0,42388.0
Peru,1285216.0,1279996.0,1279996.0
United Kingdom,242495.0,241930.0,241930.0
Malta,315.0,316.0,316.0
United Arab Emirates,71024.0,83600.0,83600.0
Samoa,2842.0,2821.0,2821.0
Barbados,431.0,431.0,431.0
Slovakia,49035.0,48105.0,48105.0
Seychelles,457.0,455.0,455.0
Chad,1284000.0,1259200.0,1259200.0
Mongolia,1564116.0,1553556.0,1553556.0
Guinea-Bissau,36125.0,28120.0,28120.0
Micronesia,702.0,702.0,702.0
Turkey,783562.0,769632.0,769632.0
Tuvalu,26.0,26.0,26.0
Iraq,438317.0,437367.0,437367.0
Japan,377976.0,364546.0,364546.0
Rwanda,26338.0,24668.0,24668.0
Austria,83878.0,82445.0,82445.0
Albania,28748.0,27398.0,27398.0
Botswana,582000.0,566730.0,566730.0
Nicaragua,130373.0,119990.0,119990.0
Bangladesh,148460.0,134208.0,134208.0
Vietnam,331345.0,310070.0,310070.0
Bosnia and Herzegovina,51209.0,51187.0,51187.0
Antigua and Barbuda,442.0,442.0,442.0
Kazakhstan,2724910.0,2699700.0,2699700.0
Bolivia,1098581.0,1083301.0,1083301.0
Senegal,196712.0,192530.0,192530.0
Mali,1240192.0,1220190.0,1220190.0
Bahrain,778.0,786.0,786.0
Switzerland,41277.0,39997.0,39997.0
Dominican Republic,48671.0,48320.0,48320.0
Maldives,300.0,298.0,298.0
Djibouti,23200.0,23180.0,23180.0
Afghanistan,652867.0,652867.0,652867.0
Iceland,103000.0,100250.0,100250.0
Pakistan,881913.0,856690.0,856690.0
Venezuela,912050.0,882050.0,882050.0
Niger,1267000.0,1266700.0,1266700.0
Oman,309980.0,309500.0,309500.0
Mozambique,801590.0,786380.0,786380.0
Ghana,238537.0,228567.0,228567.0
Eswatini,17363.0,17204.0,17204.0
Jamaica,10991.0,10831.0,10831.0
Lesotho,30355.0,30355.0,30355.0
Ecuador,283561.0,276841.0,276841.0
North Macedonia,25713.0,25433.0,25433.0
Bahamas,13940.0,10010.0,10010.0
Bulgaria,110372.0,108612.0,108612.0
Denmark,42947.0,42434.0,42434.0
Kiribati,811.0,811.0,811.0
Equatorial Guinea,28051.0,28051.0,28051.0
Singapore,733.0,716.0,716.0
Syria,185180.0,183630.0,183630.0
Burundi,27834.0,25680.0,25680.0
Haiti,27750.0,27560.0,27560.0
Brunei,5765.0,5265.0,5265.0
Nepal,147181.0,143686.0,143686.0
Algeria,2381741.0,2381741.0,2381741.0
Fiji,18272.0,18274.0,18274.0
Gabon,267668.0,257667.0,257667.0
Guyana,214969.0,196849.0,196849.0
Cambodia,181035.0,176515.0,176515.0
Mauritania,1030700.0,1025520.0,1025520.0
Greece,131957.0,130647.0,130647.0
Angola,1246700.0,1246700.0,1246700.0
Togo,56785.0,54385.0,54385.0
Poland,312679.0,311888.0,311888.0
Uzbekistan,448969.0,425400.0,425400.0
Honduras,112492.0,111890.0,111890.0
Namibia,825615.0,823290.0,823290.0
Yemen,527968.0,527968.0,527968.0
Ireland,69825.0,68883.0,68883.0
Paraguay,406752.0,397302.0,397302.0
Malaysia,330621.0,329613.0,329613.0
Sierra Leone,72300.0,71620.0,71620.0
Luxembourg,2586.0,2586.0,2586.0
Bhutan,38394.0,38394.0,38394.0
Saint Kitts and Nevis,261.0,261.0,261.0
South Africa,1221037.0,1214470.0,1214470.0
Trinidad and Tobago,5127.0,5128.0,5128.0
Italy,302068.0,294140.0,294140.0
Indonesia,1910931.0,1811569.0,1811569.0
Dominica,750.0,751.0,751.0
Belarus,207600.0,202900.0,202900.0
Eritrea,121144.0,124330.0,124330.0
Romania,238398.0,231291.0,231291.0
Belgium,30528.0,30446.0,30446.0
Colombia,1141748.0,1038700.0,1038700.0
Kenya,591958.0,569140.0,569140.0
Ethiopia,1104300.0,1096630.0,1096630.0
