Country,IMF Forecast GDP(Nominal),World Bank Forecast GDP(Nominal),UN Forecast GDP(Nominal)
San Marino,1998.0,,2021.0
Russia,1862470.0,2240422.0,1778782.0
Egypt,398397.0,476748.0,425906.0
Guatemala,102765.0,95003.0,85986.0
Andorra,3692.0,3352.0,3325.0
Philippines,435675.0,404284.0,394086.0
Montenegro,7058.0,6096.0,5809.0
Latvia,46668.0,41154.0,39854.0
Estonia,41799.0,38101.0,37191.0
Peru,264636.0,242632.0,223252.0
United Kingdom,3332059.0,3070668.0,3131378.0
Malta,20311.0,17765.0,17721.0
United Arab Emirates,509179.0,507535.0,405468.0
Samoa,939.0,832.0,857.0
Barbados,6220.0,5638.0,4844.0
Slovakia,133044.0,115469.0,116527.0
Seychelles,2085.0,1588.0,1287.0
Chad,12596.0,12704.0,16410.0
Mongolia,18782.0,16811.0,15098.0
Guinea-Bissau,1991.0,1634.0,1563.0
Micronesia,458.0,427.0,404.0
Turkey,1154600.0,905988.0,819034.0
Tuvalu,63.0,60.0,60.0
Iraq,297695.0,264182.0,204004.0
Japan,4230862.0,4231141.0,4940878.0
Rwanda,13927.0,13313.0,11070.0
Austria,526182.0,471400.0,480368.0
Albania,23032.0,18882.0,18260.0
Botswana,20756.0,20352.0,17615.0
Nicaragua,17353.0,15672.0,14013.0
Bangladesh,446349.0,460201.0,414907.0
Vietnam,433356.0,408802.0,366138.0
Bosnia and Herzegovina,26945.0,24528.0,23365.0
Antigua and Barbuda,1949.0,1758.0,1421.0
Kazakhstan,259292.0,220623.0,193018.0
Bolivia,46796.0,43069.0,40408.0
Senegal,31141.0,27684.0,27625.0
Mali,21309.0,18827.0,19157.0
Bahrain,44994.0,44391.0,38869.0
Switzerland,905684.0,807706.0,812867.0
Dominican Republic,120629.0,113642.0,94243.0
Maldives,6977.0,6190.0,5406.0
Djibouti,3873.0,3515.0,3701.0
Afghanistan,,14939.0,
Iceland,30570.0,27842.0,25602.0
Pakistan,340636.0,376533.0,342501.0
Venezuela,92210.0,,2021.0
Niger,17073.0,13970.0,14915.0
Oman,108282.0,114667.0,88192.0
Mozambique,21936.0,17851.0,15777.0
Ghana,76628.0,72839.0,79083.0
Eswatini,4648.0,4854.0,4732.0
Jamaica,18761.0,17098.0,14658.0
Lesotho,2373.0,2553.0,2373.0
Ecuador,118686.0,115049.0,106166.0
North Macedonia,15801.0,13563.0,13881.0
Bahamas,13876.0,12897.0,11209.0
Bulgaria,103099.0,89040.0,84058.0
Denmark,420800.0,395404.0,398303.0
Kiribati,246.0,223.0,227.0
Equatorial Guinea,10041.0,11814.0,12431.0
Singapore,497347.0,466789.0,396992.0
Syria,,19719.0,
Burundi,3190.0,3073.0,3900.0
Haiti,25986.0,20254.0,19044.0
Brunei,15153.0,16682.0,14006.0
Nepal,41339.0,40828.0,36207.0
Algeria,224107.0,191913.0,163473.0
Fiji,5511.0,4943.0,4296.0
Gabon,19319.0,21072.0,18521.0
Guyana,16329.0,15358.0,8044.0
Cambodia,30943.0,29957.0,26669.0
Mauritania,10357.0,10375.0,9996.0
Greece,242385.0,219066.0,214874.0
Angola,93796.0,106714.0,70533.0
Togo,9111.0,8126.0,8160.0
Poland,842172.0,688177.0,679442.0
Uzbekistan,90392.0,80392.0,69239.0
Honduras,33992.0,31718.0,28489.0
Namibia,12647.0,12607.0,12236.0
Yemen,21045.0,,2021.0
Ireland,589569.0,529245.0,504183.0
Paraguay,44142.0,41722.0,40458.0
Malaysia,430895.0,406306.0,372702.0
Sierra Leone,3519.0,3970.0,4249.0
Luxembourg,89095.0,82275.0,85506.0
Bhutan,2686.0,,2021.0
Saint Kitts and Nevis,1069.0,962.0,861.0
South Africa,380906.0,405870.0,419016.0
Trinidad and Tobago,27887.0,27899.0,24460.0
Italy,2186082.0,2010432.0,2107703.0
Indonesia,1417387.0,1319100.0,1186093.0
Dominica,697.0,612.0,548.0
Belarus,68864.0,72793.0,68206.0
Eritrea,,2255.0,
Romania,350414.0,301262.0,284086.0
Belgium,627511.0,578604.0,594104.0
Colombia,363835.0,343939.0,314464.0
Kenya,112749.0,113420.0,110347.0
Ethiopia,155804.0,126783.0,99269.0
