Country,Internet Users
San Marino,20100.0
Russia,129800000.0
Egypt,80750000.0
Guatemala,11750000.0
Andorra,76095.0
Philippines,73003313.0
Montenegro,505055.0
Latvia,1585471.0
Estonia,1211112.0
Peru,15674241.0
United Kingdom,65001016.0
Malta,344970.0
United Arab Emirates,8913217.0
Samoa,66023.0
Barbados,233604.0
Slovakia,4446926.0
Seychelles,55677.0
Chad,968500.0
Mongolia,729236.0
Guinea-Bissau,73148.0
Micronesia,37257.0
Turkey,74278491.0
Tuvalu,5520.0
Iraq,18892351.0
Japan,117400000.0
Rwanda,2657770.0
Austria,7681957.0
Albania,2105339.0
Botswana,948977.0
Nicaragua,1732218.0
Bangladesh,126210000.0
Vietnam,68172134.0
Bosnia and Herzegovina,2320000.0
Antigua and Barbuda,77529.0
Kazakhstan,13913699.0
Bolivia,4843916.0
Senegal,4698108.0
Mali,2358540.0
Bahrain,1431090.0
Switzerland,7942864.0
Dominican Republic,6997472.0
Maldives,275717.0
Djibouti,532849.0
Afghanistan,4068194.0
Iceland,369996.0
Pakistan,130000000.0
Venezuela,20564451.0
Niger,2194985.0
Oman,3717818.0
Mozambique,6162217.0
Ghana,15065541.0
Eswatini,414278.0
Jamaica,1409888.0
Lesotho,665312.0
Ecuador,9521056.0
North Macedonia,1589659.0
Bahamas,336057.0
Bulgaria,4492326.0
Denmark,5407278.0
Kiribati,16971.0
Equatorial Guinea,332642.0
Singapore,4821119.0
Syria,6257430.0
Burundi,607311.0
Haiti,1353986.0
Brunei,406705.0
Nepal,16190000.0
Algeria,26350000.0
Fiji,452479.0
Gabon,1040000.0
Guyana,290375.0
Cambodia,5441827.0
Mauritania,919398.0
Greece,7923438.0
Angola,4271053.0
Togo,963795.0
Poland,34697848.0
Uzbekistan,16692456.0
Honduras,2977793.0
Namibia,933450.0
Yemen,7548512.0
Ireland,4024552.0
Paraguay,4160340.0
Malaysia,25343685.0
Sierra Leone,1000575.0
Luxembourg,570794.0
Bhutan,388541.0
Saint Kitts and Nevis,44669.0
South Africa,31858027.0
Trinidad and Tobago,1058744.0
Italy,50540000.0
Indonesia,215626156.0
Dominica,51467.0
Belarus,7048231.0
Eritrea,66402.0
Romania,12545558.0
Belgium,10021242.0
Colombia,30548252.0
Kenya,8861485.0
Ethiopia,19543075.0
