Country,UN Continental Region,UN Statistical Subregion
San Marino,Europe,Southern Europe
Russia,Europe,Eastern Europe
Egypt,Africa,Northern Africa
Guatemala,Americas,Central America
Andorra,Europe,Southern Europe
Philippines,Asia,South-eastern Asia
Montenegro,Europe,Southern Europe
Latvia,Europe,Northern Europe
Estonia,Europe,Northern Europe
Peru,Americas,South America
United Kingdom,Europe,Northern Europe
Malta,Europe,Southern Europe
United Arab Emirates,Asia,Western Asia
Samoa,Oceania,Polynesia
Barbados,Americas,Caribbean
Slovakia,Europe,Eastern Europe
Seychelles,Africa,Eastern Africa
Chad,Africa,Middle Africa
Mongolia,Asia,Eastern Asia
Guinea-Bissau,Africa,Western Africa
Micronesia,Oceania,Micronesia
Turkey,Asia,Western Asia
Tuvalu,Oceania,Polynesia
Iraq,Asia,Western Asia
Japan,Asia,Eastern Asia
Rwanda,Africa,Eastern Africa
Austria,Europe,Western Europe
Albania,Europe,Southern Europe
Botswana,Africa,Southern Africa
Nicaragua,Americas,Central America
Bangladesh,Asia,Southern Asia
Vietnam,Asia,South-eastern Asia
Bosnia and Herzegovina,Europe,Southern Europe
Antigua and Barbuda,Americas,Caribbean
Kazakhstan,Asia,Central Asia
Bolivia,Americas,South America
Senegal,Africa,Western Africa
Mali,Africa,Western Africa
Bahrain,Asia,Western Asia
Switzerland,Europe,Western Europe
Dominican Republic,Americas,Caribbean
Maldives,Asia,Southern Asia
Djibouti,Africa,Eastern Africa
Afghanistan,Asia,Southern Asia
Iceland,Europe,Northern Europe
Pakistan,Asia,Southern Asia
Venezuela,Americas,South America
Niger,Africa,Western Africa
Oman,Asia,Western Asia
Mozambique,Africa,Eastern Africa
Ghana,Africa,Western Africa
Eswatini,Africa,Southern Africa
Jamaica,Americas,Caribbean
Lesotho,Africa,Southern Africa
Ecuador,Americas,South America
North Macedonia,Europe,Southern Europe
Bahamas,Americas,Caribbean
Bulgaria,Europe,Eastern Europe
Denmark,Europe,Northern Europe
Kiribati,Oceania,Micronesia
Equatorial Guinea,Africa,Middle Africa
Singapore,Asia,South-eastern Asia
Syria,Asia,Western Asia
Burundi,Africa,Eastern Africa
Haiti,Americas,Caribbean
Brunei,Asia,South-eastern Asia
Nepal,Asia,Southern Asia
Algeria,Africa,Northern Africa
Fiji,Oceania,Melanesia
Gabon,Africa,Middle Africa
Guyana,Americas,South America
Cambodia,Asia,South-eastern Asia
Mauritania,Africa,Western Africa
Greece,Europe,Southern Europe
Angola,Africa,Middle Africa
Togo,Africa,Western Africa
Poland,Europe,Eastern Europe
Uzbekistan,Asia,Central Asia
Honduras,Americas,Central America
Namibia,Africa,Southern Africa
Yemen,Asia,Western Asia
Ireland,Europe,Northern Europe
Paraguay,Americas,South America
Malaysia,Asia,South-eastern Asia
Sierra Leone,Africa,Western Africa
Luxembourg,Europe,Western Europe
Bhutan,Asia,Southern Asia
Saint Kitts and Nevis,Americas,Caribbean
South Africa,Africa,Southern Africa
Trinidad and Tobago,Americas,Caribbean
Italy,Europe,Southern Europe
Indonesia,Asia,South-eastern Asia
Dominica,Americas,Caribbean
Belarus,Europe,Eastern Europe
Eritrea,Africa,Eastern Africa
Romania,Europe,Eastern Europe
Belgium,Europe,Western Europe
Colombia,Americas,South America
Kenya,Africa,Eastern Africa
Ethiopia,Africa,Eastern Africa
