Country,Population 2022,Population 2023,Population %Change
San Marino,33661.0,33642.0,-0.06
Russia,144713314.0,144444359.0,-0.19
Egypt,110990103.0,112716599.0,1.56
Guatemala,17843908.0,18092026.0,1.39
Andorra,79824.0,80088.0,0.33
Philippines,115559009.0,117337368.0,1.54
Montenegro,627083.0,626485.0,-0.1
Latvia,1850651.0,1830212.0,-1.1
Estonia,1326062.0,1322766.0,-0.25
Peru,34049589.0,34352719.0,0.89
United Kingdom,67508936.0,67736802.0,0.34
Malta,533286.0,535065.0,0.33
United Arab Emirates,9441129.0,9516871.0,0.8
Samoa,222382.0,225681.0,1.48
Barbados,281635.0,281996.0,0.13
Slovakia,5643453.0,5795199.0,2.69
Seychelles,107119.0,107660.0,0.51
Chad,17723315.0,18278568.0,3.13
Mongolia,3398366.0,3447157.0,1.44
Guinea-Bissau,2105566.0,2150842.0,2.15
Micronesia,114164.0,115224.0,0.93
Turkey,85341241.0,85816199.0,0.56
Tuvalu,11312.0,11396.0,0.74
Iraq,44496122.0,45504560.0,2.27
Japan,123951692.0,123294513.0,-0.53
Rwanda,13776698.0,14094683.0,2.31
Austria,8939617.0,8958961.0,0.22
Albania,2842321.0,2832439.0,-0.35
Botswana,2630296.0,2675353.0,1.71
Nicaragua,6948392.0,7046311.0,1.41
Bangladesh,171186373.0,172954319.0,1.03
Vietnam,98186856.0,98858950.0,0.68
Bosnia and Herzegovina,3233527.0,3210848.0,-0.7
Antigua and Barbuda,93763.0,94298.0,0.57
Kazakhstan,19397998.0,19606634.0,1.08
Bolivia,12224110.0,12388571.0,1.35
Senegal,17316449.0,17763163.0,2.58
Mali,22593591.0,23293699.0,3.1
Bahrain,1472233.0,1485510.0,0.9
Switzerland,8740472.0,8796669.0,0.64
Dominican Republic,11228821.0,11332973.0,0.93
Maldives,521021.0,523787.0,0.53
Djibouti,1120849.0,1136455.0,1.39
Afghanistan,41128771.0,42239854.0,2.7
Iceland,372899.0,375319.0,0.65
Pakistan,235824862.0,240485658.0,1.98
Venezuela,28301696.0,28838499.0,1.9
Niger,26207977.0,27202843.0,3.8
Oman,4576298.0,4644384.0,1.49
Mozambique,32969519.0,33897354.0,2.81
Ghana,33475870.0,34121985.0,1.93
Eswatini,1201671.0,1210822.0,0.76
Jamaica,2827377.0,2825544.0,-0.06
Lesotho,2305826.0,2330318.0,1.06
Ecuador,18001000.0,18190484.0,1.05
North Macedonia,2093599.0,2085679.0,-0.38
Bahamas,409984.0,412624.0,0.64
Bulgaria,6781953.0,6687717.0,-1.39
Denmark,5882262.0,5910913.0,0.49
Kiribati,131232.0,133515.0,1.74
Equatorial Guinea,1674908.0,1714672.0,2.37
Singapore,5975689.0,6014723.0,0.65
Syria,22125249.0,23227014.0,4.98
Burundi,12889577.0,13238559.0,2.71
Haiti,11584996.0,11724764.0,1.21
Brunei,449002.0,452524.0,0.78
Nepal,30547580.0,30896590.0,1.14
Algeria,44903225.0,45606481.0,1.57
Fiji,929766.0,936376.0,0.71
Gabon,2388993.0,2436567.0,1.99
Guyana,808726.0,813834.0,0.63
Cambodia,16767842.0,16944826.0,1.06
Mauritania,4736139.0,4862989.0,2.68
Greece,10384971.0,10341277.0,-0.42
Angola,35588987.0,36684203.0,3.08
Togo,8848699.0,9053799.0,2.32
Poland,39857146.0,41026068.0,2.93
Uzbekistan,34627653.0,35163944.0,1.55
Honduras,10432860.0,10593798.0,1.54
Namibia,2567013.0,2604172.0,1.45
Yemen,33696614.0,34449825.0,2.24
Ireland,5023109.0,5056935.0,0.67
Paraguay,6780744.0,6861524.0,1.19
Malaysia,33938222.0,34308525.0,1.09
Sierra Leone,8605718.0,8791092.0,2.15
Luxembourg,647599.0,654768.0,1.11
Bhutan,782455.0,787425.0,0.64
Saint Kitts and Nevis,47658.0,47755.0,0.2
South Africa,59893886.0,60414495.0,0.87
Trinidad and Tobago,1531045.0,1534937.0,0.25
Italy,59037474.0,58870763.0,-0.28
Indonesia,275501339.0,277534123.0,0.74
Dominica,72738.0,73040.0,0.42
Belarus,9534955.0,9498238.0,-0.39
Eritrea,3684032.0,3748902.0,1.76
Romania,19659267.0,19892812.0,1.19
Belgium,11655930.0,11686140.0,0.26
Colombia,51874024.0,52085168.0,0.41
Kenya,54027487.0,55100587.0,1.99
Ethiopia,123379925.0,126527060.0,2.55
