country,pop2022,pop2023,pop2050
Bosnia and Herzegovina,3233526,3210847,2739014
United States,338289857,339996563,375391963
Estonia,1326062,1322765,1171695
Armenia,2780469,2777970,2573465
Venezuela,28301696,28838499,35937404
Croatia,4030358,4008617,3333425
Curacao,191163,192077,204084
Niger,26207977,27202843,67043296
Turkey,85341241,85816199,95829258
British Virgin Islands,31305,31538,34768
North Macedonia,2093599,2085679,1909309
Mali,22593590,23293698,47439802
Chad,17723315,18278568,36452035
El Salvador,6336392,6364943,6636854
Jordan,11285869,11337052,15005941
Martinique,367507,366981,330121
Vietnam,98186856,98858950,107012939
Malaysia,33938221,34308525,41032433
Jersey,110778,111802,135441
Ireland,5023109,5056935,5724686
Belgium,11655930,11686140,12090657
Eritrea,3684032,3748901,5964021
Bulgaria,6781953,6687717,5187392
Egypt,110990103,112716598,160339889
Romania,19659267,19892812,17457213
Reunion,974052,981796,1127252
Benin,13352864,13712828,25264035
Kiribati,131232,133515,188570
Guam,171774,172952,195673
Czech Republic,10493986,10495295,10577126
Belarus,9534954,9498238,8409632
Montserrat,4390,4386,3781
Belize,405272,410825,538838
Malawi,20405317,20931751,37159300
Cameroon,27914536,28647293,51279560
Jamaica,2827377,2825544,2493823
Guinea-Bissau,2105566,2150842,3445289
Morocco,37457971,37840044,45044990
Zambia,20017675,20569737,37460435
Greenland,56466,56643,53997
Djibouti,1120849,1136455,1502575
Portugal,10270865,10247605,9261305
Afghanistan,41128771,42239854,74075234
Netherlands,17564014,17618299,17897025
Saint Martin,31791,32077,35453
Slovakia,5643453,5795199,5186967
Saint Kitts and Nevis,47657,47755,46882
Sweden,10549347,10612086,11902033
Thailand,71697030,71801279,67880083
American Samoa,44273,43914,33557
Sao Tome and Principe,227380,231856,366663
Palestine,5250072,5371230,8861747
Puerto Rico,3252407,3260314,2727624
Guyana,808726,813834,878746
Iraq,44496122,45504560,74515140
Hong Kong,7488865,7491609,6975391
Madagascar,29611714,30325732,51592965
Albania,2842321,2832439,2456472
Falkland Islands,3780,3791,3779
China,1425887337,1425671352,1312636325
Mayotte,326101,335995,664141
Andorra,79824,80088,80504
Uzbekistan,34627652,35163944,45593149
Somalia,17597511,18143378,36462830
Canada,38454327,38781291,45890819
Norway,5434319,5474360,6367559
France,64626628,64756584,65827072
Dominica,72737,73040,74167
South Korea,51815810,51784059,45770874
Uruguay,3422794,3423108,3337143
Austria,8939617,8958960,8924190
Angola,35588987,36684202,72328068
Sint Maarten,44175,44222,38947
Macau,695168,704149,881666
Slovenia,2119844,2119675,2003258
Montenegro,627082,626485,586385
Chile,19603733,19629590,20675378
Costa Rica,5180829,5212173,5702525
Libya,6812341,6888388,8539976
Ghana,33475870,34121985,52231785
North Korea,26069416,26160821,25807197
French Guiana,304557,312155,532459
Brazil,215313498,216422446,230885725
Tuvalu,11312,11396,13211
Qatar,2695122,2716391,3358454
Cayman Islands,68706,69310,77633
Bermuda,64184,64069,56041
Trinidad and Tobago,1531044,1534937,1485139
Botswana,2630296,2675352,3679340
Singapore,5975689,6014723,6337235
Mozambique,32969518,33897354,63044497
Nicaragua,6948392,7046310,9094641
Bhutan,782455,787424,874294
Italy,59037474,58870762,52250484
Nepal,30547580,30896590,37401365
Spain,47558630,47519628,44219565
Saudi Arabia,36408820,36947025,48374543
Monaco,36469,36297,37664
Aruba,106445,106277,94185
South Africa,59893885,60414495,73529753
