job_title,salary,salary_currency
Data Scientist,30400000,CLP
BI Data Analyst,11000000,HUF
Data Scientist,11000000,HUF
ML Engineer,8500000,JPY
Lead Machine Learning Engineer,7500000,INR
ML Engineer,7000000,JPY
Data Science Manager,7000000,INR
Data Scientist,6600000,HUF
Head of Machine Learning,6000000,INR
Research Engineer,5500000,JPY
Head of Data Science,5000000,INR
AI Programmer,4950806,INR
Machine Learning Engineer,4900000,INR
Lead Data Scientist,4460000,INR
Data Engineer,4450000,JPY
Data Scientist,4200000,INR
Applied Machine Learning Scientist,4000000,INR
Data Scientist,4000000,INR
Data Science Manager,4000000,INR
Data Science Manager,3600000,INR
Lead Data Analyst,3300000,INR
Data Science Manager,3200000,INR
Data Analytics Manager,3200000,INR
Data Integration Specialist,3000000,INR
Principal Data Architect,3000000,INR
Lead Data Scientist,3000000,INR
Data Scientist,3000000,INR
Data Engineer,2800000,INR
NLP Engineer,2700000,INR
Data Scientist,2500000,INR
Data Scientist,2500000,INR
Applied Machine Learning Scientist,2400000,INR
Data Scientist,2400000,INR
Big Data Engineer,2300000,INR
Data Engineer,2250000,INR
Data Scientist,2200000,INR
Data Scientist,2100000,INR
AI Research Engineer,2000000,INR
Machine Learning Software Engineer,2000000,INR
Data Scientist,1800000,INR
Machine Learning Engineer,1799997,INR
Data Analyst,1700000,INR
Applied Data Scientist,1700000,INR
Big Data Engineer,1672000,INR
Machine Learning Engineer,1650000,INR
Data Engineer,1600000,INR
AI Scientist,1500000,ILS
Lead Data Analyst,1500000,INR
Lead Data Analyst,1450000,INR
Data Analytics Lead,1440000,INR
Business Data Analyst,1440000,INR
Data Engineer,1400000,INR
Data Scientist,1400000,INR
Business Data Analyst,1400000,INR
Data Scientist,1400000,INR
Product Data Analyst,1350000,INR
AI Scientist,1335000,INR
Data Analyst,1300000,INR
Computer Vision Engineer,1250000,INR
Data Analyst,1250000,INR
Data Scientist,1250000,INR
Big Data Engineer,1200000,INR
Data Scientist,1050000,NOK
Data Science Consultant,1000000,THB
Data Analyst,866000,PHP
Data Scientist,840000,THB
AI Architect,800000,USD
Data Scientist,800000,NOK
Data Analyst,774000,USD
Analytics Engineer,750000,USD
Machine Learning Scientist,750000,USD
Data Analyst,750000,USD
Machine Learning Scientist,750000,USD
Machine Learning Scientist,750000,USD
Machine Learning Engineer,750000,USD
Data Engineer,750000,USD
Data Scientist,750000,USD
Machine Learning Scientist,720000,USD
Data Scientist,720000,USD
Analytics Engineer,720000,USD
Analytics Engineer,720000,USD
Data Scientist,720000,USD
Research Engineer,720000,USD
Research Scientist,720000,USD
Research Engineer,720000,USD
Data Engineer,720000,MXN
Analytics Engineer,700000,USD
Analytics Engineer,700000,USD
Machine Learning Software Engineer,627000,ZAR
Research Scientist,600000,USD
Prompt Engineer,600000,USD
Research Engineer,600000,USD
Machine Learning Engineer,550000,USD
Machine Learning Engineer,550000,USD
ML Engineer,530000,USD
Data Scientist,510000,HKD
Research Scientist,500000,USD
Research Scientist,500000,USD
Research Scientist,484000,USD
Data Engineer,465000,USD
Research Engineer,450000,USD
Research Scientist,450000,USD
AI Architect,449000,USD
Head of Machine Learning,448000,USD
Research Engineer,440000,USD
Research Engineer,440000,USD
ML Engineer,440000,USD
Research Engineer,440000,USD
Research Scientist,440000,USD
Research Engineer,440000,USD
Research Scientist,440000,USD
Research Engineer,440000,USD
Research Engineer,440000,USD
Research Engineer,440000,USD
Research Scientist,440000,USD
Research Scientist,440000,USD
Research Scientist,440000,USD
Research Engineer,440000,USD
Head of Machine Learning,438000,USD
Applied Machine Learning Scientist,423000,USD
Machine Learning Engineer,418000,USD
Machine Learning Engineer,418000,USD
Principal Data Scientist,416000,USD
Machine Learning Engineer,414000,USD
Applied Scientist,414000,USD
Data Scientist,412000,USD
Deep Learning Engineer,409500,CAD
Machine Learning Engineer,408500,USD
Research Scientist,405000,USD
Data Analytics Lead,405000,USD
Data Architect,400000,USD
AI Engineer,400000,USD
Data Analytics Lead,398900,USD
Data Analytics Lead,398900,USD
Machine Learning Engineer,392000,USD
Machine Learning Engineer,386100,USD
