job_title,work_year,salary_in_usd,company_location,company_size
Data Scientist,2021,40038,CL,L
BI Data Analyst,2021,36259,US,L
Data Scientist,2020,35735,HU,L
ML Engineer,2021,77364,JP,S
Lead Machine Learning Engineer,2022,95386,IN,L
ML Engineer,2021,63711,JP,S
Data Science Manager,2021,94665,IN,L
Data Scientist,2022,17684,HU,M
Head of Machine Learning,2022,76309,IN,L
Research Engineer,2022,41809,JP,L
Head of Data Science,2023,60805,IN,L
AI Programmer,2023,60207,IN,S
Machine Learning Engineer,2021,66265,IN,L
Lead Data Scientist,2022,56723,IN,L
Data Engineer,2020,41689,JP,S
Data Scientist,2022,53416,ID,L
Applied Machine Learning Scientist,2023,48644,DE,L
Data Scientist,2021,54094,IN,L
Data Science Manager,2021,54094,US,L
Data Science Manager,2023,43779,IN,L
Lead Data Analyst,2024,39615,IN,L
Data Science Manager,2023,38915,IN,L
Data Analytics Manager,2023,38915,IN,M
Data Integration Specialist,2023,36483,IN,L
Principal Data Architect,2022,38154,IN,L
Lead Data Scientist,2021,40570,IN,L
Data Scientist,2020,40481,IN,L
Data Engineer,2022,35610,IN,L
NLP Engineer,2023,32834,IN,M
Data Scientist,2022,31795,US,M
Data Scientist,2021,33808,IN,M
Applied Machine Learning Scientist,2022,30523,IN,S
Data Scientist,2022,30523,IN,L
Big Data Engineer,2024,27611,IN,L
Data Engineer,2021,30428,IN,L
Data Scientist,2021,29751,IN,L
Data Scientist,2021,28399,IN,M
AI Research Engineer,2023,24322,CH,L
Machine Learning Software Engineer,2023,24322,IN,L
Data Scientist,2022,22892,IN,M
Machine Learning Engineer,2021,24342,IN,L
Data Analyst,2023,20673,IN,L
Applied Data Scientist,2023,20673,IN,L
Big Data Engineer,2021,22611,IN,L
Machine Learning Engineer,2022,20984,IN,L
Data Engineer,2021,21637,IN,M
AI Scientist,2023,417937,IL,L
Lead Data Analyst,2023,18241,IN,L
Lead Data Analyst,2021,19609,IN,L
Data Analytics Lead,2023,17511,SG,M
Business Data Analyst,2022,18314,IN,L
Data Engineer,2023,17025,IN,L
Data Scientist,2023,17025,IN,L
Business Data Analyst,2022,17805,IN,M
Data Scientist,2022,17805,IN,M
Product Data Analyst,2023,16417,IN,L
AI Scientist,2021,18053,AS,S
Data Analyst,2023,15809,IN,S
Computer Vision Engineer,2022,15897,IN,M
Data Analyst,2021,16904,IN,L
Data Scientist,2021,16904,IN,S
Big Data Engineer,2021,16228,IN,L
Data Scientist,2023,100416,NO,S
Data Science Consultant,2023,29301,TH,M
Data Analyst,2023,15680,PH,L
Data Scientist,2023,24613,TH,L
AI Architect,2024,800000,CA,M
Data Scientist,2023,76508,NO,S
Data Analyst,2024,774000,MX,M
Analytics Engineer,2024,750000,US,M
Machine Learning Scientist,2024,750000,US,M
Data Analyst,2024,750000,US,M
Machine Learning Scientist,2024,750000,US,M
Machine Learning Scientist,2023,750000,US,M
Machine Learning Engineer,2023,750000,US,M
Data Engineer,2023,750000,US,M
Data Scientist,2023,750000,US,M
Machine Learning Scientist,2024,720000,US,M
Data Scientist,2024,720000,US,M
Analytics Engineer,2024,720000,US,M
Analytics Engineer,2024,720000,US,M
Data Scientist,2024,720000,US,M
Research Engineer,2024,720000,US,M
Research Scientist,2024,720000,US,M
Research Engineer,2024,720000,US,M
Data Engineer,2020,33511,MX,S
Analytics Engineer,2023,700000,US,M
Analytics Engineer,2023,700000,US,M
Machine Learning Software Engineer,2023,34482,ZA,L
Research Scientist,2024,600000,US,M
Prompt Engineer,2024,600000,US,M
Research Engineer,2024,600000,US,M
Machine Learning Engineer,2024,550000,US,M
Machine Learning Engineer,2024,550000,US,M
ML Engineer,2024,530000,US,M
Data Scientist,2023,65058,HK,L
Research Scientist,2024,500000,US,M
Research Scientist,2024,500000,US,M
Research Scientist,2024,484000,US,M
Data Engineer,2023,465000,US,M
Research Engineer,2024,450000,US,M
Research Scientist,2020,450000,US,M
AI Architect,2024,449000,US,M
Head of Machine Learning,2024,448000,US,M
Research Engineer,2024,440000,US,M
Research Engineer,2024,440000,US,M
ML Engineer,2024,440000,US,M
Research Engineer,2024,440000,US,M
Research Scientist,2024,440000,US,M
Research Engineer,2024,440000,US,M
Research Scientist,2024,440000,US,M
Research Engineer,2024,440000,US,M
Research Engineer,2024,440000,US,M
Research Engineer,2024,440000,US,M
Research Scientist,2024,440000,US,M
Research Scientist,2024,440000,US,M
Research Scientist,2024,440000,US,M
Research Engineer,2024,440000,US,M
Head of Machine Learning,2024,438000,US,M
Applied Machine Learning Scientist,2021,423000,US,L
Machine Learning Engineer,2024,418000,US,M
Machine Learning Engineer,2024,418000,US,M
Principal Data Scientist,2021,416000,US,S
