Drug,Review,Rating,Condition,Year
Acetaminophen,"I have mild rheumatoid arthritis which has been well controlled with methotrexate. I was taken off methotrexate to check my liver enzymes and quickly flared up. Tylenol has been totally ineffective. Celebrex helps some but not for long. I'm back on methotrexate and still not back in control, but somewhat better",2.3,Joint Damage causing Pain and Loss of Function,2022
Acetaminophen,"Besides relieving my pain, I FEEL better .. emotionally and mentally. Due to heart condition, this is the only pain reliever my heart doctor recommends. It works great when I take two extra strength. I was told by a medical professional not to exceed 14-16 in a month. Both Ibuprofen and Aspirin interact with my heart meds and specifically I feel a weird heartbeat with ibuprofen.",5.0,Head Pain,2022
Acetaminophen,"I took Tylenol Extra Strength Caplets every 6 hours for pain immediately following hand surgery. It worked very well for the pain. But it would not allow me to sleep. I had to make sure I was 6-8 hours without Tylenol at night in order to be able to close my eyes.  It worked like caffeine on me 2 nights in a row following surgery.  Everyone tells me that's crazy.  I'm 77, weigh 180. I don't take meds.",5.0,Pain,2021
Acetaminophen,"I love this drug. I use it and within 15 minutes to an hour I feel much better. I take it as soon as I feel cramping and continue to use it at the recommended intervals for 24-48 hours depending on the time, then take one if the cramping comes back. I love this product and also use it for pain in my joints or limbs for injuries or growth pains. I highly recommend it.",5.0,Painful Periods,2021
Acetaminophen,"I accidentally took almost 6000 mg of this in one dose, and must say it is very effective as a drug.  My headache is completely gone and so are almost all my other issues",5.0,Head Pain,2020
Acetaminophen,This is my go to medicine for headaches.,4.0,Head Pain,2020
Acetaminophen,"I usually take it whenever I am feeling extremely bad. Usually, it works for a short time, and then stops. It makes the pain bearable, but it doesn’t really help with the pain. I even have the extra strength, and it does nothing.",3.7,Painful Periods,2020
Acetaminophen,I take 1000 mgs at bedtime and have developed muscle cramps in the ankles and calves. If I don't take it no cramps.Thought it would help me sleep.,3.0,Pain associated with Arthritis,2018
Acetaminophen,"Tylenol doesn't help much, but unexpectedly BENEDRYL and allergy meds (chlorpheniramine maleate + phenylephrine HCL, for ex.) help greatly to reduce my lower back pain! I have tight glut, piriformis & hamstring muscles on left side. NSAIDS have never helped. ""Allergy"" meds seem to calm the involved nerves. Happy to have discovered this & wanted to share. I take just 1/2 caplet at bedtime, and if needed same mid-day, and I keep on moving!",3.3,Backache,2018
Acetaminophen,"Acetaminophen works for my back, neck, shoulder and muscle pains better then other over the counter drugs.",4.3,Other,2017
Acetaminophen,Cause me to have stomach problems.  And my doctor prescribes me oxycodone with this in it.  I hate the added pain to relieve pain in other areas of my body.  Feels like I need to throw up constantly.,1.0,Pain,2017
Acetaminophen,would prefer ibuprofen but it can kill me because of the bupropion i take. works better with headaches but not the best with period pain/backaches/toothaches,3.7,Painful Periods,2017
Acetaminophen,"The pills aren't effective at all, it's as if I'm not even taking any pain medication. My prescription was to take 1 pill every 4 hour hours; however, when the pain became so unbearable, I took two pills, but it still didn't alleviate whatsoever. Might as well not take anything at all lest I mess up my liver.",2.3,Other,2016
Acetaminophen,"This does not help my back pain at all. I might as well take a sugar pill.  Because I take warfarin, I cannot take most other meds, like muscle relaxers, anti inflammatory, etc.",2.3,Backache,2015
Acetaminophen,"Makes a huge difference in the amount of pain I feel.  Peak days still aren't painless, but liveable.",4.0,Painful Periods,2015
Acetaminophen,"had 2 herniated discs in back,was taking way over limit for Tylenol in pills and hydrocodone.took for 8 moths switched to methadone .needed injectable morphine,dr's wouldn't give it to me",1.3,Backache,2014
Acetaminophen,"I take 2 of these each night as a sleep aid, it helps me get to sleep.",5.0,Other,2014
Acetaminophen,"I had a distal gastric bypass in 1998 and now have bad joints and major back problems, being such a specialized surgery my family Doctor does not understand the major mal-absorption of Opioid Medications (hydrocodone and acetaminophen combination), which in my case, I had 63% of my small intestine bypassed which from what I get on the internet should make my pain med dose nearly twice what it is for a normal person.    Because this is a controlled substance, my hometown family Doctor tells me she cannot give me any more than the standard maximum dose, however now that I am much older I need a higher dose. She also told me that if I go to oxycodone she could not match the dose of hydrocodone.    I have tried to get my situation heard and understood only to find out other Doctors will not even see me because I have a pain contract with my family Doctor, and when I went to the DEA to voice my problems all they did was flag my file as being a possible drug addict or dealer, which it's very hard to get them to remove from your file. It took me three years.    I have tried the FDA and they move slower than the US Mail.    When I first went on hydrocodone it worked and kept me at about a 3 on the pain scale however, now that I am older and the reason I am on pain medication is getting worse, I cannot get a higher dose, and my Doctor simply does not understand anything about my mal-absorption problem with my distal gastric bypass surgery that requires me to have higher doses of nearly all oral drugs, but most importantly I am having the following problems.....  Vomiting,  nausea,    stomach pain,  Dark urine,  a strange light clay look to my stool,  skin rash nearly everywhere that seems not to ever heal,  cannot seem to sleep enough,  dry mouth,  developed asthma,  Itch all over,  dark spots (bumps) that seem to move from place to place,  puss filled eruptions on Skin.    What can I do?    dark urine, stomach/abdominal pain, extreme tiredness, or yellowing eyes/skin.Read More Read Less",2.3,Other,2014
Acetaminophen,The only problem I seem to have with drug and I have watched this over the last 3 months. It causes my legs to be restless and I only get this after taking it.  taking it with codeine doesn't seem to have this effect.,3.3,Backache,2014
Acetaminophen,Helps tolerate my pain level,4.0,Joint Damage causing Pain and Loss of Function,2014
Acetaminophen,Somr Nausea,3.0,Backache,2014
Acetaminophen,"when 4,000 mgs was acceptable, my arthritis was controlled (no pain).  With 3,000, pain   comes back if dosage is not taken in six hour peroiods.  3,000 does not stop pain satisfactorily.  Ihave now added c_________.",2.3,Pain associated with Arthritis,2013
Acetaminophen,i take this at least twice a day for a spinal/  back problem,4.0,Backache,2013
Acetaminophen,This medicine makes me sick.  Causes nausea followed by vomiting.,2.0,Toothache,2013
