index_code,expenditure_on _education_pct_gdp,mortality_rate_infant,gini_index,gdp_per_capita_ppp,inflation_consumer_prices,intentional_homicides,unemployment,gross_fixed_capital_formation,population_density,suicide_mortality_rate,tax_revenue,taxes_on_income_profits_capital,alcohol_consumption_per_capita,government_health_expenditure_pct_gdp,urban_population_pct_total,country,time,sex,rating
AUS-2012,4.86667013168335,3.6,,42866.60432950846,1.76278015613196,1.06910609399713,5.225,27.40416776604222,2.959200369680955,11.7,21.09748329615445,65.51730988641718,,6.17947626,85.402,AUS,2012,BOY,510.115
DEU-2009,4.34005403518677,3.5,30.5,36816.207175113406,0.312739007368447,0.98817859057552,7.742,19.267539752957195,234.93963741717104,12.8,11.61493705355865,15.45570018200094,,8.50175571,76.771,DEU,2009,GIRL,505.0
CHE-2018,4.93008995056152,3.6,33.1,70688.81874911941,0.936335464113563,0.587238094745934,4.713,26.602693942677057,215.5000945339149,14.5,9.691023944961016,24.509584697662792,,3.55460477,73.797,CHE,2018,TOT,515.0
ISR-2006,5.59218978881836,4.3,41.6,26336.428219935853,2.06352636127917,2.2394361187674,10.707,22.32242769969071,325.956561922366,5.5,25.314346886232247,33.1115809174756,,4.30434084,91.58,ISR,2006,TOT,442.0
USA-2003,6.3286075592041,6.9,40.8,39490.27495570071,2.27009497336115,,5.989,21.62262062806869,31.664534617198143,11.7,9.39069910317543,50.1184235531497,,6.52333498,79.583,USA,2003,BOY,486.0
PRT-2003,5.28152990341187,4.3,38.8,20852.147027689945,3.21899090682895,,6.132,23.76044290318819,114.30405464480874,11.9,19.88117057210492,20.172870952975146,,6.44214296,56.287,PRT,2003,TOT,466.0
NZL-2009,6.50176286697388,5.2,,30679.03520077485,2.1156511055456,1.55709429007714,6.121,20.173231021013137,16.34043522843796,11.5,29.685513131281944,55.99073108950433,,7.4772172,86.22,NZL,2009,TOT,519.0
CAN-2012,4.69258737564087,4.8,33.5,42290.96541027452,1.51567823124517,1.58250294806031,7.392,24.494186476065902,3.871939493106421,11.8,11.664427363103757,53.04289797974289,,7.40953112,81.137,CAN,2012,BOY,523.154
IRL-2006,4.54742002487183,4.1,32.7,44229.524581343365,3.9316398954053,1.46405744866973,4.415,30.986691634222748,62.034997822615765,10.9,26.81881277460304,39.38866542891898,,5.84971762,60.738,IRL,2006,BOY,507.0
BRA-2009,5.46355009078979,17.5,53.7,13222.74887800148,4.88803479876799,26.4557107555774,9.419,19.10195804224436,23.272827327611168,5.1,,,,3.70742011,84.044,BRA,2009,TOT,386.0
MEX-2018,4.2542200088501,12.6,46.7,21015.92575568151,4.89935015356551,29.5813706276697,3.275,23.047472792330385,63.79477918670748,5.4,12.712157296324468,37.703936915159744,,2.67172027,80.156,MEX,2018,BOY,415.0
POL-2018,4.60506010055542,3.9,30.2,32027.602733555774,1.81295156542679,0.708695944557548,3.846,18.73528689785028,124.03158376065583,12.7,17.355182632919917,12.998262399527896,,4.49809456,60.058,POL,2018,TOT,516.0
AUS-2003,5.24635744094849,4.9,33.5,30121.81841773372,2.73259596616786,1.53307282263429,5.933,26.0502946054578,2.567035523215704,10.5,24.299969618033938,62.72654565523435,,5.62377834,84.343,AUS,2003,BOY,527.0
