Country Name,2018,2017,2016
Cayman Islands,"64,172","63,382","62,564"
Botswana,"22,54,067","22,05,076","21,59,925"
Bosnia,"33,23,929","33,51,534","33,86,263"
Indonesia,"26,76,70,549","26,46,50,969","26,15,56,386"
India,"1,35,26,42,283","1,33,86,76,779","1,32,45,17,250"
Sao Tome And Principe,"2,11,032","2,07,086","2,03,221"
Netherlands,"1,72,31,624","1,71,31,296","1,70,30,314"
China,"1,39,27,30,000","1,38,63,95,000","1,37,86,65,000"
Turks And Caicos Islands,"37,667","37,116","36,558"
Portugal,"1,02,83,822","1,03,00,300","1,03,25,452"
Nepal,"2,80,95,712","2,76,32,682","2,72,63,430"
"Congo, Rep.","52,44,363","51,10,701","49,80,996"
Qatar,"27,81,682","27,24,727","26,54,379"
Morocco,"3,60,29,089","3,55,81,257","3,51,26,274"
Namibia,"24,48,300","24,02,623","23,58,044"
Lao PDR,"70,61,498","69,53,031","68,45,848"
Jamaica,"29,34,853","29,20,848","29,06,242"
Virgin Islands (U.S.),"1,07,001","1,07,281","1,07,516"
Central African Republic,"46,66,375","45,96,023","45,37,683"
Bhutan,"7,54,396","7,45,563","7,36,706"
Uzbekistan,"3,29,56,100","3,23,88,600","3,18,47,900"
Micronesia,"1,12,640","1,11,461","1,10,215"
Cabo Verde,"5,43,764","5,37,499","5,31,140"
Guyana,"7,79,007","7,75,218","7,71,363"
American Samoa,"55,461","55,617","55,739"
Egypt,"9,84,23,602","9,64,42,590","9,44,47,071"
Yemen,"2,84,98,683","2,78,34,811","2,71,68,210"
United States,"32,68,38,199","32,51,22,128","32,30,71,755"
Faroe Islands,"48,497","48,326","48,173"
Iran,"8,18,00,204","8,06,73,888","7,95,63,991"
"Congo, Dem. Rep.","8,40,68,092","8,13,98,765","7,87,89,130"
Moldova,"27,08,214","27,55,158","28,02,170"
Germany,"8,29,05,782","8,26,57,002","8,23,48,669"
El Salvador,"64,20,740","63,88,124","63,56,137"
Latvia,"19,27,174","19,42,248","19,59,537"
Malaysia,"3,15,28,033","3,11,04,655","3,06,84,652"
Peru,"3,19,89,265","3,14,44,299","3,09,26,036"
Cameroon,"2,52,16,261","2,45,66,070","2,39,26,549"
Estonia,"13,21,977","13,17,384","13,15,790"
Ireland,"48,67,316","48,07,388","47,55,335"
Papua New Guinea,"86,06,324","84,38,038","82,71,766"
Luxembourg,"6,07,950","5,96,336","5,82,014"
Hong Kong,"74,51,000","73,91,700","73,36,600"
San Marino,"33,784","33,671","33,503"
Colombia,"4,96,61,056","4,89,09,844","4,81,75,048"
Tajikistan,"91,00,847","88,80,270","86,63,575"
Senegal,"1,58,54,324","1,54,19,354","1,49,93,514"
Turkey,"8,23,40,090","8,11,16,451","7,98,27,868"
Hungary,"97,75,564","97,87,966","98,14,023"
Antigua And Barbuda,"96,282","95,425","94,520"
Kosovo,"17,97,085","17,91,003","17,77,557"
Lesotho,"21,08,327","20,91,532","20,75,041"
Kiribati,"1,15,842","1,14,153","1,12,529"
Slovak Republic,"54,46,771","54,39,232","54,30,798"
Liechtenstein,"37,918","37,805","37,655"
Uganda,"4,27,29,032","4,11,66,588","3,96,49,173"
Grenada,"1,11,449","1,10,874","1,10,263"
Sudan,"4,18,01,532","4,08,13,398","3,98,47,433"
Bahamas,"3,85,635","3,81,749","3,77,923"
Equatorial Guinea,"13,08,966","12,62,008","12,15,181"
Cuba,"1,13,38,146","1,13,39,255","1,13,35,108"
Tonga,"1,03,199","1,02,002","1,01,143"
Macao,"6,31,633","6,22,578","6,12,824"
Paraguay,"69,56,069","68,67,058","67,77,878"
Sri Lanka,"2,16,70,000","2,14,44,000","2,12,03,000"
Monaco,"38,682","38,392","38,070"
St. Kitts And Nevis,"52,438","52,036","51,629"
Kazakhstan,"1,82,76,452","1,80,37,776","1,77,94,055"
Mauritius,"12,65,303","12,64,613","12,63,473"
Eswatini,"11,36,274","11,24,808","11,13,994"
Sierra Leone,"76,50,149","74,88,427","73,28,846"
North Korea,"2,55,49,606","2,54,29,816","2,53,07,665"
Curacao,"1,59,336","1,60,175","1,59,664"
Mauritania,"44,03,312","42,82,582","41,63,532"
Maldives,"5,15,704","4,96,398","4,75,505"
Greece,"1,07,32,882","1,07,54,679","1,07,75,971"
Suriname,"5,75,987","5,70,501","5,64,883"
Italy,"6,04,21,760","6,05,36,709","6,06,27,498"
Aruba,"1,05,846","1,05,361","1,04,865"
Poland,"3,79,74,750","3,79,74,826","3,79,70,087"
Mali,"1,90,77,755","1,85,12,429","1,79,65,448"
Malawi,"1,81,43,215","1,76,70,193","1,72,05,253"
Belarus,"94,83,499","94,98,264","95,01,534"
Mongolia,"31,70,214","31,13,788","30,56,358"
Uruguay,"34,49,290","34,36,645","34,24,139"
Gabon,"21,19,275","20,64,812","20,07,882"
Fiji,"8,83,490","8,77,460","8,72,406"
Canada,"3,70,65,178","3,65,45,295","3,61,09,487"
Dominica,"71,626","71,460","71,307"
Syrian Arab Republic,"1,69,45,062","1,70,95,669","1,74,65,567"
Czech Republic,"1,06,29,928","1,05,94,438","1,05,66,332"
Brunei,"4,28,960","4,24,481","4,19,791"
Algeria,"4,22,28,415","4,13,89,174","4,05,51,398"
Cyprus,"11,89,262","11,79,685","11,70,189"
Tuvalu,"11,505","11,365","11,232"
Kenya,"5,13,92,570","5,02,21,146","4,90,51,531"
Greenland,"56,023","56,172","56,186"
Guatemala,"1,63,46,950","1,60,87,418","1,58,27,690"
French Polynesia,"2,77,673","2,76,108","2,74,576"
Bolivia,"1,13,53,140","1,11,92,853","1,10,31,822"
