game_id,turn_number,nickname,rack,location,move,points,score,turn_type
aZXEhjXA,1,BasicBot,CLOORSX,8G,LOX,+20,20,Play
aZXEhjXA,2,Lucx12,ACEMRTU,7D,CURATE,+25,25,Play
aZXEhjXA,3,BasicBot,CORRSSS,D4,CRO.S,+20,40,Play
aZXEhjXA,4,Lucx12,EHILMOT,8A,HIM.,+27,52,Play
aZXEhjXA,5,BasicBot,DEGIRSS,J4,DIGS,+19,59,Play
aZXEhjXA,6,Lucx12,BELNOTT,F1,BOTTLE.,+13,65,Play
aZXEhjXA,7,BasicBot,DELRRSU,1F,.URL,+18,77,Play
aZXEhjXA,8,Lucx12,?DENPTV,6C,T.N.D,+12,77,Play
aZXEhjXA,9,BasicBot,DEIIORS,A8,.I,+5,82,Play
aZXEhjXA,10,Lucx12,??EMPSV,A8,..VE,+10,87,Play
aZXEhjXA,11,BasicBot,DEEIORS,4D,.O.,+5,87,Play
aZXEhjXA,12,Lucx12,??MPSUY,12A,ScrUMPY,+88,175,Play
aZXEhjXA,13,BasicBot,DEEEIRS,4D,...E,+6,93,Play
aZXEhjXA,14,Lucx12,ADEINNZ,5H,AZ.NE,+28,203,Play
aZXEhjXA,15,BasicBot,DEEIPRS,F10,PI.ED,+20,113,Play
aZXEhjXA,16,Lucx12,ADEGIIN,14E,A.DING,+13,216,Play
aZXEhjXA,17,BasicBot,AEIJLRS,L1,JAIL.RS,+44,157,Play
aZXEhjXA,18,Lucx12,AEEIKNO,1L,.AKE,+45,261,Play
aZXEhjXA,19,BasicBot,AENORVW,15A,ROWAN,+29,186,Play
aZXEhjXA,20,Lucx12,BEINOOY,14B,YO,+25,286,Play
aZXEhjXA,21,BasicBot,AEEIQRV,6L,.EV,+14,200,Play
aZXEhjXA,22,Lucx12,BEIINOO,N4,BO.INE,+11,297,Play
aZXEhjXA,23,BasicBot,AEFIQRW,M9,WAFER,+39,239,Play
aZXEhjXA,24,Lucx12,AEFHIOT,O7,FATE,+38,335,Play
aZXEhjXA,25,BasicBot,AEINQTU,2I,AQU.,+35,274,Play
aZXEhjXA,26,Lucx12,GHIO,2F,.H,+10,345,Play
aZXEhjXA,27,BasicBot,EINT,J11,TIN.E,+6,280,Play
aZXEhjXA,28,BasicBot,,,(GIO),+8,288,End
aZXEhjXA,29,Lucx12,GIO,,(time),-10,335,Timeout
o2B2TXjz,1,BasicBot,?AAAEOS,,-AAA,+0,0,Exchange
o2B2TXjz,2,magnolia,AADNRTX,8G,DARN,+10,10,Play
o2B2TXjz,3,BasicBot,?ENOOPS,G1,POiSONE.,+61,61,Play
o2B2TXjz,4,magnolia,AAFKTVX,H1,AX,+48,58,Play
o2B2TXjz,5,BasicBot,AEGILLT,2F,L..,+12,73,Play
o2B2TXjz,6,magnolia,AEFKPTV,4C,FAKE.,+24,82,Play
o2B2TXjz,7,BasicBot,AEFGILT,C1,GAF.,+22,95,Play
o2B2TXjz,8,magnolia,EIPSTTV,1A,VI.,+21,103,Play
o2B2TXjz,9,BasicBot,EILLSTZ,J6,ZE.,+32,127,Play
o2B2TXjz,10,magnolia,?AEPSTT,K5,PAT,+23,126,Play
o2B2TXjz,11,BasicBot,EILLSTY,5A,LYE,+18,145,Play
o2B2TXjz,12,magnolia,?DEIIST,A5,.ITE,+12,138,Play
o2B2TXjz,13,BasicBot,EIILNST,E4,.ILN,+16,161,Play
o2B2TXjz,14,magnolia,?DEIQST,L4,QIS,+40,178,Play
o2B2TXjz,15,BasicBot,EISTTUY,M1,YETI,+25,186,Play
o2B2TXjz,16,magnolia,?ABDERT,B8,REBATeD,+82,260,Play
o2B2TXjz,17,BasicBot,AGRSTUW,2J,WAG.R,+34,220,Play
o2B2TXjz,18,magnolia,AEIJNRU,A13,RAJ,+34,294,Play
o2B2TXjz,19,BasicBot,EHORSTU,11B,.RTHOUSE,+72,292,Play
o2B2TXjz,20,magnolia,EEHINUU,H11,.HINE,+36,330,Play
o2B2TXjz,21,BasicBot,ACCGLUV,14E,CLU.G,+10,302,Play
o2B2TXjz,22,magnolia,EEIIUUW,F13,U.U,+3,333,Play
o2B2TXjz,23,BasicBot,ACDNOOV,C11,.ADON,+24,326,Play
o2B2TXjz,24,magnolia,BEEIIOW,1M,.OW,+29,362,Play
o2B2TXjz,25,BasicBot,CDINOTV,9B,.VICT,+14,340,Play
o2B2TXjz,26,magnolia,BEEIIOR,I7,B.O,+17,379,Play
o2B2TXjz,27,BasicBot,DEMMNOS,8G,....ED,+16,356,Play
o2B2TXjz,28,magnolia,EEIIOR,D11,.OE,+16,395,Play
o2B2TXjz,29,BasicBot,MMNOS,9L,OM,+10,366,Play
