country,code,region,political_regime
Denmark,DNK,Europe,Liberal democracy
Sweden,SWE,Europe,Liberal democracy
Norway,NOR,Europe,Liberal democracy
Finland,FIN,Europe,Liberal democracy
Switzerland,CHE,Europe,Liberal democracy
Netherlands,NLD,Europe,Liberal democracy
Luxembourg,LUX,Europe,Liberal democracy
Iceland,ISL,Europe,Liberal democracy
Germany,DEU,Europe,Liberal democracy
New Zealand,NZL,Oceania,Liberal democracy
Ireland,IRL,Europe,Liberal democracy
United Kingdom,GBR,Europe,Liberal democracy
Canada,CAN,North America,Liberal democracy
Austria,AUT,Europe,Electoral democracy
Australia,AUS,Oceania,Liberal democracy
Japan,JPN,Asia,Liberal democracy
Singapore,SGP,Asia,Electoral autocracy
Belgium,BEL,Europe,Liberal democracy
United States,USA,North America,Liberal democracy
Estonia,EST,Europe,Liberal democracy
Hong Kong,HKG,Asia,Closed autocracy
France,FRA,Europe,Liberal democracy
Spain,ESP,Europe,Liberal democracy
Czechia,CZE,Europe,Liberal democracy
Portugal,PRT,Europe,Electoral democracy
Slovenia,SVN,Europe,Electoral democracy
Malta,MLT,Europe,Electoral democracy
South Korea,KOR,Asia,Liberal democracy
Italy,ITA,Europe,Liberal democracy
Latvia,LVA,Europe,Liberal democracy
Lithuania,LTU,Europe,Electoral democracy
Israel,ISR,Asia,Electoral democracy
Cyprus,CYP,Europe,Electoral democracy
Slovakia,SVK,Europe,Electoral democracy
Chile,CHL,South America,Liberal democracy
Poland,POL,Europe,Electoral democracy
Uruguay,URY,South America,Liberal democracy
Costa Rica,CRI,South America,Liberal democracy
Greece,GRC,Europe,Electoral democracy
Croatia,HRV,Europe,Electoral democracy
Hungary,HUN,Europe,Electoral autocracy
Malaysia,MYS,Asia,Electoral democracy
United Arab Emirates,ARE,Asia,Closed autocracy
Romania,ROU,Europe,Electoral democracy
Qatar,QAT,Asia,Closed autocracy
Mauritius,MUS,Africa,Electoral autocracy
Bulgaria,BGR,Europe,Electoral democracy
Montenegro,MNE,Europe,Electoral democracy
Panama,PAN,South America,Electoral democracy
Seychelles,SYC,Africa,Liberal democracy
Serbia,SRB,Europe,Electoral autocracy
Georgia,GEO,Europe,Electoral democracy
China,CHN,Asia,Closed autocracy
North Macedonia,MKD,Europe,Electoral democracy
