Country,ISO3,Human Development Groups,UNDP Developing Regions,HDI Rank (2021)
Fiji,FJI,High,EAP,99.0
Sao Tome and Principe,STP,Medium,SSA,138.0
Kenya,KEN,Medium,SSA,152.0
Israel,ISR,Very High,,22.0
Tajikistan,TJK,Medium,ECA,122.0
Costa Rica,CRI,Very High,LAC,58.0
Bolivia,BOL,Medium,LAC,118.0
Saint Lucia,LCA,High,LAC,106.0
Turkmenistan,TKM,High,ECA,91.0
Syrian Arab Republic,SYR,Medium,AS,150.0
Saint Kitts and Nevis,KNA,High,LAC,75.0
Andorra,AND,Very High,,40.0
Jamaica,JAM,High,LAC,110.0
Philippines,PHL,Medium,EAP,116.0
North Macedonia,MKD,High,ECA,78.0
Bhutan,BTN,Medium,SA,127.0
Tonga,TON,High,EAP,91.0
Equatorial Guinea,GNQ,Medium,SSA,145.0
Lesotho,LSO,Low,SSA,168.0
"Palestine, State of",PSE,High,AS,106.0
Comoros,COM,Medium,SSA,156.0
Bahamas,BHS,Very High,LAC,55.0
New Zealand,NZL,Very High,,13.0
Eswatini,SWZ,Medium,SSA,144.0
Germany,DEU,Very High,,9.0
Saint Vincent and the Grenadines,VCT,High,LAC,89.0
Qatar,QAT,Very High,AS,42.0
The Democratic Republic of the Congo,COD,Low,SSA,179.0
Yemen,YEM,Low,AS,183.0
Turkey,TUR,Very High,ECA,48.0
Liechtenstein,LIE,Very High,,16.0
Malta,MLT,Very High,,23.0
Senegal,SEN,Low,SSA,170.0
Azerbaijan,AZE,High,ECA,91.0
North Korea,PRK,,EAP,
Sudan,SDN,Low,AS,172.0
Panama,PAN,Very High,LAC,61.0
Greece,GRC,Very High,,33.0
Gabon,GAB,High,SSA,112.0
Madagascar,MDG,Low,SSA,173.0
Uganda,UGA,Low,SSA,166.0
Honduras,HND,Medium,LAC,137.0
Palau,PLW,High,EAP,80.0
United Arab Emirates,ARE,Very High,AS,26.0
Vanuatu,VUT,Medium,EAP,140.0
China,CHN,High,EAP,79.0
Austria,AUT,Very High,,25.0
Italy,ITA,Very High,,30.0
Australia,AUS,Very High,,5.0
France,FRA,Very High,,28.0
Solomon Islands,SLB,Medium,EAP,155.0
Sierra Leone,SLE,Low,SSA,181.0
Guinea,GIN,Low,SSA,182.0
Netherlands,NLD,Very High,,10.0
Croatia,HRV,Very High,,40.0
Ivory Coast,CIV,Medium,SSA,159.0
Hungary,HUN,Very High,,46.0
Jordan,JOR,High,AS,102.0
Nepal,NPL,Medium,SA,143.0
Bulgaria,BGR,High,,68.0
Belize,BLZ,Medium,LAC,123.0
Hong Kong,HKG,Very High,,4.0
Kazakhstan,KAZ,Very High,ECA,56.0
Mali,MLI,Low,SSA,186.0
Poland,POL,Very High,,34.0
Myanmar,MMR,Medium,EAP,149.0
Russian Federation,RUS,Very High,,52.0
Mexico,MEX,High,LAC,86.0
Burundi,BDI,Low,SSA,187.0
Djibouti,DJI,Low,AS,171.0
Montenegro,MNE,Very High,ECA,49.0
Viet Nam,VNM,High,EAP,115.0
Switzerland,CHE,Very High,,1.0
Tanzania,TZA,Low,SSA,160.0
Grenada,GRD,High,LAC,68.0
Egypt,EGY,High,AS,97.0
Zimbabwe,ZWE,Medium,SSA,146.0
Algeria,DZA,High,AS,91.0
United Kingdom,GBR,Very High,,18.0
Brunei,BRN,Very High,EAP,51.0
Mozambique,MOZ,Low,SSA,185.0
Liberia,LBR,Low,SSA,178.0
Romania,ROU,Very High,,53.0
Brazil,BRA,High,LAC,87.0
Uruguay,URY,Very High,LAC,58.0
India,IND,Medium,SA,132.0
Malaysia,MYS,Very High,EAP,62.0
Seychelles,SYC,High,SSA,72.0
Dominican Republic,DOM,High,LAC,80.0
Libya,LBY,High,AS,104.0
Nicaragua,NIC,Medium,LAC,126.0
Moldova,MDA,High,ECA,80.0
Uzbekistan,UZB,High,ECA,101.0
Kiribati,KIR,Medium,EAP,136.0
Iran,IRN,High,SA,76.0
Nigeria,NGA,Low,SSA,163.0
Micronesia,FSM,Medium,EAP,134.0
Ghana,GHA,Medium,SSA,133.0
Trinidad and Tobago,TTO,Very High,LAC,57.0
San Marino,SMR,Very High,,44.0
