Country,ISO3,Human Development Groups,Inequality in Education (2016),Inequality in Education (2017),Inequality in Education (2018),Inequality in Education (2019),Inequality in Education (2020),Inequality in Education (2021)
Fiji,FJI,High,,2.636659279,2.636659279,2.636659279,2.636659279,2.636659279
Sao Tome and Principe,STP,Medium,18.30533,18.30533,18.30533,18.69702,18.69702,18.69702
Kenya,KEN,Medium,22.89552,22.89552,22.89552,22.89552,22.89552,22.89552
Israel,ISR,Very High,6.556548,6.58256,6.272,6.272,6.272,6.272
Tajikistan,TJK,Medium,6.54325,6.03825,6.03825,6.03825,6.03825,6.03825
Costa Rica,CRI,Very High,12.18311,11.9393,11.58937,11.57677,11.57677,11.57677
Bolivia,BOL,Medium,19.3384,19.30221,17.56781,16.54294,16.54294,16.54294
Saint Lucia,LCA,High,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775
Turkmenistan,TKM,High,3.55428,3.55428,3.55428,2.94467,2.94467,2.94467
Syrian Arab Republic,SYR,Medium,,,,,,
Saint Kitts and Nevis,KNA,High,,,,,,
Andorra,AND,Very High,10.00815435,10.00815435,10.00815435,10.00815435,10.00815435,10.00815435
Jamaica,JAM,High,5.60595,5.60595,6.51579,6.51579,6.51579,6.51579
Philippines,PHL,Medium,11.5562,10.0958,10.0958,10.0958,10.0958,10.0958
North Macedonia,MKD,High,10.53734,10.53734,8.36817,8.36817,8.36817,8.36817
Bhutan,BTN,Medium,44.81067,48.22657529,48.22657529,48.22657529,48.22657529,48.22657529
Tonga,TON,High,5.061193561,,,4.30943,4.30943,4.30943
Equatorial Guinea,GNQ,Medium,,,,,,
Lesotho,LSO,Low,21.91631,21.91631,19.55712,19.55712,19.55712,19.55712
"Palestine, State of",PSE,High,11.85291072,11.67327546,10.97456434,10.97456434,10.97456434,10.97456434
Comoros,COM,Medium,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438
Bahamas,BHS,Very High,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819
New Zealand,NZL,Very High,1.840131778,1.840131778,1.840131778,1.840131778,1.840131778,1.840131778
Eswatini,SWZ,Medium,24.10655,24.10655,24.10655,24.10655,24.10655,24.10655
Germany,DEU,Very High,2.7227,2.7227,2.7227,2.6632,2.6632,2.6632
Saint Vincent and the Grenadines,VCT,High,,9.166052393,9.166052393,9.166052393,9.166052393,9.166052393
Qatar,QAT,Very High,11.76445408,11.22725944,11.22725944,11.22725944,11.22725944,11.22725944
The Democratic Republic of the Congo,COD,Low,27.69055,26.76947,26.76947,26.76947,26.76947,26.76947
Yemen,YEM,Low,46.13765,46.13765,46.13765,46.13765,46.13765,46.13765
Turkey,TUR,Very High,14.06143585,13.64287582,13.64287582,13.64287582,13.64287582,13.64287582
Liechtenstein,LIE,Very High,,,,,,
Malta,MLT,Very High,6.86637,6.69493,6.18818,6.18818,5.19238,5.19238
Senegal,SEN,Low,46.45389,45.98846,46.36412,47.1353,47.1353,47.1353
Azerbaijan,AZE,High,3.549496613,3.56506161,3.56506161,3.56506161,3.56506161,3.56506161
North Korea,PRK,,,,,,,
Sudan,SDN,Low,42.45021,42.45021,42.45021,42.45021,42.45021,42.45021
Panama,PAN,Very High,12.56513417,12.15230059,11.37222672,11.37222672,11.37222672,11.37222672
Greece,GRC,Very High,13.11876,12.77045,11.06794,11.06794,11.73784,11.73784
Gabon,GAB,High,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992
Madagascar,MDG,Low,35.01448,35.01448,29.34582,29.34582,29.34582,29.34582
Uganda,UGA,Low,27.91438,27.91438,27.91438,27.91438,27.91438,27.91438
Honduras,HND,Medium,22.78421,23.34274,22.44937,21.61233,21.61233,21.61233
Palau,PLW,High,2.180765728,2.180765728,2.180765728,2.180765728,2.180765728,2.180765728
United Arab Emirates,ARE,Very High,18.24143743,14.47533507,12.63435527,12.63435527,12.63435527,12.63435527
Vanuatu,VUT,Medium,,,,,,
China,CHN,High,11.68,11.68,11.68,11.68,11.68,11.68
Austria,AUT,Very High,2.57064,2.9996,2.91745,2.91745,2.52241,2.52241
Italy,ITA,Very High,10.45736,10.97711,10.60056,10.05442,10.05442,10.05442
Australia,AUS,Very High,2.672566064,3.043233164,3.056569899,3.056569899,3.056569899,3.056569899
France,FRA,Very High,8.59672,9.135,9.48623,9.48623,7.72173,7.72173
Solomon Islands,SLB,Medium,,,,,,
Sierra Leone,SLE,Low,47.29928,46.92677,46.92677,47.50289,47.50289,47.50289
Guinea,GIN,Low,48.26536,48.26536,50.12411,50.12411,50.12411,50.12411
Netherlands,NLD,Very High,5.30548,4.92932,5.3671,5.3671,4.86674,4.86674
Croatia,HRV,Very High,5.0064,4.93405,4.67412,4.67412,4.24197,4.24197
Ivory Coast,CIV,Medium,45.60904,45.60904,45.60904,45.60904,45.60904,45.60904
Hungary,HUN,Very High,3.21994,3.19396,3.11063,3.11063,2.86309,2.86309
