Country,Inequality in Education (2020),Inequality in Education (2021)
Fiji,2.636659279,2.636659279
Sao Tome and Principe,18.69702,18.69702
Kenya,22.89552,22.89552
Israel,6.272,6.272
Tajikistan,6.03825,6.03825
Costa Rica,11.57677,11.57677
Bolivia,16.54294,16.54294
Saint Lucia,27.30567775,27.30567775
Turkmenistan,2.94467,2.94467
Syrian Arab Republic,,
Saint Kitts and Nevis,,
Andorra,10.00815435,10.00815435
Jamaica,6.51579,6.51579
Philippines,10.0958,10.0958
North Macedonia,8.36817,8.36817
Bhutan,48.22657529,48.22657529
Tonga,4.30943,4.30943
Equatorial Guinea,,
Lesotho,19.55712,19.55712
"Palestine, State of",10.97456434,10.97456434
Comoros,47.61438,47.61438
Bahamas,6.917101819,6.917101819
New Zealand,1.840131778,1.840131778
Eswatini,24.10655,24.10655
Germany,2.6632,2.6632
Saint Vincent and the Grenadines,9.166052393,9.166052393
Qatar,11.22725944,11.22725944
The Democratic Republic of the Congo,26.76947,26.76947
Yemen,46.13765,46.13765
Turkey,13.64287582,13.64287582
Liechtenstein,,
Malta,5.19238,5.19238
Senegal,47.1353,47.1353
Azerbaijan,3.56506161,3.56506161
North Korea,,
Sudan,42.45021,42.45021
Panama,11.37222672,11.37222672
Greece,11.73784,11.73784
Gabon,23.47992,23.47992
Madagascar,29.34582,29.34582
Uganda,27.91438,27.91438
Honduras,21.61233,21.61233
Palau,2.180765728,2.180765728
United Arab Emirates,12.63435527,12.63435527
Vanuatu,,
China,11.68,11.68
Austria,2.52241,2.52241
Italy,10.05442,10.05442
Australia,3.056569899,3.056569899
France,7.72173,7.72173
Solomon Islands,,
Sierra Leone,47.50289,47.50289
Guinea,50.12411,50.12411
Netherlands,4.86674,4.86674
Croatia,4.24197,4.24197
Ivory Coast,45.60904,45.60904
Hungary,2.86309,2.86309
Jordan,15.44186,15.44186
Nepal,41.0992,41.0992
Bulgaria,5.93179,5.93179
Belize,14.81278,14.81278
Hong Kong,9.671619265,9.671619265
Kazakhstan,3.16666,3.16666
Mali,43.85965,43.85965
Poland,4.45925,4.45925
Myanmar,26.85272,26.85272
Russian Federation,2.036,2.036
Mexico,13.48795481,13.48795481
Burundi,39.48821,39.48821
Djibouti,,
Montenegro,7.81501,7.81501
Viet Nam,15.25479,15.25479
Switzerland,2.01457,2.01457
Tanzania,26.96013,26.96013
Grenada,,
Egypt,36.94291,36.94291
Zimbabwe,14.60503,14.60503
Algeria,33.28262,33.28262
United Kingdom,2.84785,2.84785
Brunei,,
Mozambique,40.5314308,40.5314308
Liberia,42.11968,42.11968
Romania,5.43438,5.43438
Brazil,15.65257,15.65257
Uruguay,6.54951,6.54951
India,36.87573,36.87573
Malaysia,12.06360206,12.06360206
Seychelles,6.65648,6.65648
Dominican Republic,15.04513,15.04513
Libya,,
Nicaragua,25.79903661,25.79903661
Moldova,2.570094084,2.570094084
Uzbekistan,0.550110115,0.550110115
Kiribati,9.63653,9.63653
Iran,4.984428444,4.984428444
Nigeria,40.41507,40.41507
Micronesia,,
Ghana,35.10167,35.10167
Trinidad and Tobago,,
San Marino,5.562256324,5.562256324
