Country,Name of Incident,Type of Event,Impact
India,Indus Valley Civilization Flourishes,Civilization,Development of one of the world's earliest urban civilizations
India,Battle of the Ten Kings,Battle,Rigvedic tribes consolidated their control over the region
India,Establishment of the Delhi Sultanate,Political,Muslim rule established in parts of India
India,Battle of Panipat,Battle,Foundation of the Mughal Empire in India
India,Establishment of British Raj,Colonial,Start of direct British governance in India
India,Partition of India,Partition,Creation of India and Pakistan; massive population displacement and violence
India,IndoUnknownPakistani War of 1971,War,Led to the independence of Bangladesh
India,PokhranUnknownII Nuclear Tests,Nuclear Test,India declared itself a nuclear state
India,Mumbai Terror Attacks,Terrorism,Highlighted the threat of international terrorism
India,Arrival of Vasco da Gama,Exploration,Marked the beginning of European colonial interests in India
India,Battle of Plassey,Battle,Foundation for the expansion of British rule in India
India,First War of Indian Independence,Revolt,First largeUnknownscale rebellion against British rule
India,Swadeshi Movement,National Movement,Promoted Indian goods; protest against British economic policies
India,Green Revolution,Agricultural Revolution,Dramatically increased agricultural production
India,Operation Blue Star,Military Operation,Removal of armed militants from Golden Temple but led to controversy
India,Kargil War,Military Conflict,India regained control of Kargil; heightened patriotism
India,Right to Information Act Enacted,Legislation,Empowered citizens to seek information from public authorities
India,Nirbhaya Case,Criminal Incident,Brought attention to women's safety and led to legal reforms
India,Launch of 5G Services,Technology,Introduction of 5G technology expected to revolutionize connectivity
India,Ram Mandir Bhoomi Pujan,Cultural/Religious,Beginning of the construction of Ram Temple at disputed site
India,India's First Hyperloop Project Announcement,Infrastructure,Proposal for highUnknownspeed transportation system
India,Indian Independence,Political,End of British rule and birth of independent India
India,First General Elections,Political,Establishment of democratic governance
India,SinoUnknownIndian War,Military Conflict,Highlighted the border disputes and led to military and strategic changes
India,First Nuclear Test (Smiling Buddha),Nuclear Test,"India joins the nuclear club, changing its strategic position globally"
India,Emergency Declared by Indira Gandhi,Political,Period of political unrest and curtailment of civil liberties
India,Bhopal Gas Tragedy,Industrial Disaster,World's worst industrial disaster
India,Economic Reforms and Liberalization,Economic Policy,Opening of the Indian economy to global markets and investors
India,Kandahar Hijacking (IC 814),Terrorism,Highlighted issues in aviation security and terrorism
India,2001 Indian Parliament Attack,Terrorism,Led to increased tensions between India and Pakistan
India,Right to Education Act,Legislation,Ensured free and compulsory education for children
India,Article 370 Revocation for Jammu & Kashmir,Political,Changed the special status and autonomy of J&K
India,Supreme Court Verdict on Ayodhya,Judiciary,Paved the way for the construction of a Ram Temple
India,Opening of BandraUnknownWorli Sea Link,Infrastructure,Improved connectivity and reduced travel time in Mumbai
India,Statue of Unity Unveiled,Cultural/Political,"Became the world's tallest statue, symbolizing unity"
India,Triple Talaq Bill Passed,Legislation,Made instant triple talaq a criminal offence
India,India's First Transgender University,Education,Empowered the transgender community through education
India,Nationwide Lockdown due to COVIDUnknown19,Public Health,Aimed to prevent the spread of COVIDUnknown19; significant economic impact
India,Historic Win in Cricket World Cup 1983,Sports,"Marked India's first Cricket World Cup win, boosting the sport's popularity"
India,2013 Uttarakhand Floods,Natural Disaster,Severe floods causing massive destruction and loss of life
India,Indian Mars Orbiter Mission Success,Space Exploration,"Made India the first Asian nation to reach Mars orbit, and at first attempt"
India,India Wins ICC T20 World Cup 2007,Sports,Boosted the popularity of T20 cricket in India and worldwide
India,India's Demonetisation Campaign,Economic Policy,"Aimed to curb illegal cash holdings, and promote digital transactions"
India,Introduction of UPI (Unified Payment Interface),Financial Technology,"Revolutionized digital payments in India, making transactions simple and fast"
India,Jio Telecom Launch,Telecommunications,Dramatically increased internet accessibility and usage in India
India,Abolition of Instant Triple Talaq,Legal,Protected Muslim women's rights by making instant triple talaq illegal
India,Asiatic Lion Census Showing Population Increase,Wildlife Conservation,"Indicated successful conservation efforts, with an increase in the Asiatic lion population"
India,Decriminalisation of Section 377,Legal,"Landmark judgement for LGBTQ+ rights in India, decriminalizing homosexuality"
India,Launch of ChandrayaanUnknown1,Space Exploration,"India's first lunar mission, contributing significant findings like water molecules on Moon"
India,Start of Swachh Bharat Mission,Environmental/Social,"Aimed at cleaning up the streets, roads and infrastructure of cities, towns, and rural areas"
India,Pulwama Terrorist Attack,Terrorism,Led to a significant military and diplomatic standoff between India and Pakistan
India,Historic Solar Alliance Initiative,International Cooperation,India coUnknownlaunched the International Solar Alliance to promote solar energy globally
India,GST (Goods and Services Tax) Implementation,Economic Reform,"Unified the country's tax system, replacing multiple indirect taxes with a single tax"
India,Citizenship Amendment Act (CAA) Implementation,Legislation,Led to widespread protests due to concerns over citizenship criteria based on religion
India,2016 Uri Attack and Subsequent Surgical Strikes,Military,Led to crossUnknownborder surgical strikes by India against militant launch pads in Pakistan
India,Formation of Indian National Congress,Political Formation,Aimed to obtain a greater share in government for educated Indians.
India,Partition of Bengal,Administrative,Led to widespread nationalistic protests and was eventually reversed in 1911.
India,Jallianwala Bagh Massacre,Massacre,Galvanized the Indian population against British rule.
India,NonUnknownCooperation Movement,Civil Disobedience Movement,"NonUnknownviolent resistance against British rule, emphasizing swaraj and swadeshi."
India,Chauri Chaura Incident,Violent Protest,Led to Gandhi halting the NonUnknownCooperation Movement due to violence.
India,Dandi March,Civil Disobedience,"Protest against the salt tax and British monopoly, pivotal in the independence movement."
UK,First Round Table Conference,Conference,Aimed at discussing constitutional reforms; boycotted by the Congress.
India,Purna Swaraj Declaration,Political Declaration,The declaration of complete independence from British rule by the Congress.
