Country,Name of Incident,Affected Population,Outcome
India,Indus Valley Civilization Flourishes,Local inhabitants,Positive
India,Battle of the Ten Kings,Rigvedic tribes,Positive
India,Establishment of the Delhi Sultanate,People of Delhi and surrounding regions,Mixed
India,Battle of Panipat,Northern Indian kingdoms,Mixed
India,Establishment of British Raj,Indian subcontinent,Negative
India,Partition of India,"Hindus, Muslims, Sikhs",Negative
India,IndoUnknownPakistani War of 1971,Bengalis in East Pakistan,Negative
India,PokhranUnknownII Nuclear Tests,International community,Mixed
India,Mumbai Terror Attacks,Citizens of Mumbai,Negative
India,Arrival of Vasco da Gama,Coastal communities,Negative
India,Battle of Plassey,Bengal and later all of India,Negative
India,First War of Indian Independence,"Rebels, British Raj",Negative
India,Swadeshi Movement,Indian nationalists,Positive
India,Green Revolution,Indian farmers,Positive
India,Operation Blue Star,Sikh community,Negative
India,Kargil War,Indian Armed Forces,Positive
India,Right to Information Act Enacted,Indian citizens,Positive
India,Nirbhaya Case,Indian women,Positive
India,Launch of 5G Services,"Indian consumers, businesses",Positive
India,Ram Mandir Bhoomi Pujan,Hindu community,Positive
India,India's First Hyperloop Project Announcement,Potential commuters,Positive
India,Indian Independence,All citizens of India,Positive
India,First General Elections,Indian electorate,Positive
India,SinoUnknownIndian War,Border communities,Negative
India,First Nuclear Test (Smiling Buddha),International community,Mixed
India,Emergency Declared by Indira Gandhi,Indian citizens,Negative
India,Bhopal Gas Tragedy,Residents of Bhopal,Negative
India,Economic Reforms and Liberalization,"Indian businesses, workers",Positive
India,Kandahar Hijacking (IC 814),"Passengers, crew",Negative
India,2001 Indian Parliament Attack,Indian political system,Negative
India,Right to Education Act,Children aged 6 to 14,Positive
India,Article 370 Revocation for Jammu & Kashmir,Residents of J&K,Mixed
India,Supreme Court Verdict on Ayodhya,Hindu and Muslim communities,Mixed
India,Opening of BandraUnknownWorli Sea Link,Commuters in Mumbai,Positive
India,Statue of Unity Unveiled,Indian citizens,Positive
India,Triple Talaq Bill Passed,Muslim women,Positive
India,India's First Transgender University,Transgender community,Positive
India,Nationwide Lockdown due to COVIDUnknown19,Entire population,Negative
India,Historic Win in Cricket World Cup 1983,Indian sports fans,Positive
India,2013 Uttarakhand Floods,"Residents, pilgrims",Negative
India,Indian Mars Orbiter Mission Success,Indian scientific community,Positive
India,India Wins ICC T20 World Cup 2007,Indian sports fans,Positive
India,India's Demonetisation Campaign,Entire population,Mixed
India,Introduction of UPI (Unified Payment Interface),"Indian consumers, businesses",Positive
India,Jio Telecom Launch,Indian population,Positive
India,Abolition of Instant Triple Talaq,Muslim women,Positive
India,Asiatic Lion Census Showing Population Increase,Asiatic lions,Positive
India,Decriminalisation of Section 377,LGBTQ+ community,Positive
India,Launch of ChandrayaanUnknown1,Scientific community,Positive
India,Start of Swachh Bharat Mission,Indian population,Positive
India,Pulwama Terrorist Attack,Indian security forces,Negative
India,Historic Solar Alliance Initiative,Global community,Positive
India,GST (Goods and Services Tax) Implementation,"Businesses, consumers",Positive
India,Citizenship Amendment Act (CAA) Implementation,Indian citizens,Mixed
India,2016 Uri Attack and Subsequent Surgical Strikes,Military forces,Mixed
India,Formation of Indian National Congress,Indian political leaders,Positive
India,Partition of Bengal,People of Bengal,Negative
India,Jallianwala Bagh Massacre,People of Amritsar,Negative
India,NonUnknownCooperation Movement,Indian civilians,Positive
India,Chauri Chaura Incident,Protesters,Negative
India,Dandi March,"Mahatma Gandhi, followers",Positive
UK,First Round Table Conference,"Indian princely states, British officials",Mixed
India,Purna Swaraj Declaration,Indian National Congress,Positive
India,Quit India Movement,"Indian National Congress, Indian civilians",Positive
