country,code,region,personal_freedom,safety_and_security
Denmark,DNK,Europe,2.0,6.0
Sweden,SWE,Europe,4.0,10.0
Norway,NOR,Europe,1.0,3.0
Finland,FIN,Europe,3.0,15.0
Switzerland,CHE,Europe,12.0,2.0
Netherlands,NLD,Europe,5.0,9.0
Luxembourg,LUX,Europe,6.0,1.0
Iceland,ISL,Europe,7.0,8.0
Germany,DEU,Europe,9.0,19.0
New Zealand,NZL,Oceania,11.0,32.0
Ireland,IRL,Europe,8.0,11.0
United Kingdom,GBR,Europe,17.0,21.0
Canada,CAN,North America,14.0,18.0
Austria,AUT,Europe,15.0,12.0
Australia,AUS,Oceania,20.0,20.0
Japan,JPN,Asia,27.0,5.0
Singapore,SGP,Asia,107.0,7.0
Belgium,BEL,Europe,10.0,30.0
United States,USA,North America,29.0,69.0
Estonia,EST,Europe,13.0,28.0
Hong Kong,HKG,Asia,98.0,16.0
France,FRA,Europe,28.0,38.0
Spain,ESP,Europe,21.0,24.0
Czechia,CZE,Europe,22.0,13.0
Portugal,PRT,Europe,16.0,29.0
Slovenia,SVN,Europe,35.0,14.0
Malta,MLT,Europe,24.0,17.0
South Korea,KOR,Asia,42.0,37.0
Italy,ITA,Europe,31.0,27.0
Latvia,LVA,Europe,23.0,31.0
Lithuania,LTU,Europe,25.0,25.0
Israel,ISR,Asia,49.0,124.0
Cyprus,CYP,Europe,32.0,43.0
Slovakia,SVK,Europe,30.0,22.0
Chile,CHL,South America,33.0,77.0
Poland,POL,Europe,55.0,26.0
Uruguay,URY,South America,18.0,46.0
Costa Rica,CRI,South America,19.0,48.0
Greece,GRC,Europe,40.0,34.0
Croatia,HRV,Europe,36.0,33.0
Hungary,HUN,Europe,76.0,35.0
Malaysia,MYS,Asia,113.0,73.0
United Arab Emirates,ARE,Asia,146.0,50.0
Romania,ROU,Europe,39.0,36.0
Qatar,QAT,Asia,149.0,23.0
Mauritius,MUS,Africa,52.0,42.0
Bulgaria,BGR,Europe,51.0,58.0
Montenegro,MNE,Europe,48.0,41.0
Panama,PAN,South America,54.0,49.0
Seychelles,SYC,Africa,71.0,52.0
Serbia,SRB,Europe,75.0,44.0
Georgia,GEO,Europe,59.0,82.0
China,CHN,Asia,162.0,86.0
North Macedonia,MKD,Europe,60.0,55.0
Trinidad and Tobago,TTO,North America,41.0,84.0
Jamaica,JAM,North America,37.0,120.0
Argentina,ARG,South America,34.0,80.0
Peru,PER,South America,57.0,89.0
Kuwait,KWT,Asia,119.0,51.0
Armenia,ARM,Asia,70.0,75.0
Bahrain,BHR,Asia,156.0,95.0
Indonesia,IDN,Asia,95.0,78.0
Thailand,THA,Asia,118.0,117.0
Albania,ALB,Europe,73.0,57.0
Brazil,BRA,South America,67.0,119.0
Oman,OMN,Asia,142.0,40.0
Dominican Republic,DOM,North America,46.0,108.0
Kazakhstan,KAZ,Asia,126.0,81.0
Moldova,MDA,Europe,66.0,67.0
Mexico,MEX,North America,80.0,148.0
Bosnia and Herzegovina,BIH,Europe,69.0,47.0
Vietnam,VNM,Asia,139.0,83.0
Ukraine,UKR,Europe,68.0,131.0
South Africa,ZAF,Africa,38.0,136.0
Paraguay,PRY,South America,74.0,64.0
Russia,RUS,Europe,140.0,139.0
Belarus,BLR,Europe,143.0,72.0
Saudi Arabia,SAU,Asia,163.0,98.0
Colombia,COL,South America,82.0,156.0
Suriname,SUR,South America,47.0,63.0
Botswana,BWA,Africa,56.0,70.0
Philippines,PHL,Asia,83.0,146.0
Ecuador,ECU,South America,64.0,88.0
Jordan,JOR,Asia,116.0,74.0
Mongolia,MNG,Asia,58.0,61.0
Guyana,GUY,South America,61.0,96.0
Namibia,NAM,Africa,53.0,65.0
Sri Lanka,LKA,Asia,96.0,134.0
Azerbaijan,AZE,Asia,144.0,111.0
Kyrgyzstan,KGZ,Asia,103.0,71.0
Turkey,TUR,Asia,152.0,147.0
Morocco,MAR,Africa,114.0,62.0
El Salvador,SLV,North America,88.0,125.0
Ghana,GHA,Africa,50.0,79.0
Tunisia,TUN,Africa,86.0,122.0
Uzbekistan,UZB,Asia,147.0,53.0
Guatemala,GTM,North America,91.0,116.0
Senegal,SEN,Africa,62.0,104.0
India,IND,Asia,112.0,138.0
Cuba,CUB,North America,155.0,103.0
Honduras,HND,North America,94.0,129.0
Bolivia,BOL,South America,79.0,99.0
Turkmenistan,TKM,Asia,161.0,66.0
Kenya,KEN,Africa,92.0,144.0
