Country,Neighbourhood,Government,Journalist
Georgia,83.91,58.59,62.1
Netherlands,93.7,84.21,81.05
Serbia,73.16,53.02,28.97
Tajikistan,70.9,,57.68
Uzbekistan,90.51,97.45,90.36
Kosovo,81.31,27.77,55.58
Hungary,89.97,53.44,44.86
Congo Brazzaville,39.63,56.08,49.84
Dominican Republic,69.45,74.64,66.4
Tunisia,62.81,26.87,45.91
Peru,57.42,47.04,46.39
Japan,86.37,60.94,56.31
Mauritius,64.15,55.2,63.64
Finland,93.56,81.69,82.38
Senegal,77.53,56.61,60.88
Nicaragua,62.54,56.08,67.15
Zambia,45.3,47.73,59.81
Paraguay,65.66,35.87,49.54
Bangladesh,86.78,88.39,71.72
China,88.08,,74.62
Belgium,90.28,59.38,77.72
Egypt,78.27,80.7,48.55
Saudi Arabia,72.47,,
Mongolia,77.54,54.88,64.57
Indonesia,80.38,70.82,63.41
Gabon,28.19,34.57,31.13
Austria,88.44,73.87,75.35
Laos,81.98,94.93,89.4
Albania,50.72,43.57,53.49
Spain,82.65,51.91,62.84
Nepal,87.83,62.03,81.49
France,81.8,57.53,61.87
Brazil,53.58,42.98,56.36
Slovakia,87.63,55.88,64.76
New Zealand,93.92,86.58,76.62
Bosnia Herzegovina,79.27,24.64,46.19
Canada,89.83,76.49,76.81
Germany,91.47,81.44,79.16
Sri Lanka,81.04,78.63,81.83
Kenya,58.43,46.2,69.85
Taiwan,86.0,65.08,35.13
Hong Kong,74.22,39.44,57.36
Malaysia,71.86,70.38,61.22
Portugal,74.77,53.59,61.62
South Korea,84.13,51.89,31.07
Uganda,47.01,46.64,63.17
Benin,22.99,61.12,41.64
Denmark,95.2,84.56,73.64
Mali,71.25,51.21,62.12
Italy,79.82,55.3,46.43
Iraq,76.03,33.16,61.4
Cameroon,33.71,30.28,41.94
Costa Rica,64.6,46.33,57.62
Norway,96.13,96.27,87.92
Guinea,56.69,35.14,58.51
Venezuela,61.17,29.6,53.85
United Arab Emirates,70.97,,68.0
Tanzania,88.91,93.69,90.83
Colombia,61.87,41.05,48.17
Slovenia,88.75,48.73,68.35
Ireland,87.94,80.04,74.24
Ecuador,53.89,27.48,44.16
Israel,76.72,49.81,65.76
Lithuania,89.25,66.82,55.18
Algeria,67.3,64.98,44.31
Chile,69.51,30.76,42.97
Australia,92.21,74.49,71.31
Thailand,71.78,58.55,72.37
Croatia,84.48,43.4,53.35
Bolivia,57.68,42.0,48.27
Ukraine,75.47,29.34,41.84
Moldova,65.15,19.42,48.16
Mexico,67.28,55.24,55.71
Burkina Faso,55.94,52.23,65.37
North Macedonia,66.87,40.69,46.07
South Africa,49.8,52.09,55.07
Kyrgyzstan,89.44,61.7,66.77
Nigeria,42.47,21.11,37.0
Poland,90.5,29.04,67.43
Ethiopia,83.63,82.54,63.19
Vietnam,77.74,,60.07
Bulgaria,75.73,39.35,54.11
Cambodia,75.51,92.7,80.47
Zimbabwe,64.96,67.77,65.99
Greece,71.22,45.16,12.45
Bahrain,64.29,,51.47
United Kingdom,88.14,49.65,60.69
Malta,80.57,81.33,67.01
Philippines,76.88,84.0,81.06
Uruguay,79.75,74.13,64.8
Sweden,95.29,68.88,75.08
Namibia,54.18,46.75,55.34
Iran,83.55,47.31,64.53
Morocco,73.75,55.99,63.85
India,68.36,74.18,69.12
Montenegro,68.27,52.35,39.11
Kazakhstan,84.67,80.45,69.52
Argentina,75.87,43.52,52.81
Romania,77.9,29.35,54.86
Latvia,80.67,39.07,54.25
