region,variety,name
"Mendocino, California",Red Wine,1000 Stories Bourbon Barrel Aged Batch Blue Carignan 2016
California,Red Wine,1000 Stories Bourbon Barrel Aged Gold Rush Red 2016
California,Red Wine,1000 Stories Bourbon Barrel Aged Gold Rush Red 2017
"North Coast, California",Red Wine,1000 Stories Bourbon Barrel Aged Zinfandel 2013
California,Red Wine,1000 Stories Bourbon Barrel Aged Zinfandel 2014
California,Red Wine,1000 Stories Bourbon Barrel Aged Zinfandel 2016
California,Red Wine,1000 Stories Bourbon Barrel Aged Zinfandel 2017
"Ribera del Duero, Spain",Red Wine,12 Linajes Crianza 2014
"Ribera del Duero, Spain",Red Wine,12 Linajes Reserva 2012
"Columbia Valley, Washington",Red Wine,14 Hands Cabernet Sauvignon 2010
"Columbia Valley, Washington",Red Wine,14 Hands Cabernet Sauvignon 2011
"Columbia Valley, Washington",Red Wine,14 Hands Cabernet Sauvignon 2015
Washington,White Wine,14 Hands Chardonnay 2011
Washington,Red Wine,14 Hands Hot to Trot Red Blend 2010
Washington,Red Wine,14 Hands Hot to Trot Red Blend 2012
"Columbia Valley, Washington",Red Wine,14 Hands Merlot 2012
Washington,White Wine,14 Hands Riesling 2014
Washington,White Wine,14 Hands Riesling 2015
Washington,White Wine,14 Hands Riesling 2016
"Columbia Valley, Washington",Red Wine,14 Hands Stampede Red Blend 2014
"Napa Valley, California",Red Wine,1849 Declaration Napa Valley Cabernet Sauvignon 2014
"Sonoma Coast, Sonoma County, California",Red Wine,1849 Iris Pinot Noir 2016
"Maipo Valley, Chile",Red Wine,1865 Selected Vineyards Cabernet Sauvignon 2014
"Maipo Valley, Chile",Red Wine,1865 Selected Vineyards Cabernet Sauvignon 2015
Chile,Red Wine,1865 Selected Vineyards Carmenere 2011
Chile,Red Wine,1865 Single Vineyard Cabernet Sauvignon 2011
Chile,White Wine,1865 Single Vineyard Sauvignon Blanc 2011
Chile,White Wine,1865 Single Vineyard Sauvignon Blanc 2013
"Leyda Valley, San Antonio Valley (Chile), Chile",White Wine,1865 Single Vineyard Sauvignon Blanc 2014
"Leyda Valley, San Antonio Valley (Chile), Chile",White Wine,1865 Single Vineyard Sauvignon Blanc 2015
"Napa Valley, California",Red Wine,1881 Napa Cabernet Sauvignon 2018
California,Red Wine,1924 Double Black Red Blend 2013
Australia,Red Wine,2 up Shiraz 2005
Australia,Red Wine,2 up Shiraz 2007
Australia,Red Wine,2 up Shiraz 2006
Australia,Red Wine,2 up Shiraz 2008
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,3 Rings Reserve Shiraz 2004
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,3 Rings Reserve Shiraz 2005
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,3 Rings Shiraz 2004
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,3 Rings Shiraz 2007
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,3 Rings Shiraz 2008
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,3 Rings Shiraz 2012
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,3 Rings Shiraz 2013
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,3 Rings Shiraz 2014
"Marlborough, New Zealand",White Wine,3 Stones Sauvignon Blanc 2008
"Marlborough, New Zealand",White Wine,3 Stones Sauvignon Blanc 2009
Spain,Red Wine,4 Monos Tinto 2012
California,Red Wine,689 Cellars Killer Drop Red Blend 2014
"Lodi, California",Red Wine,7 Deadly Zins Zinfandel 2015
"Lodi, California",Red Wine,7 Deadly Zins Zinfandel (375ML Half-bottle) 2015
California,Red Wine,7 Moons Red Blend 2016
Australia,Red Wine,9 Mile Road Cabernet Sauvignon 2008
"Pfalz, Germany",White Wine,A. Christmann Riesling Pfalz 2018
"Pfalz, Germany",White Wine,A. Christmann Riesling Reiterpfad Hofstuck Grosses Gewachs 2015
Spain,White Wine,A Coroa Godello 2009
"Valdeorras, Spain",White Wine,A Coroa Godello 2013
"Valdeorras, Spain",White Wine,A Coroa Godello 2016
Italy,Red Wine,A. Mano Puglia Primitivo 2000
Italy,Red Wine,A. Mano Puglia Primitivo 2001
Italy,Red Wine,A. Mano Puglia Primitivo 2006
"Champagne, France",Sparkling & Champagne,A. Margaine Brut Cuvee Traditionelle
"Champagne, France",Sparkling & Champagne,A. Margaine Extra Brut
Spain,Red Wine,A Portela Mencia 2010
Spain,Red Wine,A Portela Mencia 2011
Spain,Red Wine,A Portela Mencia 2013
Portugal,Red Wine,A. Semedo Bairrada Tinto 2012
Oregon,White Wine,A to Z Chardonnay 2005
Oregon,White Wine,A to Z Chardonnay 2006
Oregon,White Wine,A to Z Chardonnay 2008
Oregon,White Wine,A to Z Chardonnay 2009
Oregon,White Wine,A to Z Chardonnay 2014
Oregon,White Wine,A to Z Chardonnay 2018
Oregon,Red Wine,A to Z Essence Pinot Noir 2015
"Willamette Valley, Oregon",White Wine,A to Z Pinot Gris 2003
"Willamette Valley, Oregon",White Wine,A to Z Pinot Gris 2006
"Willamette Valley, Oregon",White Wine,A to Z Pinot Gris 2007
"Willamette Valley, Oregon",White Wine,A to Z Pinot Gris 2009
"Willamette Valley, Oregon",White Wine,A to Z Pinot Gris 2010
Oregon,White Wine,A to Z Pinot Gris 2012
"Willamette Valley, Oregon",White Wine,A to Z Pinot Gris 2011
Oregon,White Wine,A to Z Pinot Gris 2013
Oregon,White Wine,A to Z Pinot Gris 2014
Oregon,White Wine,A to Z Pinot Gris 2015
Oregon,White Wine,A to Z Pinot Gris 2016
"Willamette Valley, Oregon",Red Wine,A to Z Pinot Noir 2002
"Willamette Valley, Oregon",Red Wine,A to Z Pinot Noir 2003
"Willamette Valley, Oregon",Red Wine,A to Z Pinot Noir 2004
"Willamette Valley, Oregon",Red Wine,A to Z Pinot Noir 2006
"Willamette Valley, Oregon",Red Wine,A to Z Pinot Noir 2009
Oregon,Red Wine,A to Z Pinot Noir 2011
Oregon,Red Wine,A to Z Pinot Noir 2012
Oregon,Red Wine,A to Z Pinot Noir 2013
Oregon,Red Wine,A to Z Pinot Noir 2014
"Willamette Valley, Oregon",Red Wine,A to Z Pinot Noir 2017
Oregon,Red Wine,A to Z Pinot Noir (375ML half-bottle) 2013
Oregon,White Wine,A to Z Riesling 2013
"Rogue Valley, Oregon",White Wine,A to Z Riesling 2014
"Rogue Valley, Oregon",White Wine,A to Z Riesling 2015
"Rogue Valley, Oregon",White Wine,A to Z Riesling 2016
"Rogue Valley, Oregon",White Wine,A to Z Riesling 2017
Oregon,Pink and Rosé,A to Z Rose 2016
"Santa Barbara, Central Coast, California",Red Wine,A Tribute to Grace Santa Barbara County Grenache 2016
"Santa Barbara, Central Coast, California",Red Wine,A Tribute to Grace Santa Barbara County Grenache 2017
"Central Coast, California",Pink and Rosé,A Tribute to Grace Santa Barbara Highlands Vineyard Rose of Grenache 2017
"Amador, Sierra Foothills, California",Red Wine,A Tribute to Grace Shake Ridge Ranch Vineyard Grenache 2012
"Amador, Sierra Foothills, California",Red Wine,A Tribute to Grace Shake Ridge Ranch Vineyard Grenache 2013
"Santa Ynez Valley, Santa Barbara, Central Coast, California",Red Wine,A Tribute to Grace Vie Caprice Vineyard Grenache 2014
"Santa Ynez Valley, Santa Barbara, Central Coast, California",Red Wine,A Tribute to Grace Vie Caprice Vineyard Grenache 2015
"Ribera del Duero, Spain",Red Wine,Aalto 2003
"Ribera del Duero, Spain",Red Wine,Aalto 2004
"Ribera del Duero, Spain",Red Wine,Aalto 2005
"Ribera del Duero, Spain",Red Wine,Aalto 2007
"Ribera del Duero, Spain",Red Wine,Aalto 2006
"Ribera del Duero, Spain",Red Wine,Aalto 2008
"Ribera del Duero, Spain",Red Wine,Aalto 2009
"Ribera del Duero, Spain",Red Wine,Aalto 2010
"Ribera del Duero, Spain",Red Wine,Aalto 2011
"Ribera del Duero, Spain",Red Wine,Aalto 2012
"Ribera del Duero, Spain",Red Wine,Aalto 2013
"Ribera del Duero, Spain",Red Wine,Aalto 2014
"Ribera del Duero, Spain",Red Wine,Aalto 2015
"Ribera del Duero, Spain",Red Wine,Aalto 2016
"Ribera del Duero, Spain",Red Wine,Aalto PS 2011
"Ribera del Duero, Spain",Red Wine,Aalto PS 2013
"Ribera del Duero, Spain",Red Wine,Aalto PS 2014
"Ribera del Duero, Spain",Red Wine,Aalto PS 2015
"Paso Robles, Central Coast, California",Red Wine,Aaron Wines Petite Sirah 2015
"Umpqua Valley, Oregon",White Wine,Abacela Albarino 2008
"Umpqua Valley, Oregon",White Wine,Abacela Albarino 2009
"Umpqua Valley, Oregon",White Wine,Abacela Albarino 2010
"Umpqua Valley, Oregon",White Wine,Abacela Albarino 2014
"Umpqua Valley, Oregon",White Wine,Abacela Albarino 2019
"Umpqua Valley, Oregon",Red Wine,Abacela Estate Tempranillo 2006
"Umpqua Valley, Oregon",Red Wine,Abacela Estate Tempranillo 2007
"Umpqua Valley, Oregon",Red Wine,Abacela Fiesta Tempranillo 2014
"Umpqua Valley, Oregon",Red Wine,Abacela Fiesta Tempranillo 2015
"Umpqua Valley, Oregon",Red Wine,Abacela Fiesta Tempranillo 2016
"Umpqua Valley, Oregon",Pink and Rosé,Abacela Grenache Rose 2014
"Ribera del Duero, Spain",Red Wine,Abadia Retuerta Cuvee El Campanario 1997
Spain,White Wine,Abadia Retuerta Le Domaine Blanco 2015
Spain,Red Wine,Abadia Retuerta Pago Garduna Syrah Vino de la Tierra de Castilla y Leon 2009
Spain,Red Wine,Abadia Retuerta Pago Garduna Syrah Vino de la Tierra de Castilla y Leon 2010
Spain,Red Wine,Abadia Retuerta Pago Negralada Tempranillo 2009
Spain,Red Wine,Abadia Retuerta Pago Negralada Tempranillo 2010
Spain,Red Wine,Abadia Retuerta Pago Negralada Tempranillo 2011
Spain,Red Wine,Abadia Retuerta Pago Negralada Tempranillo 2012
Spain,Red Wine,Abadia Retuerta Pago Negralada Tempranillo 2013
Spain,Red Wine,Abadia Retuerta Pago Negralada Tempranillo 2014
Spain,Red Wine,Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2009
