country,location_name,condition_text,air_quality_PM2.5,air_quality_PM10
Afghanistan,Kabul,Partly Cloudy,8.4,26.6
Albania,Tirana,Partly cloudy,1.1,2.0
Algeria,Algiers,Sunny,10.4,18.4
Andorra,Andorra La Vella,Light drizzle,0.7,0.9
Angola,Luanda,Partly cloudy,183.4,262.3
Antigua and Barbuda,Saint John's,Partly cloudy,1.2,4.5
Argentina,Buenos Aires,Clear,4.0,5.3
Armenia,Yerevan,Partly cloudy,0.8,0.9
Australia,Canberra,Clear,3.7,5.4
Austria,Vienna,Partly cloudy,3.7,4.4
Azerbaijan,Baku,Partly cloudy,1.9,2.2
Bahamas,Nassau,Partly cloudy,12.2,24.6
Bahrain,Manama,Sunny,39.0,114.3
Bangladesh,Dhaka,Partly Cloudy,49.7,57.0
Barbados,Bridgetown,Partly cloudy,1.9,8.2
Belarus,Minsk,Sunny,1.6,1.7
Belgium,Brussels,Partly cloudy,14.7,15.8
Belize,Belmopan,Overcast,7.7,32.1
Benin,Porto-Novo,Moderate or heavy rain with thunder,8.2,15.7
Bhutan,Thimphu,Patchy light rain in area with thunder,9.3,11.5
Bolivia,Sucre,Clear,4.6,9.1
Bosnia and Herzegovina,Sarajevo,Partly cloudy,2.7,5.3
Botswana,Gaborone,Sunny,16.4,24.8
Brazil,Bras,Fog,0.5,0.5
Brunei Darussalam,Bandar Seri Begawan,Patchy light rain with thunder,2.2,2.3
Bulgaria,Sofia,Overcast,3.5,4.8
Burkina Faso,Ouagadougou,Moderate or heavy rain with thunder,5.4,13.9
Burundi,Bujumbura,Patchy rain nearby,33.3,80.9
Madagascar,Ivory,Sunny,0.5,0.8
Cape Verde,Praia,Partly cloudy,6.1,23.2
Cambodia,Phnom Penh,Partly cloudy,17.1,23.0
Cameroon,Yaounde,Partly Cloudy,25.6,31.2
Canada,Ottawa,Partly cloudy,5.0,5.5
Central African Republic,Bangui,Sunny,0.5,0.7
Chad,N'djamena,Sunny,13.6,38.8
Chile,Santiago,Clear,211.1,268.6
China,Beijing,Sunny,84.9,107.8
Bulgaria,Bogot,Overcast,3.0,3.2
Comoros,Moroni,Patchy rain nearby,1.5,2.7
Congo,Brazzaville,Sunny,17.3,72.7
Costa Rica,San Juan,Fog,21.7,23.3
Croatia,Zagreb,Partly cloudy,6.6,7.7
Cuba,Havana,Clear,4.7,18.4
Cyprus,Nicosia,Partly cloudy,7.7,13.5
Czech Republic,Prague,Sunny,3.4,3.9
Democratic Republic of Congo,Kinshasa,Sunny,17.3,72.7
Denmark,Copenhagen,Sunny,5.8,6.9
Djibouti,Djibouti,Sunny,9.5,25.1
Dominica,Roseau,Patchy rain nearby,0.9,2.7
Dominican Republic,Santo Domingo,Partly cloudy,7.0,12.6
Ecuador,Quito,Patchy rain nearby,26.3,28.9
Egypt,Cairo,Sunny,11.7,33.3
El Salvador,San Salvador,Moderate or heavy rain with thunder,20.4,28.1
Equatorial Guinea,Malabo,Partly cloudy,2.1,3.0
Eritrea,Asmara,Patchy rain nearby,13.9,54.0
Estonia,Tallinn,Sunny,7.3,7.6
Swaziland,Mbabane,Sunny,22.0,29.2
Ethiopia,Addis Ababa,Patchy rain nearby,12.0,66.2
Fiji Islands,Suva,Light rain,2.6,3.4
Finland,Helsinki,Sunny,5.5,6.8
France,Paris,Partly cloudy,9.8,13.6
Gabon,Libreville,Partly cloudy,41.0,49.2
Gambia,Banjul,Sunny,12.9,59.6
Georgia,Tbilisi,Overcast,2.0,2.4
Germany,Berlin,Sunny,6.6,7.5
Ghana,Accra,Partly cloudy,19.2,32.0
Greece,Athens,Partly cloudy,8.7,10.2
Grenada,Saint George's,Partly cloudy,2.4,12.0
Guatemala,Guatemala City,Mist,132.0,178.1
Guinea,Conakry,Overcast,16.7,28.0
Guinea-Bissau,Bissau,Partly cloudy,15.8,55.6
Guyana,Georgetown,Partly cloudy,1.1,1.6
Haiti,Port-Au-Prince,Clear,10.7,20.7
Vatican City,Vatican City,Sunny,41.8,47.0
Honduras,Tegucigalpa,Partly cloudy,19.0,25.3
Hungary,Budapest,Partly cloudy,5.4,6.4
Iceland,Grindavik,Partly cloudy,0.5,0.5
India,New Delhi,Mist,25.4,64.0
Indonesia,Jakarta,Partly cloudy,196.1,224.0
Iran,Tehran,Partly cloudy,34.4,48.5
Iraq,Baghdad,Partly cloudy,13.5,37.1
Ireland,Dublin,Mist,8.4,9.8
Israel,Jerusalem,Partly cloudy,5.0,9.4
Italy,Rome,Sunny,41.8,47.0
Jamaica,Norman Gardens,Patchy rain nearby,10.1,20.8
Japan,Tokyo,Partly cloudy,15.8,18.4
Jordan,Amman,Mist,4.5,9.1
Kazakhstan,Astana,Sunny,1.9,2.1
Kenya,Nairobi,Partly cloudy,58.0,101.9
Kiribati,Tarawa,Cloudy,2.5,8.4
Kuwait,Kuwait City,Partly cloudy,31.9,91.4
Kyrghyzstan,Bishkek,Patchy rain nearby,3.1,6.0
Indonesia,Laos,Patchy rain nearby,10.0,14.6
Latvia,Riga,Sunny,6.7,8.1
Lebanon,Beirut,Partly cloudy,5.8,13.7
Lesotho,Maseru,Sunny,29.8,46.6
Liberia,Monrovia,Partly cloudy,1.7,4.1
Thailand,Nan,Patchy light rain with thunder,2.8,3.0
Liechtenstein,Vaduz,Partly cloudy,4.9,6.3
Lithuania,Vilnius,Sunny,1.6,2.2
Luxembourg,Luxembourg,Partly cloudy,2.1,2.4
Madagascar,Antananarivo,Partly cloudy,2.6,5.8
Malawi,Lilongwe,Partly cloudy,1.1,2.8
Malaysia,Kuala Lumpur,Partly cloudy,40.5,46.6
Maldives,Felidhoo,Patchy rain nearby,1.0,3.7
Mali,Bamako,Sunny,2.8,5.1
Malta,Valletta,Sunny,29.8,72.3
Marshall Islands,Majuro,Partly cloudy,1.3,3.7
Mauritania,Nouakchott,Sunny,33.3,174.2
Mauritius,Port Louis,Overcast,2.0,5.4
Mexico,Mexico City,Clear,35.1,48.0
Micronesia,Palikir,Overcast,0.6,1.6
Iran,Chi Chi Khvar,Thundery outbreaks in nearby,4.8,18.2
Monaco,Monaco,Partly cloudy,3.7,4.3
Mongolia,Ulaanbaatar,Sunny,12.6,23.0
Montenegro,Podgorica,Partly cloudy,1.3,2.9
Morocco,Rabat,Partly cloudy,1.8,7.8
Mozambique,Maputo,Partly cloudy,3.6,25.4
Myanmar,Pathein,Sunny,1.7,2.7
Namibia,Windhoek,Sunny,2.1,5.5
Turkey,Yaren,Sunny,8.4,9.8
Nepal,Kathmandu,Light rain,22.3,30.9
Netherlands,Amsterdam,Partly cloudy,15.3,16.7
New Zealand,Wellington,Partly cloudy,0.5,0.9
Nicaragua,Managua,Patchy rain nearby,11.7,14.7
Niger,Niamey,Sunny,10.3,33.6
Nigeria,Abuja,Partly Cloudy,12.6,17.9
North Korea,Pyongyang,Sunny,6.5,8.6
Macedonia,Skopje,Moderate rain,7.6,8.3
Norway,Oslo,Sunny,11.5,14.2
Oman,Muscat,Sunny,46.6,90.4
Pakistan,Islamabad,Sunny,15.5,31.0
Palau,Meyungs,Partly cloudy,0.9,2.9
Bolivia,National,Clear,1.8,2.0
Panama,Panama City,Overcast,2.9,3.9
Papua New Guinea,Port Moresby,Light rain shower,2.8,6.4
Paraguay,Pasto,Clear,3.6,3.8
Peru,Lima,Partly Cloudy,9.6,20.2
Philippines,Manila,Partly cloudy,32.2,47.2
Poland,Warsaw,Sunny,3.0,3.6
Portugal,Lisbon,Partly cloudy,1.8,5.2
Qatar,Doha,Sunny,27.2,117.1
Romania,Bucharest,Sunny,3.9,4.7
Russia,Moscow,Sunny,4.4,5.7
Rwanda,Kigali,Partly cloudy,4.2,6.3
Saint Kitts and Nevis,Basseterre,Clear,1.0,4.1
Saint Lucia,Castries,Partly cloudy,1.4,4.3
Saint Vincent and the Grenadines,Kingstown,Partly cloudy,1.9,7.1
Samoa,Apia,Partly cloudy,1.1,2.3
San Marino,San Marino,Overcast,14.6,17.9
Belgium,'S Gravenstaffel,Light rain,13.4,15.1
Saudi Arabia,Riyadh,Sunny,49.1,149.9
Senegal,Dakar,Partly cloudy,21.4,125.2
Serbia,Belgrade,Sunny,2.7,3.5
Seychelles Islands,Victoria,Light rain,2.0,5.7
Sierra Leone,Freetown,Partly Cloudy,8.2,12.1
Singapore,Singapore,Partly cloudy,8.9,11.0
Slovakia,Bratislava,Partly cloudy,4.7,5.5
Slovenia,Ljubljana,Partly cloudy,2.8,3.3
Solomon Islands,Honiara,Patchy rain nearby,0.5,0.6
Somalia,Mogadishu,Partly cloudy,2.7,6.2
South Africa,Pretoria,Sunny,78.1,108.3
South Korea,Seoul,Sunny,18.7,23.7
Sudan,Juba,Sunny,38.7,223.3
Spain,Madrid,Sunny,0.5,1.1
Sri Lanka,Colombo,Moderate or heavy rain with thunder,4.0,8.3
Sudan,Khartoum,Sunny,28.0,124.1
Suriname,Paramaribo,Mist,1.1,2.2
Sweden,Stockholm,Sunny,4.2,6.1
Switzerland,Bern,Partly cloudy,2.4,2.8
Syria,Damascus,Sunny,5.1,10.2
Tajikistan,Dushanbe,Partly cloudy,5.5,14.8
Tanzania,Dodoma,Partly cloudy,1.9,3.4
Thailand,Bangkok,Partly cloudy,115.2,163.7
Timor-Leste,Dili,Patchy rain nearby,0.8,2.1
Bulgaria,Lom,Sunny,3.2,3.9
Tonga,Nuku`Aloia,Moderate rain,2.4,6.3
Trinidad and Tobago,Port Of Spain,Partly cloudy,2.2,5.5
Tunisia,Tunis,Partly cloudy,6.7,15.7
Turkey,Ankara,Partly cloudy,11.2,12.2
Turkmenistan,Ashgabat,Partly cloudy,9.0,39.0
Tuvalu,Funafuti,Moderate rain at times,0.6,1.6
Uganda,Kampala,Patchy rain nearby,4.1,7.6
Ukraine,Kyiv,Patchy rain nearby,2.0,2.3
United Arab Emirates,Abu Dhabi,Sunny,34.1,148.6
United Kingdom,London,Partly cloudy,16.9,19.8
United States of America,Washington Park,Clear,6.3,7.1
Uruguay,Montevideo,Clear,6.5,10.5
Uzbekistan,Tashkent,Partly cloudy,2.9,3.8
Vanuatu,Port Vila,Partly cloudy,3.1,13.4
Venezuela,Caracas,Partly cloudy,6.2,9.5
Vietnam,Hanoi,Partly cloudy,72.5,82.8
Yemen,Sanaa,Patchy rain nearby,32.5,125.3
Zambia,Lusaka,Sunny,10.7,18.8
Zimbabwe,Harare,Sunny,67.2,78.3
Afghanistan,Kabul,Patchy rain nearby,9.4,18.9
Albania,Tirana,Partly cloudy,2.3,4.3
Algeria,Algiers,Partly cloudy,4.3,11.5
Andorra,Andorra La Vella,Patchy light rain in area with thunder,0.7,0.8
Angola,Luanda,Sunny,31.7,68.5
Antigua and Barbuda,Saint John's,Partly cloudy,1.0,3.6
Argentina,Buenos Aires,Sunny,4.8,7.2
Armenia,Yerevan,Partly cloudy,1.0,1.1
Australia,Canberra,Clear,9.9,13.7
Austria,Vienna,Light rain,1.5,1.9
Azerbaijan,Baku,Partly cloudy,2.0,2.3
Bahamas,Nassau,Partly cloudy,17.5,29.0
Bahrain,Manama,Sunny,40.1,101.5
Bangladesh,Dhaka,Clear,64.2,80.0
Barbados,Bridgetown,Partly cloudy,2.4,10.1
Belarus,Minsk,Sunny,2.3,2.5
Belgium,Brussels,Partly cloudy,1.9,2.1
Belize,Belmopan,Partly cloudy,7.0,25.8
Benin,Porto-Novo,Moderate or heavy rain with thunder,2.5,4.8
Bhutan,Thimphu,Patchy rain nearby,12.1,15.0
Bolivia,Sucre,Sunny,5.3,13.1
Bosnia and Herzegovina,Sarajevo,Partly cloudy,2.0,3.4
Botswana,Gaborone,Partly cloudy,14.8,20.1
Brazil,Bras,Partly Cloudy,0.5,0.5
Brunei Darussalam,Bandar Seri Begawan,Patchy light rain with thunder,9.5,9.8
Bulgaria,Sofia,Light rain,3.0,3.7
Burkina Faso,Ouagadougou,Moderate or heavy rain with thunder,6.1,24.5
Burundi,Bujumbura,Partly cloudy,6.4,12.0
Madagascar,Ivory,Sunny,0.5,0.6
Cape Verde,Praia,Partly cloudy,4.3,18.1
Cambodia,Phnom Penh,Partly cloudy,64.0,88.0
Cameroon,Yaounde,Partly cloudy,3.8,5.7
Canada,Ottawa,Partly cloudy,0.5,0.7
Central African Republic,Bangui,Partly cloudy,0.5,1.1
Chad,N'djamena,Partly cloudy,34.5,148.6
Chile,Santiago,Sunny,714.1,873.4
China,Beijing,Clear,228.2,302.1
Bulgaria,Bogot,Partly Cloudy,2.8,2.9
Comoros,Moroni,Patchy rain nearby,1.4,5.0
Congo,Brazzaville,Patchy light rain with thunder,15.0,31.1
Costa Rica,San Juan,Sunny,20.8,23.5
Croatia,Zagreb,Partly cloudy,2.1,2.4
Cuba,Havana,Partly cloudy,4.3,14.2
Cyprus,Nicosia,Partly cloudy,4.1,6.2
Czech Republic,Prague,Partly cloudy,1.7,2.1
Democratic Republic of Congo,Kinshasa,Patchy light rain with thunder,15.0,31.1
Denmark,Copenhagen,Sunny,4.2,4.7
Djibouti,Djibouti,Partly cloudy,8.0,21.7
Dominica,Roseau,Light rain,0.9,2.5
Dominican Republic,Santo Domingo,Partly cloudy,15.2,20.1
Ecuador,Quito,Sunny,59.3,63.5
Egypt,Cairo,Sunny,13.6,53.2
El Salvador,San Salvador,Partly cloudy,29.2,41.4
Equatorial Guinea,Malabo,Partly cloudy,1.3,1.8
Eritrea,Asmara,Moderate rain at times,14.6,53.3
Estonia,Tallinn,Sunny,8.0,8.4
Swaziland,Mbabane,Sunny,17.9,27.2
Ethiopia,Addis Ababa,Partly cloudy,24.0,84.4
Fiji Islands,Suva,Partly cloudy,1.7,2.0
Finland,Helsinki,Sunny,4.9,6.1
France,Paris,Partly cloudy,1.6,2.5
Gabon,Libreville,Partly cloudy,19.4,27.7
Gambia,Banjul,Sunny,21.8,108.4
Georgia,Tbilisi,Partly cloudy,0.7,1.0
Germany,Berlin,Sunny,4.5,5.0
Ghana,Accra,Partly cloudy,3.4,7.7
Greece,Athens,Partly cloudy,7.7,19.6
Grenada,Saint George's,Partly cloudy,2.4,10.2
Guatemala,Guatemala City,Partly cloudy,152.7,212.3
Guinea,Conakry,Partly cloudy,0.5,5.4
Guinea-Bissau,Bissau,Partly cloudy,13.1,50.3
Guyana,Georgetown,Partly cloudy,1.1,1.6
Haiti,Port-Au-Prince,Partly cloudy,19.0,34.0
Vatican City,Vatican City,Partly cloudy,63.0,78.8
Honduras,Tegucigalpa,Partly cloudy,19.0,29.4
Hungary,Budapest,Sunny,2.1,2.4
Iceland,Grindavik,Partly cloudy,0.5,0.6
India,New Delhi,Mist,44.0,80.8
Indonesia,Jakarta,Mist,492.5,621.5
Iran,Tehran,Partly cloudy,5.1,11.0
Iraq,Baghdad,Partly cloudy,14.5,41.1
Ireland,Dublin,Partly cloudy,3.1,3.9
Israel,Jerusalem,Sunny,6.5,9.4
Italy,Rome,Partly cloudy,63.0,78.8
Jamaica,Norman Gardens,Partly cloudy,2.9,7.4
Japan,Tokyo,Clear,9.5,11.9
Jordan,Amman,Sunny,6.7,10.5
Kazakhstan,Astana,Sunny,5.0,5.1
Kenya,Nairobi,Partly cloudy,18.2,40.2
Kiribati,Tarawa,Patchy rain nearby,1.3,3.1
Kuwait,Kuwait City,Sunny,19.6,40.9
Kyrghyzstan,Bishkek,Light rain,1.3,1.7
Indonesia,Laos,Patchy rain nearby,22.7,36.4
Latvia,Riga,Sunny,13.2,15.1
Lebanon,Beirut,Sunny,8.3,15.0
Lesotho,Maseru,Sunny,9.8,21.0
Liberia,Monrovia,Partly cloudy,0.8,3.6
Thailand,Nan,Clear,8.0,9.1
Liechtenstein,Vaduz,Partly cloudy,1.4,1.5
Lithuania,Vilnius,Sunny,2.3,3.1
Luxembourg,Luxembourg,Partly cloudy,1.7,1.8
Madagascar,Antananarivo,Partly cloudy,3.5,7.8
Malawi,Lilongwe,Partly cloudy,0.7,2.0
Malaysia,Kuala Lumpur,Patchy light rain with thunder,131.5,155.7
Maldives,Felidhoo,Partly Cloudy,1.2,4.1
Mali,Bamako,Partly cloudy,1.2,2.4
Malta,Valletta,Sunny,33.5,71.6
Marshall Islands,Majuro,Overcast,2.1,5.3
Mauritania,Nouakchott,Sunny,28.3,139.7
Mauritius,Port Louis,Overcast,2.7,9.1
Mexico,Mexico City,Sunny,54.3,72.4
Micronesia,Palikir,Overcast,0.5,1.2
Iran,Chi Chi Khvar,Sunny,4.3,14.3
Monaco,Monaco,Partly cloudy,1.9,2.2
Mongolia,Ulaanbaatar,Clear,1.1,1.2
Montenegro,Podgorica,Sunny,1.9,6.8
Morocco,Rabat,Partly cloudy,2.2,7.1
Mozambique,Maputo,Partly cloudy,5.9,24.2
Myanmar,Pathein,Clear,3.2,5.9
Namibia,Windhoek,Sunny,6.3,8.5
Turkey,Yaren,Sunny,8.7,9.6
Nepal,Kathmandu,Partly cloudy,33.6,56.4
Netherlands,Amsterdam,Partly cloudy,12.1,13.0
New Zealand,Wellington,Partly cloudy,1.6,4.8
Nicaragua,Managua,Overcast,12.5,17.7
Niger,Niamey,Sunny,42.4,216.4
Nigeria,Abuja,Partly Cloudy,7.7,14.5
North Korea,Pyongyang,Clear,22.6,28.0
Macedonia,Skopje,Overcast,5.2,5.4
Norway,Oslo,Sunny,7.1,7.9
Oman,Muscat,Sunny,28.1,76.6
Pakistan,Islamabad,Sunny,26.9,46.0
Palau,Meyungs,Partly cloudy,0.7,2.4
Bolivia,National,Sunny,1.4,1.4
