Customer_Name,REVIEW_TITLE,Color,REVIEW_DATE,COMMENTS,RATINGS
Ramdika,Really Exceed my expectation.,Black,30-May-21,"Okay.. I was skeptical at first to buy this as i was tight at my budget , but to be honest this little product really exceed my expectation. If you are really tight on budget just go for this one.Ps for Redmi phone user , go to setting sound effect and user equilizer and play around with sound enhancer to get the best sound result.",5
Sachin AK,Great for a change from inear buds,Black,01-Jun-21,The earphone is worth what you pay for. The design of the earbud may cause pain after prolonged usage. In that case basshead 103 is good.In terms of sound this is way more advanced than basshead 103. Bass is also increased.Quality wise i would preferred the nylone wrapping of even the two small cable would have been better. Since most of the time those cable gets damaged.,5
Manikandan Raj,For people with sensitive ears,Black,05-Sep-21,"Particularly for people with sensitive ears, who gets ear pain when wearing those in ear buds kind of headsets, this one is a great choice. It doesn't block air flow into ear, so it is good for ear drum as well.",4
Reviewguy,I tested it for a week and here's a detailed review,Iguana,11-Sep-21,"Built Quality 6.5 10The lower wire is a durable nylon that is as you know, tough but the middle part where the mic and the single button itself lies feels cheap, including the earpiece, the plastic used don't feel or look that good but the wire length is good though. Probably 1.2 1.3m.Comfort 7 10Feels decently good for people who don't like rubber tipped earphones, the fit is good and is comfortable in your ears, nothing much to talk about hereSound Quality 7 10The max volume is quite loud pretty loud, that's a plus point. The treble is crisp and the bass is decently strong, works well in Xiaomi Redmi phones which have options for earphones selection for different sound quality preferenceMic 6 10The mic is not the best, it just gets the job done. It picks up noise when you are speaking to someone on the phone while using this and walking at the same time doing some physical activity. While playing games like BGMI Call of Duty, the mic worked good with no issues but on calls, it wasn't just as good.Price to performance ratio 6.5 10This product is for people who wants a decent in Ear Wired Headset Without rubber tips and not for people who are into the rubber tipped ones. If you use rubber tipped earphones and wanna get a good one under 500 rupees, get either of these two 1.BoAt Bassheads 100 Cheaper but great for the price 2. Realme Buds 2 Good sound and built quality an additional rubber band for easy storage",4
Sridhar Sarkar,Not a good headphone,Iguana,26-Jun-21,"Don't go with the over all 4 start rating. This boat brand endorse lot of money through marketing and you can see on the front pack of the headphones it must be Karthik aryaan Neha Kakkar hardik or Kl Rahul and you might think oh wow what a great product. And eventually you will also buy. But you know what, this product is not good at all. Don't go this over all rating.Voice is so suppressing that you won't be able to enjoy the music properly. Though, it looks very classy and pretty. Tangled free wire which is plus point. It does not have good bass at all. Rs. 150 oppo Vivo headphones are also better than this. Note This product is non returnable.",2
gurvinder singh,Faulty earphones. Volume drop issue,Spirit Lime,05-Sep-21,"Please believe me, Volume of my phone automatically gets down when earphones are plugged in. Youtube play pause, next previous video buttons wont go away when earphones are plugged in. This is very annoying. I cant even watch a 5 mins video peacefully. I have to raise volume again and again. Mic quality is very normal. Boat is lying about the crystal clear sound. You can get the same voice quality in 100 150rs local earphones. My 450rs got totally wasted. I bought boat for the first time. Never buying boat again. They are just overated and make faulty products.",1
Sumit Chaurasiya,More than expected,Black,29-Jun-21,"I am not very keen of music listening, so can't comment how good music it produce. My purpose of using this is fully focused on call. It is doing a great work, more than expected. People on other side able to here me correctly. Sound produce by it is loud enough to here correctly. There is no noise cauae by this headphone. Previously I used jbl and phillips, they are not only castly than this but their durability is also questionable. This one is fully justifying its price.This one did not came with tagle free, but wire is textured which make it easier to untangle.",4
blessy,Will damage your ears,White,28-Sep-21,"This product has caused me so much of damage that I had to write a review. Here is the thing. It is cheap and it works well with calls. I also wanted an alternative to in ear buds that are available in the market. Hence, I bought it. Honestly, it has been a month and the earphone is working fine. However, I don't know what kind of a design boat is bragging of. First of all using this earphone just for a few days has made my ears a little swollen. Also, it doesn't fit well. It will either fall off or it will hurt. If you lie down and use this expect it to fall off. If you sit down and use this expect it to give you some minor cuts. Why even buy this if you cannot use it properly Volume buttons are not there. I thought I could do without it but the truth was later on I needed it. My suggestion is that if you want to buy a cheap product try out other brands in the same price range, buy the 50 rupee or 100 rupee one from small retailers or simply shell more money and get a better deal. Finally, thank you boat for this terrible experience . I will never buy another product of yours unless I have no choice and will never compromise on quality over money.",1
Amazon Customer,"Don't buy, Not good",Iguana,27-Jul-21,"One side stopped working within 20 days of buying, now they are asking to go to service center for replacement which is 30 km away from my house, so ultimately I need to spend more amount as taxi fare then the product cost to get it replaced.No response so far even after sending the mail 10 days ago.I trusted the brand but they are also following the same path now where they don't care about selling the product.",1
Hameed bin abbas,BOAT IS ALWAYS BEST,Black,15-Jun-21,"Best headset ever I used in my life, genuin product, good condition, reasonable price, value for money. And thanks to Amazon for a perfect delivery feature.",5
Ak,Grab the Greenish Grey Color. Its awesome.,Iguana,31-Aug-21,it is made of premium quality plastic and has good finishing. I use it for hours and don't feel anything troubling my ears. Well crafted and ergonomic design made to go with the flow. The wire stem is thick and the branches are rubberised but are of good quality. If you make sure that it does not get struck by your arms while using then it can surely last about 4 years.Good for calling. No mic issues faced. Music is fine no complaints. Grab this product and save your ears.The in ear headphones do a vacuum suction to the ears and can lead to severe problems if used for long hours.,5
Shankar.B,Good choice for regular usage and meetings,Black,25-Jun-21,"Boat is known brand, definitely everyone expects premium sound quality. This model almost meets the expectations.Pros 1. Premium looks, quality and design2. Comfortable3. Good sound and Bass4. Attractive Red colour Play pause button5. Mic is clearly noticableCons 1. Netted cable is given between jack to mic, which is less durable2. No volume controller, previous, next buttons3. Treble is not good4. Not noticed any noise cancellation5. Over priced",4
Aryan kohli,Not for listening to music,Iguana,07-Nov-21,"If you are the type of person who does not like to fumble around with Bluetooth on windows laptops and already have a good pair of headphones and earphones and need these for taking online classes or meetings or just watching youtube, they are totally alright for that purpose.The build quality is very nice. Will survive some abuse. Have braided cable. The plastic quality is also excellent no sharp edges.I have compared these to apple's earpods. earpods still sound better than these. Don't buy these for music purposes because you'll be heavily disappointed. They sound garbage, but for anything speech related, these are fine. As I said, if you want to take a quick meeting or just for an online class or watch youtube.",3
Vickey,"Disappointed Looks pretty, sound's bad",Blue,15-Jun-21,Audio quality is pathetic. Vocals are suppressed too much. Beats and Bass are too high. Not enjoyable.,2
Murali K.,Extremely poor sound output,White,07-Oct-21,"I tried comparing the output of these earphones with that of apple original earphones this boat earphones cannot stand anyway near apple earphones, i agree you get what you pay for but in this case it feels more like cheated zero value for the money spent, the earphones are not worth even 100 rupees",1
swapnil tayade,Underrated headphones,Blue,09-Jul-21,"It has 13.5 mm driver at this price makes it superb. Sound quality is actually very good as compared to other mi, realme etc wired headphones at this price. Also people's who don't like ear buds they can find it as good option. It seems underrated headphones but actually it's sound is very nice if you can compare with others.I like chilly combination in blue and orange combo with untangled write.",5
Dennis Bob Philip,Value for money,Black,06-Dec-21,"Very light, surprisingly loud for the tiny size. Very light, cable build quality braided cloth feel outstanding. The plastic earpiece is very light, chunky heavy duty single button. Fits just right, could hurt if you went to sleep wearing them and turned your head to the side as it's plastic. Boat quality for a very competitive price. Old school basic design from the first mobile phone days.",4
Subhendu Santra,Sound quality can be much better,Black,28-May-21,The media could not be loaded. Sound is good but the bass is quite low,4
Vishal TK,Value for money,White,03-Jun-22,"I bought it for attending meetings. The earphone with soft tip turned out to uncomfortable during prolonged use. Then I came across this earphone.1. Value for money2. braided cable3. Clear audio4. Other party can hear me well during meeting5. Balanced bassIf you are bass head and looking for earphone which gives strong bass, then this is not the product for you. Rest of the janta can buy this earphone.",5
Kaiwalya Labade,It's what you pay for,White,03-Nov-21,"My review is still keeping in mind that it is a 299 earphone. Still is too crappy. The bad is too pumped up and the vocals get too much muffled. I bought this because I needed a non silicone earbud replacement for my over the ear headphones, since they get sweaty sometimes. I had to manually lower the bass just to listen to normal yt videos and play game. There are better options but I wanted something in this shape so it's alright.",3
Kalyan goud,OK product for it's price,Blue,18-Jul-21,"The bass is quite good.Well balanced treble.The cable is sturdy and tangle free.Fits right in my ears.Update after 3 months usage Both the sides stopped producing effective sound that they used to produce when i used it for the first time....now they produce lower volume 1year warranty is just a statement nothing works UPDATE of return So i contacted boat support and they agreed for the pick up and after product testing, they approved to replace my product with a new one and now i got new earphones from boat but NOT from amazon....so u can contact boat support if your product isn't working fine within the warranty period...Thank you.",1
Karan Narang,Unexpectedly good,Black,22-Sep-21,"There isn't any noise cancelling, which is totally fine but their sound is RELLY good I've been against using Boat earphones since I haven't had a good experience with 3 models of boat, somehow this was the only option in the budget I was looking for and they are by far great Amazing built quality, great sound, okayish mic but that isn't too much of a problem",5
sushanth reddy,A budget replacement for apple earpods,Black,15-Jun-21,Decent sound quality on music and calls. Bass is elevated just a little bit not too much. Sturdy wires and the wire from jack to mic is braided and has a good texture and feel. The jack is some kid of rubberized plastic so it helps to grip it when pulling the jack from phone or laptop. Satisfield for the value it provides for the price.,4
Amazon Customer,Worth buying,Blue,20-Jun-21,The media could not be loaded. Product look is good. Sound clarity is also good. They could have used magnets like other phones. Product comes with one year warranty.Have to see endurance,4
Amit Gaikwad,Good One,Iguana,24-Oct-21,Nice quality fitted good for me. even it does't have noise cancellation but still sound is quite laud and during call or during listening music its not disturb due to surrounding. just like mi its should be have magnet sticking as its quite useful in many cases. also its mic volume control should be in right side not in middle. right side near mouth position good during noisy surrounding or less network area.,3
amrit raj,"It sucks, waste of money",Black,23-Oct-21,"Delivery was fast no doughts about that but after using 3 days only it started showing problems first microphone stopped working without any reason, then after 2 days the whole device stopped working using it in vivo y51a very bad experience and really disappointing by baot as for the price it is definitely overpriced, 50 rupee street earphone is much better than thisDon't go for it ... Look for something else",1
Mukul Sharma,Good buy in this price,White,13-Jun-21,The earphones looks okay. Basically in this price they solve the purpose. You can take meetings and use them as normal earphone. They fit perfectly. I thing it's the best purchase in this price. Obviously they can't be use to hear music if you are hardcore music listener you won't find that good in this case.,5
Kajari Biswas,Wonderful product,Black,17-Nov-21,It's a wonderful product. Using it for more that 2 3months now. The sound quality is excellent. I was using big sound proof headsets for a long time. Had to choose this one for travel and some special need. Initially i was sceptical that how my sound experience would be after those big headsets. But this is a nice change. Build quality is very good.Amazon delivery is a thumps up...,5
Junead Q.,Good Quality and last long,White,01-Mar-22,"Have bought total of 3 earphones , obviously after using 1 i bought 2 more , Planning to buy some more when price drops 350.Good quality , strenght is awesome.Only draw back is background noise cancellation during call. I was excpecting good noise cancellation but it's not there.overall it's good insted of buying 100rs earphone multiple times this one last long. I am using it more than 6mths and I am a heavy user.",4
sk,Basic did not work morethan day.,Iguana,07-Oct-21,"Basic did not work morethan 1 day.This earphones i have used on my Mobile sound was pure basic. Tried for my office calls over Zoom Skype there is a lot of static. After few calls, the echo static increased more.Tried restarting the laptop still same. Had to go back to my old Samsung's.I dont want a Replacement, please helpe me with Return Redund.",1
