TITLE,RELEASE_YEAR,MAIN_GENRE
White Christmas,1954,romance
The Guns of Navarone,1961,war
My Fair Lady,1964,drama
Bonnie and Clyde,1967,drama
Dirty Harry,1971,thriller
The Exorcist,1973,horror
Monty Python and the Holy Grail,1975,comedy
Taxi Driver,1976,crime
Life of Brian,1979,comedy
The Blue Lagoon,1980,romance
Annie,1982,drama
Christine,1983,horror
Once Upon a Time in America,1984,drama
Stand by Me,1986,drama
Full Metal Jacket,1987,drama
When Harry Met Sally...,1989,romance
Awakenings,1990,drama
My Girl,1991,comedy
A River Runs Through It,1992,drama
Menace II Society,1993,drama
Forrest Gump,1994,drama
Desperado,1995,thriller
Happy Gilmore,1996,comedy
Neon Genesis Evangelion: The End of Evangelion,1997,scifi
Saving Private Ryan,1998,drama
"Girl, Interrupted",1999,drama
The Patriot,2000,drama
Lagaan: Once Upon a Time in India,2001,drama
Road to Perdition,2002,thriller
Big Fish,2003,drama
Swades,2004,drama
Memoirs of a Geisha,2005,drama
Rang De Basanti,2006,comedy
Like Stars on Earth,2007,drama
Ip Man,2008,drama
3 Idiots,2009,comedy
Inception,2010,scifi
Warrior,2011,drama
Django Unchained,2012,western
Rush,2013,drama
Queen,2014,drama
Drishyam,2015,thriller
Dangal,2016,action
Bāhubali 2: The Conclusion,2017,fantasy
Andhadhun,2018,thriller
Dave Chappelle: Sticks & Stones,2019,comedy
David Attenborough: A Life on Our Planet,2020,documentary
Bo Burnham: Inside,2021,comedy
The Tinder Swindler,2022,crime
