Title,Genre,Tags,Director
Lets Fight Ghost,"Crime, Drama, Fantasy, Horror, Romance","Comedy Programmes,Romantic TV Comedies,Horror Programmes,Thai TV Programmes",Tomas Alfredson
HOW TO BUILD A GIRL,Comedy,"Dramas,Comedies,Films Based on Books,British",Coky Giedroyc
Centigrade,"Drama, Thriller",Thrillers,Brendan Walsh
ANNE+,Drama,"TV Dramas,Romantic TV Dramas,Dutch TV Shows",
Moxie,"Animation, Short, Drama","Social Issue Dramas,Teen Movies,Dramas,Comedies,Movies Based on Books",Stephen Irwin
The Con-Heartist,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Films,Thai Comedies,Thai Films",Mez Tharatorn
Gleboka woda,Drama,"TV Dramas,Polish TV Shows,Social Issue TV Dramas",
Instynkt,Crime,"TV Dramas,Crime TV Dramas,Polish TV Shows",
Only a Mother,Drama,"Social Issue Dramas,Dramas,Movies Based on Books,Period Pieces,Swedish Movies",Alf Sjöberg
Snowroller,Comedy,"Sports Movies,Sports Comedies,Comedies,Swedish Movies",Lasse Åberg
Sunes Summer,"Comedy, Family, Fantasy","Children & Family Movies,Comedies,Movies Based on Books,Family Features,Family Comedies,Swedish Movies",Jon Holmberg
The Invisible,"Crime, Drama, Fantasy, Mystery, Thriller","Thriller Movies,Movies Based on Books,Supernatural Thrillers,Swedish Movies",David S. Goyer
The Simple Minded Murderer,Drama,"Social Issue Dramas,Dramas,Movies Based on Books,Period Pieces,Classic Movies,Swedish Movies",Hans Alfredson
The Stig-Helmer Story,"Comedy, Drama","Romantic Dramas,Romantic Comedies,Dramas,Comedies,Romantic Movies,Swedish Movies",Lasse Åberg
To Kill a Child,"Short, Drama","Dramas,Swedish Movies","José Esteban Alenda, César Esteban Alenda"
Joker,"Crime, Drama, Thriller","Dark Comedies,Crime Comedies,Dramas,Comedies,Crime Dramas,Swedish Movies",Todd Phillips
I,"Action, Adventure, Fantasy, Sci-Fi","Dramas,Swedish Movies",George Lucas
Harrys Daughters,"Adventure, Drama, Fantasy, Mystery","Dramas,Swedish Movies",David Yates
Gyllene Tider,Music,"Music & Musicals,Swedish Movies,Music & Concert Documentaries,Documentary Films,Concerts",Lasse Hallström
False As Water,"Drama, Thriller","Psychological Thrillers,Dramas,Thriller Movies,Swedish Movies",Hans Alfredson
Bang!,Short,"Dramas,Movies Based on Books,Swedish Movies",Robert Breer
A Guest Is Coming,Thriller,"Crime Movies,Thriller Movies,Mysteries,Crime Thrillers,Classic Movies,Swedish Movies",Arne Mattsson
1939,Drama,"Swedish Movies,Dramas",Göran Carmback
Girls und Panzer das Finale,"Animation, Action, Comedy","Drama Anime,Action & Adventure,Action Anime,Anime Movies,Japanese Movies,School Anime,Military & War Anime",Tsutomu Mizushima
Indoo Ki Jawani,"Comedy, Drama","Action & Adventure,Bollywood Films,Comedies,Adventures,Romantic Films,Indian Films,Hindi-language Films",Abir Sengupta
The Coroner,"Crime, Drama","Mystery Programmes,Drama Programmes,Crime TV Dramas,Canadian TV Programmes,TV Programmes Based on Books",
