Title,Director,Metascore,Rating
Sen to Chihiro no kamikakushi,Hayao Miyazaki,96.0,8.6
The Lion King,Roger Allers,88.0,8.5
Hotaru no haka,Isao Takahata,94.0,8.5
Kimi no na wa.,Makoto Shinkai,79.0,8.4
Spider-Man: Into the Spider-Verse,Bob Persichetti,87.0,8.4
Coco,Lee Unkrich,81.0,8.4
WALL·E,Andrew Stanton,95.0,8.4
Mononoke-hime,Hayao Miyazaki,76.0,8.4
Up,Pete Docter,88.0,8.3
Toy Story 3,Lee Unkrich,92.0,8.3
Toy Story,John Lasseter,95.0,8.3
Inside Out,Pete Docter,94.0,8.2
Kimetsu no Yaiba: Mugen Ressha-Hen,Haruo Sotozaki,72.0,8.2
Hauru no ugoku shiro,Hayao Miyazaki,80.0,8.2
Finding Nemo,Andrew Stanton,90.0,8.2
Koe no katachi,Naoko Yamada,78.0,8.1
Klaus,Sergio Pablos,65.0,8.1
Ôkami kodomo no Ame to Yuki,Mamoru Hosoda,71.0,8.1
Mary and Max.,Adam Elliot,,8.1
How to Train Your Dragon,Dean DeBlois,75.0,8.1
Ratatouille,Brad Bird,96.0,8.1
"Monsters, Inc.",Pete Docter,79.0,8.1
The Iron Giant,Brad Bird,85.0,8.1
Tonari no Totoro,Hayao Miyazaki,86.0,8.1
WolfWalkers,Tomm Moore,87.0,8.0
Soul,Pete Docter,83.0,8.0
Zootopia,Byron Howard,78.0,8.0
Kaguya-hime no Monogatari,Isao Takahata,89.0,8.0
Song of the Sea,Tomm Moore,85.0,8.0
Persepolis,Vincent Paronnaud,90.0,8.0
The Incredibles,Brad Bird,90.0,8.0
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Hideaki Anno,,8.0
Pâfekuto burû,Satoshi Kon,,8.0
Aladdin,Ron Clements,86.0,8.0
Beauty and the Beast,Gary Trousdale,95.0,8.0
Akira,Katsuhiro Ôtomo,67.0,8.0
Tenkû no shiro Rapyuta,Hayao Miyazaki,78.0,8.0
Kaze no tani no Naushika,Hayao Miyazaki,86.0,8.0
Fantastic Mr. Fox,Wes Anderson,83.0,7.9
Shrek,Andrew Adamson,84.0,7.9
Toy Story 2,John Lasseter,88.0,7.9
Mimi wo sumaseba,Yoshifumi Kondô,75.0,7.9
Kôkaku Kidôtai,Mamoru Oshii,76.0,7.9
The Nightmare Before Christmas,Henry Selick,82.0,7.9
Doragon bôru chô: Burorî,Tatsuya Nagamine,59.0,7.8
Isle of Dogs,Wes Anderson,82.0,7.8
Loving Vincent,Dorota Kobiela,62.0,7.8
Big Hero 6,Don Hall,74.0,7.8
How to Train Your Dragon 2,Dean DeBlois,77.0,7.8
Tôkyô goddofâzâzu,Satoshi Kon,73.0,7.8
Sennen joyû,Satoshi Kon,70.0,7.8
Cowboy Bebop: Tengoku no tobira,Shin'ichirô Watanabe,61.0,7.8
Jûbê ninpûchô,Yoshiaki Kawajiri,,7.8
Batman: Mask of the Phantasm,Kevin Altieri,65.0,7.8
Majo no takkyûbin,Hayao Miyazaki,83.0,7.8
Kubo and the Two Strings,Travis Knight,84.0,7.7
The Breadwinner,Nora Twomey,78.0,7.7
Omoide no Mânî,Hiromasa Yonebayashi,72.0,7.7
Ma vie de Courgette,Claude Barras,85.0,7.7
Kaze tachinu,Hayao Miyazaki,83.0,7.7
Toy Story 4,Josh Cooley,84.0,7.7
Wreck-It Ralph,Rich Moore,72.0,7.7
Le Petit Prince,Mark Osborne,70.0,7.7
The Lego Movie,Phil Lord,83.0,7.7
Papurika,Satoshi Kon,81.0,7.7
Toki o kakeru shôjo,Mamoru Hosoda,,7.7
Tangled,Nathan Greno,71.0,7.7
Coraline,Henry Selick,80.0,7.7
Les triplettes de Belleville,Sylvain Chomet,91.0,7.7
Waking Life,Richard Linklater,83.0,7.7
"South Park: Bigger, Longer & Uncut",Trey Parker,73.0,7.7
Kurenai no buta,Hayao Miyazaki,83.0,7.7
Who Framed Roger Rabbit,Robert Zemeckis,83.0,7.7
La planète sauvage,René Laloux,73.0,7.7
Fantasia,James Algar,96.0,7.7
The Mitchells vs the Machines,Michael Rianda,81.0,7.6
Incredibles 2,Brad Bird,80.0,7.6
Moana,Ron Clements,81.0,7.6
Despicable Me,Pierre Coffin,72.0,7.6
Gake no ue no Ponyo,Hayao Miyazaki,86.0,7.6
Kung Fu Panda,Mark Osborne,74.0,7.6
Mulan,Tony Bancroft,71.0,7.6
The Little Mermaid,Ron Clements,88.0,7.6
The Jungle Book,Wolfgang Reitherman,65.0,7.6
Snow White and the Seven Dwarfs,William Cottrell,95.0,7.6
