Title,Director,Genre,Rating,Year
Sen to Chihiro no kamikakushi,Hayao Miyazaki," Adventure, Family",8.6,2001
The Lion King,Roger Allers," Adventure, Drama",8.5,1994
Hotaru no haka,Isao Takahata," Drama, War",8.5,1988
Kimi no na wa.,Makoto Shinkai," Drama, Fantasy",8.4,2016
Spider-Man: Into the Spider-Verse,Bob Persichetti," Action, Adventure",8.4,2018
Coco,Lee Unkrich," Adventure, Comedy",8.4,2017
WALL·E,Andrew Stanton," Adventure, Family",8.4,2008
Mononoke-hime,Hayao Miyazaki," Adventure, Fantasy",8.4,1997
Up,Pete Docter," Adventure, Comedy",8.3,2009
Toy Story 3,Lee Unkrich," Adventure, Comedy",8.3,2010
Toy Story,John Lasseter," Adventure, Comedy",8.3,1995
Inside Out,Pete Docter," Adventure, Comedy",8.2,2015
Kimetsu no Yaiba: Mugen Ressha-Hen,Haruo Sotozaki," Action, Adventure",8.2,2020
Hauru no ugoku shiro,Hayao Miyazaki," Adventure, Family",8.2,2004
Finding Nemo,Andrew Stanton," Adventure, Comedy",8.2,2003
Koe no katachi,Naoko Yamada, Drama,8.1,2016
Klaus,Sergio Pablos," Adventure, Comedy",8.1,2019
Ôkami kodomo no Ame to Yuki,Mamoru Hosoda," Drama, Family",8.1,2012
Mary and Max.,Adam Elliot," Comedy, Drama",8.1,2009
How to Train Your Dragon,Dean DeBlois," Action, Adventure",8.1,2010
Ratatouille,Brad Bird," Adventure, Comedy",8.1,2007
"Monsters, Inc.",Pete Docter," Adventure, Comedy",8.1,2001
The Iron Giant,Brad Bird," Action, Adventure",8.1,1999
Tonari no Totoro,Hayao Miyazaki," Comedy, Family",8.1,1988
WolfWalkers,Tomm Moore," Adventure, Family",8.0,2020
Soul,Pete Docter," Adventure, Comedy",8.0,2020
Zootopia,Byron Howard," Adventure, Comedy",8.0,2016
Kaguya-hime no Monogatari,Isao Takahata," Drama, Family",8.0,2013
Song of the Sea,Tomm Moore," Adventure, Drama",8.0,2014
Persepolis,Vincent Paronnaud," Biography, Drama",8.0,2007
The Incredibles,Brad Bird," Action, Adventure",8.0,2004
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Hideaki Anno," Action, Drama",8.0,1997
Pâfekuto burû,Satoshi Kon," Crime, Drama",8.0,1997
Aladdin,Ron Clements," Adventure, Comedy",8.0,1992
Beauty and the Beast,Gary Trousdale," Family, Fantasy",8.0,1991
Akira,Katsuhiro Ôtomo," Action, Drama",8.0,1988
Tenkû no shiro Rapyuta,Hayao Miyazaki," Adventure, Family",8.0,1986
Kaze no tani no Naushika,Hayao Miyazaki," Adventure, Sci-Fi",8.0,1984
Fantastic Mr. Fox,Wes Anderson," Adventure, Comedy",7.9,2009
Shrek,Andrew Adamson," Adventure, Comedy",7.9,2001
Toy Story 2,John Lasseter," Adventure, Comedy",7.9,1999
Mimi wo sumaseba,Yoshifumi Kondô," Drama, Family",7.9,1995
Kôkaku Kidôtai,Mamoru Oshii," Action, Crime",7.9,1995
The Nightmare Before Christmas,Henry Selick," Family, Fantasy",7.9,1993
Doragon bôru chô: Burorî,Tatsuya Nagamine," Action, Adventure",7.8,2018
Isle of Dogs,Wes Anderson," Adventure, Comedy",7.8,2018
Loving Vincent,Dorota Kobiela," Biography, Crime",7.8,2017
Big Hero 6,Don Hall," Action, Adventure",7.8,2014
How to Train Your Dragon 2,Dean DeBlois," Action, Adventure",7.8,2014
Tôkyô goddofâzâzu,Satoshi Kon," Adventure, Comedy",7.8,2003
Sennen joyû,Satoshi Kon," Drama, Fantasy",7.8,2001
Cowboy Bebop: Tengoku no tobira,Shin'ichirô Watanabe," Action, Crime",7.8,2001
Jûbê ninpûchô,Yoshiaki Kawajiri," Action, Adventure",7.8,1993
Batman: Mask of the Phantasm,Kevin Altieri," Action, Adventure",7.8,1993
Majo no takkyûbin,Hayao Miyazaki," Adventure, Family",7.8,1989
Kubo and the Two Strings,Travis Knight," Action, Adventure",7.7,2016
The Breadwinner,Nora Twomey," Drama, Family",7.7,2017
Omoide no Mânî,Hiromasa Yonebayashi," Drama, Family",7.7,2014
Ma vie de Courgette,Claude Barras," Comedy, Drama",7.7,2016
Kaze tachinu,Hayao Miyazaki," Biography, Drama",7.7,2013
Toy Story 4,Josh Cooley," Adventure, Comedy",7.7,2019
Wreck-It Ralph,Rich Moore," Adventure, Comedy",7.7,2012
Le Petit Prince,Mark Osborne," Adventure, Drama",7.7,2015
The Lego Movie,Phil Lord," Action, Adventure",7.7,2014
