Title,Director,Genre,Description
Sen to Chihiro no kamikakushi,Hayao Miyazaki," Adventure, Family","[""\nDuring her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.""]"
The Lion King,Roger Allers," Adventure, Drama","['\nLion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.']"
Hotaru no haka,Isao Takahata," Drama, War",['\nA young boy and his little sister struggle to survive in Japan during World War II.']
Kimi no na wa.,Makoto Shinkai," Drama, Fantasy","['\nTwo strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?']"
Spider-Man: Into the Spider-Verse,Bob Persichetti," Action, Adventure","['\nTeen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.']"
Coco,Lee Unkrich," Adventure, Comedy","[""\nAspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.""]"
WALL·E,Andrew Stanton," Adventure, Family","['\nIn the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.']"
Mononoke-hime,Hayao Miyazaki," Adventure, Fantasy","[""\nOn a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.""]"
Up,Pete Docter," Adventure, Comedy","['\n78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.']"
Toy Story 3,Lee Unkrich," Adventure, Comedy","[""\nThe toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.""]"
Toy Story,John Lasseter," Adventure, Comedy","[""\nA cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.""]"
Inside Out,Pete Docter," Adventure, Comedy","['\nAfter young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.']"
Kimetsu no Yaiba: Mugen Ressha-Hen,Haruo Sotozaki," Action, Adventure","[""\nAfter his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.""]"
Hauru no ugoku shiro,Hayao Miyazaki," Adventure, Family","['\nWhen an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.']"
Finding Nemo,Andrew Stanton," Adventure, Comedy","['\nAfter his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.']"
Koe no katachi,Naoko Yamada, Drama,"['\nA young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.']"
Klaus,Sergio Pablos," Adventure, Comedy","[""\nA simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.""]"
Ôkami kodomo no Ame to Yuki,Mamoru Hosoda," Drama, Family","['\nAfter her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.']"
Mary and Max.,Adam Elliot," Comedy, Drama","['\nA tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.']"
How to Train Your Dragon,Dean DeBlois," Action, Adventure","['\nA hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.']"
Ratatouille,Brad Bird," Adventure, Comedy",['\nA rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.']
"Monsters, Inc.",Pete Docter," Adventure, Comedy","['\nIn order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.']"
The Iron Giant,Brad Bird," Action, Adventure",['\nA young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.']
Tonari no Totoro,Hayao Miyazaki," Comedy, Family","['\nWhen two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.']"
WolfWalkers,Tomm Moore," Adventure, Family",['\nA young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.']
Soul,Pete Docter," Adventure, Comedy","['\nAfter landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.']"
Zootopia,Byron Howard," Adventure, Comedy","['\nIn a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.']"
Kaguya-hime no Monogatari,Isao Takahata," Drama, Family","['\nFound inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.']"
Song of the Sea,Tomm Moore," Adventure, Drama","['\nBen, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.']"
Persepolis,Vincent Paronnaud," Biography, Drama",['\nA precocious and outspoken Iranian girl grows up during the Islamic Revolution.']
The Incredibles,Brad Bird," Action, Adventure","['\nWhile trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.']"
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Hideaki Anno," Action, Drama",['\nConcurrent theatrical ending of the TV series Shin seiki evangerion (1995).']
Pâfekuto burû,Satoshi Kon," Crime, Drama","['\nA pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.']"
Aladdin,Ron Clements," Adventure, Comedy",['\nA kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.']
Beauty and the Beast,Gary Trousdale," Family, Fantasy","[""\nA prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.""]"
Akira,Katsuhiro Ôtomo," Action, Drama","['\nA secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.']"
Tenkû no shiro Rapyuta,Hayao Miyazaki," Adventure, Family",['\nA young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.']
Kaze no tani no Naushika,Hayao Miyazaki," Adventure, Sci-Fi",['\nWarrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.']
Fantastic Mr. Fox,Wes Anderson," Adventure, Comedy","[""\nAn urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.""]"
Shrek,Andrew Adamson," Adventure, Comedy","['\nA mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.']"
Toy Story 2,John Lasseter," Adventure, Comedy","['\nWhen Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.']"
Mimi wo sumaseba,Yoshifumi Kondô," Drama, Family","['\nA love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.']"
Kôkaku Kidôtai,Mamoru Oshii," Action, Crime",['\nA cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.']
The Nightmare Before Christmas,Henry Selick," Family, Fantasy","['\nJack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.']"
Doragon bôru chô: Burorî,Tatsuya Nagamine," Action, Adventure","[""\nGoku and Vegeta encounter Broly, a Saiyan warrior unlike any fighter they've faced before.""]"
Isle of Dogs,Wes Anderson," Adventure, Comedy","[""\nSet in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.""]"
Loving Vincent,Dorota Kobiela," Biography, Crime","[""\nIn a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there.""]"
Big Hero 6,Don Hall," Action, Adventure","['\nA special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.']"
How to Train Your Dragon 2,Dean DeBlois," Action, Adventure","['\nWhen Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.']"
