title,genre,popularity
The Shawshank Redemption,"Drama,Crime",94.075
Dilwale Dulhania Le Jayenge,"Comedy,Drama,Romance",25.408
The Godfather,"Drama,Crime",90.585
Schindler's List,"Drama,History,War",44.761
The Godfather: Part II,"Drama,Crime",57.749
Impossible Things,"Family,Drama",14.358
Spirited Away,"Animation,Family,Fantasy",92.056
Your Eyes Tell,"Romance,Drama",51.345
Dou kyu sei – Classmates,"Romance,Animation",14.285
Your Name.,"Romance,Animation,Drama",158.27
12 Angry Men,Drama,31.946
Gabriel's Inferno,Romance,12.674
Parasite,"Comedy,Thriller,Drama",65.147
The Green Mile,"Fantasy,Drama,Crime",69.118
Gabriel's Inferno: Part II,Romance,14.924
The Dark Knight,"Drama,Action,Crime,Thriller",82.23
"The Good, the Bad and the Ugly",Western,47.73
Pulp Fiction,"Thriller,Crime",67.224
The Lord of the Rings: The Return of the King,"Adventure,Fantasy,Action",134.707
Gabriel's Inferno: Part III,"Romance,Comedy",47.608
Forrest Gump,"Comedy,Drama,Romance",65.175
Cinema Paradiso,"Drama,Romance",18.677
Seven Samurai,"Action,Drama",27.849
GoodFellas,"Drama,Crime",50.387
Violet Evergarden: The Movie,"Animation,Fantasy,Romance,Drama",23.933
Life Is Beautiful,"Comedy,Drama",55.527
Once Upon a Time in America,"Drama,Crime",25.789
Harakiri,"Action,Drama,History",14.472
Psycho,"Horror,Drama,Thriller",41.575
"Josee, the Tiger and the Fish","Animation,Drama,Romance",178.195
A Dog's Will,"Comedy,Drama,Fantasy",9.741
Grave of the Fireflies,"Animation,Drama,War",0.6
One Flew Over the Cuckoo's Nest,Drama,27.541
Fight Club,Drama,58.676
Evangelion: 3.0+1.0 Thrice Upon a Time,"Animation,Action,Science Fiction,Drama",108.156
Spider-Man: Into the Spider-Verse,"Action,Adventure,Animation,Science Fiction",118.785
City of God,"Drama,Crime",35.565
Hope,Drama,17.189
A Silent Voice: The Movie,"Animation,Drama,Romance",170.606
Hotarubi no Mori e,"Romance,Animation,Fantasy",0.6
Howl's Moving Castle,"Fantasy,Animation,Adventure",75.091
Neon Genesis Evangelion: The End of Evangelion,"Drama,Animation,Science Fiction,Action",32.759
The Empire Strikes Back,"Adventure,Action,Science Fiction",28.323
Sunset Boulevard,Drama,17.814
Wolfwalkers,"Animation,Family,Adventure,Fantasy",17.052
The Lord of the Rings: The Fellowship of the Ring,"Adventure,Fantasy,Action",168.448
Ikiru,Drama,9.854
Primal: Tales of Savagery,"Action,Adventure,Animation",62.485
The Pianist,"Drama,War",40.571
Interstellar,"Adventure,Drama,Science Fiction",191.22
Whiplash,"Drama,Music",57.858
The Lord of the Rings: The Two Towers,"Adventure,Fantasy,Action",162.716
American History X,Drama,32.756
Rear Window,"Thriller,Mystery",19.511
Inception,"Action,Science Fiction,Adventure",111.757
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Animation,Action,Adventure,Fantasy",802.132
Given,"Animation,Drama,Music,Romance",92.227
City Lights,"Comedy,Drama,Romance",13.321
High and Low,"Crime,Drama,Mystery,Thriller",10.462
The Great Dictator,"Comedy,War",17.663
Se7en,"Crime,Mystery,Thriller",47.045
Top Gun: Maverick,"Action,Drama",7567.017
Princess Mononoke,"Adventure,Fantasy,Animation",42.985
Dedicated to my ex,"Drama,Comedy",12.695
The Silence of the Lambs,"Crime,Drama,Thriller",11.372
Come and See,"Drama,History,War",12.869
Clouds,"Music,Drama,Romance",21.826
Dead Poets Society,Drama,32.638
Modern Times,"Comedy,Drama",15.754
Five Feet Apart,"Romance,Drama",98.531
Léon: The Professional,"Crime,Drama,Action",55.424
Once Upon a Time in the West,"Drama,Western",21.526
Hamilton,"History,Drama",11.644
Paths of Glory,"Drama,War",11.774
Justice League Dark: Apokolips War,"Animation,Action,Adventure,Fantasy,Science Fiction",41.778
Back to the Future,"Adventure,Comedy,Science Fiction,Family",54.325
My Hero Academia: Heroes Rising,"Animation,Action,Fantasy,Adventure",224.617
Life in a Year,"Drama,Romance",114.889
Better Days,Drama,17.871
Woman in the Dunes,"Drama,Thriller",8.046
We All Loved Each Other So Much,"Drama,Comedy",6.594
Tokyo Story,Drama,10.385
Perfect Blue,"Animation,Thriller",27.325
The Legend of 1900,"Drama,Music,Romance",12.788
Apocalypse Now,"Drama,War",27.775
Rascal Does Not Dream of a Dreaming Girl,"Animation,Comedy,Romance,Drama,Fantasy",92.432
Avengers: Endgame,"Adventure,Science Fiction,Action",284.068
Le Trou,"Crime,Drama,Thriller,History",9.29
Miracle in Cell No. 7,"Drama,Comedy",49.021
Mommy,Drama,12.788
Oldboy,"Drama,Thriller,Mystery,Action",29.817
Steven Universe: The Movie,"Animation,Family,Fantasy,TV Movie,Science Fiction,Adventure,Music",58.206
The Art of Racing in the Rain,"Comedy,Drama,Romance",19.229
Zack Snyder's Justice League,"Action,Adventure,Fantasy,Science Fiction",325.801
Klaus,"Animation,Family,Adventure,Comedy,Fantasy",20.474
The Handmaiden,"Thriller,Drama,Romance",45.016
Avengers: Infinity War,"Adventure,Action,Science Fiction",475.535
The Intouchables,"Drama,Comedy",86.109
KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,"Animation,Adventure,Comedy,Fantasy",132.022
Everything Everywhere All at Once,"Action,Adventure,Science Fiction",309.567
The Lion King,"Family,Animation,Drama",204.155
It's a Wonderful Life,"Drama,Family,Fantasy",32.21
Persona,Drama,10.578
Black Beauty,Drama,12.203
Bicycle Thieves,Drama,13.995
Wolf Children,"Animation,Drama,Family,Fantasy",39.225
