title,genre,release_date
The Shawshank Redemption,"Drama,Crime",1994-09-23
Dilwale Dulhania Le Jayenge,"Comedy,Drama,Romance",1995-10-19
The Godfather,"Drama,Crime",1972-03-14
Schindler's List,"Drama,History,War",1993-12-15
The Godfather: Part II,"Drama,Crime",1974-12-20
Impossible Things,"Family,Drama",2021-06-17
Spirited Away,"Animation,Family,Fantasy",2001-07-20
Your Eyes Tell,"Romance,Drama",2020-10-23
Dou kyu sei – Classmates,"Romance,Animation",2016-02-20
Your Name.,"Romance,Animation,Drama",2016-08-26
12 Angry Men,Drama,1957-04-10
Gabriel's Inferno,Romance,2020-05-29
Parasite,"Comedy,Thriller,Drama",2019-05-30
The Green Mile,"Fantasy,Drama,Crime",1999-12-10
Gabriel's Inferno: Part II,Romance,2020-07-31
The Dark Knight,"Drama,Action,Crime,Thriller",2008-07-14
"The Good, the Bad and the Ugly",Western,1966-12-23
Pulp Fiction,"Thriller,Crime",1994-09-10
The Lord of the Rings: The Return of the King,"Adventure,Fantasy,Action",2003-12-01
Gabriel's Inferno: Part III,"Romance,Comedy",2020-11-19
Forrest Gump,"Comedy,Drama,Romance",1994-06-23
Cinema Paradiso,"Drama,Romance",1988-11-17
Seven Samurai,"Action,Drama",1954-04-26
GoodFellas,"Drama,Crime",1990-09-12
Violet Evergarden: The Movie,"Animation,Fantasy,Romance,Drama",2020-09-18
Life Is Beautiful,"Comedy,Drama",1997-12-20
Once Upon a Time in America,"Drama,Crime",1984-05-23
Harakiri,"Action,Drama,History",1962-09-15
Psycho,"Horror,Drama,Thriller",1960-06-22
"Josee, the Tiger and the Fish","Animation,Drama,Romance",2020-12-25
A Dog's Will,"Comedy,Drama,Fantasy",2000-09-15
Grave of the Fireflies,"Animation,Drama,War",1988-04-16
One Flew Over the Cuckoo's Nest,Drama,1975-05-18
Fight Club,Drama,1999-10-15
Evangelion: 3.0+1.0 Thrice Upon a Time,"Animation,Action,Science Fiction,Drama",2021-03-08
Spider-Man: Into the Spider-Verse,"Action,Adventure,Animation,Science Fiction",2018-12-06
City of God,"Drama,Crime",2002-02-05
Hope,Drama,2013-10-02
A Silent Voice: The Movie,"Animation,Drama,Romance",2016-09-17
Hotarubi no Mori e,"Romance,Animation,Fantasy",2011-09-17
Howl's Moving Castle,"Fantasy,Animation,Adventure",2004-11-19
Neon Genesis Evangelion: The End of Evangelion,"Drama,Animation,Science Fiction,Action",1997-07-19
The Empire Strikes Back,"Adventure,Action,Science Fiction",1980-05-20
Sunset Boulevard,Drama,1950-08-10
Wolfwalkers,"Animation,Family,Adventure,Fantasy",2020-10-26
The Lord of the Rings: The Fellowship of the Ring,"Adventure,Fantasy,Action",2001-12-18
Ikiru,Drama,1952-10-09
Primal: Tales of Savagery,"Action,Adventure,Animation",2019-11-21
The Pianist,"Drama,War",2002-09-17
Interstellar,"Adventure,Drama,Science Fiction",2014-11-05
Whiplash,"Drama,Music",2014-10-10
The Lord of the Rings: The Two Towers,"Adventure,Fantasy,Action",2002-12-18
American History X,Drama,1998-07-01
Rear Window,"Thriller,Mystery",1954-08-01
Inception,"Action,Science Fiction,Adventure",2010-07-15
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Animation,Action,Adventure,Fantasy",2020-10-16
Given,"Animation,Drama,Music,Romance",2020-08-22
City Lights,"Comedy,Drama,Romance",1931-02-01
High and Low,"Crime,Drama,Mystery,Thriller",1963-03-01
The Great Dictator,"Comedy,War",1940-10-15
Se7en,"Crime,Mystery,Thriller",1995-09-22
Top Gun: Maverick,"Action,Drama",2022-05-24
Princess Mononoke,"Adventure,Fantasy,Animation",1997-07-12
Dedicated to my ex,"Drama,Comedy",2019-11-01
The Silence of the Lambs,"Crime,Drama,Thriller",1991-02-01
Come and See,"Drama,History,War",1985-07-09
Clouds,"Music,Drama,Romance",2020-10-09
Dead Poets Society,Drama,1989-06-02
Modern Times,"Comedy,Drama",1936-02-05
Five Feet Apart,"Romance,Drama",2019-03-14
Léon: The Professional,"Crime,Drama,Action",1994-09-14
Once Upon a Time in the West,"Drama,Western",1968-12-21
Hamilton,"History,Drama",2020-07-03
Paths of Glory,"Drama,War",1957-10-25
Justice League Dark: Apokolips War,"Animation,Action,Adventure,Fantasy,Science Fiction",2020-05-05
Back to the Future,"Adventure,Comedy,Science Fiction,Family",1985-07-03
My Hero Academia: Heroes Rising,"Animation,Action,Fantasy,Adventure",2019-12-20
Life in a Year,"Drama,Romance",2020-11-27
Better Days,Drama,2019-10-25
Woman in the Dunes,"Drama,Thriller",1964-02-15
We All Loved Each Other So Much,"Drama,Comedy",1974-12-21
Tokyo Story,Drama,1953-11-03
Perfect Blue,"Animation,Thriller",1997-07-25
The Legend of 1900,"Drama,Music,Romance",1998-10-28
Apocalypse Now,"Drama,War",1979-08-15
Rascal Does Not Dream of a Dreaming Girl,"Animation,Comedy,Romance,Drama,Fantasy",2019-06-15
Avengers: Endgame,"Adventure,Science Fiction,Action",2019-04-24
Le Trou,"Crime,Drama,Thriller,History",1960-03-18
Miracle in Cell No. 7,"Drama,Comedy",2019-10-10
Mommy,Drama,2014-09-19
Oldboy,"Drama,Thriller,Mystery,Action",2003-11-21
Steven Universe: The Movie,"Animation,Family,Fantasy,TV Movie,Science Fiction,Adventure,Music",2019-09-02
The Art of Racing in the Rain,"Comedy,Drama,Romance",2019-08-08
Zack Snyder's Justice League,"Action,Adventure,Fantasy,Science Fiction",2021-03-18
Klaus,"Animation,Family,Adventure,Comedy,Fantasy",2019-11-08
The Handmaiden,"Thriller,Drama,Romance",2016-06-01
Avengers: Infinity War,"Adventure,Action,Science Fiction",2018-04-25
The Intouchables,"Drama,Comedy",2011-11-02
KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,"Animation,Adventure,Comedy,Fantasy",2019-08-30
Everything Everywhere All at Once,"Action,Adventure,Science Fiction",2022-03-24
The Lion King,"Family,Animation,Drama",1994-06-23
It's a Wonderful Life,"Drama,Family,Fantasy",1946-12-20
Persona,Drama,1966-10-18
Black Beauty,Drama,2020-11-27
Bicycle Thieves,Drama,1948-11-24
Wolf Children,"Animation,Drama,Family,Fantasy",2012-07-21
Maquia: When the Promised Flower Blooms,"Animation,Fantasy,Romance,Drama",2018-02-24
Il Sorpasso,"Drama,Comedy",1962-12-05
Green Book,"Drama,Comedy",2018-11-16
Violet Evergarden: Eternity and the Auto Memory Doll,"Drama,Fantasy,Animation",2019-09-06
I Want to Eat Your Pancreas,"Animation,Drama,Romance,Family",2018-09-01
Sansho the Bailiff,Drama,1954-03-31
Witness for the Prosecution,"Drama,Mystery,Crime",1957-12-17
"Miraculous World: New York, United HeroeZ","Animation,Family,Adventure,TV Movie,Fantasy,Action",2020-09-25
Mortal Kombat Legends: Scorpion's Revenge,"Animation,Action,Fantasy",2020-04-12
New Gods: Nezha Reborn,"Animation,Action,Fantasy",2021-02-06
Stalker,"Science Fiction,Drama",1979-05-25
8½,"Fantasy,Drama",1963-02-14
The Kid,"Comedy,Drama",1921-01-21
The Apartment,"Comedy,Drama,Romance",1960-06-21
Bo Burnham: Inside,Comedy,2021-07-22
Coco,"Family,Animation,Fantasy,Music,Comedy,Adventure",2017-10-27
The Shining,"Horror,Thriller",1980-05-23
Doctor Who: The Day of the Doctor,"Science Fiction,Adventure",2013-11-23
A Clockwork Orange,"Science Fiction,Drama",1971-12-19
The Seventh Seal,"Fantasy,Drama",1957-02-16
Investigation of a Citizen Above Suspicion,"Drama,Thriller",1970-10-16
Vertigo,"Mystery,Romance,Thriller",1958-05-28
The Hate U Give,"Crime,Drama",2018-10-19
Children of Paradise,"Drama,Romance",1945-03-15
Portrait of a Lady on Fire,"Drama,Romance,History",2019-06-17
Inglourious Basterds,"Drama,Action,Thriller,War",2009-08-19
Along with the Gods: The Last 49 Days,"Drama,Fantasy,Action",2018-08-01
Call Me by Your Name,"Romance,Drama",2017-09-01
Star Wars,"Adventure,Action,Science Fiction",1977-05-25
The Usual Suspects,"Drama,Crime,Thriller",1995-07-19
Gladiator,"Action,Drama,Adventure",2000-05-04
Piper,"Family,Animation",2016-06-16
The Prestige,"Drama,Mystery,Science Fiction",2006-10-19
Saving Private Ryan,"Drama,History,War",1998-07-24
Memento,"Mystery,Thriller",2000-10-11
Shutter Island,"Drama,Thriller,Mystery",2010-02-14
The Matrix,"Action,Science Fiction",1999-03-30
My Mom is a Character 3,Comedy,2019-12-26
Capernaum,Drama,2018-09-20
The Help,Drama,2011-08-09
Hacksaw Ridge,"Drama,History,War",2016-10-07
Soul,"Animation,Family,Comedy,Fantasy,Drama",2020-12-25
Taxi Driver,"Crime,Drama",1976-02-09
Wonder,"Drama,Family",2017-11-13
Singin' in the Rain,"Comedy,Music,Romance,Drama",1952-04-09
Metropolis,"Drama,Science Fiction",1927-02-06
Yojimbo,"Drama,Thriller",1961-04-25
Joker,"Crime,Thriller,Drama",2019-10-01
All About Eve,Drama,1950-10-06
Scenes from a Marriage,"Drama,Romance",1974-09-15
Casablanca,"Drama,Romance",1942-11-26
La Dolce Vita,"Comedy,Drama",1960-02-05
Bo Burnham: Make Happy,"Comedy,Music",2016-06-03
Andrei Rublev,"Drama,History",1966-12-16
The Father,Drama,2020-12-23
Scarface,"Action,Crime,Drama",1983-12-09
My Friends,Comedy,1975-10-24
The Departed,"Drama,Thriller,Crime",2006-10-04
Rashomon,"Crime,Drama,Mystery",1950-08-26
"Lock, Stock and Two Smoking Barrels","Comedy,Crime",1998-08-28
Ayla: The Daughter of War,"Drama,War",2017-10-27
Togo,"Adventure,Family",2019-12-20
Double Indemnity,"Crime,Drama,Mystery,Thriller",1944-06-14
Central Station,Drama,1998-11-20
Sherlock Jr.,"Action,Comedy,Mystery",1924-04-17
Me Against You: Mr. S's Vendetta,"Comedy,Family",2020-01-17
Out of the Clear Blue Sky,"Comedy,Drama,Music",2019-12-24
Nobody,"Action,Crime,Thriller",2021-03-18
Reservoir Dogs,"Crime,Thriller",1992-09-02
Django Unchained,"Drama,Western",2012-12-25
Far From the Tree,"Animation,Family",2021-11-24
The Great War,"Drama,Comedy,War",1959-10-28
Cruella,"Comedy,Crime",2021-05-26
Full Metal Jacket,"Drama,War",1987-06-26
Good Will Hunting,Drama,1997-12-05
Some Like It Hot,"Comedy,Music,Romance,Crime",1959-03-19
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Drama,Comedy,War",1964-01-29
Wild Strawberries,Drama,1957-12-26
Alien,"Horror,Science Fiction",1979-05-25
Paper Lives,Drama,2021-03-12
The Invisible Guest,"Drama,Mystery,Thriller",2017-01-06
"Paris, Texas",Drama,1984-08-23
How to Train Your Dragon: Homecoming,"Animation,Fantasy,Adventure,Action,Family",2019-10-25
Dersu Uzala,"Action,Adventure,Drama",1975-08-02
Pather Panchali,Drama,1955-08-26
The Tale of The Princess Kaguya,"Animation,Drama,Fantasy",2013-11-23
Anne of Green Gables,"Family,Drama",1985-12-01
Harry Potter and the Deathly Hallows: Part 2,"Fantasy,Adventure",2011-07-07
Michael Jackson's Thriller,"Horror,Music",1983-11-14
Big Deal on Madonna Street,"Comedy,Crime",1958-07-26
The Truman Show,"Comedy,Drama",1998-06-04
Red Beard,Drama,1965-04-03
M,"Drama,Action,Thriller,Crime",1931-05-11
Believe Me: The Abduction of Lisa McVey,"Drama,TV Movie",2018-09-30
In the Mood for Love,"Drama,Romance",2000-09-29
Incendies,"Drama,War,Mystery",2010-09-04
A Special Day,"Drama,Romance",1977-08-11
I corti,Comedy,1996-01-01
There Will Be Blood,Drama,2007-12-26
Hannah Gadsby: Nanette,Comedy,2018-06-19
