title,description,age_rating
Sambha - Aajcha Chawa,A young man sets off on a mission to clean up the society from corruption and other evils.,U/A 16+
Cars Toon: Mater And The Ghostlight,Mater is haunted by a mysterious blue light that teaches him not to play pranks on the other cars in Radiator Springs.,U
Kanmani Rambo Khatija,"Unlucky since birth, Rambo finds hope when he falls in love with Kanmani and Khatija. His life gets complicated further when they both pursue him.",U/A 16+
Butterfly,"While trying to rescue her sister's kids from kidnappers, Geetha excavates shocking secrets about her dubious neighbours. What are they hiding?",U/A 16+
Sister Act,"Rene, a lounge singer, decides to stay at a Christian convent where she changes the dynamics of the convent when she begins to sing in the choir.",U/A 7+
Traffic,A traffic constable accepts the challenge of traversing 150 km by road to transport a donor's heart for an immediate transplant. Inspired by a true event.,U
Kinnaripuzhayoram,"Kunjikrishnan and Unnikrishnan are the sons of a village ayurvedic physician. While Unnikrishnan becomes a doctor, his brother poses as a godman and fools all.",U/A 13+
Meher,The story of a devout Muslim mother who is caught between her principles in life and her daughter's impending marriage.,U
Remo,An aspiring actor falls in love with an engaged doctor. He disguises himself as a female nurse to get close to her so that she calls off her engagement.,U/A 13+
Tanga,"A Tanga puller faces a strange problem. He is unable to take a decision that seems trivial to everyone else. Will he celebrate life, instead of complaining?",U/A 13+
Valsalyam,Raghavan becomes his family's caregiver after his father's death and makes his brother a lawyer. But circumstances change after the latter marries a rich girl.,U
Rays Of Change,Delve deep into the various stages involved in building one of the world's largest single-location Solar Plants by an IPP.,U/A 7+
Secretariat,"Despite her limited knowledge, Penny takes charge of her father's stable and against all the odds, she creates history by winning the first-ever triple crown.",U/A 7+
Maari 2,"Maari, a local don, in his new naughty-turned-nice avtar, manages to get into the bad books of Beeja, a Murakami fan, who will stop at nothing to destroy him.",U/A 13+
FIR,"Irfan’s world comes crashing down when he gets incriminated as a terrorist by media trials. Amid the spotlight, he embarks on a mission to prove his innocence.",U/A 16+
"Love, Simon",17-year-old Simon Spier has a complicated love story as he doesn't know the identity of the anonymous classmate he's fallen for online.,U/A 13+
Kuturu Kosam,"A man who believes that daughters are more likely to care for their parents invests his time and money into his daughter. However, fate has other plans.",U/A 16+
Dr. Cabbie,"After delivering a baby in a cab, Dr. Deepak Chopra he realises there is a way to use the skills that the Canadian government doesn't seem to want.",U/A 16+
Click,Pictures of a vacation ask you to peep in to see the unusual experience of the couple.,U/A 13+
Back to the Titanic,"This special feature documents the first manned dives to Titanic in nearly 15 years, as experts capture unique footage of the ship to analyse its rate of decay.",U/A 7+
Captain America: Civil War,The government's decision to push a Hero Registration Act to regulate heroes creates a rift among the Avengers and other heroes.,U/A 13+
Yavanika,A tabla player goes missing from a drama troupe. Investigations reveal complicated sexual rivalries and internal conflicts within the group.,U/A 16+
Pulimurugan,Murugan protects the villagers from deadly tiger attacks. But a drug dealer takes advantage of his innocence and frames him in a crime he never committed.,U/A 13+
Leela,Kuttiyappan is notorious for his relationships with women. His life takes a turn when he sets out to fulfil one of his strange fantasies.,U/A 16+
Meeku Maathrame Cheptha,"A scandalous video of the groom-to-be, Rakesh, makes its way to a porn site just before his marriage. Will he get married peacefully or the viral fever ruin it?",U/A 13+
Durgeshgorer Guptodhan,"Legends say that the ancestral mansion of Durgeshgor holds one of the greatest treasures of Bengal. Can Sona Da, Abir and Jhinuk unearth the lost treasure?",U
Poysa Usul,"RAW hires a convict to deal with a high-profile mafia don. When a journalist chasing the don goes missing, clues point at the convict. What's the connection?",U/A 13+
Dev,"Dev, a cop, has a very strict view on terrorism, when Farhan, an unruly Muslim youth, changes his perception. This earns the resentment of Dev's former partner.",A
Ummeed - The Hope,A cute and inspiring story of a little girl will make you think about the climate change.,U
Thammar Boyfriend,"Neglected by her family, a 70-year-old rich widow decides to marry a guy who is much younger than her. But will the family accept this alliance?",U
Godhi Banna Sadharana Mykattu,"When an Alzheimer's patient goes suddenly missing, his son puts his dreams on hold to search for his father. But a murder plot may complicate things.",U/A 7+
Sree,"When a young man tries to protect the woman he loves, he learns a secret about his own past. Will this change his relationship with her?",U/A 13+
Made in USA,"Roby moves to the US to make money. He works in a casino and helps the needy. However, he has mental problems.",U/A 13+
Kaali,This action-packed drama revolves around Bharat who discovers the truth about being an adopted child and sets out on a journey to find his biological parents.,U/A 7+
Vathikuchi,"Sakthi, an auto driver, falls in love with Leena. However, his life turns upside down when he runs into three criminals who have been baying for his blood.",U/A 13+
Badi,"Badi is a Kannada drama about the issue of dowry. Watch the full film, streaming on Hotstar.",U/A 13+
My Friend Ganesha 3,"Ganya, an orphan, is troubled by his evil uncle and aunt for the property that he has inherited from his family. Who will come to his rescue?",U
Flicka,16-year-old Katy dreams of fulfilling her family legacy by working on her father's ranch in modern-day Wyoming with a wild mustang named Flicka.,U/A 7+
Solo,"Gautham, an orphan, longs to marry into a large family. When Vaishnavi accepts his love, he tries hard to impress her joint family. But will her father agree?",U/A 13+
Kadal,"After Bergman is thrown out of his seminary for committing a sin by Sam, he returns years later to corrupt Thomas, an orphan in Father Sam's care, as revenge.",U/A 13+
